,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Isaiah McKenzie,BUF,WR,1,1.0,0,0,0,0,0,1,4,0,1,2,6,0,0,0
Matt Breida,MIA,RB,1,0.4,0,0,0,0,0,3,4,0,0,0,0,0,0,0
Adam Thielen,MIN,WR,1,9.3,0,0,0,0,0,1,4,0,3,5,29,1,0,0
Jared Goff,LAR,QB,1,30.5,23,32,321,2,1,2,4,1,0,0,0,0,0,0
JoJo Natson,CLE,WR,1,0.3,0,0,0,0,0,1,3,0,0,0,0,0,0,0
Chris Thompson,JAX,RB,1,3.8,0,0,0,0,0,2,3,0,5,6,35,0,0,0
Terry McLaurin,WAS,WR,1,8.6,0,0,0,0,0,1,3,0,4,8,83,0,0,0
Dwayne Haskins,WAS,QB,1,19.4,21,37,224,2,3,2,2,0,0,0,0,0,2,1
N'Keal Harry,NE,WR,1,3.6,0,0,0,0,0,1,2,0,2,4,34,0,0,0
Jamal Agnew,DET,WR,1,2.2,0,0,0,0,0,1,2,0,2,2,20,0,0,0
Baker Mayfield,CLE,QB,1,15.9,16,23,156,2,0,1,1,0,0,0,0,0,0,0
Jordan Howard,MIA,RB,1,6.1,0,0,0,0,0,3,1,1,0,0,0,0,0,0
C.J. Prosise,HOU,RB,1,0.1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Laviska Shenault,JAX,WR,1,3.4,0,0,0,0,0,1,1,0,5,6,33,0,0,0
CeeDee Lamb,DAL,WR,1,6.6,0,0,0,0,0,1,1,0,5,7,65,0,0,0
Jaylen Samuels,PIT,RB,1,0.1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Jacoby Brissett,IND,QB,1,0.9,2,4,17,0,0,2,0,0,0,0,0,0,0,0
Nick Mullens,SF,QB,1,21.2,25,36,343,1,0,4,0,0,0,0,0,0,0,0
Adam Humphries,TEN,WR,1,4.1,0,0,0,0,0,1,0,0,4,7,41,0,0,0
Anthony Sherman,KC,FB,1,6.5,0,0,0,0,0,1,0,0,1,1,5,1,0,0
Dion Lewis,NYG,RB,1,1.0,0,0,0,0,0,1,0,0,1,3,10,0,0,0
Tom Brady,TB,QB,1,26.9,25,38,297,3,0,5,0,0,0,0,0,0,1,0
Julian Edelman,NE,WR,1,2.2,0,0,0,0,0,1,-1,0,2,6,23,0,0,0
Matt Ryan,ATL,QB,1,15.8,19,38,238,1,1,1,-1,0,0,0,0,0,0,0
Joe Burrow,CIN,QB,1,23.5,31,44,312,2,0,1,-1,0,0,0,0,0,0,0
Allen Lazard,GB,WR,1,20.4,0,0,0,0,0,1,-2,0,6,8,146,1,0,0
KJ Hamler,DEN,WR,1,2.8,0,0,0,0,0,1,-2,0,3,5,30,0,0,0
Ben Roethlisberger,PIT,QB,1,19.6,23,36,237,2,0,5,-3,0,0,0,0,0,0,0
Matthew Stafford,DET,QB,1,21.2,22,31,270,2,0,1,-3,0,0,0,0,0,0,0
Nick Foles,CHI,QB,1,21.1,16,29,188,3,1,3,-3,0,0,0,0,0,0,0
Kalif Raymond,TEN,WR,1,11.5,0,0,0,0,0,1,-3,0,3,3,118,0,0,0
Greg Ward,PHI,WR,1,12.6,0,0,0,0,0,1,-6,0,8,11,72,1,0,0
Andy Isabella,ARI,WR,1,16.1,0,0,0,0,0,1,-6,0,4,4,47,2,0,0
