,,,,Rushing,,,,,,,Big Rushing Games,,,Fumbles,
Marvin Jones,DET,WR,13,2,0,0.0,0.0,0,0,0,0,0,0,0,0
Mike Glennon,OAK,QB,2,2,0,0.0,0.0,0,0,0,0,0,0,3,1
Brett Kern,TEN,P,16,1,0,0.0,0.0,0,0,0,0,0,0,0,0
Paul Richardson,WAS,WR,10,1,0,0.0,0.0,0,0,0,0,0,0,0,0
Matt Moore,KC,QB,6,5,-1,-0.2,-0.2,0,0,0,0,0,0,2,0
Ryan Griffin,TB,QB,2,4,-1,-0.3,-0.5,0,0,0,0,0,0,0,0
Richie James,SF,WR,16,2,-1,-0.5,-0.1,0,0,0,0,0,0,1,1
Anthony Miller,CHI,WR,16,1,-1,-1.0,-0.1,0,0,0,0,0,0,1,1
Jarrett Stidham,NE,QB,3,2,-2,-1.0,-0.7,0,0,0,0,0,0,0,0
Josh McCown,PHI,QB,3,2,-2,-1.0,-0.7,0,0,0,0,0,0,0,0
Cam Newton,CAR,QB,2,5,-2,-0.4,-1.0,0,0,0,0,0,0,2,2
Zach Zenner,ARI/NO,RB,4,3,-2,-0.7,-0.5,0,0,0,0,0,0,0,0
Garrett Gilbert,CLE,QB,5,3,-3,-1.0,-0.6,0,0,0,0,0,0,0,0
Julio Jones,ATL,WR,15,2,-3,-1.5,-0.2,0,0,0,0,0,0,1,0
Matt Schaub,ATL,QB,6,3,-3,-1.0,-0.5,0,0,0,0,0,0,1,1
Nick Mullens,SF,QB,1,3,-3,-1.0,-3.0,0,0,0,0,0,0,0,0
Drew Brees,NO,QB,11,9,-4,-0.4,-0.4,1,0,0,0,0,0,0,0
Matt Barkley,BUF,QB,2,2,-4,-2.0,-2.0,0,0,0,0,0,0,3,1
Bryan Anger,HOU,P,14,1,-5,-5.0,-0.4,0,0,0,0,0,0,0,0
Sean Mannion,MIN,QB,3,6,-5,-0.8,-1.7,0,0,0,0,0,0,1,1
Tyler Lockett,SEA,WR,16,4,-5,-1.3,-0.3,0,0,0,0,0,0,1,0
Kalif Raymond,TEN,WR,8,1,-5,-5.0,-0.6,0,0,0,0,0,0,1,1
Tim Boyle,GB,QB,3,5,-7,-1.4,-2.3,0,0,0,0,0,0,0,0
Jarius Wright,CAR,WR,16,1,-7,-7.0,-0.4,0,0,0,0,0,0,0,0
Jordan Berry,PIT,P,16,2,-8,-4.0,-0.5,0,0,0,0,0,0,3,2
Michael Thomas,NO,WR,16,1,-9,-9.0,-0.6,0,0,0,0,0,0,1,0
Blake Bortles,LAR,QB,3,2,-9,-4.5,-3.0,0,0,0,0,0,0,0,0
Noah Fant,DEN,TE,16,3,-12,-4.0,-0.8,0,0,0,0,0,0,1,1
