,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
Ryan Fitzpatrick,MIA,QB,15,54,243,4,71.4,30,28.6,12,18,10,18.5,66.7,0.1,134,2.5,55.1
Jonathan Williams,IND,RB,9,49,235,1,68.6,24,31.4,11,7,15,30.6,85.7,0.0,179,3.7,76.2
Bilal Powell,NYJ,RB,13,59,229,0,83.3,30,16.7,6,12,5,8.5,79.7,0.0,128,2.2,55.9
Jacoby Brissett,IND,QB,15,56,228,4,48.9,22,51.1,23,12,12,21.4,78.6,0.1,105,1.9,46.1
Justice Hill,BAL,RB,16,58,225,2,54.1,20,45.9,17,8,8,13.8,86.2,0.0,105,1.8,46.7
Patrick Mahomes,KC,QB,14,43,218,2,45.9,17,54.1,20,14,2,4.7,67.4,0.0,26,0.6,11.9
Tarik Cohen,CHI,RB,16,64,213,0,63.8,30,36.2,17,15,11,17.2,76.6,0.0,104,1.6,48.8
Dion Lewis,TEN,RB,16,54,209,0,62.1,18,37.9,11,11,21,38.9,79.6,0.0,136,2.5,65.1
J.D. McKissic,DET,RB,16,38,205,0,59.1,13,40.9,9,6,6,15.8,84.2,0.0,118,3.1,57.6
Mark Walton,MIA,RB,7,53,201,0,93.3,28,6.7,2,12,5,9.4,77.4,0.0,115,2.2,57.2
Justin Jackson,LAC,RB,7,29,200,0,14.3,2,85.7,12,6,8,27.6,79.3,0.0,143,4.9,71.5
Nyheim Hines,IND,RB,16,52,199,2,71.8,28,28.2,11,9,4,7.7,82.7,0.0,104,2.0,52.3
Mitchell Trubisky,CHI,QB,15,48,193,2,44.4,16,55.6,20,10,6,12.5,79.2,0.0,105,2.2,54.4
Ryan Tannehill,TEN,QB,12,43,185,4,63.2,24,36.8,14,20,3,7.0,53.5,0.1,30,0.7,16.2
Aaron Rodgers,GB,QB,16,46,183,1,59.5,25,40.5,17,20,4,8.7,56.5,0.0,49,1.1,26.8
Kareem Hunt,CLE,RB,8,43,179,2,54.5,12,45.5,10,10,16,37.2,76.7,0.0,117,2.7,65.4
Jaylen Samuels,PIT,RB,14,66,175,1,83.9,26,16.1,5,17,5,7.6,74.2,0.0,135,2.0,77.1
Giovani Bernard,CIN,RB,16,53,170,0,73.0,27,27.0,10,19,8,15.1,64.2,0.0,107,2.0,62.9
Patrick Laird,MIA,RB,15,62,168,1,73.1,19,26.9,7,18,7,11.3,71.0,0.0,120,1.9,71.4
Deebo Samuel,SF,WR,15,14,159,3,0.0,0,100.0,12,1,4,28.6,92.9,0.2,63,4.5,39.6
Taysom Hill,NO,QB,16,27,156,1,13.0,3,87.0,20,5,4,14.8,81.5,0.0,57,2.1,36.5
Jeff Driskel,DET,QB,3,22,151,1,25.0,5,75.0,15,3,4,18.2,86.4,0.0,57,2.6,37.7
Matt Ryan,ATL,QB,15,34,147,1,63.0,17,37.0,10,9,2,5.9,73.5,0.0,29,0.9,19.7
Darrell Henderson,LAR,RB,13,39,147,0,46.2,6,53.8,7,9,13,33.3,76.9,0.0,121,3.1,82.3
Jalen Richard,OAK,RB,16,39,145,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Darrel Williams,KC,RB,12,41,141,3,77.3,17,22.7,5,10,5,12.2,75.6,0.1,52,1.3,36.9
Baker Mayfield,CLE,QB,16,28,141,3,52.2,12,47.8,11,6,4,14.3,78.6,0.1,56,2.0,39.7
Chris Thompson,WAS,RB,11,37,138,0,40.0,8,60.0,12,8,4,10.8,78.4,0.0,74,2.0,53.6
Kalen Ballage,MIA,RB,12,74,135,3,79.1,34,20.9,9,23,4,5.4,68.9,0.0,100,1.4,74.1
Myles Gaskin,MIA,RB,7,36,133,1,63.6,14,36.4,8,8,6,16.7,77.8,0.0,109,3.0,82.0
Curtis Samuel,CAR,WR,16,19,130,1,0.0,0,100.0,19,1,2,10.5,94.7,0.1,42,2.2,32.3
Marcus Mariota,TEN,QB,7,24,129,0,26.3,5,73.7,14,2,6,25.0,91.7,0.0,27,1.1,20.9
Darwin Thompson,KC,RB,12,37,128,1,68.8,11,31.3,5,7,6,16.2,81.1,0.0,83,2.2,64.8
Kerrith Whyte,PIT,RB,6,24,122,0,25.0,2,75.0,6,3,2,8.3,87.5,0.0,71,3.0,58.2
Reggie Bonnafon,CAR,RB,16,16,116,1,77.8,7,22.2,2,2,1,6.3,87.5,0.1,24,1.5,20.7
Ameer Abdullah,MIN,RB,16,23,115,0,83.3,5,16.7,1,1,4,17.4,95.7,0.0,43,1.9,37.4
Robert Woods,LAR,WR,15,17,115,1,0.0,0,100.0,15,5,2,11.8,70.6,0.1,50,2.9,43.5
Travis Homer,SEA,RB,16,18,114,0,63.6,7,36.4,4,3,1,5.6,83.3,0.0,32,1.8,28.1
Wayne Gallman,NYG,RB,10,29,110,2,100.0,21,0.0,0,5,1,3.4,82.8,0.1,48,1.7,43.6
Ryquell Armstead,JAX,RB,16,35,108,0,66.7,10,33.3,5,6,5,14.3,82.9,0.0,75,2.1,69.4
Ito Smith,ATL,RB,7,22,106,1,93.8,15,6.3,1,4,4,18.2,81.8,0.0,51,2.3,48.1
Kyle Allen,CAR,QB,13,32,106,2,48.1,13,51.9,14,10,4,12.5,68.8,0.1,44,1.4,41.5
Jeff Wilson,SF,RB,10,27,105,4,100.0,12,0.0,0,5,2,7.4,81.5,0.1,75,2.8,71.4
Cordarrelle Patterson,CHI,WR,16,17,103,0,15.4,2,84.6,11,3,3,17.6,82.4,0.0,22,1.3,21.4
Ty Montgomery,NYJ,RB,16,32,103,0,76.2,16,23.8,5,8,1,3.1,75.0,0.0,54,1.7,52.4
Dwayne Haskins,WAS,QB,9,20,101,0,43.8,7,56.3,9,6,1,5.0,70.0,0.0,56,2.8,55.4
Christian Kirk,ARI,WR,13,10,93,0,0.0,0,100.0,9,0,4,40.0,100.0,0.0,21,2.1,22.6
Trey Edmunds,PIT,RB,11,22,92,0,100.0,9,0.0,0,7,0,0.0,68.2,0.0,40,1.8,43.5
Jon Hilliman,NYG,RB,3,30,91,0,94.1,16,5.9,1,3,0,0.0,90.0,0.0,53,1.8,58.2
Steven Sims,WAS,WR,16,9,85,1,0.0,0,100.0,7,3,4,44.4,66.7,0.1,67,7.4,78.8
Derek Carr,OAK,QB,16,27,82,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Wendell Smallwood,WAS,RB,15,22,81,0,66.7,8,33.3,4,5,2,9.1,77.3,0.0,38,1.7,46.9
Jonnu Smith,TEN,TE,16,4,78,0,0.0,0,100.0,4,0,4,100.0,100.0,0.0,75,18.8,96.2
Ryan Finley,CIN,QB,3,10,77,0,37.5,3,62.5,5,1,2,20.0,90.0,0.0,8,0.8,10.4
Trevor Davis,OAK,WR,9,4,73,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Andy Dalton,CIN,QB,13,32,73,4,66.7,20,33.3,10,11,3,9.4,65.6,0.1,53,1.7,72.6
C.J. Prosise,SEA,RB,9,23,72,1,69.2,9,30.8,4,6,2,8.7,73.9,0.0,42,1.8,58.3
Sterling Shepard,NYG,WR,10,6,72,0,0.0,0,100.0,6,1,0,0.0,83.3,0.0,5,0.8,6.9
Drew Lock,DEN,QB,5,18,72,0,52.9,9,47.1,8,6,2,11.1,66.7,0.0,13,0.7,18.1
Robert Griffin,BAL,QB,7,20,70,0,56.3,9,43.8,7,9,2,10.0,55.0,0.0,24,1.2,34.3
Brandon Bolden,NE,RB,15,15,68,3,25.0,2,75.0,6,2,3,20.0,86.7,0.2,25,1.7,36.8
Devlin Hodges,PIT,QB,8,21,68,0,66.7,12,33.3,6,10,0,0.0,52.4,0.0,34,1.6,50.0
Matthew Stafford,DET,QB,8,20,66,0,52.9,9,47.1,8,8,2,10.0,60.0,0.0,16,0.8,24.2
Darren Sproles,PHI,RB,6,17,66,0,58.3,7,41.7,5,2,3,17.6,88.2,0.0,27,1.6,40.9
Kirk Cousins,MIN,QB,15,31,63,1,75.0,21,25.0,7,16,3,9.7,48.4,0.0,30,1.0,47.6
T.J. Yeldon,BUF,RB,6,17,63,0,63.6,7,36.4,4,4,3,17.6,76.5,0.0,49,2.9,77.8
Jimmy Garoppolo,SF,QB,16,46,62,1,95.0,38,5.0,2,23,3,6.5,50.0,0.0,46,1.0,74.2
Anthony Levine,BAL,S,16,2,62,0,100.0,2,0.0,0,0,0,0.0,100.0,0.0,5,2.5,8.1
Sam Darnold,NYJ,QB,13,33,62,2,75.9,22,24.1,7,20,0,0.0,39.4,0.1,14,0.4,22.6
Stefon Diggs,MIN,WR,15,5,61,0,0.0,0,100.0,5,0,6,120.0,100.0,0.0,22,4.4,36.1
Dwayne Washington,NO,RB,16,8,60,0,66.7,2,33.3,1,1,4,50.0,87.5,0.0,49,6.1,81.7
A.J. Brown,TEN,WR,16,3,60,1,0.0,0,100.0,3,1,1,33.3,66.7,0.3,50,16.7,83.3
Vyncint Smith,NYJ,WR,13,3,52,1,0.0,0,100.0,3,0,1,33.3,100.0,0.3,5,1.7,9.6
Brandin Cooks,LAR,WR,14,6,52,0,0.0,0,100.0,6,0,1,16.7,100.0,0.0,6,1.0,11.5
Spencer Ware,KC,RB,3,17,51,0,90.9,10,9.1,1,2,2,11.8,88.2,0.0,44,2.6,86.3
Qadree Ollison,ATL,RB,8,22,50,4,92.9,13,7.1,1,5,0,0.0,77.3,0.2,27,1.2,54.0
N'Keal Harry,NE,WR,7,5,49,0,0.0,0,100.0,5,1,4,80.0,80.0,0.0,48,9.6,98.0
Dontrell Hilliard,CLE,RB,14,13,49,2,66.7,4,33.3,2,2,1,7.7,84.6,0.2,26,2.0,53.1
Isaiah McKenzie,BUF,WR,15,8,49,0,0.0,0,100.0,8,2,1,12.5,75.0,0.0,17,2.1,34.7
Tra Carson,GB/DET,RB,3,18,48,0,66.7,6,33.3,3,3,2,11.1,83.3,0.0,20,1.1,41.7
Tavon Austin,DAL,WR,14,6,47,1,0.0,0,100.0,6,0,1,16.7,100.0,0.2,14,2.3,29.8
Albert Wilson,MIA,WR,13,5,45,0,20.0,1,80.0,4,0,1,20.0,100.0,0.0,8,1.6,17.8
C.J. Anderson,DET,RB,2,16,43,0,100.0,4,0.0,0,5,1,6.3,68.8,0.0,28,1.8,65.1
Mason Rudolph,PIT,QB,10,21,42,0,88.2,15,11.8,2,9,2,9.5,57.1,0.0,36,1.7,85.7
Brett Hundley,ARI,QB,3,7,41,0,57.1,4,42.9,3,2,4,57.1,71.4,0.0,7,1.0,17.1
Diontae Johnson,PIT,WR,16,4,41,0,0.0,0,100.0,4,0,2,50.0,100.0,0.0,30,7.5,73.2
Jared Goff,LAR,QB,16,33,40,2,58.1,18,41.9,13,17,1,3.1,46.9,0.1,12,0.4,30.0
Taiwan Jones,HOU,RB,11,9,40,0,60.0,3,40.0,2,1,1,11.1,88.9,0.0,15,1.7,37.5
D.J. Moore,CAR,WR,15,6,40,0,0.0,0,100.0,6,2,1,16.7,66.7,0.0,16,2.7,40.0
Elijhaa Penny,NYG,FB,16,15,39,0,92.3,12,7.7,1,2,1,6.7,86.7,0.0,29,1.9,74.4
Brandon Allen,DEN,QB,3,10,39,0,40.0,4,60.0,6,3,2,20.0,70.0,0.0,13,1.3,33.3
AJ McCarron,HOU,QB,2,5,39,1,0.0,0,100.0,3,0,1,20.0,100.0,0.2,7,1.4,17.9
Javorius Allen,NYG,RB,10,10,36,1,80.0,4,20.0,1,3,2,20.0,70.0,0.1,36,3.6,100.0
Tom Brady,NE,QB,16,26,34,3,95.7,22,4.3,1,16,1,3.8,38.5,0.1,27,1.0,79.4
Marshawn Lynch,SEA,RB,1,12,34,1,100.0,5,0.0,0,4,1,8.3,66.7,0.1,16,1.3,47.1
Calvin Ridley,ATL,WR,13,2,34,0,0.0,0,100.0,2,0,0,0.0,100.0,0.0,4,2.0,11.8
Parris Campbell,IND,WR,7,4,34,0,0.0,0,100.0,4,0,2,50.0,100.0,0.0,25,6.3,73.5
Alex Erickson,CIN,WR,16,5,33,0,0.0,0,100.0,5,1,2,40.0,80.0,0.0,13,2.6,39.4
Teddy Bridgewater,NO,QB,9,28,31,0,69.2,18,30.8,8,14,4,14.3,50.0,0.0,43,1.5,138.7
David Blough,DET,QB,5,8,31,0,40.0,2,60.0,3,2,2,25.0,75.0,0.0,10,1.3,32.3
Deonte Harris,NO,WR,14,4,31,0,0.0,0,100.0,4,0,1,25.0,100.0,0.0,4,1.0,12.9
Jay Ajayi,PHI,RB,3,10,30,0,71.4,5,28.6,2,2,4,40.0,80.0,0.0,23,2.3,76.7
Paul Perkins,DET,RB,4,12,29,0,83.3,5,16.7,1,2,2,16.7,83.3,0.0,9,0.8,31.0
Philip Rivers,LAC,QB,16,12,29,0,70.0,7,30.0,3,6,0,0.0,50.0,0.0,2,0.2,6.9
Robert Foster,BUF,WR,13,2,29,0,0.0,0,100.0,2,0,0,0.0,100.0,0.0,3,1.5,10.3
Kenjon Barner,ATL,RB,14,4,28,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,6,1.5,21.4
Julian Edelman,NE,WR,16,8,27,0,0.0,0,100.0,8,2,0,0.0,75.0,0.0,9,1.1,33.3
Mike Davis,CHI/CAR,RB,12,13,27,0,100.0,9,0.0,0,4,0,0.0,69.2,0.0,16,1.2,59.3
Derek Carrier,OAK,TE,16,1,27,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Dede Westbrook,JAX,WR,15,5,27,0,0.0,0,100.0,5,0,2,40.0,100.0,0.0,16,3.2,59.3
Devine Ozigbo,JAX,RB,10,9,27,0,37.5,3,62.5,5,2,0,0.0,77.8,0.0,12,1.3,44.4
Dalyn Dawkins,TEN,RB,2,11,26,0,50.0,1,50.0,1,4,0,0.0,63.6,0.0,13,1.2,50.0
David Moore,SEA,WR,14,3,25,0,0.0,0,100.0,3,0,2,66.7,100.0,0.0,15,5.0,60.0
Josh Reynolds,LAR,WR,16,5,23,0,0.0,0,100.0,5,2,0,0.0,60.0,0.0,5,1.0,21.7
Tyreek Hill,KC,WR,12,8,23,0,0.0,0,100.0,8,1,2,25.0,87.5,0.0,12,1.5,52.2
Tyler Boyd,CIN,WR,16,4,23,0,0.0,0,100.0,4,0,0,0.0,100.0,0.0,13,3.3,56.5
Nick Foles,JAX,QB,4,4,23,0,66.7,2,33.3,1,0,0,0.0,100.0,0.0,4,1.0,17.4
George Kittle,SF,TE,14,5,22,0,0.0,0,100.0,5,2,2,40.0,60.0,0.0,16,3.2,72.7
Will Grier,CAR,QB,2,7,22,0,66.7,2,33.3,1,2,1,14.3,71.4,0.0,2,0.3,9.1
Allen Lazard,GB,WR,16,1,21,0,0.0,0,100.0,1,0,1,100.0,100.0,0.0,5,5.0,23.8
D'Ernest Johnson,CLE,RB,16,4,21,0,0.0,0,100.0,2,1,0,0.0,75.0,0.0,18,4.5,85.7
Phillip Dorsett,NE,WR,14,3,21,0,0.0,0,100.0,3,0,0,0.0,100.0,0.0,0,0.0,0.0
Wes Hills,DET,RB,1,10,21,2,50.0,2,50.0,2,3,2,20.0,70.0,0.2,26,2.6,123.8
Bennie Fowler,NYG,WR,8,1,20,0,0.0,0,100.0,1,0,1,100.0,100.0,0.0,22,22.0,110.0
Taylor Gabriel,CHI,WR,9,3,20,0,0.0,0,100.0,3,1,0,0.0,66.7,0.0,7,2.3,35.0
Zach Line,NO,FB,12,7,20,0,100.0,7,0.0,0,1,2,28.6,85.7,0.0,14,2.0,70.0
Joe Flacco,DEN,QB,8,12,20,0,70.0,7,30.0,3,5,1,8.3,58.3,0.0,6,0.5,30.0
DJ Chark,JAX,WR,15,2,20,0,0.0,0,100.0,2,1,1,50.0,50.0,0.0,21,10.5,105.0
Troymaine Pope,LAC,RB,14,10,20,0,0.0,0,100.0,1,4,1,10.0,60.0,0.0,8,0.8,40.0
Chester Rogers,IND,WR,12,1,18,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,2,2.0,11.1
Ted Ginn,NO,WR,16,3,18,0,0.0,0,100.0,3,0,0,0.0,100.0,0.0,2,0.7,11.1
DeAndre Hopkins,HOU,WR,15,2,18,0,0.0,0,100.0,1,0,1,50.0,100.0,0.0,5,2.5,27.8
C.J. Ham,MIN,FB,16,7,17,0,100.0,5,0.0,0,3,2,28.6,57.1,0.0,16,2.3,94.1
Dare Ogunbowale,TB,RB,16,11,17,2,90.0,9,10.0,1,6,2,18.2,45.5,0.2,15,1.4,88.2
Courtland Sutton,DEN,WR,16,3,17,0,0.0,0,100.0,3,0,0,0.0,100.0,0.0,6,2.0,35.3
Alec Ingold,OAK,FB,16,10,17,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Mecole Hardman,KC,WR,16,4,17,0,0.0,0,100.0,4,1,2,50.0,75.0,0.0,2,0.5,11.8
Scotty Miller,TB,WR,10,2,16,0,0.0,0,100.0,2,1,0,0.0,50.0,0.0,15,7.5,93.8
Zach Pascal,IND,WR,16,2,16,0,0.0,0,100.0,2,0,0,0.0,100.0,0.0,3,1.5,18.8
Samaje Perine,MIA,RB,1,5,16,0,100.0,2,0.0,0,1,0,0.0,80.0,0.0,11,2.2,68.8
Keenan Allen,LAC,WR,16,3,16,0,0.0,0,100.0,3,1,1,33.3,66.7,0.0,25,8.3,156.3
Golden Tate,NYG,WR,11,1,16,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,5,5.0,31.3
Breshad Perriman,TB,WR,14,2,16,0,0.0,0,100.0,2,0,0,0.0,100.0,0.0,3,1.5,18.8
Marquise Goodwin,SF,WR,9,1,15,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Andy Isabella,ARI,WR,15,4,15,0,0.0,0,100.0,4,1,0,0.0,75.0,0.0,4,1.0,26.7
Colt McCoy,WAS,QB,1,2,14,0,0.0,0,100.0,2,0,1,50.0,100.0,0.0,11,5.5,78.6
Keke Coutee,HOU,WR,9,2,14,1,0.0,0,100.0,2,0,0,0.0,100.0,0.5,0,0.0,0.0
Josh Rosen,MIA,QB,6,3,13,0,50.0,1,50.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Josh Adams,NYJ,RB,3,8,12,0,60.0,3,40.0,2,3,0,0.0,62.5,0.0,7,0.9,58.3
Russell Gage,ATL,WR,16,4,12,0,0.0,0,100.0,4,1,3,75.0,75.0,0.0,13,3.3,108.3
Case Keenum,WAS,QB,10,9,12,1,75.0,6,25.0,2,5,0,0.0,44.4,0.1,1,0.1,8.3
Sammy Watkins,KC,WR,14,2,12,0,0.0,0,100.0,2,0,0,0.0,100.0,0.0,2,1.0,16.7
Damien Harris,NE,RB,2,4,12,0,66.7,2,33.3,1,2,0,0.0,50.0,0.0,3,0.8,25.0
Dexter Williams,GB,RB,4,5,11,0,66.7,2,33.3,1,2,0,0.0,60.0,0.0,5,1.0,45.5
Mohamed Sanu,ATL/NE,WR,15,3,11,0,0.0,0,100.0,2,0,0,0.0,100.0,0.0,4,1.3,36.4
Randall Cobb,DAL,WR,15,3,11,0,0.0,0,100.0,3,1,0,0.0,66.7,0.0,9,3.0,81.8
