,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Name,Team,Pos,G,REC,YDS,YPC,YDS/G,TD,TAR,YPT,20+,40+,100+,150+,200+,TOT,LOST
Kendrick Bourne,SF,WR,1,3,33,11.0,33.0,0,6,5.0,1,0,0,0,0,0,0
Jimmy Graham,CHI,TE,1,4,33,8.0,33.0,0,5,6.0,0,0,0,0,0,0,0
Julio Jones,ATL,WR,1,4,32,8.0,32.0,0,4,8.0,0,0,0,0,0,0,0
Cole Beasley,BUF,WR,1,3,32,10.0,32.0,1,4,8.0,0,0,0,0,0,0,0
Zay Jones,LV,WR,1,4,32,8.0,32.0,0,6,5.0,0,0,0,0,0,0,0
Freddie Swain,SEA,WR,1,2,32,16.0,32.0,0,3,10.0,1,0,0,0,0,0,0
James Robinson,JAX,RB,1,4,32,8.0,32.0,0,4,8.0,0,0,0,0,0,0,0
Jesse James,DET,TE,1,1,31,31.0,31.0,0,2,15.0,1,0,0,0,0,0,0
Joe Mixon,CIN,RB,1,6,30,5.0,30.0,1,6,5.0,0,0,0,0,0,0,0
Durham Smythe,MIA,TE,1,2,30,15.0,30.0,0,2,15.0,0,0,0,0,0,0,0
David Montgomery,CHI,RB,1,3,30,10.0,30.0,0,6,5.0,0,0,0,0,0,0,0
Miles Sanders,PHI,RB,1,2,30,15.0,30.0,0,4,7.0,1,0,0,0,0,0,0
D'Andre Swift,DET,RB,1,4,30,7.0,30.0,1,4,7.0,0,0,0,0,0,0,0
Michael Gallup,DAL,WR,1,2,29,14.0,29.0,0,5,5.0,0,0,0,0,0,0,0
Alec Ingold,LV,FB,1,2,29,14.0,29.0,0,2,14.0,0,0,0,0,0,0,0
T.Y. Hilton,IND,WR,1,3,29,9.0,29.0,0,5,5.0,0,0,0,0,0,0,0
Rob Gronkowski,TB,TE,1,1,29,29.0,29.0,0,3,9.0,1,0,0,0,0,0,0
Dontrelle Inman,WAS,WR,1,4,29,7.0,29.0,0,5,5.0,0,0,0,0,0,0,0
David Johnson,HOU,RB,1,2,29,14.0,29.0,0,3,9.0,0,0,0,0,0,0,0
Miles Boykin,BAL,WR,1,2,28,14.0,28.0,0,4,7.0,0,0,0,0,0,0,0
Mecole Hardman,KC,WR,1,4,27,6.0,27.0,1,4,6.0,0,0,0,0,0,0,0
Clyde Edwards-Helaire,KC,RB,1,3,27,9.0,27.0,0,3,9.0,0,0,0,0,0,0,0
Kyle Rudolph,MIN,TE,1,2,27,13.0,27.0,0,2,13.0,0,0,0,0,0,0,0
Marcus Johnson,IND,WR,1,1,27,27.0,27.0,0,1,27.0,1,0,0,0,0,0,0
Mike Davis,CAR,RB,1,5,27,5.0,27.0,0,6,4.0,1,0,0,0,0,0,0
James O'Shaughnessy,JAX,TE,1,1,26,26.0,26.0,0,2,13.0,1,0,0,0,0,0,0
Gabriel Davis,BUF,WR,1,1,26,26.0,26.0,1,1,26.0,1,0,0,0,0,0,0
Joshua Kelley,LAC,RB,1,3,26,8.0,26.0,0,3,8.0,0,0,0,0,0,1,1
Josh Reynolds,LAR,WR,1,3,25,8.0,25.0,0,4,6.0,0,0,0,0,0,1,0
Josh Jacobs,LV,RB,1,3,25,8.0,25.0,0,4,6.0,0,0,0,0,0,0,0
Chase Edmonds,ARI,RB,1,5,24,4.0,24.0,1,6,4.0,0,0,0,0,0,0,0
Ito Smith,ATL,RB,1,3,24,8.0,24.0,0,3,8.0,0,0,0,0,0,0,0
Blake Bell,DAL,TE,1,2,24,12.0,24.0,0,2,12.0,0,0,0,0,0,0,0
Cethan Carter,CIN,TE,1,1,24,24.0,24.0,0,1,24.0,1,0,0,0,0,0,0
Chris Hogan,NYJ,WR,1,4,23,5.0,23.0,0,8,2.0,0,0,0,0,0,0,0
Tyler Eifert,JAX,TE,1,2,22,11.0,22.0,0,6,3.0,0,0,0,0,0,0,0
Russell Gage,ATL,WR,1,2,22,11.0,22.0,0,3,7.0,0,0,0,0,0,0,0
Ke'Shawn Vaughn,TB,RB,1,2,22,11.0,22.0,1,3,7.0,0,0,0,0,0,0,0
Myles Gaskin,MIA,RB,1,3,22,7.0,22.0,0,4,5.0,0,0,0,0,0,0,0
John Hightower,PHI,WR,1,2,22,11.0,22.0,0,2,11.0,0,0,0,0,0,0,0
Devin Singletary,BUF,RB,1,5,21,4.0,21.0,0,6,3.0,0,0,0,0,0,0,0
N'Keal Harry,NE,WR,1,3,21,7.0,21.0,1,6,3.0,0,0,0,0,0,0,0
Darrius Shepherd,GB,WR,1,2,21,10.0,21.0,0,3,7.0,0,0,0,0,0,0,0
