,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
Tyler Higbee,LAR,TE,1,4,3,20,15,3.8,0.3,10,75.0,0.0,8.2,12.5,11,3.7,52.4,0,0
Golden Tate,NYG,WR,1,6,4,20,16,2.7,0.3,1,66.7,16.7,8.0,16.7,19,4.8,95.0,0,0
Willie Snead,BAL,WR,1,2,2,20,20,10.0,0.6,20,100.0,0.0,5.7,8.7,0,0.0,0.0,0,0
Chris Carson,SEA,RB,1,4,3,20,-3,-0.8,-0.1,0,75.0,0.0,-1.0,12.1,20,6.7,100.0,0,0
Isaiah Wright,WAS,WR,1,5,4,20,4,0.8,0.1,-1,80.0,0.0,1.8,11.4,21,5.3,105.0,0,0
Malik Taylor,GB,WR,1,1,1,20,1,1.0,0.0,1,100.0,0.0,0.4,3.0,19,19.0,95.0,0,0
Christian Kirk,ARI,WR,1,5,3,19,53,10.6,1.5,15,60.0,0.0,26.4,16.1,4,1.3,21.1,1,0
Donald Parham,LAC,TE,1,1,1,19,19,19.0,19.0,19,100.0,0.0,10.1,4.0,0,0.0,0.0,0,0
Latavius Murray,NO,RB,1,2,1,19,4,2.0,0.1,1,50.0,50.0,1.7,8.0,18,18.0,94.7,0,0
Malcolm Brown,LAR,RB,1,6,5,19,8,1.3,0.2,2,83.3,0.0,4.3,18.8,17,3.4,89.5,0,0
Jason Witten,LV,TE,1,2,2,18,18,9.0,0.9,18,100.0,0.0,7.0,4.7,0,0.0,0.0,0,0
Isaiah McKenzie,BUF,WR,1,1,1,18,3,3.0,0.1,3,100.0,0.0,1.5,3.1,15,15.0,83.3,0,0
Reggie Bonnafon,CAR,RB,1,2,2,18,-3,-1.5,-0.1,-3,100.0,0.0,-1.3,5.6,21,10.5,116.7,0,0
Brandon Aiyuk,SF,WR,1,5,2,18,26,5.2,0.4,18,40.0,20.0,10.5,11.9,0,0.0,0.0,0,0
Cam Sims,WAS,WR,1,2,2,17,8,4.0,2.0,8,100.0,0.0,3.7,4.5,9,4.5,52.9,0,0
Ronald Jones,TB,RB,1,9,6,17,-11,-1.2,-0.2,-16,66.7,22.2,-2.6,20.0,33,5.5,194.1,0,0
Chris Manhertz,CAR,TE,1,1,1,17,3,3.0,0.1,3,100.0,0.0,1.3,2.8,14,14.0,82.4,1,0
Trey Burton,IND,TE,1,5,2,16,28,5.6,0.8,7,40.0,20.0,11.9,17.9,9,4.5,56.3,0,0
Anthony Miller,CHI,WR,1,5,3,16,35,7.0,0.8,11,60.0,0.0,9.9,11.9,5,1.7,31.3,0,0
Jordan Wilkins,IND,RB,1,1,1,16,2,2.0,0.2,2,100.0,0.0,0.9,3.6,14,14.0,87.5,0,0
Tony Pollard,DAL,RB,1,2,1,16,-2,-1.0,-0.1,-5,50.0,50.0,-0.4,3.4,21,21.0,131.3,0,0
Dawson Knox,BUF,TE,1,3,2,16,-3,-1.0,-0.1,-2,66.7,0.0,-1.5,9.4,18,9.0,112.5,0,0
Dalvin Cook,MIN,RB,1,2,2,16,-10,-5.0,-0.2,-10,100.0,0.0,-3.6,9.1,26,13.0,162.5,0,0
Darrell Henderson,LAR,RB,1,1,1,16,-3,-3.0,-0.1,-3,100.0,0.0,-1.6,3.1,19,19.0,118.8,0,0
Marquez Callaway,NO,WR,1,1,1,16,11,11.0,0.7,11,100.0,0.0,4.7,4.0,5,5.0,31.3,0,0
DeeJay Dallas,SEA,RB,1,2,2,15,3,1.5,0.3,3,100.0,0.0,1.0,6.1,12,6.0,80.0,0,0
Mike Gesicki,MIA,TE,1,3,1,15,41,13.7,0.9,15,33.3,0.0,13.0,6.7,0,0.0,0.0,0,0
Will Dissly,SEA,TE,1,2,2,15,7,3.5,0.3,7,100.0,0.0,2.3,6.1,8,4.0,53.3,0,0
Auden Tate,CIN,WR,1,1,1,15,13,13.0,0.6,13,100.0,0.0,3.4,2.9,2,2.0,13.3,1,0
