,,,,Receiving,,,,Red Zone Targets,,,
Kenny Golladay,DET,WR,1,4,62,1,8,2,0,0,28.57
Keenan Allen,LAC,WR,1,8,62,0,11,0,0,0,0.00
Jerry Jeudy,DEN,WR,1,2,61,1,4,1,0,0,25.00
Zach Pascal,IND,WR,1,3,58,0,8,2,1,1,33.33
Mark Andrews,BAL,TE,1,3,57,2,3,0,0,0,0.00
Travis Fulgham,PHI,WR,1,2,57,1,3,1,0,0,100.00
Hunter Renfrow,LV,WR,1,5,57,0,8,1,0,0,11.11
Danny Amendola,DET,WR,1,2,57,0,3,0,0,0,0.00
Tre'Quan Smith,NO,WR,1,4,54,2,4,2,1,1,50.00
Tyron Johnson,LAC,WR,1,1,53,1,1,0,0,0,0.00
Darnell Mooney,CHI,WR,1,5,52,0,9,0,0,0,0.00
Hayden Hurst,ATL,TE,1,4,51,0,6,0,0,0,0.00
Curtis Samuel,CAR,WR,1,3,51,0,4,0,0,0,0.00
O.J. Howard,TB,TE,1,3,50,1,6,0,0,0,0.00
D.J. Moore,CAR,WR,1,4,49,0,6,0,0,0,0.00
Jarvis Landry,CLE,WR,1,5,48,0,6,1,0,0,33.33
Isaiah Ford,MIA,WR,1,4,48,0,10,1,0,0,25.00
Darius Slayton,NYG,WR,1,3,48,0,7,2,1,0,28.57
Christian Blake,ATL,WR,1,3,47,0,5,0,0,0,0.00
Drew Sample,CIN,TE,1,3,47,0,5,3,2,1,60.00
Jordan Akins,HOU,TE,1,3,46,0,3,0,0,0,0.00
Keelan Cole,JAX,WR,1,4,46,0,5,0,0,0,0.00
Marquez Valdes-Scantling,GB,WR,1,4,45,0,8,1,0,0,20.00
Nelson Agholor,LV,WR,1,4,44,1,4,1,1,0,11.11
Chris Conley,JAX,WR,1,3,44,0,4,1,1,1,20.00
Jerick McKinnon,SF,RB,1,7,43,0,8,0,0,0,0.00
Sammy Watkins,KC,WR,1,4,43,0,7,1,1,1,16.67
Noah Brown,DAL,WR,1,4,43,0,4,1,0,0,14.29
John Brown,BUF,WR,1,4,42,0,5,1,0,0,25.00
DeAndre Hopkins,ARI,WR,1,7,41,0,9,1,0,0,14.29
Aaron Jones,GB,RB,1,5,40,1,5,1,1,0,20.00
J.D. McKissic,WAS,RB,1,7,40,0,8,0,0,0,0.00
Justin Watson,TB,WR,1,4,40,0,6,0,0,0,0.00
Kenny Stills,HOU,WR,1,2,39,1,4,0,0,0,0.00
Matt Breida,MIA,RB,1,3,39,0,3,0,0,0,0.00
Tyler Lockett,SEA,WR,1,2,39,0,4,0,0,0,0.00
Dan Arnold,ARI,TE,1,4,39,0,4,1,0,0,14.29
Hunter Henry,LAC,TE,1,2,39,0,4,0,0,0,0.00
James White,NE,RB,1,7,38,0,8,1,1,0,33.33
Greg Ward,PHI,WR,1,4,38,0,7,0,0,0,0.00
Harrison Bryant,CLE,TE,1,4,37,0,4,0,0,0,0.00
Alvin Kamara,NO,RB,1,3,36,0,4,1,1,1,25.00
Robert Woods,LAR,WR,1,6,36,0,7,1,0,0,33.33
Jakeem Grant,MIA,WR,1,3,36,0,5,0,0,0,0.00
Randall Cobb,HOU,WR,1,2,36,0,5,1,1,0,25.00
Devonta Freeman,NYG,RB,1,4,35,0,4,2,1,0,28.57
Deebo Samuel,SF,WR,1,3,35,0,3,0,0,0,0.00
Richard Rodgers,PHI,TE,1,3,35,0,4,0,0,0,0.00
Evan Engram,NYG,TE,1,6,35,0,10,1,0,0,14.29
Julian Edelman,NE,WR,1,3,35,0,6,0,0,0,0.00
Greg Olsen,SEA,TE,1,5,35,0,7,3,2,0,37.50
Noah Fant,DEN,TE,1,5,35,0,6,1,0,0,25.00
Austin Hooper,CLE,TE,1,5,34,1,7,1,1,1,33.33
Cedrick Wilson,DAL,WR,1,3,34,0,6,0,0,0,0.00
Damion Ratley,NYG,WR,1,3,34,0,4,1,0,0,14.29
Kendrick Bourne,SF,WR,1,3,33,0,6,1,1,1,16.67
Jimmy Graham,CHI,TE,1,4,33,0,5,0,0,0,0.00
James Robinson,JAX,RB,1,4,32,0,4,0,0,0,0.00
Cole Beasley,BUF,WR,1,3,32,1,4,1,0,0,25.00
Zay Jones,LV,WR,1,4,32,0,6,0,0,0,0.00
Julio Jones,ATL,WR,1,4,32,0,4,0,0,0,0.00
Freddie Swain,SEA,WR,1,2,32,0,3,1,1,0,12.50
Jesse James,DET,TE,1,1,31,0,2,1,0,0,14.29
Joe Mixon,CIN,RB,1,6,30,1,6,2,1,0,40.00
D'Andre Swift,DET,RB,1,4,30,1,4,2,1,0,28.57
Miles Sanders,PHI,RB,1,2,30,0,4,0,0,0,0.00
David Montgomery,CHI,RB,1,3,30,0,6,1,0,0,33.33
Durham Smythe,MIA,TE,1,2,30,0,2,0,0,0,0.00
David Johnson,HOU,RB,1,2,29,0,3,1,0,0,25.00
Michael Gallup,DAL,WR,1,2,29,0,5,0,0,0,0.00
T.Y. Hilton,IND,WR,1,3,29,0,5,1,0,0,16.67
Rob Gronkowski,TB,TE,1,1,29,0,3,1,1,0,14.29
Dontrelle Inman,WAS,WR,1,4,29,0,5,0,0,0,0.00
Alec Ingold,LV,FB,1,2,29,0,2,0,0,0,0.00
Miles Boykin,BAL,WR,1,2,28,0,4,0,0,0,0.00
Mike Davis,CAR,RB,1,5,27,0,6,2,1,0,33.33
Clyde Edwards-Helaire,KC,RB,1,3,27,0,3,1,0,0,16.67
Mecole Hardman,KC,WR,1,4,27,1,4,1,1,0,16.67
Kyle Rudolph,MIN,TE,1,2,27,0,2,0,0,0,0.00
Marcus Johnson,IND,WR,1,1,27,0,1,0,0,0,0.00
Gabriel Davis,BUF,WR,1,1,26,1,1,0,0,0,0.00
Joshua Kelley,LAC,RB,1,3,26,0,3,0,0,0,0.00
James O'Shaughnessy,JAX,TE,1,1,26,0,2,0,0,0,0.00
Josh Jacobs,LV,RB,1,3,25,0,4,1,0,0,11.11
Josh Reynolds,LAR,WR,1,3,25,0,4,0,0,0,0.00
Chase Edmonds,ARI,RB,1,5,24,1,6,2,1,1,28.57
Ito Smith,ATL,RB,1,3,24,0,3,0,0,0,0.00
Blake Bell,DAL,TE,1,2,24,0,2,0,0,0,0.00
Cethan Carter,CIN,TE,1,1,24,0,1,0,0,0,0.00
Chris Hogan,NYJ,WR,1,4,23,0,8,3,1,0,60.00
Ke'Shawn Vaughn,TB,RB,1,2,22,1,3,2,2,0,28.57
Myles Gaskin,MIA,RB,1,3,22,0,4,1,0,0,25.00
John Hightower,PHI,WR,1,2,22,0,2,0,0,0,0.00
Tyler Eifert,JAX,TE,1,2,22,0,6,1,0,0,20.00
Russell Gage,ATL,WR,1,2,22,0,3,2,1,1,50.00
Devin Singletary,BUF,RB,1,5,21,0,6,0,0,0,0.00
N'Keal Harry,NE,WR,1,3,21,1,6,2,2,2,66.67
Duke Johnson,HOU,RB,1,3,21,0,4,1,1,0,25.00
Darren Fells,HOU,TE,1,2,21,0,2,0,0,0,0.00
Darrius Shepherd,GB,WR,1,2,21,0,3,1,1,1,20.00
Chris Carson,SEA,RB,1,3,20,0,4,1,1,0,12.50
Isaiah Wright,WAS,WR,1,4,20,0,5,1,0,0,100.00
Willie Snead,BAL,WR,1,2,20,0,2,0,0,0,0.00
Tyler Higbee,LAR,TE,1,3,20,0,4,1,0,0,33.33
Malik Taylor,GB,WR,1,1,20,0,1,0,0,0,0.00
Golden Tate,NYG,WR,1,4,20,0,6,0,0,0,0.00
Latavius Murray,NO,RB,1,1,19,0,2,1,0,0,25.00
Christian Kirk,ARI,WR,1,3,19,1,5,2,1,1,28.57
Donald Parham,LAC,TE,1,1,19,1,1,1,0,0,100.00
Malcolm Brown,LAR,RB,1,5,19,0,6,1,0,0,33.33
Reggie Bonnafon,CAR,RB,1,2,18,1,2,1,1,1,16.67
Brandon Aiyuk,SF,WR,1,2,18,0,5,2,1,1,33.33
Jason Witten,LV,TE,1,2,18,1,2,1,1,1,11.11
Isaiah McKenzie,BUF,WR,1,1,18,0,1,0,0,0,0.00
Ronald Jones,TB,RB,1,6,17,0,9,1,1,1,14.29
Cam Sims,WAS,WR,1,2,17,0,2,0,0,0,0.00
Chris Manhertz,CAR,TE,1,1,17,0,1,0,0,0,0.00
Dalvin Cook,MIN,RB,1,2,16,0,2,0,0,0,0.00
Tony Pollard,DAL,RB,1,1,16,0,2,0,0,0,0.00
Darrell Henderson,LAR,RB,1,1,16,0,1,0,0,0,0.00
Jordan Wilkins,IND,RB,1,1,16,0,1,0,0,0,0.00
Dawson Knox,BUF,TE,1,2,16,0,3,2,0,0,50.00
Anthony Miller,CHI,WR,1,3,16,0,5,0,0,0,0.00
Trey Burton,IND,TE,1,2,16,0,5,0,0,0,0.00
Marquez Callaway,NO,WR,1,1,16,0,1,0,0,0,0.00
DeeJay Dallas,SEA,RB,1,2,15,0,2,0,0,0,0.00
Will Dissly,SEA,TE,1,2,15,0,2,0,0,0,0.00
Mike Gesicki,MIA,TE,1,1,15,0,3,1,0,0,25.00
Preston Williams,MIA,WR,1,1,15,0,3,1,1,0,25.00
Auden Tate,CIN,WR,1,1,15,0,1,0,0,0,0.00
Mo Alie-Cox,IND,TE,1,1,13,1,2,2,1,1,33.33
Brian Hill,ATL,RB,1,2,13,0,2,1,0,0,25.00
Jeff Wilson,SF,RB,1,1,13,0,1,0,0,0,0.00
Kyle Juszczyk,SF,FB,1,1,13,0,2,0,0,0,0.00
Justin Jackson,LAC,RB,1,2,12,0,2,0,0,0,0.00
Jack Doyle,IND,TE,1,1,12,0,1,1,0,0,16.67
Tyler Kroft,BUF,TE,1,1,12,0,3,0,0,0,0.00
Melvin Gordon,DEN,RB,1,2,11,0,3,0,0,0,0.00
Jonathan Taylor,IND,RB,1,1,11,0,1,0,0,0,0.00
Ted Ginn,CHI,WR,1,2,11,0,2,0,0,0,0.00
Kalen Ballage,NYJ,RB,1,2,11,0,3,1,0,0,20.00
Chris Herndon,NYJ,TE,1,1,11,0,3,0,0,0,0.00
Gunner Olszewski,NE,WR,1,1,11,0,1,0,0,0,0.00
Gerald Everett,LAR,TE,1,1,10,0,1,0,0,0,0.00
Deonte Harris,NO,WR,1,1,10,0,2,0,0,0,0.00
Jalen Richard,LV,RB,1,2,10,0,4,2,0,0,22.22
Ryan Griffin,NYJ,TE,1,3,10,0,3,0,0,0,0.00
Kaden Smith,NYG,TE,1,1,10,0,1,0,0,0,0.00
Seth Roberts,CAR,WR,1,1,10,0,1,0,0,0,0.00
T.J. Hockenson,DET,TE,1,2,9,1,4,2,1,1,28.57
Alex Erickson,CIN,WR,1,1,9,0,1,0,0,0,0.00
Nick Boyle,BAL,TE,1,1,9,0,1,0,0,0,0.00
DaeSean Hamilton,DEN,WR,1,1,9,0,3,0,0,0,0.00
Marvin Jones,DET,WR,1,1,9,0,2,0,0,0,0.00
Zach Ertz,PHI,TE,1,4,9,0,5,0,0,0,0.00
Nyheim Hines,IND,RB,1,3,8,0,3,0,0,0,0.00
Dion Lewis,NYG,RB,1,2,8,0,3,1,0,0,14.29
Taysom Hill,NO,QB,1,1,8,0,1,0,0,0,0.00
Logan Thomas,WAS,TE,1,1,8,0,4,0,0,0,0.00
Foster Moreau,LV,TE,1,1,8,0,1,0,0,0,0.00
Tyler Ervin,GB,RB,1,1,8,0,2,0,0,0,0.00
Nick Vannett,DEN,TE,1,1,7,0,2,0,0,0,0.00
Josh Hill,NO,TE,1,1,7,0,1,0,0,0,0.00
Todd Gurley,ATL,RB,1,1,6,0,1,0,0,0,0.00
Frank Gore,NYJ,RB,1,1,6,0,2,1,0,0,20.00
Royce Freeman,DEN,RB,1,2,6,0,2,1,0,0,25.00
Demetrius Harris,CHI,TE,1,1,6,0,2,1,1,0,33.33
Andre Roberts,BUF,WR,1,1,6,0,1,0,0,0,0.00
Ian Thomas,CAR,TE,1,2,5,1,5,2,1,1,33.33
Rex Burkhead,NE,RB,1,1,5,0,1,0,0,0,0.00
Gabe Nabers,LAC,FB,1,1,5,0,1,0,0,0,0.00
Mike Thomas,CIN,WR,1,1,5,0,1,0,0,0,0.00
Johnny Mundt,LAR,TE,1,1,5,0,1,0,0,0,0.00
Deon Yelder,KC,TE,1,1,5,0,1,0,0,0,0.00
Jason Cabinda,DET,FB,1,1,4,0,1,0,0,0,0.00
Devin Duvernay,BAL,WR,1,1,4,0,2,0,0,0,0.00
Keith Smith,ATL,FB,1,1,4,0,1,0,0,0,0.00
Larry Fitzgerald,ARI,WR,1,2,4,0,3,0,0,0,0.00
Mark Ingram,BAL,RB,1,1,3,0,1,0,0,0,0.00
Travis Homer,SEA,RB,1,1,3,1,1,1,1,1,12.50
Jordan Thomas,ARI,TE,1,1,3,1,1,1,1,1,14.29
Cameron Brate,TB,TE,1,1,3,1,1,1,1,1,14.29
Kerryon Johnson,DET,RB,1,1,3,0,1,0,0,0,0.00
Michael Burton,NO,FB,1,1,3,0,1,0,0,0,0.00
LeSean McCoy,TB,RB,1,1,3,0,1,0,0,0,0.00
Andy Isabella,ARI,WR,1,2,3,0,3,0,0,0,0.00
A.J. Green,CIN,WR,1,1,3,0,5,0,0,0,0.00
Chandler Cox,MIA,FB,1,1,3,0,1,0,0,0,0.00
Dontrell Hilliard,CLE,RB,1,1,2,0,1,0,0,0,0.00
Austin Ekeler,LAC,RB,1,1,2,0,1,0,0,0,0.00
Adrian Killins,PHI,RB,1,1,2,0,1,0,0,0,0.00
J.K. Dobbins,BAL,RB,1,1,1,0,2,0,0,0,0.00
Jamal Agnew,DET,WR,1,1,1,0,2,0,0,0,0.00
Adrian Peterson,DET,RB,1,0,0,0,2,0,0,0,0.00
Cordarrelle Patterson,CHI,WR,1,1,0,0,2,0,0,0,0.00
Peyton Barber,WAS,RB,1,0,0,0,1,0,0,0,0.00
C.J. Board,NYG,WR,1,0,0,0,1,0,0,0,0.00
C.J. Ham,MIN,FB,1,0,0,0,1,0,0,0,0.00
Darrel Williams,KC,RB,1,0,0,0,1,0,0,0,0.00
Trent Taylor,SF,WR,1,0,0,0,1,1,0,0,16.67
Kenjon Barner,TB,RB,1,0,0,0,1,0,0,0,0.00
Ryan Izzo,NE,TE,1,0,0,0,3,0,0,0,0.00
Irv Smith,MIN,TE,1,0,0,0,1,1,0,0,33.33
Bisi Johnson,MIN,WR,1,0,0,0,1,0,0,0,0.00
Lawrence Cager,NYJ,WR,1,0,0,0,2,0,0,0,0.00
Braxton Berrios,NYJ,WR,1,0,0,0,3,0,0,0,0.00
T.J. Yeldon,BUF,RB,1,0,0,0,1,0,0,0,0.00
Calvin Ridley,ATL,WR,1,0,0,0,5,1,0,0,25.00
Cole Kmet,CHI,TE,1,0,0,0,1,0,0,0,0.00
Jake Butt,DEN,TE,1,0,0,0,1,0,0,0,0.00
Nick Keizer,KC,TE,1,0,0,0,1,0,0,0,0.00
Van Jefferson,LAR,WR,1,0,0,0,1,0,0,0,0.00
Adam Shaheen,MIA,TE,1,0,0,0,1,0,0,0,0.00
Brandin Cooks,HOU,WR,1,0,0,0,3,0,0,0,0.00
Marvin Hall,DET,WR,1,0,0,0,1,0,0,0,0.00
Daurice Fountain,IND,WR,1,0,0,0,1,0,0,0,0.00
Jordan Howard,MIA,RB,1,1,-3,0,1,0,0,0,0.00
