,,,,Defensive Stats,,,,,,,,,
Jordan Jenkins,NYJ,LB,16,717,32.0,17,49,3.0,1,2,0,0,2
Eli Apple,NYG,CB,11,649,41.0,8,49,0.0,0,2,0,0,8
Xavien Howard,MIA,CB,16,1024,42.0,6,48,1.0,0,0,4,1,13
Bobby McCain,MIA,S,16,668,36.0,12,48,1.0,0,0,2,0,7
Justin Ellis,OAK,DE,16,462,27.0,21,48,0.5,0,0,0,0,0
Prince Amukamara,CHI,CB,14,848,45.0,3,48,0.0,0,1,0,0,7
Korey Toomer,LAC,LB,15,266,30.0,18,48,1.0,2,0,1,1,3
Dominique Rodgers-Cromartie,NYG,CB,15,607,31.0,17,48,0.5,0,0,0,0,1
Ndamukong Suh,MIA,DE,16,883,29.0,19,48,4.5,2,0,0,0,2
Brandon Graham,PHI,DE,15,666,33.0,14,47,9.5,2,1,0,1,2
Patrick Robinson,PHI,CB,16,710,39.0,8,47,1.0,0,0,4,0,18
Gerald McCoy,TB,DT,15,810,33.0,14,47,6.0,0,0,0,0,1
Johnathan Joseph,HOU,CB,16,748,37.0,10,47,0.0,0,0,2,1,9
Nevin Lawson,DET,CB,15,556,40.0,7,47,0.0,1,1,0,1,4
Barkevious Mingo,IND,LB,16,501,35.0,12,47,2.0,3,3,0,0,2
P.J. Williams,NO,CB,16,633,34.0,13,47,0.0,0,0,2,0,9
Damarious Randall,GB,S,14,721,38.0,9,47,0.0,0,1,4,1,9
Leonard Williams,NYJ,DE,16,878,22.0,25,47,2.0,0,0,1,0,1
D.J. Reader,HOU,DT,14,526,23.0,24,47,1.0,0,0,0,0,0
Marcus Peters,KC,CB,14,967,42.0,4,46,0.0,4,2,5,1,9
Carlos Dunlap,CIN,DE,16,877,35.0,11,46,7.5,1,0,1,1,7
Geno Atkins,CIN,DT,16,755,29.0,17,46,9.0,0,0,0,0,0
Steve McLendon,NYJ,DT,16,488,30.0,16,46,1.5,0,0,0,0,0
Muhammad Wilkerson,NYJ,DE,13,699,26.0,20,46,3.5,0,0,1,0,4
Ryan Kerrigan,WAS,DE,16,822,34.0,12,46,13.0,3,0,1,1,1
Byron Maxwell,MIA/SEA,CB,9,584,39.0,7,46,0.0,2,0,1,0,7
Cameron Heyward,PIT,DE,15,787,30.0,15,45,12.0,2,1,0,0,3
Sam Acho,CHI,LB,16,640,29.0,16,45,3.0,1,0,0,0,1
Everson Griffen,MIN,DE,15,795,31.0,14,45,13.0,3,0,0,0,1
Kevin Johnson,HOU,CB,12,581,35.0,10,45,0.0,0,0,0,0,2
Danielle Hunter,MIN,DE,16,775,27.0,18,45,7.0,1,1,0,0,2
T.J. McDonald,MIA,S,8,547,31.0,14,45,0.0,0,0,1,0,3
Aaron Colvin,JAX,CB,16,705,38.0,7,45,0.0,0,1,0,0,5
Jarran Reed,SEA,DT,15,617,23.0,22,45,1.5,1,0,0,0,1
T.J. Green,IND,S,16,378,31.0,14,45,0.0,0,0,0,0,1
Jonathan Jones,NE,CB,16,439,39.0,5,44,1.0,0,0,1,0,8
Reggie Ragland,KC,LB,12,323,31.0,13,44,0.0,0,0,0,0,0
D.J. Hayden,DET,CB,16,488,36.0,8,44,0.5,0,2,0,1,9
Stacy McGee,WAS,DT,16,431,24.0,20,44,0.0,0,0,0,0,1
Eddie Goldman,CHI,DT,15,608,27.0,17,44,1.5,0,1,0,0,0
Jerry Hughes,BUF,DE,16,735,28.0,16,44,4.0,1,0,0,0,0
Al Woods,IND,DT,16,566,20.0,24,44,1.0,0,0,0,0,0
Brian Orakpo,TEN,LB,16,836,30.0,14,44,7.0,3,0,0,0,2
Shareece Wright,BUF,CB,12,455,37.0,7,44,0.0,1,0,1,0,5
Davon House,GB,CB,12,658,37.0,7,44,1.0,0,0,1,0,6
Mario Addison,CAR,DE,16,654,27.0,17,44,11.0,2,0,0,0,1
Johnathan Hankins,IND,DT,15,685,24.0,20,44,2.0,0,0,0,0,3
Sheldon Richardson,SEA,DT,15,655,27.0,17,44,1.0,1,2,1,0,1
Ezekiel Ansah,DET,DE,14,516,39.0,5,44,12.0,1,1,0,0,0
Alex Okafor,NO,DE,10,486,27.0,16,43,4.5,2,0,0,0,4
Morris Claiborne,NYJ,CB,15,921,34.0,9,43,0.0,0,0,1,0,8
Clay Matthews,GB,LB,14,659,27.0,16,43,7.5,1,1,0,0,2
Frank Zombo,KC,LB,16,588,26.0,17,43,1.5,0,1,0,0,0
T.J. Ward,TB,S,12,409,31.0,12,43,0.0,0,1,0,0,3
Dexter McDonald,OAK,CB,15,534,36.0,7,43,0.0,1,0,0,0,7
Justin Coleman,SEA,CB,16,657,32.0,11,43,1.5,0,0,2,2,9
Josh Martin,NYJ,LB,14,491,28.0,15,43,1.5,0,0,0,0,1
John Simon,IND,LB,9,469,28.0,15,43,3.0,0,0,1,1,1
Anthony Zettel,DET,DE,16,753,31.0,12,43,6.5,1,1,0,0,0
Vernon Hargreaves,TB,CB,9,501,37.0,5,42,0.0,0,0,0,0,5
Xavier Woods,DAL,S,16,550,33.0,9,42,0.0,0,1,1,0,3
Bradley Roby,DEN,CB,16,677,35.0,7,42,1.0,1,1,1,0,17
Preston Smith,WAS,LB,16,756,31.0,11,42,8.0,1,1,2,0,3
Vinny Curry,PHI,DE,16,578,25.0,17,42,3.0,1,0,0,0,0
Brooks Reed,ATL,LB,16,412,23.0,18,41,4.0,0,0,0,0,0
Desmond Trufant,ATL,CB,15,902,36.0,5,41,1.0,0,2,2,1,12
Justin Bethel,ARI,S,16,452,29.0,12,41,0.0,0,0,1,1,4
Tramon Williams,ARI,CB,13,670,39.0,2,41,0.0,0,1,2,0,12
Kyle Williams,BUF,DT,16,758,21.0,20,41,3.0,0,1,0,0,2
Kevin Pierre-Louis,KC,LB,14,251,31.0,10,41,0.0,0,0,0,0,2
Steven Nelson,KC,CB,9,514,33.0,8,41,0.0,1,0,0,0,4
Devon Kennard,NYG,LB,15,545,24.0,17,41,4.0,0,1,0,0,2
Aaron Donald,LAR,DE,14,790,32.0,9,41,11.0,5,1,0,0,1
Solomon Thomas,SF,DT,14,704,34.0,7,41,3.0,0,1,0,0,0
Adam Gotsis,DEN,DE,16,558,28.0,13,41,2.0,0,1,0,0,4
Trevon Coley,CLE,DT,15,659,24.0,17,41,2.0,0,1,0,0,2
Davon Godchaux,MIA,DT,15,504,26.0,14,40,0.0,1,0,0,0,1
Chase Allen,MIA,LB,16,225,29.0,11,40,0.0,1,0,0,0,0
Darryl Roberts,NYJ,CB,15,468,37.0,3,40,0.0,0,0,1,0,8
Bud Dupree,PIT,LB,15,799,31.0,9,40,6.0,0,1,0,0,1
Michael Bennett,SEA,DE,16,934,25.0,15,40,8.5,0,0,0,0,1
Malik Jackson,JAX,DT,16,761,31.0,9,40,8.0,4,0,0,0,3
Casey Hayward,LAC,CB,16,1003,33.0,7,40,0.0,1,2,4,0,22
Chris Harris,DEN,CB,16,872,32.0,8,40,0.0,1,0,2,0,7
Dontari Poe,ATL,DT,16,786,23.0,16,39,2.5,0,0,0,0,2
Tyson Alualu,PIT,DE,16,436,25.0,14,39,4.0,0,0,0,0,1
Lardarius Webb,BAL,CB,16,377,37.0,2,39,2.0,1,0,2,0,4
Akeem Spence,DET,DT,16,661,19.0,20,39,3.0,1,0,0,0,0
Briean Boddy-Calhoun,CLE,CB,13,535,29.0,10,39,0.0,0,0,0,0,6
David Onyemata,NO,DT,16,598,18.0,20,38,2.0,0,0,0,0,1
Miles Killebrew,DET,S,16,352,32.0,6,38,0.0,1,0,1,1,5
Josh Hawkins,GB,CB,15,407,28.0,10,38,0.0,1,0,0,0,6
Jordan Evans,CIN,LB,15,314,27.0,11,38,0.0,0,0,0,0,2
Kayvon Webster,LAR,CB,11,550,34.0,4,38,0.0,0,0,1,0,7
Corey Graham,PHI,S,14,370,34.0,4,38,0.0,0,0,2,0,4
Domata Peko,DEN,DT,14,461,24.0,14,38,1.0,0,1,0,0,0
Orlando Scandrick,DAL,CB,11,614,32.0,6,38,0.0,0,0,0,0,3
Nick Perry,GB,LB,12,545,23.0,15,38,7.0,1,1,0,0,0
Allen Bailey,KC,DE,14,626,21.0,17,38,2.0,0,0,0,0,0
Olivier Vernon,NYG,DE,12,701,23.0,14,37,6.5,2,0,1,0,1
Denzel Perryman,LAC,LB,7,274,25.0,12,37,0.0,0,1,0,0,0
Shaquil Barrett,DEN,LB,16,667,31.0,6,37,4.0,2,1,0,0,0
Ben Gedeon,MIN,LB,16,244,23.0,14,37,0.0,0,0,0,0,0
Adrian Colbert,SF,S,14,536,34.0,3,37,0.0,2,1,0,0,5
Haason Reddick,ARI,LB,16,445,23.0,13,36,2.5,2,0,0,0,0
Cory Littleton,LAR,LB,16,279,22.0,14,36,1.0,1,0,1,0,4
Eric Murray,KC,S,14,439,31.0,5,36,1.0,0,0,0,0,5
LeShaun Sims,TEN,CB,13,430,31.0,5,36,0.0,1,0,1,0,3
