,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Kareem Jackson,HOU,S,16,79.0,54.0,19,73,1.0,1,0,1,0
Kyle Van Noy,NE,LB,13,84.0,58.0,15,73,5.5,0,0,0,0
Reuben Foster,SF,LB,10,72.0,59.0,13,72,0.0,0,0,0,0
Josh Jones,GB,S,16,77.0,60.0,11,71,2.0,0,0,1,0
Jeff Heath,DAL,S,15,81.0,63.0,8,71,0.0,2,0,3,0
Andre Hal,HOU,S,16,81.0,47.0,24,71,0.0,2,0,3,0
Derrick Johnson,KC,LB,15,75.0,48.0,23,71,0.0,1,1,0,0
Adoree' Jackson,TEN,CB,16,76.0,61.0,9,70,0.0,3,0,0,0
Joey Bosa,LAC,DE,16,105.0,54.0,16,70,12.5,4,1,0,0
Justin Simmons,DEN,S,13,81.0,50.0,19,69,1.0,0,0,2,1
Tre'Davious White,BUF,CB,16,89.0,53.0,16,69,0.0,1,2,4,1
Mike Adams,CAR,S,16,81.0,48.0,21,69,0.0,2,2,2,0
Tyvon Branch,ARI,S,9,71.0,54.0,15,69,0.0,1,0,0,0
Vontaze Burfict,CIN,LB,10,74.0,48.0,21,69,1.5,1,0,0,0
Adrian Amos,CHI,S,13,83.0,62.0,7,69,0.0,2,1,1,1
Kyle Fuller,CHI,CB,16,73.0,61.0,8,69,0.0,0,0,2,0
Robert Alford,ATL,CB,16,70.0,60.0,8,68,0.0,0,0,1,0
Morgan Burnett,GB,S,12,70.0,48.0,20,68,0.0,1,0,0,0
Jason Pierre-Paul,NYG,LB,16,89.0,48.0,20,68,8.5,2,0,0,0
Linval Joseph,MIN,DT,16,77.0,40.0,28,68,3.5,0,1,0,0
Calais Campbell,JAX,DE,16,110.0,47.0,20,67,14.5,3,1,0,1
Ron Parker,KC,S,15,75.0,58.0,9,67,0.0,0,2,2,0
Eric Reid,SF,S,13,73.0,53.0,14,67,0.0,0,1,2,0
Elandon Roberts,NE,LB,15,73.0,45.0,22,67,2.0,0,1,0,0
Trae Waynes,MIN,CB,16,71.0,57.0,8,65,1.0,0,0,2,0
Trumaine Johnson,LAR,CB,16,79.0,57.0,8,65,0.0,1,1,2,1
Jason McCourty,CLE,CB,14,81.0,54.0,11,65,0.0,2,0,3,1
Josh Norman,WAS,CB,14,70.0,47.0,17,64,0.0,2,1,0,0
Tashaun Gipson,JAX,S,16,74.0,53.0,11,64,0.0,0,1,4,0
Brock Coyle,SF,LB,16,67.0,38.0,26,64,0.5,1,0,0,0
Ray-Ray Armstrong,NYG/SF,LB,15,74.0,44.0,20,64,1.0,2,0,2,0
Jalen Mills,PHI,S,15,76.0,51.0,13,64,0.0,0,0,3,1
Daryl Worley,CAR,CB,15,70.0,50.0,14,64,1.0,0,0,2,0
Mike Hilton,PIT,CB,16,78.0,48.0,16,64,4.0,1,0,2,0
Jalen Ramsey,JAX,CB,16,71.0,52.0,11,63,0.0,0,0,4,0
Brian Poole,ATL,CB,15,65.0,49.0,14,63,1.0,0,0,0,0
Adrian Phillips,LAC,S,15,69.0,50.0,13,63,0.0,1,0,2,0
Buster Skrine,NYJ,CB,15,75.0,56.0,7,63,1.0,2,2,1,0
Darian Stewart,DEN,S,16,69.0,52.0,11,63,0.0,0,0,3,0
Eric Weddle,BAL,S,16,89.0,49.0,14,63,1.0,2,1,6,1
Cameron Jordan,NO,DE,16,100.0,48.0,14,62,13.0,2,0,1,1
Jamar Taylor,CLE,CB,16,65.0,48.0,14,62,0.5,1,0,0,0
Logan Ryan,TEN,S,15,64.0,50.0,12,62,0.0,1,0,0,0
Trey Flowers,NE,DE,14,79.0,45.0,17,62,6.5,2,0,0,0
Deshazor Everett,WAS,S,14,64.0,41.0,21,62,0.0,1,0,0,0
Manti Te'o,NO,LB,16,64.0,42.0,20,62,0.0,0,1,0,0
Shaq Thompson,CAR,LB,14,67.0,41.0,20,61,2.0,1,0,0,0
Paul Posluszny,JAX,LB,16,64.0,43.0,18,61,1.5,0,0,0,0
Matt Judon,BAL,LB,16,83.0,51.0,10,61,8.0,2,1,0,0
DeForest Buckner,SF,DT,16,69.0,45.0,16,61,3.0,1,0,0,0
Calvin Munson,NYG,LB,14,66.0,36.0,24,60,2.0,1,0,0,0
Nicholas Morrow,OAK,LB,16,60.0,40.0,20,60,0.0,0,0,0,0
Darius Slay,DET,CB,16,78.0,54.0,6,60,0.0,0,1,8,0
Jurrell Casey,TEN,DE,16,74.0,41.0,19,60,6.0,1,0,0,0
Malcolm Butler,NE,CB,16,72.0,55.0,5,60,1.0,3,0,2,0
Kenny Vaccaro,NO,S,12,77.0,48.0,12,60,1.5,0,1,3,1
Jadeveon Clowney,HOU,DE,16,92.0,41.0,18,59,9.5,2,2,0,1
E.J. Gaines,BUF,CB,11,67.0,48.0,11,59,0.0,3,0,1,0
Zach Vigil,WAS,LB,7,61.0,41.0,18,59,0.0,0,1,0,0
Justin Houston,KC,DE,15,86.0,46.0,13,59,9.5,0,1,0,1
Chandler Jones,ARI,LB,16,97.0,52.0,7,59,17.0,2,0,0,0
Shaquill Griffin,SEA,CB,15,63.0,50.0,9,59,1.0,0,0,1,0
Jabrill Peppers,CLE,S,13,60.0,45.0,13,58,0.0,0,0,1,0
Lawrence Guy,NE,DT,16,60.0,34.0,24,58,1.0,0,0,0,0
Bruce Irvin,OAK,LB,16,82.0,38.0,20,58,8.0,4,0,0,0
DeMarcus Lawrence,DAL,DE,16,99.0,35.0,23,58,14.5,4,2,0,0
Johnathan Cyprien,TEN,S,10,59.0,38.0,19,57,1.0,0,0,0,0
Von Miller,DEN,LB,16,83.0,51.0,6,57,10.0,2,1,0,0
Antoine Bethea,ARI,S,15,71.0,47.0,10,57,1.0,1,0,5,0
Derrick Kindred,CLE,S,14,59.0,43.0,14,57,0.0,0,0,1,0
Clayton Fejedelem,CIN,S,16,59.0,34.0,23,57,0.0,0,0,1,0
Cory James,OAK,LB,10,58.0,42.0,14,56,0.0,1,0,0,0
Anthony Brown,DAL,CB,16,64.0,47.0,9,56,1.0,1,0,2,0
Trevor Williams,LAC,CB,16,60.0,48.0,8,56,0.0,0,0,2,0
Brandon Carr,BAL,CB,16,64.0,50.0,6,56,0.0,0,0,4,0
Marcus Gilchrist,HOU,S,16,62.0,45.0,11,56,1.0,1,0,1,0
Melvin Ingram,LAC,DE,16,89.0,43.0,13,56,10.5,1,2,0,1
Xavier Rhodes,MIN,CB,16,60.0,44.0,12,56,0.0,0,0,2,0
A.J. Bouye,JAX,CB,16,68.0,53.0,3,56,0.0,0,0,6,0
Quandre Diggs,DET,S,16,65.0,45.0,10,55,1.0,1,0,3,0
Jaquiski Tartt,SF,S,9,58.0,38.0,17,55,0.5,0,0,1,0
Grady Jarrett,ATL,DT,16,63.0,34.0,21,55,4.0,0,0,0,0
Tavon Wilson,DET,S,10,63.0,42.0,13,55,2.0,1,0,1,0
Dre Kirkpatrick,CIN,CB,14,61.0,47.0,8,55,1.0,1,0,1,0
Michael Brockers,LAR,DE,16,64.0,39.0,16,55,4.5,0,0,0,0
Kenny Clark,GB,DT,15,68.0,32.0,23,55,4.5,2,0,0,0
Kendall Fuller,WAS,CB,16,65.0,43.0,12,55,0.0,1,0,4,0
Ken Crawley,NO,CB,13,56.0,47.0,7,54,0.0,0,0,1,0
