,,,,Week 2 Game,,,,Fantasy,Passing,,,Rushing,,,Receiving,,
60,Calvin Ridley,ATL,WR,DAL,DAL,3,53.5,11.54,0.00,0.00,0.00,0.51,3.02,0.00,6.31,78.80,0.56
61,Chris Carson,SEA,RB,NE,SEA,-4.5,45.0,11.26,0.00,0.00,0.00,12.70,56.95,0.48,3.24,20.82,0.10
62,Allen Robinson,CHI,WR,NYG,CHI,-4.5,42.5,11.17,0.00,0.00,0.00,0.06,0.45,0.00,5.95,80.06,0.52
63,Travis Kelce,KC,TE,LAC,KC,-8.5,47.0,10.91,0.00,0.00,0.00,0.00,0.00,0.00,6.40,80.28,0.48
64,Tyler Lockett,SEA,WR,NE,SEA,-4.5,45.0,10.45,0.00,0.00,0.00,0.26,1.86,0.00,5.25,75.59,0.45
65,David Montgomery,CHI,RB,NYG,CHI,-4.5,42.5,10.28,0.00,0.00,0.00,13.50,58.90,0.39,1.62,14.52,0.10
66,JuJu Smith-Schuster,PIT,WR,DEN,PIT,-6.5,41.0,10.25,0.00,0.00,0.00,0.00,0.00,0.00,5.68,76.05,0.44
67,DK Metcalf,SEA,WR,NE,SEA,-4.5,45.0,10.21,0.00,0.00,0.00,0.36,1.84,0.00,4.94,72.01,0.47
68,DJ Chark,JAX,WR,TEN,TEN,7,44.5,10.10,0.00,0.00,0.00,0.35,1.82,0.00,4.99,71.00,0.47
69,Mark Ingram,BAL,RB,HOU,BAL,-7.0,49.5,10.03,0.00,0.00,0.00,11.40,58.17,0.46,1.57,11.48,0.05
70,Michael Gallup,DAL,WR,ATL,DAL,-3.0,53.5,9.99,0.00,0.00,0.00,0.00,0.00,0.00,5.31,72.29,0.46
71,Mark Andrews,BAL,TE,HOU,BAL,-7.0,49.5,9.93,0.00,0.00,0.00,0.00,0.00,0.00,5.19,65.08,0.57
72,Devin Singletary,BUF,RB,MIA,BUF,-5.5,42.5,9.91,0.00,0.00,0.00,9.80,46.24,0.27,3.73,28.85,0.13
73,Robert Woods,LAR,WR,PHI,PHI,2,46.0,9.89,0.00,0.00,0.00,0.99,6.03,0.00,5.97,73.08,0.33
74,Odell Beckham,CLE,WR,CIN,CLE,-6.0,44.5,9.84,0.50,0.06,0.00,0.25,1.38,0.00,4.94,72.72,0.36
75,Adam Thielen,MIN,WR,IND,IND,3.5,49.0,9.83,0.00,0.00,0.00,0.18,1.01,0.00,5.40,72.69,0.41
76,Marquise Brown,BAL,WR,HOU,BAL,-7.0,49.5,9.80,0.00,0.00,0.00,0.36,2.26,0.01,4.50,64.56,0.51
77,Will Fuller,HOU,WR,BAL,BAL,7,49.5,9.77,0.00,0.00,0.00,0.00,0.00,0.00,5.21,72.46,0.42
78,Stefon Diggs,BUF,WR,MIA,BUF,-5.5,42.5,9.71,0.00,0.00,0.00,0.52,2.76,0.00,4.79,66.78,0.46
79,D.J. Moore,CAR,WR,TB,TB,7.5,47.0,9.70,0.00,0.00,0.00,0.94,5.12,0.00,5.18,67.85,0.40
80,T.Y. Hilton,IND,WR,MIN,IND,-3.5,49.0,9.68,0.00,0.00,0.00,0.14,0.88,0.00,5.13,67.08,0.48
81,Terry McLaurin,WAS,WR,ARI,ARI,7,46.5,9.66,0.00,0.00,0.00,0.00,0.00,0.00,4.90,69.02,0.46
82,Cooper Kupp,LAR,WR,PHI,PHI,2,46.0,9.61,0.00,0.00,0.00,0.12,0.73,0.00,5.44,65.92,0.49
83,Kareem Hunt,CLE,RB,CIN,CLE,-6.0,44.5,9.57,0.00,0.00,0.00,8.70,41.56,0.24,3.58,31.29,0.14
84,Zack Moss,BUF,RB,MIA,BUF,-5.5,42.5,9.39,0.00,0.00,0.00,12.40,53.65,0.42,1.32,10.85,0.07
85,James Robinson,JAX,RB,TEN,TEN,7,44.5,9.31,0.00,0.00,0.00,15.90,53.75,0.40,1.65,11.79,0.06
86,Malcolm Brown,LAR,RB,PHI,PHI,2,46.0,9.14,0.00,0.00,0.00,14.30,58.99,0.37,1.70,7.85,0.04
87,Jarvis Landry,CLE,WR,CIN,CLE,-6.0,44.5,8.93,0.00,0.00,0.00,0.25,1.26,0.00,5.31,65.28,0.38
88,Tyler Boyd,CIN,WR,CLE,CLE,6,44.5,8.91,0.00,0.00,0.00,0.36,1.80,0.00,4.96,65.67,0.36
89,Emmanuel Sanders,NO,WR,LV,NO,-4.0,47.5,8.86,0.00,0.00,0.00,0.00,0.00,0.00,4.91,67.57,0.35
90,Keenan Allen,LAC,WR,KC,KC,8.5,47.0,8.84,0.00,0.00,0.00,0.12,0.80,0.00,5.49,65.35,0.37
91,John Brown,BUF,WR,MIA,BUF,-5.5,42.5,8.79,0.00,0.00,0.00,0.14,0.86,0.00,4.21,61.21,0.43
92,Marvin Jones,DET,WR,GB,GB,7,51.0,8.77,0.00,0.00,0.00,0.00,0.00,0.00,4.60,57.14,0.51
93,Nyheim Hines,IND,RB,MIN,IND,-3.5,49.0,8.75,0.00,0.00,0.00,6.10,27.85,0.16,4.64,40.47,0.16
94,CeeDee Lamb,DAL,WR,ATL,DAL,-3.0,53.5,8.69,0.00,0.00,0.00,0.00,0.00,0.00,4.47,62.31,0.41
95,Diontae Johnson,PIT,WR,DEN,PIT,-6.5,41.0,8.67,0.00,0.00,0.00,0.56,2.77,0.00,4.42,58.72,0.42
96,Corey Davis,TEN,WR,JAX,TEN,-7.0,44.5,8.62,0.00,0.00,0.00,0.00,0.00,0.00,4.47,64.59,0.36
97,Christian Kirk,ARI,WR,WAS,ARI,-7.0,46.5,8.49,0.00,0.00,0.00,0.44,2.59,0.00,5.09,59.51,0.38
98,DeVante Parker,MIA,WR,BUF,BUF,5.5,42.5,8.46,0.00,0.00,0.00,0.00,0.00,0.00,3.98,60.03,0.41
99,Sammy Watkins,KC,WR,LAC,KC,-8.5,47.0,8.44,0.00,0.00,0.00,0.34,1.36,0.00,4.32,57.81,0.42
100,Darius Slayton,NYG,WR,CHI,CHI,4.5,42.5,8.38,0.00,0.00,0.00,0.00,0.00,0.00,4.16,58.04,0.43
101,A.J. Green,CIN,WR,CLE,CLE,6,44.5,8.34,0.00,0.00,0.00,0.00,0.00,0.00,4.39,58.21,0.42
102,Scotty Miller,TB,WR,CAR,TB,-7.5,47.0,8.30,0.00,0.00,0.00,0.35,2.04,0.00,4.26,65.33,0.26
103,Zach Ertz,PHI,TE,LAR,PHI,-2.0,46.0,8.24,0.00,0.00,0.00,0.00,0.00,0.00,5.37,58.36,0.40
104,Mike Williams,LAC,WR,KC,KC,8.5,47.0,8.18,0.00,0.00,0.00,0.00,0.00,0.00,3.70,57.78,0.40
105,Darren Waller,LV,TE,NO,NO,4,47.5,8.09,0.00,0.00,0.00,0.00,0.00,0.00,5.07,58.66,0.37
106,Henry Ruggs,LV,WR,NO,NO,4,47.5,8.03,0.00,0.00,0.00,0.47,2.28,0.00,4.30,61.82,0.27
107,Robby Anderson,CAR,WR,TB,TB,7.5,47.0,8.01,0.00,0.00,0.00,0.00,0.00,0.00,3.76,54.88,0.42
108,DeSean Jackson,PHI,WR,LAR,PHI,-2.0,46.0,7.93,0.00,0.00,0.00,0.15,0.95,0.00,3.72,60.96,0.29
109,Preston Williams,MIA,WR,BUF,BUF,5.5,42.5,7.92,0.00,0.00,0.00,0.00,0.00,0.00,4.23,59.43,0.33
110,Parris Campbell,IND,WR,MIN,IND,-3.5,49.0,7.82,0.00,0.00,0.00,0.60,3.43,0.00,4.03,52.60,0.37
111,Tarik Cohen,CHI,RB,NYG,CHI,-4.5,42.5,7.81,0.00,0.00,0.00,5.90,25.48,0.05,4.71,40.63,0.15
112,Jared Cook,NO,TE,LV,NO,-4.0,47.5,7.70,0.00,0.00,0.00,0.00,0.00,0.00,4.15,52.42,0.41
113,Latavius Murray,NO,RB,LV,NO,-4.0,47.5,7.70,0.00,0.00,0.00,9.00,43.03,0.33,1.53,11.73,0.04
114,Tre'Quan Smith,NO,WR,LV,NO,-4.0,47.5,7.57,0.00,0.00,0.00,0.00,0.00,0.00,4.04,48.07,0.46
115,N'Keal Harry,NE,WR,SEA,SEA,4.5,45.0,7.36,0.00,0.00,0.00,0.50,2.82,0.00,3.51,48.01,0.38
116,Golden Tate,NYG,WR,CHI,CHI,4.5,42.5,7.32,0.00,0.00,0.00,0.26,1.30,0.00,3.52,47.92,0.40
117,Evan Engram,NYG,TE,CHI,CHI,4.5,42.5,7.31,0.00,0.00,0.00,0.00,0.00,0.00,4.35,51.53,0.36
118,Breshad Perriman,NYJ,WR,SF,SF,7,41.5,7.29,0.00,0.00,0.00,0.33,1.89,0.00,3.46,55.96,0.25
119,Anthony Miller,CHI,WR,NYG,CHI,-4.5,42.5,7.28,0.00,0.00,0.00,0.21,1.29,0.00,3.87,52.35,0.32
120,Peyton Barber,WAS,RB,ARI,ARI,7,46.5,7.26,0.00,0.00,0.00,10.70,48.03,0.33,0.50,3.60,0.02
121,John Ross,CIN,WR,CLE,CLE,6,44.5,7.24,0.00,0.00,0.00,0.40,2.10,0.00,3.07,51.13,0.32
122,Jerry Jeudy,DEN,WR,PIT,PIT,6.5,41.0,7.23,0.00,0.00,0.00,0.22,1.08,0.00,4.30,52.02,0.32
123,Sterling Shepard,NYG,WR,CHI,CHI,4.5,42.5,7.23,0.00,0.00,0.00,0.56,3.44,0.00,4.97,52.07,0.28
124,Julian Edelman,NE,WR,SEA,SEA,4.5,45.0,7.13,0.00,0.00,0.00,0.20,1.01,0.00,5.09,54.11,0.27
125,Hunter Henry,LAC,TE,KC,KC,8.5,47.0,7.10,0.00,0.00,0.00,0.00,0.00,0.00,4.07,47.02,0.40
126,Cam Akers,LAR,RB,PHI,PHI,2,46.0,7.05,0.00,0.00,0.00,8.00,36.15,0.25,1.79,16.32,0.05
127,T.J. Hockenson,DET,TE,GB,GB,7,51.0,7.05,0.00,0.00,0.00,0.00,0.00,0.00,4.34,45.89,0.41
128,J.K. Dobbins,BAL,RB,HOU,BAL,-7.0,49.5,7.01,0.00,0.00,0.00,8.10,39.87,0.27,1.36,11.07,0.05
129,Randall Cobb,HOU,WR,BAL,BAL,7,49.5,7.00,0.00,0.00,0.00,0.14,0.93,0.00,3.76,55.88,0.22
130,Adam Humphries,TEN,WR,JAX,TEN,-7.0,44.5,6.81,0.00,0.00,0.00,0.14,0.40,0.00,4.64,51.48,0.27
131,Laviska Shenault,JAX,WR,TEN,TEN,7,44.5,6.78,0.00,0.00,0.00,0.40,9.27,0.07,3.60,40.49,0.23
132,Tevin Coleman,SF,RB,NYJ,SF,-7.0,41.5,6.76,0.00,0.00,0.00,7.20,33.22,0.29,1.34,12.14,0.08
133,Frank Gore,NYJ,RB,SF,SF,7,41.5,6.76,0.00,0.00,0.00,13.40,44.62,0.14,2.02,14.58,0.00
134,Sony Michel,NE,RB,SEA,SEA,4.5,45.0,6.74,0.00,0.00,0.00,12.20,45.69,0.31,0.54,3.06,0.00
135,Steven Sims,WAS,WR,ARI,ARI,7,46.5,6.73,0.00,0.00,0.00,1.24,7.32,0.04,3.60,43.80,0.23
136,James Washington,PIT,WR,DEN,PIT,-6.5,41.0,6.71,0.00,0.00,0.00,0.00,0.00,0.00,3.47,47.86,0.32
137,Austin Hooper,CLE,TE,CIN,CLE,-6.0,44.5,6.70,0.00,0.00,0.00,0.00,0.00,0.00,4.30,47.15,0.33
138,Tyler Higbee,LAR,TE,PHI,PHI,2,46.0,6.68,0.00,0.00,0.00,0.00,0.00,0.00,4.20,47.01,0.33
139,Larry Fitzgerald,ARI,WR,WAS,ARI,-7.0,46.5,6.50,0.00,0.00,0.00,0.00,0.00,0.00,4.95,50.55,0.24
140,Allen Lazard,GB,WR,DET,GB,-7.0,51.0,6.47,0.00,0.00,0.00,0.33,1.93,0.00,3.55,47.13,0.26
141,Danny Amendola,DET,WR,GB,GB,7,51.0,6.47,0.00,0.00,0.00,0.00,0.00,0.00,5.00,54.45,0.17
142,Rob Gronkowski,TB,TE,CAR,TB,-7.5,47.0,6.47,0.00,0.00,0.00,0.00,0.00,0.00,3.26,40.66,0.40
143,Myles Gaskin,MIA,RB,BUF,BUF,5.5,42.5,6.45,0.00,0.00,0.00,5.70,21.68,0.29,2.77,19.40,0.10
144,Noah Fant,DEN,TE,PIT,PIT,6.5,41.0,6.45,0.00,0.00,0.00,0.00,0.00,0.00,4.25,42.85,0.36
145,Chris Herndon,NYJ,TE,SF,SF,7,41.5,6.43,0.00,0.00,0.00,0.00,0.00,0.00,4.70,49.30,0.25
146,Jonnu Smith,TEN,TE,JAX,TEN,-7.0,44.5,6.43,0.00,0.00,0.00,0.00,0.00,0.00,4.17,44.46,0.33
147,Dallas Goedert,PHI,TE,LAR,PHI,-2.0,46.0,6.36,0.00,0.00,0.00,0.00,0.00,0.00,4.20,44.41,0.32
148,Hayden Hurst,ATL,TE,DAL,DAL,3,53.5,6.35,0.00,0.00,0.00,0.00,0.00,0.00,3.92,44.29,0.32
149,Russell Gage,ATL,WR,DAL,DAL,3,53.5,6.35,0.00,0.00,0.00,0.00,0.00,0.00,4.43,50.28,0.22
150,Curtis Samuel,CAR,WR,TB,TB,7.5,47.0,6.35,0.00,0.00,0.00,0.94,5.50,0.07,3.16,38.83,0.25
151,Marquez Valdes-Scantling,GB,WR,DET,GB,-7.0,51.0,6.28,0.00,0.00,0.00,0.00,0.00,0.00,3.00,46.01,0.28
152,Jalen Reagor,PHI,WR,LAR,PHI,-2.0,46.0,6.25,0.00,0.00,0.00,0.15,0.75,0.00,3.27,44.36,0.29
153,Cole Beasley,BUF,WR,MIA,BUF,-5.5,42.5,6.20,0.00,0.00,0.00,0.00,0.00,0.00,4.02,44.62,0.29
154,D'Andre Swift,DET,RB,GB,GB,7,51.0,6.19,0.00,0.00,0.00,6.70,26.40,0.16,2.68,21.68,0.07
155,Logan Thomas,WAS,TE,ARI,ARI,7,46.5,6.18,0.00,0.00,0.00,0.00,0.00,0.00,3.64,38.35,0.39
156,Quintez Cephus,DET,WR,GB,GB,7,51.0,6.16,0.00,0.00,0.00,0.00,0.00,0.00,3.79,48.35,0.22
157,Justin Jefferson,MIN,WR,IND,IND,3.5,49.0,6.15,0.00,0.00,0.00,0.00,0.00,0.00,3.58,44.12,0.29
158,Kendrick Bourne,SF,WR,NYJ,SF,-7.0,41.5,6.10,0.00,0.00,0.00,0.00,0.00,0.00,4.00,48.38,0.21
159,Antonio Gibson,WAS,RB,ARI,ARI,7,46.5,6.01,0.00,0.00,0.00,6.20,23.61,0.17,2.51,20.30,0.10
160,Brandin Cooks,HOU,WR,BAL,BAL,7,49.5,5.97,0.00,0.00,0.00,0.34,1.64,0.00,2.89,46.63,0.19
161,Jimmy Graham,CHI,TE,NYG,CHI,-4.5,42.5,5.96,0.00,0.00,0.00,0.00,0.00,0.00,3.22,38.56,0.35
162,Mecole Hardman,KC,WR,LAC,KC,-8.5,47.0,5.96,0.00,0.00,0.00,0.24,6.10,0.05,2.15,35.48,0.25
163,Bryan Edwards,LV,WR,NO,NO,4,47.5,5.95,0.00,0.00,0.00,0.00,0.00,0.00,3.35,44.46,0.25
164,Mike Gesicki,MIA,TE,BUF,BUF,5.5,42.5,5.95,0.00,0.00,0.00,0.00,0.00,0.00,3.56,41.51,0.30
165,Eric Ebron,PIT,TE,DEN,PIT,-6.5,41.0,5.90,0.00,0.00,0.00,0.00,0.00,0.00,3.80,42.20,0.28
166,Carlos Hyde,SEA,RB,NE,SEA,-4.5,45.0,5.89,0.00,0.00,0.00,8.30,36.95,0.26,0.83,6.37,0.00
167,Benny Snell,PIT,RB,DEN,PIT,-6.5,41.0,5.87,0.00,0.00,0.00,9.80,44.10,0.16,0.70,5.02,0.00
168,Jordan Howard,MIA,RB,BUF,BUF,5.5,42.5,5.87,0.00,0.00,0.00,9.10,36.45,0.27,0.69,4.87,0.02
169,Adrian Peterson,DET,RB,GB,GB,7,51.0,5.81,0.00,0.00,0.00,9.60,33.89,0.29,1.18,6.82,0.00
170,Jamaal Williams,GB,RB,DET,GB,-7.0,51.0,5.76,0.00,0.00,0.00,4.80,21.42,0.16,2.71,20.56,0.10
171,Brandon Aiyuk,SF,WR,NYJ,SF,-7.0,41.5,5.57,0.00,0.00,0.00,0.54,3.05,0.00,2.83,38.85,0.23
172,Deonte Harris,NO,WR,LV,NO,-4.0,47.5,5.48,0.00,0.00,0.00,1.66,9.49,0.04,2.96,34.50,0.14
173,Justin Watson,TB,WR,CAR,TB,-7.5,47.0,5.42,0.00,0.00,0.00,0.00,0.00,0.00,3.14,36.79,0.29
174,Joshua Kelley,LAC,RB,KC,KC,8.5,47.0,5.42,0.00,0.00,0.00,8.00,30.66,0.25,1.13,8.53,0.00
175,Kalif Raymond,TEN,WR,JAX,TEN,-7.0,44.5,5.38,0.00,0.00,0.00,0.00,0.00,0.00,3.55,40.02,0.23
176,Trent Taylor,SF,WR,NYJ,SF,-7.0,41.5,5.36,0.00,0.00,0.00,0.00,0.00,0.00,4.31,43.40,0.17
177,Zach Pascal,IND,WR,MIN,IND,-3.5,49.0,5.35,0.00,0.00,0.00,0.14,1.05,0.00,2.60,37.40,0.25
178,O.J. Howard,TB,TE,CAR,TB,-7.5,47.0,5.34,0.00,0.00,0.00,0.00,0.00,0.00,3.62,40.75,0.21
179,Chase Edmonds,ARI,RB,WAS,ARI,-7.0,46.5,5.30,0.00,0.00,0.00,6.30,29.74,0.06,2.21,14.86,0.08
180,Jordan Reed,SF,TE,NYJ,SF,-7.0,41.5,5.27,0.00,0.00,0.00,0.00,0.00,0.00,3.50,36.50,0.27
181,Boston Scott,PHI,RB,LAR,PHI,-2.0,46.0,5.23,0.00,0.00,0.00,4.80,20.88,0.11,2.70,21.80,0.05
182,Willie Snead,BAL,WR,HOU,BAL,-7.0,49.5,5.22,0.00,0.00,0.00,0.00,0.00,0.00,3.14,33.61,0.31
183,Jerick McKinnon,SF,RB,NYJ,SF,-7.0,41.5,5.14,0.00,0.00,0.00,4.80,21.26,0.11,2.81,23.57,0.00
184,Chris Thompson,JAX,RB,TEN,TEN,7,44.5,5.05,0.00,0.00,0.00,4.10,12.88,0.10,2.74,24.43,0.12
185,Alexander Mattison,MIN,RB,IND,IND,3.5,49.0,5.00,0.00,0.00,0.00,6.40,27.86,0.18,1.40,11.30,0.00
186,Greg Ward,PHI,WR,LAR,PHI,-2.0,46.0,4.99,0.00,0.00,0.00,0.27,1.27,0.00,3.41,38.46,0.17
187,Keelan Cole,JAX,WR,TEN,TEN,7,44.5,4.97,0.00,0.00,0.00,0.23,1.33,0.00,2.79,34.60,0.23
188,Hunter Renfrow,LV,WR,NO,NO,4,47.5,4.92,0.00,0.00,0.00,0.00,0.00,0.00,2.90,37.77,0.19
189,Kerryon Johnson,DET,RB,GB,GB,7,51.0,4.89,0.00,0.00,0.00,5.70,21.10,0.25,1.10,8.62,0.07
190,La'Mical Perine,NYJ,RB,SF,SF,7,41.5,4.81,0.00,0.00,0.00,5.80,22.46,0.05,1.70,17.19,0.09
