,,,,Pass Defense Stats,,,,,,,,,,
Jamel Dean,TB,CB,1,54,#2 RCB,70.1,3,6,50.0,38,0,0,1,0
Lamarcus Joyner,LV,S,1,55,#1 LCB,70.5,4,7,57.1,35,0,0,0,0
Jaylon Johnson,CHI,CB,1,63,#1 LCB,70.8,3,6,50.0,39,0,0,0,0
Josey Jewell,DEN,LB,1,63,#1 RILB,72.9,2,3,66.7,11,0,0,0,0
Devin Bush,PIT,LB,1,77,#1 RILB,75.0,3,6,50.0,45,0,0,1,0
Casey Hayward,LAC,CB,1,77,#1 RCB,75.4,3,5,60.0,28,0,0,0,0
Brian Poole,NYJ,CB,1,36,#2 LCB,77.1,2,3,66.7,14,0,0,1,0
Micah Kiser,LAR,LB,1,71,#1 LILB,77.4,9,14,64.3,73,0,0,2,0
Marlon Humphrey,BAL,CB,1,59,#1 LCB,78.0,5,9,55.6,64,0,0,0,0
Isaiah Oliver,ATL,CB,1,82,#1 RCB,78.1,4,8,50.0,66,0,0,2,0
Kevin Pierre-Louis,WAS,LB,1,75,#1 SLB,79.0,8,11,72.7,43,0,0,0,0
Tracy Walker,DET,S,1,39,#1 FS,79.2,1,5,20.0,11,1,0,1,0
Jimmy Moreland,WAS,CB,1,77,#2 LCB,79.2,7,10,70.0,45,0,0,0,0
Kenneth Murray,LAC,LB,1,64,#1 ROLB,79.6,3,5,60.0,33,0,0,1,0
Malcolm Smith,CLE,LB,1,56,#2 WLB,79.9,2,3,66.7,16,0,0,0,0
A.J. Klein,BUF,LB,1,72,#1 SLB,80.2,3,4,75.0,15,0,0,0,0
Jeff Okudah,DET,CB,1,73,#2 RCB,83.9,6,11,54.5,96,0,0,0,0
Bryce Callahan,DEN,CB,1,65,#1 RCB,84.7,3,3,100.0,13,0,0,0,0
Malcolm Butler,TEN,CB,1,72,#1 LCB,86.4,7,13,53.8,123,0,0,1,0
Michael Davis,LAC,CB,1,74,#2 LCB,86.6,7,11,63.6,83,0,0,2,0
Tre'Davious White,BUF,CB,1,72,#1 LCB,86.9,2,7,28.6,34,1,0,2,0
Ben Niemann,KC,LB,1,46,#2 MLB,88.8,3,5,60.0,44,0,0,0,0
Jaire Alexander,GB,CB,1,53,#1 LCB,89.2,4,5,80.0,27,0,0,0,0
Tre Herndon,JAX,CB,1,62,#1 RCB,89.6,2,3,66.7,23,0,0,0,0
Demario Davis,NO,LB,1,80,#1 WLB,90.6,3,4,75.0,25,0,0,0,0
Kamren Curl,WAS,S,1,32,#2 FS,91.0,2,3,66.7,24,0,0,0,0
Ty Summers,GB,LB,1,0,#1 LILB,91.1,6,7,85.7,41,0,0,0,0
Ty Summers,GB,LB,1,0,#3 RILB,91.1,6,7,85.7,41,0,0,0,0
Eddie Jackson,CHI,S,1,63,#1 FS,91.7,3,3,100.0,18,0,0,1,0
Johnathan Joseph,TEN,CB,1,39,#1 RCB,92.4,2,3,66.7,25,0,0,1,0
Jimmie Ward,SF,S,1,52,#1 FS,92.7,4,4,100.0,25,0,0,0,0
William Jackson,CIN,CB,1,54,#1 RCB,92.9,3,5,60.0,49,1,1,0,0
Marshon Lattimore,NO,CB,1,77,#1 RCB,93.1,4,6,66.7,51,0,0,2,0
Joe Schobert,JAX,LB,1,62,#1 MLB,93.8,3,4,75.0,28,0,0,0,0
Donte Jackson,CAR,CB,1,61,#1 LCB,96.5,2,3,66.7,28,1,1,0,0
Tavierre Thomas,CLE,CB,1,76,#3 RCB,96.9,7,8,87.5,58,0,0,0,0
Chris Banjo,ARI,S,1,63,#1 SS,97.9,5,7,71.4,61,0,0,1,0
Jaylon Smith,DAL,LB,1,75,#1 WLB,100.8,4,5,80.0,41,0,0,1,0
Jerome Baker,MIA,LB,1,57,#1 RILB,102.1,2,3,66.7,32,0,0,0,0
Antoine Winfield,TB,S,1,72,#1 SS,102.5,4,5,80.0,43,0,0,0,0
Chris Jackson,TEN,S,1,38,#2 RCB,104.2,3,4,75.0,38,0,0,0,0
Will Harris,DET,S,1,49,#2 FS,104.9,2,3,66.7,34,0,0,0,0
Holton Hill,MIN,CB,1,70,#1 RCB,107.3,3,4,75.0,41,0,0,0,1
Blessuan Austin,NYJ,CB,1,61,#1 RCB,108.3,3,4,75.0,42,0,0,0,0
Tedric Thompson,KC,S,1,16,#2 SS,108.3,3,3,100.0,30,0,0,0,0
P.J. Williams,NO,CB,1,29,#2 FS,108.3,3,3,100.0,30,0,0,0,0
Ronald Darby,WAS,CB,1,76,#1 RCB,109.7,2,3,66.7,57,0,0,0,0
Myles Jack,JAX,LB,1,62,#1 WLB,109.7,2,3,66.7,9,1,0,2,0
Daniel Sorensen,KC,S,1,58,#1 FS,109.7,2,3,66.7,41,0,0,0,0
Patrick Peterson,ARI,CB,1,66,#1 LCB,110.0,2,5,40.0,42,1,0,0,0
Devin White,TB,LB,1,73,#1 LILB,112.5,4,4,100.0,44,0,0,0,0
Sione Takitaki,CLE,LB,1,41,#1 SLB,115.3,3,3,100.0,35,0,0,0,0
Marcus Epps,PHI,S,1,16,#2 SS,118.8,3,3,100.0,53,0,0,0,0
Mackensie Alexander,CIN,CB,1,26,#1 LCB,118.8,3,3,100.0,63,0,0,0,0
Jamal Adams,SEA,S,1,71,#1 SS,118.8,4,5,80.0,128,0,0,1,0
Troy Apke,WAS,S,1,77,#1 FS,118.8,3,3,100.0,69,0,0,0,0
Avonte Maddox,PHI,CB,1,69,#1 RCB,118.8,5,6,83.3,79,0,0,0,0
Nik Needham,MIA,CB,1,54,#2 RCB,118.8,4,5,80.0,88,0,0,0,0
Bobby Wagner,SEA,LB,1,72,#1 MLB,118.8,3,3,100.0,53,0,0,0,0
Malcolm Jenkins,NO,S,1,80,#1 SS,118.8,5,6,83.3,80,0,0,0,0
Shaquill Griffin,SEA,CB,1,67,#1 LCB,118.8,4,5,80.0,70,0,0,0,0
Anthony Averett,BAL,CB,1,23,#2 LCB,118.8,3,3,100.0,42,0,0,0,0
Jeff Gladney,MIN,CB,1,60,#2 RCB,119.6,4,7,57.1,51,1,0,0,0
Rashad Fenton,KC,CB,1,82,#2 RCB,125.0,2,3,66.7,20,1,0,0,0
Deionte Thompson,ARI,S,1,2,#2 FS,129.2,3,4,75.0,24,1,0,0,0
Jourdan Lewis,DAL,CB,1,58,#1 LCB,129.2,5,6,83.3,33,1,0,0,0
B.J. Goodson,CLE,LB,1,92,#1 MLB,129.2,6,8,75.0,48,1,0,1,0
Zach Cunningham,HOU,LB,1,65,#1 RILB,131.3,3,3,100.0,18,1,0,0,0
Marcus Williams,NO,S,1,80,#1 FS,131.3,3,4,75.0,26,1,0,0,0
Marcus Maye,NYJ,S,1,60,#1 SS,132.1,4,5,80.0,31,2,0,1,0
Jayon Brown,TEN,LB,1,75,#1 LILB,138.5,3,4,75.0,33,1,0,1,0
Kenny Vaccaro,TEN,S,1,75,#1 SS,138.5,6,8,75.0,66,1,0,2,0
Stephon Gilmore,NE,CB,1,62,#3 RCB,143.8,3,5,60.0,85,1,0,0,0
Xavien Howard,MIA,CB,1,60,#1 LCB,143.8,3,5,60.0,67,1,0,0,0
CJ Henderson,JAX,CB,1,61,#1 LCB,145.8,3,4,75.0,40,1,0,1,0
Noah Igbinoghene,MIA,CB,1,57,#2 LCB,146.8,7,11,63.6,145,2,0,1,0
Michael Ojemudia,DEN,CB,1,65,#1 LCB,146.8,7,11,63.6,166,2,0,0,1
Trayvon Mullen,LV,CB,1,53,#1 RCB,150.7,3,3,100.0,32,1,0,0,0
Nickell Robey-Coleman,PHI,CB,1,41,#2 RCB,155.4,5,5,100.0,59,1,0,0,0
Blake Martinez,NYG,LB,1,65,#1 LILB,158.3,3,3,100.0,48,1,0,0,0
Ahkello Witherspoon,SF,CB,1,65,#1 LCB,158.3,4,5,80.0,70,1,0,0,0
