,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Ndamukong Suh,TB,DE,1,9.0,4,1,5,2.0,0,0,0,0
Tyson Alualu,PIT,DE,1,7.0,3,2,5,1.0,0,0,0,0
Cameron Jordan,NO,DE,1,5.0,3,2,5,0.0,0,0,0,0
Janoris Jenkins,NO,CB,1,5.0,3,2,5,0.0,0,0,0,0
Aldon Smith,DAL,LB,1,5.0,2,3,5,0.0,0,0,0,0
Jarrad Davis,DET,LB,1,5.0,3,2,5,0.0,0,0,0,0
Josh Jones,JAX,S,1,5.0,3,2,5,0.0,0,0,0,0
Lano Hill,SEA,S,1,5.0,3,2,5,0.0,0,0,0,0
Josey Jewell,DEN,LB,1,5.0,3,2,5,0.0,0,0,0,0
Jourdan Lewis,DAL,CB,1,5.0,4,1,5,0.0,0,0,0,0
Ahkello Witherspoon,SF,CB,1,5.0,3,2,5,0.0,0,0,0,0
Harold Landry,TEN,LB,1,7.0,2,3,5,0.0,0,0,1,0
Taron Johnson,BUF,CB,1,5.0,3,2,5,0.0,0,0,0,0
Ja'Whaun Bentley,NE,LB,1,5.0,1,4,5,0.0,0,0,0,0
Sione Takitaki,CLE,LB,1,5.0,3,2,5,0.0,0,0,0,0
Budda Baker,ARI,S,1,5.0,4,1,5,0.0,0,0,0,0
Troy Apke,WAS,S,1,5.0,4,1,5,0.0,0,0,0,0
Jalyn Holmes,MIN,DT,1,5.0,3,2,5,0.0,0,0,0,0
Marcus Epps,PHI,S,1,5.0,3,2,5,0.0,0,0,0,0
Christian Wilkins,MIA,DE,1,5.0,1,4,5,0.0,0,0,0,0
Jaire Alexander,GB,CB,1,5.0,3,2,5,0.0,0,0,0,0
Jordan Whitehead,TB,S,1,7.0,4,1,5,0.0,0,0,1,0
Will Harris,DET,S,1,5.0,4,1,5,0.0,0,0,0,0
Isaiah Oliver,ATL,CB,1,5.0,4,1,5,0.0,0,0,0,0
Dexter Lawrence,NYG,DE,1,5.0,5,0,5,0.0,0,0,0,0
David Onyemata,NO,DT,1,7.0,2,3,5,1.0,0,0,0,0
Julian Love,NYG,S,1,7.0,4,1,5,0.0,0,0,1,0
A.J. Terrell,ATL,CB,1,5.0,4,1,5,0.0,0,0,0,0
Tershawn Wharton,KC,DT,1,5.0,4,1,5,0.0,0,0,0,0
Chase Young,WAS,DE,1,6.0,4,0,4,1.0,0,0,0,0
Noah Igbinoghene,MIA,CB,1,6.0,4,0,4,0.0,0,1,0,0
Jaylon Johnson,CHI,CB,1,4.0,3,1,4,0.0,0,0,0,0
Ed Oliver,BUF,DT,1,6.0,4,0,4,1.0,0,0,0,0
Rashan Gary,GB,LB,1,7.0,2,2,4,1.5,0,0,0,0
Brian Burns,CAR,DE,1,4.0,4,0,4,0.0,0,0,0,0
Taylor Rapp,LAR,S,1,4.0,4,0,4,0.0,0,0,0,0
Malcolm Roach,NO,DT,1,4.0,2,2,4,0.0,0,0,0,0
DeShon Elliott,BAL,S,1,6.0,4,0,4,1.0,0,0,0,0
Sean Murphy-Bunting,TB,CB,1,4.0,3,1,4,0.0,0,0,0,0
Juan Thornhill,KC,S,1,4.0,1,3,4,0.0,0,0,0,0
Porter Gustin,CLE,LB,1,4.0,2,2,4,0.0,0,0,0,0
Carlton Davis,TB,CB,1,6.0,2,2,4,0.0,0,0,1,0
Johnathan Abram,LV,S,1,4.0,4,0,4,0.0,0,0,0,0
Darnell Savage,GB,S,1,4.0,2,2,4,0.0,0,0,0,0
Nasir Adderley,LAC,S,1,4.0,3,1,4,0.0,0,0,0,0
Jacob Tuioti-Mariner,ATL,DE,1,4.0,4,0,4,0.0,0,0,0,0
Kenny Young,LAR,LB,1,6.0,2,2,4,0.0,0,1,0,0
Mike Hughes,MIN,CB,1,4.0,3,1,4,0.0,0,0,0,0
Kevin Strong,DET,DT,1,4.0,2,2,4,0.0,0,0,0,0
Andrew Van Ginkel,MIA,LB,1,5.0,1,3,4,0.5,0,0,0,0
Terrell Edmunds,PIT,S,1,6.0,3,1,4,1.0,0,0,0,0
Lorenzo Carter,NYG,LB,1,6.0,4,0,4,1.0,0,0,0,0
Jabrill Peppers,NYG,S,1,4.0,2,2,4,0.0,0,0,0,0
T.J. Watt,PIT,LB,1,9.0,3,1,4,2.5,0,0,0,0
Kevin King,GB,CB,1,4.0,3,1,4,0.0,0,0,0,0
Jonathan Allen,WAS,DT,1,4.0,3,1,4,0.0,0,0,0,0
Anthony Averett,BAL,CB,1,4.0,4,0,4,0.0,0,0,0,0
