,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Larry Fitzgerald,ARI,WR,1,3.4,0,0,0,0,0,0,0,0,4,5,34,0,0,0
James Washington,PIT,WR,1,9.4,0,0,0,0,0,0,0,0,2,3,34,1,0,0
Tyler Boyd,CIN,WR,1,3.3,0,0,0,0,0,0,0,0,4,5,33,0,0,0
Le'Veon Bell,NYJ,RB,1,4.6,0,0,0,0,0,6,14,0,2,2,32,0,0,0
David Johnson,HOU,RB,1,16.9,0,0,0,0,0,11,77,1,3,4,32,0,0,0
Malcolm Brown,LAR,RB,1,23.0,0,0,0,0,0,18,79,2,3,4,31,0,0,0
Greg Ward,PHI,WR,1,3.1,0,0,0,0,0,0,0,0,5,7,31,0,0,0
Ezekiel Elliott,DAL,RB,1,24.7,0,0,0,0,0,22,96,1,3,4,31,1,0,0
Van Jefferson,LAR,WR,1,3.1,0,0,0,0,0,0,0,0,1,3,31,0,0,0
Marlon Mack,IND,RB,1,5.6,0,0,0,0,0,4,26,0,3,3,30,0,0,0
Mike Gesicki,MIA,TE,1,3.0,0,0,0,0,0,0,0,0,3,5,30,0,0,0
Alexander Mattison,MIN,RB,1,8.0,0,0,0,0,0,6,50,0,4,4,30,0,0,0
James White,NE,RB,1,5.2,0,0,0,0,0,5,22,0,3,3,30,0,0,0
Tim Patrick,DEN,WR,1,2.9,0,0,0,0,0,0,0,0,4,5,29,0,0,0
James Robinson,JAX,RB,1,9.0,0,0,0,0,0,16,62,0,1,1,28,0,0,0
David Moore,SEA,WR,1,4.0,0,0,0,0,0,1,12,0,3,3,28,0,0,0
Kyle Rudolph,MIN,TE,1,2.8,0,0,0,0,0,0,0,0,2,2,28,0,0,0
Marvin Hall,DET,WR,1,2.6,0,0,0,0,0,0,0,0,1,2,26,0,0,0
Justin Jefferson,MIN,WR,1,2.6,0,0,0,0,0,0,0,0,2,3,26,0,0,0
Myles Gaskin,MIA,RB,1,6.6,0,0,0,0,0,9,40,0,4,4,26,0,0,0
Dawson Knox,BUF,TE,1,2.6,0,0,0,0,0,0,0,0,2,3,26,0,0,0
Ryan Izzo,NE,TE,1,2.5,0,0,0,0,0,0,0,0,1,2,25,0,0,0
DJ Chark,JAX,WR,1,8.5,0,0,0,0,0,0,0,0,3,3,25,1,0,0
Jimmy Graham,CHI,TE,1,8.5,0,0,0,0,0,0,0,0,3,7,25,1,0,0
Jakeem Grant,MIA,WR,1,2.5,0,0,0,0,0,0,0,0,3,3,25,0,0,0
Greg Olsen,SEA,TE,1,8.4,0,0,0,0,0,0,0,0,4,4,24,1,0,0
Randall Cobb,HOU,WR,1,2.3,0,0,0,0,0,0,0,0,2,3,23,0,0,0
Nelson Agholor,LV,WR,1,8.3,0,0,0,0,0,0,0,0,1,1,23,1,0,0
Devontae Booker,LV,RB,1,5.2,0,0,0,0,0,4,29,0,3,3,23,0,1,0
Devin Singletary,BUF,RB,1,5.3,0,0,0,0,0,9,30,0,5,7,23,0,0,0
Tony Pollard,DAL,RB,1,3.2,0,0,0,0,0,2,10,0,2,3,22,0,0,0
Odell Beckham,CLE,WR,1,2.2,0,0,0,0,0,0,0,0,3,10,22,0,0,0
Giovani Bernard,CIN,RB,1,2.8,0,0,0,0,0,1,7,0,4,5,21,0,0,0
Adrian Peterson,DET,RB,1,11.4,0,0,0,0,0,14,93,0,3,3,21,0,0,0
Dontrelle Inman,WAS,WR,1,2.1,0,0,0,0,0,0,0,0,2,5,21,0,0,0
Jamaal Williams,GB,RB,1,4.2,0,0,0,0,0,7,21,0,4,4,21,0,0,0
Hunter Renfrow,LV,WR,1,2.1,0,0,0,0,0,0,0,0,2,2,21,0,0,0
