,,,,Week 1 Game,,,,Fantasy,Passing,,,Rushing,,,Receiving,,
41,Joe Mixon,CIN,RB,LAC,LAC,2.5,41.5,14.23,0.00,0.00,0.00,16.80,72.18,0.51,3.09,30.56,0.15
42,Aaron Jones,GB,RB,MIN,MIN,1.5,44.5,13.81,0.00,0.00,0.00,16.50,71.60,0.51,3.25,28.72,0.12
43,James Conner,PIT,RB,NYG,PIT,-6.0,44.0,13.76,0.00,0.00,0.00,16.10,73.41,0.59,2.86,24.63,0.07
44,Austin Ekeler,LAC,RB,CIN,LAC,-2.5,41.5,13.44,0.00,0.00,0.00,12.20,50.55,0.31,5.18,50.21,0.25
45,Michael Thomas,NO,WR,TB,NO,-4.0,48.5,13.39,0.00,0.00,0.00,0.07,0.35,0.00,8.30,99.93,0.56
46,Nick Chubb,CLE,RB,BAL,BAL,7,47.5,13.22,0.00,0.00,0.00,18.70,76.11,0.62,1.99,15.86,0.05
47,Kenyan Drake,ARI,RB,SF,SF,6.5,49.0,13.18,0.00,0.00,0.00,17.40,69.77,0.45,3.55,28.46,0.11
48,Chris Carson,SEA,RB,ATL,ATL,1,49.5,13.01,0.00,0.00,0.00,16.10,70.10,0.60,2.89,18.57,0.09
49,Tyreek Hill,KC,WR,HOU,KC,-9.5,53.5,12.90,0.00,0.00,0.00,1.10,6.02,0.07,5.48,85.76,0.55
50,Julio Jones,ATL,WR,SEA,ATL,-1.0,49.5,12.71,0.00,0.00,0.00,0.14,0.80,0.00,6.81,95.68,0.51
51,Davante Adams,GB,WR,MIN,MIN,1.5,44.5,12.60,0.00,0.00,0.00,0.00,0.00,0.00,6.75,83.41,0.71
52,Todd Gurley,ATL,RB,SEA,ATL,-1.0,49.5,12.56,0.00,0.00,0.00,13.10,59.11,0.68,2.95,20.91,0.08
53,George Kittle,SF,TE,ARI,SF,-6.5,49.0,12.16,0.00,0.00,0.00,0.00,0.00,0.00,6.66,85.55,0.60
54,David Johnson,HOU,RB,KC,KC,9.5,53.5,12.05,0.00,0.00,0.00,17.30,63.36,0.33,3.12,29.55,0.13
55,Raheem Mostert,SF,RB,ARI,SF,-6.5,49.0,11.96,0.00,0.00,0.00,12.20,68.02,0.48,1.90,17.95,0.08
56,Chris Godwin,TB,WR,NO,NO,4,48.5,11.73,0.00,0.00,0.00,0.26,1.39,0.00,6.02,84.15,0.53
57,Kerryon Johnson,DET,RB,CHI,DET,-2.5,42.5,11.63,0.00,0.00,0.00,12.30,50.78,0.60,2.52,19.87,0.16
58,Travis Kelce,KC,TE,HOU,KC,-9.5,53.5,11.58,0.00,0.00,0.00,0.00,0.00,0.00,6.79,85.24,0.51
59,Mark Ingram,BAL,RB,CLE,BAL,-7.0,47.5,11.40,0.00,0.00,0.00,12.40,65.51,0.51,1.95,14.26,0.06
60,DeAndre Hopkins,ARI,WR,SF,SF,6.5,49.0,10.73,0.00,0.00,0.00,0.25,1.42,0.00,5.74,72.31,0.56
61,Jonathan Taylor,IND,RB,JAX,IND,-7.0,44.5,10.69,0.00,0.00,0.00,12.50,61.88,0.45,1.84,14.98,0.05
62,A.J. Brown,TEN,WR,DEN,TEN,-3.0,41.5,10.65,0.00,0.00,0.00,0.73,4.08,0.00,4.87,73.01,0.49
63,Mark Andrews,BAL,TE,CLE,BAL,-7.0,47.5,10.47,0.00,0.00,0.00,0.00,0.00,0.00,5.48,68.73,0.60
64,D.J. Moore,CAR,WR,LV,LV,3,48.0,10.37,0.00,0.00,0.00,0.99,5.47,0.00,5.53,72.45,0.43
65,Le'Veon Bell,NYJ,RB,BUF,BUF,6.5,39.0,10.30,0.00,0.00,0.00,15.10,52.34,0.34,3.47,25.44,0.08
66,Calvin Ridley,ATL,WR,SEA,ATL,-1.0,49.5,10.30,0.00,0.00,0.00,0.44,2.69,0.00,5.63,70.31,0.50
67,JuJu Smith-Schuster,PIT,WR,NYG,PIT,-6.0,44.0,10.30,0.00,0.00,0.00,0.00,0.00,0.00,5.72,76.61,0.44
68,Allen Robinson,CHI,WR,DET,DET,2.5,42.5,10.29,0.00,0.00,0.00,0.06,0.42,0.00,5.47,73.66,0.48
69,Adam Thielen,MIN,WR,GB,MIN,-1.5,44.5,10.22,0.00,0.00,0.00,0.18,1.05,0.00,5.60,75.37,0.43
70,Marvin Jones,DET,WR,CHI,DET,-2.5,42.5,10.21,0.00,0.00,0.00,0.00,0.00,0.00,5.37,66.72,0.59
71,Melvin Gordon,DEN,RB,TEN,TEN,3,41.5,10.20,0.00,0.00,0.00,14.00,53.30,0.50,2.22,15.70,0.05
72,DK Metcalf,SEA,WR,ATL,ATL,1,49.5,10.19,0.00,0.00,0.00,0.36,1.84,0.00,4.93,71.81,0.47
73,Odell Beckham,CLE,WR,BAL,BAL,7,47.5,10.19,0.45,0.06,0.00,0.22,1.35,0.00,4.82,70.96,0.45
74,Tyler Lockett,SEA,WR,ATL,ATL,1,49.5,10.16,0.00,0.00,0.00,0.25,1.80,0.00,5.10,73.40,0.44
75,David Montgomery,CHI,RB,DET,DET,2.5,42.5,10.14,0.00,0.00,0.00,14.20,53.59,0.35,2.12,18.99,0.13
76,Stefon Diggs,BUF,WR,NYJ,BUF,-6.5,39.0,10.13,0.00,0.00,0.00,0.55,2.87,0.00,5.00,69.66,0.48
77,DJ Chark,JAX,WR,IND,IND,7,44.5,10.11,0.00,0.00,0.00,0.35,1.82,0.00,4.99,71.10,0.47
78,Marquise Brown,BAL,WR,CLE,BAL,-7.0,47.5,10.09,0.00,0.00,0.00,0.36,2.28,0.00,4.61,69.85,0.48
79,Amari Cooper,DAL,WR,LAR,-,-,,9.99,0.00,0.00,0.00,0.12,0.78,0.00,4.88,70.36,0.48
80,Robert Woods,LAR,WR,DAL,-,-,,9.98,0.00,0.00,0.00,1.06,6.10,0.00,6.04,73.89,0.33
81,Terry McLaurin,WAS,WR,PHI,PHI,5.5,41.5,9.96,0.00,0.00,0.00,0.00,0.00,0.00,5.07,71.40,0.47
82,Cooper Kupp,LAR,WR,DAL,-,-,,9.95,0.00,0.00,0.00,0.13,0.76,0.00,5.67,68.72,0.50
83,T.Y. Hilton,IND,WR,JAX,IND,-7.0,44.5,9.89,0.00,0.00,0.00,0.14,0.91,0.00,5.24,68.62,0.49
84,Will Fuller,HOU,WR,KC,KC,9.5,53.5,9.88,0.00,0.00,0.00,0.00,0.00,0.00,5.20,72.44,0.44
85,Michael Gallup,DAL,WR,LAR,-,-,,9.76,0.00,0.00,0.00,0.00,0.00,0.00,5.18,70.62,0.45
86,Devin Singletary,BUF,RB,NYJ,BUF,-6.5,39.0,9.70,0.00,0.00,0.00,9.20,45.29,0.33,2.96,22.90,0.15
87,Mike Evans,TB,WR,NO,NO,4,48.5,9.59,0.00,0.00,0.00,0.00,0.00,0.00,4.57,67.66,0.47
88,Ronald Jones,TB,RB,NO,NO,4,48.5,9.44,0.00,0.00,0.00,12.20,51.97,0.37,1.76,16.65,0.06
89,DeVante Parker,MIA,WR,NE,NE,7,41.5,9.38,0.00,0.00,0.00,0.00,0.00,0.00,4.43,66.83,0.45
90,Keenan Allen,LAC,WR,CIN,LAC,-2.5,41.5,9.37,0.00,0.00,0.00,0.13,0.85,0.00,5.83,69.48,0.39
91,Boston Scott,PHI,RB,WAS,PHI,-5.5,41.5,9.23,0.00,0.00,0.00,9.40,40.03,0.22,4.18,33.62,0.09
92,Tyler Boyd,CIN,WR,LAC,LAC,2.5,41.5,9.20,0.00,0.00,0.00,0.37,1.85,0.00,5.13,67.92,0.37
93,Zack Moss,BUF,RB,NYJ,BUF,-6.5,39.0,9.17,0.00,0.00,0.00,12.10,54.61,0.43,1.38,11.32,0.00
94,James Robinson,JAX,RB,IND,IND,7,44.5,8.96,0.00,0.00,0.00,13.80,54.11,0.32,1.77,12.66,0.06
95,Julian Edelman,NE,WR,MIA,NE,-7.0,41.5,8.86,0.00,0.00,0.00,0.25,1.25,0.00,6.35,67.52,0.33
96,Zach Ertz,PHI,TE,WAS,PHI,-5.5,41.5,8.81,0.00,0.00,0.00,0.00,0.00,0.00,5.74,62.34,0.43
97,DeSean Jackson,PHI,WR,WAS,PHI,-5.5,41.5,8.79,0.00,0.00,0.00,0.16,1.05,0.00,4.13,67.61,0.32
98,John Brown,BUF,WR,NYJ,BUF,-6.5,39.0,8.77,0.00,0.00,0.00,0.14,0.85,0.00,4.20,61.03,0.43
99,Diontae Johnson,PIT,WR,NYG,PIT,-6.0,44.0,8.75,0.00,0.00,0.00,0.57,2.78,0.00,4.43,58.89,0.43
100,Jerry Jeudy,DEN,WR,TEN,TEN,3,41.5,8.72,0.00,0.00,0.00,0.26,1.32,0.00,4.95,61.85,0.40
101,Darren Waller,LV,TE,CAR,LV,-3.0,48.0,8.55,0.00,0.00,0.00,0.00,0.00,0.00,5.37,62.11,0.39
102,A.J. Green,CIN,WR,LAC,LAC,2.5,41.5,8.52,0.00,0.00,0.00,0.00,0.00,0.00,4.47,59.35,0.43
103,James White,NE,RB,MIA,NE,-7.0,41.5,8.52,0.00,0.00,0.00,5.30,22.10,0.12,5.06,40.32,0.26
104,Sammy Watkins,KC,WR,HOU,KC,-9.5,53.5,8.37,0.00,0.00,0.00,0.34,1.34,0.00,4.28,57.19,0.42
105,CeeDee Lamb,DAL,WR,LAR,-,-,,8.37,0.00,0.00,0.00,0.00,0.00,0.00,4.33,60.32,0.39
106,Jarvis Landry,CLE,WR,BAL,BAL,7,47.5,8.23,0.00,0.00,0.00,0.23,1.16,0.00,4.89,60.17,0.35
107,Brandin Cooks,HOU,WR,KC,KC,9.5,53.5,8.12,0.00,0.00,0.00,0.46,2.18,0.00,3.90,63.43,0.26
108,Darius Slayton,NYG,WR,PIT,PIT,6,44.0,8.06,0.00,0.00,0.00,0.00,0.00,0.00,4.01,56.03,0.41
109,Kendrick Bourne,SF,WR,ARI,SF,-6.5,49.0,8.06,0.00,0.00,0.00,0.00,0.00,0.00,5.29,63.80,0.28
110,Phillip Lindsay,DEN,RB,TEN,TEN,3,41.5,7.97,0.00,0.00,0.00,10.30,43.29,0.32,1.78,13.05,0.07
111,Robby Anderson,CAR,WR,LV,LV,3,48.0,7.93,0.00,0.00,0.00,0.00,0.00,0.00,3.71,54.06,0.42
112,Emmanuel Sanders,NO,WR,TB,NO,-4.0,48.5,7.87,0.00,0.00,0.00,0.00,0.00,0.00,4.36,60.06,0.31
113,Anthony Miller,CHI,WR,DET,DET,2.5,42.5,7.87,0.00,0.00,0.00,0.23,1.39,0.00,4.16,56.31,0.35
114,Henry Ruggs,LV,WR,CAR,LV,-3.0,48.0,7.84,0.00,0.00,0.00,0.46,2.24,0.00,4.21,60.58,0.26
115,Jordan Howard,MIA,RB,NE,NE,7,41.5,7.84,0.00,0.00,0.00,12.30,45.27,0.44,0.95,6.71,0.00
116,Sterling Shepard,NYG,WR,PIT,PIT,6,44.0,7.80,0.00,0.00,0.00,0.60,3.73,0.00,5.37,56.27,0.30
117,Sony Michel,NE,RB,MIA,NE,-7.0,41.5,7.73,0.00,0.00,0.00,11.50,50.19,0.35,1.07,6.12,0.00
118,Kareem Hunt,CLE,RB,BAL,BAL,7,47.5,7.70,0.00,0.00,0.00,6.00,22.74,0.29,3.32,29.05,0.13
119,Randall Cobb,HOU,WR,KC,KC,9.5,53.5,7.64,0.00,0.00,0.00,0.16,1.02,0.00,4.10,60.99,0.24
120,Antonio Gibson,WAS,RB,PHI,PHI,5.5,41.5,7.52,0.00,0.00,0.00,8.50,33.33,0.23,2.65,21.49,0.11
121,Latavius Murray,NO,RB,TB,NO,-4.0,48.5,7.50,0.00,0.00,0.00,9.00,43.03,0.32,1.35,10.35,0.04
122,James Washington,PIT,WR,NYG,PIT,-6.0,44.0,7.46,0.00,0.00,0.00,0.00,0.00,0.00,3.84,53.00,0.36
123,Tevin Coleman,SF,RB,ARI,SF,-6.5,49.0,7.43,0.00,0.00,0.00,7.70,39.58,0.34,1.11,10.15,0.07
124,N'Keal Harry,NE,WR,MIA,NE,-7.0,41.5,7.41,0.00,0.00,0.00,0.51,2.85,0.00,3.55,48.49,0.38
125,Christian Kirk,ARI,WR,SF,SF,6.5,49.0,7.37,0.00,0.00,0.00,0.39,2.27,0.00,4.47,52.22,0.32
126,Jamison Crowder,NYJ,WR,BUF,BUF,6.5,39.0,7.36,0.00,0.00,0.00,0.06,0.45,0.00,5.18,53.99,0.32
127,Breshad Perriman,NYJ,WR,BUF,BUF,6.5,39.0,7.34,0.00,0.00,0.00,0.31,1.79,0.00,3.28,53.01,0.31
128,Chris Thompson,JAX,RB,IND,IND,7,44.5,7.30,0.00,0.00,0.00,5.70,20.77,0.16,3.71,33.06,0.16
129,Tarik Cohen,CHI,RB,DET,DET,2.5,42.5,7.23,0.00,0.00,0.00,5.20,19.42,0.08,4.61,39.70,0.14
130,Hayden Hurst,ATL,TE,SEA,ATL,-1.0,49.5,7.17,0.00,0.00,0.00,0.00,0.00,0.00,4.44,50.08,0.36
131,Malcolm Brown,LAR,RB,DAL,-,-,,7.08,0.00,0.00,0.00,11.20,46.20,0.29,1.55,7.16,0.00
132,Curtis Samuel,CAR,WR,LV,LV,3,48.0,7.07,0.00,0.00,0.00,0.99,5.65,0.07,3.25,39.87,0.35
133,J.K. Dobbins,BAL,RB,CLE,BAL,-7.0,47.5,7.07,0.00,0.00,0.00,7.40,37.71,0.25,1.77,14.39,0.06
134,Justin Jefferson,MIN,WR,GB,MIN,-1.5,44.5,7.05,0.00,0.00,0.00,0.00,0.00,0.00,4.11,50.70,0.33
135,Tyler Higbee,LAR,TE,DAL,-,-,,7.05,0.00,0.00,0.00,0.00,0.00,0.00,4.38,49.48,0.35
136,Mike Williams,LAC,WR,CIN,LAC,-2.5,41.5,7.03,0.00,0.00,0.00,0.00,0.00,0.00,2.89,45.12,0.42
137,Evan Engram,NYG,TE,PIT,PIT,6,44.0,6.97,0.00,0.00,0.00,0.00,0.00,0.00,4.17,49.32,0.34
138,Hunter Henry,LAC,TE,CIN,LAC,-2.5,41.5,6.95,0.00,0.00,0.00,0.00,0.00,0.00,3.99,46.05,0.39
139,Parris Campbell,IND,WR,JAX,IND,-7.0,44.5,6.91,0.00,0.00,0.00,0.53,3.02,0.00,3.55,46.29,0.33
140,Cam Akers,LAR,RB,DAL,-,-,,6.90,0.00,0.00,0.00,8.10,36.60,0.25,1.72,15.58,0.03
141,Matt Breida,MIA,RB,NE,NE,7,41.5,6.90,0.00,0.00,0.00,8.70,34.17,0.22,2.93,21.67,0.00
142,Bryan Edwards,LV,WR,CAR,LV,-3.0,48.0,6.89,0.00,0.00,0.00,0.00,0.00,0.00,3.87,51.45,0.29
143,Jared Cook,NO,TE,TB,NO,-4.0,48.5,6.87,0.00,0.00,0.00,0.00,0.00,0.00,3.25,43.49,0.42
144,Jonnu Smith,TEN,TE,DEN,TEN,-3.0,41.5,6.86,0.00,0.00,0.00,0.00,0.00,0.00,4.41,48.19,0.34
145,Jack Doyle,IND,TE,JAX,IND,-7.0,44.5,6.84,0.00,0.00,0.00,0.00,0.00,0.00,4.46,44.42,0.40
146,T.J. Hockenson,DET,TE,CHI,DET,-2.5,42.5,6.84,0.00,0.00,0.00,0.00,0.00,0.00,4.20,44.43,0.40
147,Corey Davis,TEN,WR,DEN,TEN,-3.0,41.5,6.82,0.00,0.00,0.00,0.00,0.00,0.00,3.51,50.80,0.29
148,Mecole Hardman,KC,WR,HOU,KC,-9.5,53.5,6.79,0.00,0.00,0.00,0.31,2.36,0.00,2.83,46.92,0.31
149,Austin Hooper,CLE,TE,BAL,BAL,7,47.5,6.70,0.00,0.00,0.00,0.00,0.00,0.00,4.09,42.35,0.41
150,Corey Clement,PHI,RB,WAS,PHI,-5.5,41.5,6.68,0.00,0.00,0.00,10.80,45.90,0.17,1.78,7.08,0.06
151,Chris Herndon,NYJ,TE,BUF,BUF,6.5,39.0,6.58,0.00,0.00,0.00,0.00,0.00,0.00,4.25,45.44,0.34
152,Chris Conley,JAX,WR,IND,IND,7,44.5,6.56,0.00,0.00,0.00,0.00,0.00,0.00,2.93,46.96,0.31
153,Noah Fant,DEN,TE,TEN,TEN,3,41.5,6.52,0.00,0.00,0.00,0.00,0.00,0.00,4.43,44.75,0.34
154,Scotty Miller,TB,WR,NO,NO,4,48.5,6.45,0.00,0.00,0.00,0.27,1.57,0.00,3.28,50.37,0.21
155,Eric Ebron,PIT,TE,NYG,PIT,-6.0,44.0,6.41,0.00,0.00,0.00,0.00,0.00,0.00,4.15,46.12,0.30
156,Tyler Eifert,JAX,TE,IND,IND,7,44.5,6.40,0.00,0.00,0.00,0.00,0.00,0.00,4.07,38.76,0.42
157,Leonard Fournette,TB,RB,NO,NO,4,48.5,6.34,0.00,0.00,0.00,8.80,35.85,0.29,0.85,8.36,0.03
158,Blake Jarwin,DAL,TE,LAR,-,-,,6.29,0.00,0.00,0.00,0.00,0.00,0.00,4.07,45.45,0.29
159,Preston Williams,MIA,WR,NE,NE,7,41.5,6.17,0.00,0.00,0.00,0.00,0.00,0.00,3.28,46.06,0.26
160,Jalen Reagor,PHI,WR,WAS,PHI,-5.5,41.5,6.16,0.00,0.00,0.00,0.14,0.74,0.00,3.24,44.01,0.28
161,Cole Beasley,BUF,WR,NYJ,BUF,-6.5,39.0,6.08,0.00,0.00,0.00,0.00,0.00,0.00,3.96,44.02,0.28
162,Dallas Goedert,PHI,TE,WAS,PHI,-5.5,41.5,5.99,0.00,0.00,0.00,0.00,0.00,0.00,3.91,41.32,0.31
163,D'Andre Swift,DET,RB,CHI,DET,-2.5,42.5,5.97,0.00,0.00,0.00,6.00,26.37,0.15,2.48,20.16,0.07
164,Rex Burkhead,NE,RB,MIA,NE,-7.0,41.5,5.91,0.00,0.00,0.00,6.00,28.35,0.21,1.84,18.12,0.00
165,Mike Gesicki,MIA,TE,NE,NE,7,41.5,5.90,0.00,0.00,0.00,0.00,0.00,0.00,3.57,41.61,0.29
166,Hunter Renfrow,LV,WR,CAR,LV,-3.0,48.0,5.85,0.00,0.00,0.00,0.00,0.00,0.00,3.43,44.69,0.23
167,Carlos Hyde,SEA,RB,ATL,ATL,1,49.5,5.77,0.00,0.00,0.00,8.30,35.88,0.26,0.80,6.18,0.00
168,Allen Lazard,GB,WR,MIN,MIN,1.5,44.5,5.75,0.00,0.00,0.00,0.29,1.72,0.00,3.16,41.95,0.23
169,Greg Olsen,SEA,TE,ATL,ATL,1,49.5,5.71,0.00,0.00,0.00,0.00,0.00,0.00,3.96,44.54,0.21
170,Rob Gronkowski,TB,TE,NO,NO,4,48.5,5.71,0.00,0.00,0.00,0.00,0.00,0.00,2.90,36.08,0.35
171,Duke Johnson,HOU,RB,KC,KC,9.5,53.5,5.65,0.00,0.00,0.00,5.00,19.74,0.11,3.02,23.51,0.11
172,Ian Thomas,CAR,TE,LV,LV,3,48.0,5.65,0.00,0.00,0.00,0.00,0.00,0.00,4.29,42.11,0.24
173,Steven Sims,WAS,WR,PHI,PHI,5.5,41.5,5.64,0.00,0.00,0.00,1.28,7.57,0.00,3.48,41.59,0.12
174,Marquez Valdes-Scantling,GB,WR,MIN,MIN,1.5,44.5,5.61,0.00,0.00,0.00,0.00,0.00,0.00,2.76,42.26,0.23
175,Michael Pittman,IND,WR,JAX,IND,-7.0,44.5,5.57,0.00,0.00,0.00,0.00,0.00,0.00,3.41,41.29,0.24
176,Tre'Quan Smith,NO,WR,TB,NO,-4.0,48.5,5.48,0.00,0.00,0.00,0.00,0.00,0.00,2.94,35.03,0.33
177,Van Jefferson,LAR,WR,DAL,-,-,,5.48,0.00,0.00,0.00,0.00,0.00,0.00,3.26,42.23,0.21
178,Miles Boykin,BAL,WR,CLE,BAL,-7.0,47.5,5.39,0.00,0.00,0.00,0.00,0.00,0.00,2.99,36.47,0.29
179,John Ross,CIN,WR,LAC,LAC,2.5,41.5,5.36,0.00,0.00,0.00,0.30,1.55,0.00,2.26,37.69,0.24
180,Kenny Stills,HOU,WR,KC,KC,9.5,53.5,5.35,0.00,0.00,0.00,0.00,0.00,0.00,2.44,40.34,0.22
181,Dawson Knox,BUF,TE,NYJ,BUF,-6.5,39.0,5.33,0.00,0.00,0.00,0.00,0.00,0.00,3.56,35.33,0.30
182,Zach Pascal,IND,WR,JAX,IND,-7.0,44.5,5.28,0.00,0.00,0.00,0.13,1.00,0.00,2.48,35.55,0.27
183,Peyton Barber,WAS,RB,PHI,PHI,5.5,41.5,5.11,0.00,0.00,0.00,7.70,25.96,0.38,0.33,2.34,0.00
184,Justin Watson,TB,WR,NO,NO,4,48.5,5.08,0.00,0.00,0.00,0.00,0.00,0.00,2.95,34.62,0.27
185,Larry Fitzgerald,ARI,WR,SF,SF,6.5,49.0,5.07,0.00,0.00,0.00,0.00,0.00,0.00,3.84,39.25,0.19
186,Logan Thomas,WAS,TE,PHI,PHI,5.5,41.5,5.05,0.00,0.00,0.00,0.00,0.00,0.00,2.98,31.28,0.32
187,Danny Amendola,DET,WR,CHI,DET,-2.5,42.5,4.99,0.00,0.00,0.00,0.00,0.00,0.00,4.13,45.06,0.08
188,Darrell Henderson,LAR,RB,DAL,-,-,,4.94,0.00,0.00,0.00,4.60,19.99,0.22,1.29,12.65,0.06
189,Jimmy Graham,CHI,TE,DET,DET,2.5,42.5,4.90,0.00,0.00,0.00,0.00,0.00,0.00,2.64,31.57,0.29
190,Alexander Mattison,MIN,RB,GB,MIN,-1.5,44.5,4.85,0.00,0.00,0.00,6.40,29.74,0.20,0.84,6.73,0.00
191,Russell Gage,ATL,WR,SEA,ATL,-1.0,49.5,4.82,0.00,0.00,0.00,0.00,0.00,0.00,3.92,44.61,0.06
192,O.J. Howard,TB,TE,NO,NO,4,48.5,4.81,0.00,0.00,0.00,0.00,0.00,0.00,3.26,36.69,0.19
