,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
John Brown,BUF,WR,15,115,72,1060,1647,14.3,1.8,839,62.6,5.2,37.0,23.9,221,3.1,20.8,2,0
Tyler Lockett,SEA,WR,16,110,82,1057,1358,12.3,1.3,740,74.5,3.6,30.2,22.4,317,3.9,30.0,3,2
George Kittle,SF,TE,14,107,85,1053,609,5.7,0.7,430,79.4,1.9,20.2,23.0,623,7.3,59.2,2,2
A.J. Brown,TEN,WR,16,84,52,1051,1119,13.3,1.6,588,61.9,2.4,29.7,19.6,463,8.9,44.1,0,2
Tyler Boyd,CIN,WR,16,148,90,1046,1378,9.3,1.4,674,60.8,3.4,28.7,25.1,372,4.1,35.6,4,0
Odell Beckham,CLE,WR,16,133,74,1035,1720,12.8,1.7,704,55.2,6.0,39.1,25.9,331,4.5,32.0,8,1
DJ Chark,JAX,WR,15,118,73,1008,1413,11.9,1.6,698,61.3,3.4,33.1,21.1,314,4.3,31.2,4,1
Christian McCaffrey,CAR,RB,16,142,116,1005,82,0.6,0.1,-4,81.7,4.9,1.6,23.7,1009,8.7,100.4,0,0
Mike Williams,LAC,WR,15,89,49,1001,1557,17.3,1.8,787,54.4,3.3,31.6,15.6,214,4.4,21.4,5,0
Davante Adams,GB,WR,12,127,83,997,1264,10.0,1.8,598,65.4,6.3,26.8,23.7,399,4.8,40.0,5,0
Austin Ekeler,LAC,RB,16,108,92,993,134,1.2,0.2,48,85.2,0.9,2.7,18.7,966,10.5,97.3,2,0
Terry McLaurin,WAS,WR,14,93,58,919,1287,13.8,1.6,693,62.4,5.4,36.8,20.0,226,3.9,24.6,3,0
Zach Ertz,PHI,TE,15,135,88,916,1126,8.4,1.2,638,65.7,5.2,23.6,22.4,278,3.2,30.3,1,0
DK Metcalf,SEA,WR,16,100,58,900,1295,13.0,1.4,615,58.0,7.0,28.8,20.4,285,4.9,31.7,1,1
Calvin Ridley,ATL,WR,13,93,63,866,1241,13.5,1.7,720,68.5,3.3,23.3,14.1,146,2.3,16.9,3,0
Tyreek Hill,KC,WR,12,89,58,860,1120,12.6,2.0,581,65.2,3.4,24.1,16.0,279,4.8,32.4,0,0
Mark Andrews,BAL,TE,15,98,64,852,1025,10.4,2.2,552,64.6,4.0,28.5,23.3,300,4.7,35.2,0,2
Jamison Crowder,NYJ,WR,16,122,78,833,955,7.8,1.2,475,63.9,5.7,24.4,24.7,359,4.6,43.1,0,1
Randall Cobb,DAL,WR,15,83,55,828,789,9.5,1.1,477,66.3,12.0,14.5,14.3,351,6.4,42.4,0,0
Larry Fitzgerald,ARI,WR,16,109,75,804,847,7.8,0.9,456,69.4,1.9,22.1,20.7,348,4.6,43.3,2,0
Deebo Samuel,SF,WR,15,81,57,802,603,7.5,0.8,328,71.3,10.0,20.0,17.2,487,8.5,60.7,1,0
Austin Hooper,ATL,TE,13,97,75,787,649,6.8,0.9,458,78.1,3.1,12.2,14.7,329,4.4,41.8,1,1
Robby Anderson,NYJ,WR,16,96,52,779,1448,15.1,1.5,585,54.2,2.1,37.0,19.5,194,3.7,24.9,4,2
Marvin Jones,DET,WR,13,91,62,779,1232,13.2,1.5,658,66.7,5.4,23.1,16.8,121,2.0,15.5,2,0
Cole Beasley,BUF,WR,15,106,67,778,805,7.6,1.1,425,63.2,5.7,18.1,22.0,353,5.3,45.4,1,0
Chris Conley,JAX,WR,16,90,47,775,1260,14.3,1.4,528,53.4,5.7,29.5,15.6,247,5.3,31.9,1,1
Darius Slayton,NYG,WR,14,84,48,740,1119,14.0,1.6,546,57.1,2.4,23.8,14.3,194,4.0,26.2,2,0
James Washington,PIT,WR,15,80,44,735,1183,15.2,1.8,532,56.4,7.7,32.0,16.2,203,4.6,27.6,7,1
Tyler Higbee,LAR,TE,15,89,69,734,569,6.4,0.8,324,77.5,2.2,12.4,14.6,410,5.9,55.9,0,0
Christian Kirk,ARI,WR,13,108,68,709,1014,9.6,1.3,409,64.2,1.9,26.5,20.3,300,4.4,42.3,5,1
Jared Cook,NO,TE,14,65,43,705,669,10.5,1.3,451,67.2,6.3,18.5,11.5,254,5.9,36.0,1,1
Diontae Johnson,PIT,WR,16,92,59,680,829,9.1,1.2,371,64.8,5.5,22.4,18.9,309,5.2,45.4,2,2
Danny Amendola,DET,WR,15,97,62,678,822,8.6,1.3,459,64.6,7.3,15.4,17.4,219,3.5,32.3,1,1
Golden Tate,NYG,WR,11,85,49,676,849,9.9,1.3,390,57.0,4.7,18.0,14.7,290,5.9,42.9,3,0
Sammy Watkins,KC,WR,14,90,52,673,861,9.6,1.2,366,57.8,4.4,18.6,16.2,307,5.9,45.6,1,3
Will Fuller,HOU,WR,11,71,49,670,1007,14.2,1.7,448,69.0,5.6,23.0,13.8,222,4.5,33.1,1,0
Dede Westbrook,JAX,WR,15,101,66,660,714,7.0,0.9,347,64.7,5.9,16.7,18.1,313,4.7,47.4,1,1
Anthony Miller,CHI,WR,16,85,52,656,812,9.7,1.2,423,61.9,4.8,18.6,14.8,237,4.6,36.1,0,1
Hunter Henry,LAC,TE,12,76,55,652,725,9.5,1.2,475,72.4,3.9,14.7,13.2,177,3.2,27.1,2,1
Tyrell Williams,OAK,WR,14,64,42,651,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
James White,NE,RB,15,95,72,645,203,2.2,0.4,100,76.6,3.2,4.6,16.1,545,7.6,84.5,0,1
Breshad Perriman,TB,WR,14,69,36,645,1122,16.0,1.7,507,51.4,0.0,17.9,11.6,138,3.8,21.4,2,0
Curtis Samuel,CAR,WR,16,105,54,627,1520,14.3,1.6,473,50.9,6.6,30.1,17.7,158,2.9,25.2,3,0
Dallas Goedert,PHI,TE,15,87,58,607,512,6.0,0.7,248,67.4,3.5,10.7,14.4,359,6.2,59.1,0,0
Zach Pascal,IND,WR,16,72,41,607,852,11.7,1.1,368,56.2,4.1,21.9,15.0,239,5.8,39.4,3,1
Hunter Renfrow,OAK,WR,13,71,49,605,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Corey Davis,TEN,WR,15,69,43,601,832,12.1,1.1,382,62.3,4.3,22.1,16.1,219,5.1,36.4,3,0
Greg Olsen,CAR,TE,14,82,52,597,713,8.7,0.9,374,63.4,3.7,14.1,13.7,223,4.3,37.4,0,1
Marquise Brown,BAL,WR,14,71,46,584,753,10.6,1.3,351,64.8,4.2,20.9,16.7,233,5.1,39.9,2,0
Brandin Cooks,LAR,WR,14,72,42,583,964,13.6,1.3,410,59.2,5.6,21.0,11.7,181,4.3,31.0,1,0
Sterling Shepard,NYG,WR,10,83,57,576,809,9.7,1.3,398,68.7,3.6,17.2,14.2,178,3.1,30.9,1,2
Auden Tate,CIN,WR,12,80,40,575,970,12.0,1.5,429,49.4,3.7,20.2,13.8,146,3.7,25.4,7,0
Mike Gesicki,MIA,TE,16,89,51,570,865,9.8,1.2,379,58.0,0.0,16.5,14.6,191,3.7,33.5,2,1
Noah Fant,DEN,TE,16,65,40,562,512,7.9,0.7,230,61.5,6.2,15.3,13.6,332,8.3,59.1,0,1
Kenny Stills,HOU,WR,13,55,40,561,552,10.2,0.9,415,74.1,5.6,12.6,10.5,146,3.7,26.0,0,0
JuJu Smith-Schuster,PIT,WR,12,69,42,552,664,9.2,1.1,309,58.3,8.3,18.0,14.9,243,5.8,44.0,4,2
Mecole Hardman,KC,WR,16,41,26,538,462,11.3,1.0,238,63.4,2.4,10.0,7.4,300,11.5,55.8,4,0
Alvin Kamara,NO,RB,14,97,81,533,22,0.2,0.0,-34,82.7,4.1,0.6,17.6,570,7.0,106.9,1,1
Alex Erickson,CIN,WR,16,78,43,529,688,8.8,1.1,296,55.1,6.4,14.3,13.2,233,5.4,44.0,0,0
Jason Witten,DAL,TE,16,83,63,529,531,6.4,0.6,358,75.9,7.2,9.8,14.3,183,2.9,34.6,1,1
Leonard Fournette,JAX,RB,15,100,76,522,7,0.1,0.0,-39,76.0,5.0,0.2,17.7,566,7.4,108.4,0,1
Dalvin Cook,MIN,RB,14,63,53,519,-93,-1.5,-0.2,-75,85.5,11.3,-2.8,14.2,604,11.4,116.4,0,0
Miles Sanders,PHI,RB,16,63,50,509,114,1.8,0.2,87,80.6,4.8,2.4,10.4,422,8.4,82.9,0,0
John Ross,CIN,WR,8,56,28,506,847,15.1,2.1,301,50.0,12.5,17.6,9.5,205,7.3,40.5,1,0
Emmanuel Sanders,SF,WR,10,53,36,502,577,10.9,1.2,374,67.9,5.7,19.2,11.4,128,3.6,25.5,4,0
T.Y. Hilton,IND,WR,10,68,45,501,682,9.9,1.4,279,65.2,2.9,17.5,14.2,222,4.9,44.3,3,1
Alshon Jeffery,PHI,WR,10,73,43,490,794,11.0,1.6,364,59.7,5.6,16.7,12.0,126,2.9,25.7,1,1
Allen Lazard,GB,WR,16,52,35,477,720,13.8,1.5,333,67.3,9.6,15.2,9.7,144,4.1,30.2,2,1
Aaron Jones,GB,RB,16,68,49,474,161,2.5,0.2,20,75.4,4.6,3.4,12.1,454,9.3,95.8,0,2
Evan Engram,NYG,TE,8,68,44,467,417,6.0,0.9,208,63.8,4.3,8.9,11.8,259,5.9,55.5,0,0
Le'Veon Bell,NYJ,RB,15,78,66,461,24,0.3,0.0,10,83.5,2.5,0.6,16.0,451,6.8,97.8,0,1
O.J. Howard,TB,TE,14,53,34,459,518,9.6,0.7,294,63.0,11.1,8.3,8.9,165,4.9,35.9,1,1
Tarik Cohen,CHI,RB,16,104,79,456,170,1.7,0.3,12,76.7,7.8,3.9,18.1,444,5.6,97.4,1,0
Marquez Valdes-Scantling,GB,WR,16,56,26,452,910,16.9,1.6,295,48.1,3.7,19.3,10.1,157,6.0,34.7,2,0
Demarcus Robinson,KC,WR,16,55,32,449,703,13.0,0.9,343,59.3,1.9,15.2,9.7,106,3.3,23.6,2,0
Jack Doyle,IND,TE,16,72,43,448,466,6.6,0.6,225,60.6,7.0,12.0,14.6,223,5.2,49.8,1,1
Jimmy Graham,GB,TE,16,60,38,447,589,9.7,0.9,188,62.3,6.6,12.5,11.4,259,6.8,57.9,3,2
Russell Gage,ATL,WR,16,74,49,446,524,7.1,1.0,281,66.2,6.8,9.9,11.3,171,3.5,38.3,0,0
Jonnu Smith,TEN,TE,16,45,35,439,221,5.0,0.3,158,79.5,2.3,5.9,10.3,292,8.3,66.5,1,0
Saquon Barkley,NYG,RB,13,73,52,438,51,0.7,0.1,1,72.2,5.6,1.1,12.3,437,8.4,99.8,0,0
Tyler Eifert,CIN,TE,16,63,43,436,497,8.0,1.0,319,69.4,8.1,10.4,10.5,117,2.7,26.8,1,0
Demaryius Thomas,NYJ,WR,11,58,36,433,567,9.6,1.2,253,61.0,10.2,14.5,12.0,180,5.0,41.6,3,1
Preston Williams,MIA,WR,8,60,32,428,842,14.0,2.0,358,53.3,6.7,16.0,10.0,70,2.2,16.4,2,0
Ted Ginn,NO,WR,16,56,30,421,885,15.8,1.4,372,53.6,8.9,24.5,10.1,49,1.6,11.6,1,0
Ezekiel Elliott,DAL,RB,16,71,54,420,41,0.6,0.0,17,76.1,9.9,0.8,12.2,406,7.5,96.7,1,0
Adam Thielen,MIN,WR,10,48,30,418,592,12.3,1.3,299,62.5,6.3,17.7,11.0,119,4.0,28.5,2,1
Jordan Akins,HOU,TE,16,55,36,418,365,6.8,0.5,163,66.7,5.6,8.3,10.5,255,7.1,61.0,0,0
Allen Hurns,MIA,WR,14,47,32,416,516,10.8,1.0,320,66.7,10.4,9.8,8.0,96,3.0,23.1,1,0
Duke Johnson,HOU,RB,16,62,44,410,150,2.4,0.3,43,71.0,1.6,3.4,12.1,367,8.3,89.5,1,0
Devonta Freeman,ATL,RB,14,70,59,410,61,0.9,0.1,47,85.5,2.9,1.1,10.6,363,6.2,88.5,0,0
Gerald Everett,LAR,TE,13,60,37,408,454,7.4,1.0,221,60.7,1.6,9.9,10.0,187,5.1,45.8,1,0
Phillip Dorsett,NE,WR,14,54,29,397,761,14.4,1.3,315,54.7,1.9,17.3,9.1,82,2.8,20.7,3,1
Dawson Knox,BUF,TE,15,50,28,388,460,9.4,0.7,240,57.1,14.3,10.3,10.2,148,5.3,38.1,1,0
Chris Thompson,WAS,RB,11,58,42,378,90,1.6,0.3,28,72.4,0.0,2.6,12.5,350,8.3,92.6,0,0
Eric Ebron,IND,TE,11,52,31,375,464,9.1,1.4,208,60.8,11.8,11.9,10.5,167,5.4,44.5,1,1
Adam Humphries,TEN,WR,12,47,37,374,331,7.0,0.8,247,78.7,2.1,8.8,11.0,127,3.4,34.0,1,0
David Johnson,ARI,RB,13,47,36,370,167,3.6,0.4,138,76.6,2.1,4.4,9.0,232,6.4,62.7,1,0
Emmanuel Sanders,DEN,WR,7,44,30,367,431,10.0,1.2,251,69.8,0.0,12.9,9.0,116,3.9,31.6,2,0
Kyle Rudolph,MIN,TE,16,48,39,367,307,6.5,0.4,174,83.0,0.0,9.2,10.8,193,4.9,52.6,2,0
T.J. Hockenson,DET,TE,12,59,32,367,462,8.0,0.9,166,55.2,3.4,8.7,10.5,201,6.3,54.8,0,0
Kelvin Harmon,WAS,WR,16,44,30,365,497,11.3,1.0,269,68.2,4.5,14.2,9.5,96,3.2,26.3,0,0
Blake Jarwin,DAL,TE,16,41,31,365,466,10.6,1.1,208,70.5,2.3,8.6,7.6,157,5.1,43.0,0,0
Nelson Agholor,PHI,WR,11,69,39,363,775,11.2,1.1,217,56.5,5.8,16.3,11.5,148,3.8,40.8,1,0
Keelan Cole,JAX,WR,16,35,24,361,386,10.7,1.0,255,66.7,2.8,9.0,6.4,106,4.4,29.4,1,0
Jakobi Meyers,NE,WR,15,41,26,359,422,10.3,1.0,235,63.4,7.3,9.6,7.0,124,4.8,34.5,3,1
Damiere Byrd,ARI,WR,11,46,32,359,438,9.5,1.0,209,69.6,0.0,11.4,8.8,150,4.7,41.8,1,1
Kendrick Bourne,SF,WR,16,44,30,358,361,8.2,0.8,232,68.2,6.8,12.0,9.4,126,4.2,35.2,1,0
Taylor Gabriel,CHI,WR,9,48,29,353,556,11.3,1.2,271,59.2,12.2,12.7,8.6,82,2.8,23.2,0,1
Albert Wilson,MIA,WR,13,62,43,351,332,5.4,0.8,166,69.4,9.7,6.3,10.3,185,4.3,52.7,0,1
Jacob Hollister,SEA,TE,11,59,41,349,337,5.7,0.6,167,69.5,1.7,7.5,12.0,182,4.4,52.1,1,0
Hayden Hurst,BAL,TE,16,39,30,349,334,8.6,0.7,197,76.9,2.6,9.3,9.2,152,5.1,43.6,0,0
Darren Fells,HOU,TE,16,48,34,341,234,5.0,0.3,174,72.3,8.5,5.3,9.2,167,4.9,49.0,0,0
Willie Snead,BAL,WR,16,46,31,339,381,8.5,0.6,201,68.9,6.7,10.6,10.6,138,4.5,40.7,0,0
Tajae Sharpe,TEN,WR,15,35,25,329,495,14.1,1.1,269,71.4,0.0,13.2,8.2,60,2.4,18.2,1,0
Josh Reynolds,LAR,WR,16,43,21,326,463,10.8,0.9,184,48.8,2.3,10.1,7.1,142,6.8,43.6,0,0
Jalen Richard,OAK,RB,16,43,36,323,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Nick Boyle,BAL,TE,16,43,31,321,256,6.0,0.3,157,72.1,4.7,7.1,10.1,164,5.3,51.1,0,0
Ryan Griffin,NYJ,TE,13,41,34,320,206,5.0,0.3,136,82.9,4.9,5.3,8.3,184,5.4,57.5,0,1
Nyheim Hines,IND,RB,16,58,44,320,72,1.2,0.2,0,75.9,8.6,1.8,11.9,329,7.5,102.8,0,0
Mohamed Sanu,ATL,WR,7,42,33,313,277,6.6,0.7,183,78.6,2.4,5.2,6.4,132,4.0,42.2,1,0
Cameron Brate,TB,TE,16,55,36,311,376,6.8,0.9,210,65.5,5.5,6.0,9.1,117,3.3,37.6,0,0
Irv Smith,MIN,TE,16,47,36,311,277,5.8,0.4,176,75.0,4.2,8.3,11.0,147,4.1,47.3,1,0
Steven Sims,WAS,WR,16,56,34,310,395,7.1,1.3,144,60.7,10.7,11.3,12.1,166,4.9,53.5,3,0
Ronald Jones,TB,RB,16,40,31,309,24,0.6,0.1,4,75.6,2.4,0.4,6.8,305,9.8,98.7,0,0
Jaylen Samuels,PIT,RB,14,57,47,305,-54,-0.9,-0.1,-64,82.5,8.8,-1.5,11.8,369,7.9,121.0,1,0
David Moore,SEA,WR,14,34,17,301,475,14.0,1.5,165,50.0,5.9,10.5,6.9,136,8.0,45.2,0,0
Cody Latimer,NYG,WR,15,42,24,300,527,12.5,1.4,218,57.1,4.8,11.2,7.2,82,3.4,27.3,1,2
DaeSean Hamilton,DEN,WR,16,52,28,297,422,8.3,0.6,166,54.9,7.8,12.6,10.7,131,4.7,44.1,0,0
Melvin Gordon,LAC,RB,12,55,42,296,-47,-0.9,-0.1,-32,76.4,7.3,-1.0,9.5,328,7.8,110.8,0,0
Jarius Wright,CAR,WR,16,58,28,296,612,10.6,0.9,201,48.3,10.3,12.1,9.7,95,3.4,32.1,1,0
Bisi Johnson,MIN,WR,16,45,31,294,421,9.8,0.8,225,72.1,2.3,12.6,9.8,69,2.2,23.5,1,0
DeAndre Washington,OAK,RB,16,41,36,292,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Geronimo Allison,GB,WR,16,55,34,287,386,7.1,0.6,164,63.0,13.0,8.2,10.1,126,3.7,43.4,1,0
Joe Mixon,CIN,RB,16,45,35,287,-23,-0.5,0.0,-49,77.8,2.2,-0.5,7.6,336,9.6,117.1,0,0
Josh Gordon,NE,WR,6,36,20,287,355,9.9,1.1,152,55.6,5.6,8.1,6.2,135,6.8,47.0,1,0
Dare Ogunbowale,TB,RB,16,46,35,286,111,2.4,0.3,68,76.1,6.5,1.8,7.6,218,6.2,76.2,0,0
Kareem Hunt,CLE,RB,8,44,37,285,28,0.6,0.1,4,84.1,4.5,0.6,8.5,281,7.6,98.6,0,0
Rex Burkhead,NE,RB,13,38,27,279,110,2.9,0.4,44,71.1,2.6,2.5,6.5,235,8.7,84.2,0,0
Nick Chubb,CLE,RB,16,49,36,278,-40,-0.8,-0.1,-42,73.5,6.1,-0.9,9.5,320,8.9,115.1,0,1
Marcus Johnson,IND,WR,8,33,17,277,569,16.7,1.4,230,50.0,11.8,14.6,7.0,47,2.8,17.0,1,0
Vance McDonald,PIT,TE,14,55,38,273,250,4.5,0.4,100,69.1,7.3,6.8,11.4,173,4.6,63.4,0,0
Seth Roberts,BAL,WR,16,35,21,271,338,9.7,0.6,200,60.0,2.9,9.4,8.3,71,3.4,26.2,0,0
Kaden Smith,NYG,TE,9,42,31,268,235,5.7,0.5,176,75.6,2.4,5.0,7.0,92,3.0,34.3,0,0
Chris Carson,SEA,RB,15,47,37,266,-46,-1.0,-0.1,-54,80.4,6.5,-1.0,9.4,320,8.6,120.3,0,0
Dontrelle Inman,LAC,WR,8,26,16,264,428,16.5,1.5,230,61.5,7.7,4.3,2.3,34,2.1,12.9,2,0
Will Dissly,SEA,TE,6,27,23,262,252,9.3,1.0,186,85.2,0.0,5.6,5.5,76,3.3,29.0,0,0
Marvin Hall,DET,WR,9,11,7,261,297,27.0,2.3,226,63.6,0.0,5.6,2.0,35,5.0,13.4,0,0
Royce Freeman,DEN,RB,16,50,43,256,3,0.1,0.0,-9,86.0,2.0,0.1,10.5,265,6.2,103.5,0,0
Greg Ward,PHI,WR,7,40,28,254,268,6.9,0.9,150,71.8,0.0,5.6,6.5,104,3.7,40.9,0,0
Isaiah McKenzie,BUF,WR,15,39,27,254,189,4.7,0.4,46,67.5,5.0,4.2,8.3,208,7.7,81.9,0,0
Keke Coutee,HOU,WR,9,36,22,254,268,7.4,0.8,114,61.1,8.3,6.1,7.0,140,6.4,55.1,0,0
Jamaal Williams,GB,RB,14,45,39,253,-36,-0.8,-0.1,-26,86.7,2.2,-0.8,8.4,279,7.2,110.3,0,0
James Conner,PIT,RB,10,38,34,251,-60,-1.5,-0.2,-50,87.2,0.0,-1.6,8.1,301,8.9,119.9,0,0
Mark Ingram,BAL,RB,15,29,26,247,33,1.1,0.1,17,89.7,0.0,0.9,6.8,230,8.8,93.1,0,1
Paul Richardson,WAS,WR,10,42,28,245,388,9.2,0.9,191,66.7,4.8,11.1,9.1,54,1.9,22.0,1,0
Malik Turner,SEA,WR,15,22,15,245,244,11.6,1.0,140,71.4,14.3,5.4,4.3,105,7.0,42.9,1,0
Isaiah Ford,MIA,WR,8,35,23,244,284,8.1,1.3,155,65.7,2.9,5.4,5.8,89,3.9,36.5,1,0
Pharoh Cooper,ARI,WR,12,33,25,243,301,9.1,1.3,165,75.8,6.1,7.9,6.3,81,3.2,33.3,1,1
C.J. Uzomah,CIN,TE,16,40,27,242,153,3.8,0.2,107,67.5,7.5,3.2,6.8,135,5.0,55.8,0,0
Jeremy Sprinkle,WAS,TE,16,40,26,241,246,6.2,0.4,138,65.0,12.5,7.0,8.6,103,4.0,42.7,0,1
Kyle Juszczyk,SF,FB,12,24,20,239,136,5.7,0.3,80,83.3,0.0,4.5,5.2,159,8.0,66.5,1,0
Charles Clay,ARI,TE,15,24,18,237,165,6.9,0.4,141,75.0,0.0,4.3,4.6,96,5.3,40.5,0,1
Latavius Murray,NO,RB,16,43,34,235,-50,-1.2,-0.1,-53,79.1,7.0,-1.4,7.7,313,9.2,133.2,0,0
Giovani Bernard,CIN,RB,16,43,30,234,1,0.0,0.0,16,69.8,4.7,0.0,7.3,218,7.3,93.2,0,0
Taysom Hill,NO,QB,16,22,19,234,103,4.7,0.4,83,86.4,4.5,2.9,4.0,151,7.9,64.5,0,0
Tre'Quan Smith,NO,WR,11,25,18,234,225,9.0,0.5,120,72.0,8.0,6.2,4.5,114,6.3,48.7,1,1
J.D. McKissic,DET,RB,16,42,34,233,3,0.1,0.0,-8,81.0,0.0,0.1,7.6,241,7.1,103.4,0,2
Ricky Seals-Jones,CLE,TE,14,22,14,229,245,11.1,1.0,129,63.6,4.5,5.6,4.3,100,7.1,43.7,0,0
Josh Hill,NO,TE,16,35,25,226,141,4.3,0.2,68,75.8,6.1,3.9,5.9,158,6.3,69.9,0,0
Vyncint Smith,NYJ,WR,13,31,17,225,342,11.0,1.1,115,54.8,6.5,8.7,6.3,110,6.5,48.9,1,0
Jaron Brown,SEA,WR,14,28,16,220,247,8.8,0.7,153,57.1,7.1,5.5,5.7,61,3.8,27.7,0,0
Jake Kumerow,GB,WR,14,21,12,219,295,14.8,0.9,126,60.0,5.0,6.2,3.7,93,7.8,42.5,0,1
Tim Patrick,DEN,WR,8,31,16,218,328,10.3,1.1,173,50.0,6.3,9.8,6.7,45,2.8,20.6,0,0
Delanie Walker,TEN,TE,7,31,21,215,234,7.5,1.2,142,67.7,3.2,6.2,7.2,73,3.5,34.0,1,0
Damien Williams,KC,RB,11,37,30,213,22,0.6,0.1,-28,81.1,2.7,0.5,6.7,248,8.3,116.4,1,0
Mohamed Sanu,NE,WR,8,47,26,207,368,7.8,1.0,131,55.3,6.4,8.4,8.0,76,2.9,36.7,2,1
Todd Gurley,LAR,RB,15,49,31,207,37,0.8,0.0,12,64.6,10.4,0.8,7.9,195,6.3,94.2,1,0
Derrick Henry,TEN,RB,15,24,18,206,-56,-2.2,-0.1,-36,72.0,12.0,-1.5,5.8,252,14.0,122.3,0,0
Anthony Firkser,TEN,TE,15,24,14,204,220,9.2,1.1,132,58.3,4.2,5.8,5.6,72,5.1,35.3,1,0
Boston Scott,PHI,RB,11,26,24,204,-55,-2.1,-0.3,-77,92.3,3.8,-1.2,4.3,281,11.7,137.7,1,0
Patrick Laird,MIA,RB,15,30,23,204,26,0.9,0.1,20,79.3,13.8,0.5,4.8,194,8.4,95.1,0,0
Maxx Williams,ARI,TE,16,18,15,202,122,6.8,0.2,88,83.3,5.6,3.2,3.4,114,7.6,56.4,0,0
Scotty Miller,TB,WR,10,26,13,200,429,17.2,2.4,162,52.0,0.0,6.8,4.1,48,3.7,24.0,1,0
Damion Ratley,CLE,WR,13,24,12,200,307,12.8,1.1,149,50.0,4.2,7.0,4.6,51,4.3,25.5,0,0
Trey Quinn,WAS,WR,12,47,26,198,334,7.3,0.8,132,56.5,4.3,9.5,9.9,66,2.5,33.3,0,0
Miles Boykin,BAL,WR,16,22,13,198,363,16.5,0.8,179,59.1,4.5,10.1,5.2,19,1.5,9.6,0,0
Phillip Lindsay,DEN,RB,16,48,35,196,-82,-1.7,-0.2,-57,72.9,14.6,-2.5,10.0,260,7.4,132.7,0,0
Justin Hardy,ATL,WR,16,26,19,195,204,7.8,1.0,111,73.1,0.0,3.8,4.0,84,4.4,43.1,0,0
Devin Singletary,BUF,RB,12,41,29,194,58,1.4,0.1,-2,70.7,12.2,1.3,8.5,206,7.1,106.2,0,0
