,,,,Receiving,,,,Red Zone Targets,,,
Mike Williams,LAC,WR,15,49,1001,2,89,15,7,4,18.75
Davante Adams,GB,WR,12,83,997,5,127,23,5,2,28.75
Austin Ekeler,LAC,RB,16,92,993,8,108,13,6,4,16.25
Terry McLaurin,WAS,WR,14,58,919,7,93,13,7,3,20.31
Zach Ertz,PHI,TE,15,88,916,6,135,19,5,4,25.00
DK Metcalf,SEA,WR,16,58,900,7,100,18,5,3,21.95
Calvin Ridley,ATL,WR,13,63,866,7,93,7,3,0,8.43
Tyreek Hill,KC,WR,12,58,860,7,89,8,6,3,12.70
Mark Andrews,BAL,TE,15,64,852,10,98,15,6,3,22.73
Jamison Crowder,NYJ,WR,16,78,833,6,122,16,6,4,29.63
Randall Cobb,DAL,WR,15,55,828,3,83,8,3,0,13.56
Larry Fitzgerald,ARI,WR,16,75,804,4,109,14,10,10,20.00
Deebo Samuel,SF,WR,15,57,802,3,81,16,7,3,21.62
Austin Hooper,ATL,TE,13,75,787,6,97,18,9,3,21.69
Marvin Jones,DET,WR,13,62,779,9,91,15,9,4,23.44
Robby Anderson,NYJ,WR,16,52,779,5,96,5,3,1,9.26
Cole Beasley,BUF,WR,15,67,778,6,106,9,4,2,18.37
Chris Conley,JAX,WR,16,47,775,5,90,8,5,3,11.43
Darius Slayton,NYG,WR,14,48,740,8,84,6,3,2,8.57
James Washington,PIT,WR,15,44,735,3,80,3,2,1,6.82
Tyler Higbee,LAR,TE,15,69,734,3,89,19,9,6,27.54
Christian Kirk,ARI,WR,13,68,709,3,108,12,6,1,17.14
Jared Cook,NO,TE,14,43,705,9,65,10,5,4,11.63
Diontae Johnson,PIT,WR,16,59,680,5,92,7,1,1,15.91
Danny Amendola,DET,WR,15,62,678,1,97,9,4,1,14.06
Golden Tate,NYG,WR,11,49,676,6,85,9,0,0,12.86
Sammy Watkins,KC,WR,14,52,673,3,90,8,6,4,12.70
Will Fuller,HOU,WR,11,49,670,3,71,7,4,1,11.29
Dede Westbrook,JAX,WR,15,66,660,3,101,11,6,5,15.71
Anthony Miller,CHI,WR,16,52,656,2,85,10,4,2,14.93
Hunter Henry,LAC,TE,12,55,652,5,76,12,6,2,15.00
Tyrell Williams,OAK,WR,14,42,651,6,64,8,5,3,12.50
James White,NE,RB,15,72,645,5,95,20,5,1,21.28
Breshad Perriman,TB,WR,14,36,645,6,69,2,0,0,2.90
Curtis Samuel,CAR,WR,16,54,627,6,105,15,8,7,23.44
Zach Pascal,IND,WR,16,41,607,5,72,12,3,2,17.65
Dallas Goedert,PHI,TE,15,58,607,5,87,11,5,4,14.47
Hunter Renfrow,OAK,WR,13,49,605,4,71,12,6,3,18.75
Corey Davis,TEN,WR,15,43,601,2,69,3,2,0,6.25
Greg Olsen,CAR,TE,14,52,597,2,82,14,9,4,21.88
Marquise Brown,BAL,WR,14,46,584,7,71,13,6,0,19.70
Brandin Cooks,LAR,WR,14,42,583,2,72,4,4,2,5.80
Sterling Shepard,NYG,WR,10,57,576,3,83,11,4,0,15.71
Auden Tate,CIN,WR,12,40,575,1,80,14,7,4,18.67
Mike Gesicki,MIA,TE,16,51,570,5,89,11,6,1,15.07
Noah Fant,DEN,TE,16,40,562,3,65,9,6,4,12.68
Kenny Stills,HOU,WR,13,40,561,4,55,3,0,0,4.84
JuJu Smith-Schuster,PIT,WR,12,42,552,3,69,7,1,0,15.91
Mecole Hardman,KC,WR,16,26,538,6,41,5,1,0,7.94
Alvin Kamara,NO,RB,14,81,533,1,97,13,7,0,15.12
Jason Witten,DAL,TE,16,63,529,4,83,10,6,4,16.95
Alex Erickson,CIN,WR,16,43,529,0,78,10,3,3,13.33
Leonard Fournette,JAX,RB,15,76,522,0,100,11,4,1,15.71
Dalvin Cook,MIN,RB,14,53,519,0,63,3,0,0,6.25
Miles Sanders,PHI,RB,16,50,509,3,63,11,3,0,14.47
John Ross,CIN,WR,8,28,506,3,56,2,1,0,2.67
Emmanuel Sanders,SF,WR,10,36,502,3,53,5,3,2,6.76
T.Y. Hilton,IND,WR,10,45,501,5,68,8,6,4,11.76
Alshon Jeffery,PHI,WR,10,43,490,4,73,10,5,3,13.16
Allen Lazard,GB,WR,16,35,477,3,52,4,3,0,5.00
Aaron Jones,GB,RB,16,49,474,3,68,12,4,2,15.00
Evan Engram,NYG,TE,8,44,467,3,68,11,5,3,15.71
Le'Veon Bell,NYJ,RB,15,66,461,1,78,10,3,1,18.52
O.J. Howard,TB,TE,14,34,459,1,53,8,3,1,11.59
Tarik Cohen,CHI,RB,16,79,456,3,104,9,2,0,13.43
Marquez Valdes-Scantling,GB,WR,16,26,452,2,56,4,2,2,5.00
Demarcus Robinson,KC,WR,16,32,449,4,55,6,2,0,9.52
Jack Doyle,IND,TE,16,43,448,4,72,13,5,4,19.12
Jimmy Graham,GB,TE,16,38,447,3,60,10,6,3,12.50
Russell Gage,ATL,WR,16,49,446,1,74,14,1,1,16.87
Jonnu Smith,TEN,TE,16,35,439,3,45,6,2,1,12.50
Saquon Barkley,NYG,RB,13,52,438,2,73,6,4,2,8.57
Tyler Eifert,CIN,TE,16,43,436,3,63,9,7,3,12.00
Demaryius Thomas,NYJ,WR,11,36,433,1,58,7,1,0,12.96
Preston Williams,MIA,WR,8,32,428,3,60,10,3,2,13.70
Ted Ginn,NO,WR,16,30,421,2,56,6,2,0,6.98
Ezekiel Elliott,DAL,RB,16,54,420,2,71,12,3,0,20.34
Adam Thielen,MIN,WR,10,30,418,6,48,6,3,1,12.50
Jordan Akins,HOU,TE,16,36,418,2,55,6,1,1,9.68
Allen Hurns,MIA,WR,14,32,416,2,47,6,1,1,8.22
Devonta Freeman,ATL,RB,14,59,410,4,70,9,5,1,10.84
Duke Johnson,HOU,RB,16,44,410,3,62,9,4,0,14.52
Gerald Everett,LAR,TE,13,37,408,2,60,8,4,1,11.59
Phillip Dorsett,NE,WR,14,29,397,5,54,10,4,3,10.64
Dawson Knox,BUF,TE,15,28,388,2,50,6,4,2,12.24
Chris Thompson,WAS,RB,11,42,378,0,58,6,2,1,9.38
Eric Ebron,IND,TE,11,31,375,3,52,10,3,2,14.71
Adam Humphries,TEN,WR,12,37,374,2,47,4,2,0,8.33
David Johnson,ARI,RB,13,36,370,4,47,6,2,1,8.57
Kyle Rudolph,MIN,TE,16,39,367,6,48,11,4,4,22.92
Emmanuel Sanders,DEN,WR,7,30,367,2,44,9,5,3,12.68
T.J. Hockenson,DET,TE,12,32,367,2,59,7,4,3,10.94
Blake Jarwin,DAL,TE,16,31,365,3,41,2,1,1,3.39
Kelvin Harmon,WAS,WR,16,30,365,0,44,6,3,2,9.38
Nelson Agholor,PHI,WR,11,39,363,3,69,7,4,4,9.21
Keelan Cole,JAX,WR,16,24,361,3,36,6,2,1,8.57
Damiere Byrd,ARI,WR,11,32,359,1,46,3,1,1,4.29
Jakobi Meyers,NE,WR,15,26,359,0,41,4,2,2,4.26
Kendrick Bourne,SF,WR,16,30,358,5,44,6,5,1,8.11
Taylor Gabriel,CHI,WR,9,29,353,4,48,3,2,2,4.48
Albert Wilson,MIA,WR,13,43,351,1,62,6,3,2,8.22
Jacob Hollister,SEA,TE,11,41,349,3,59,12,6,4,14.63
Hayden Hurst,BAL,TE,16,30,349,2,39,7,3,1,10.61
Darren Fells,HOU,TE,16,34,341,7,48,11,4,2,17.74
Willie Snead,BAL,WR,16,31,339,5,46,7,3,1,10.61
Tajae Sharpe,TEN,WR,15,25,329,4,35,4,3,1,8.33
Josh Reynolds,LAR,WR,16,21,326,1,43,4,2,2,5.80
Jalen Richard,OAK,RB,16,36,323,0,43,3,0,0,4.69
Nick Boyle,BAL,TE,16,31,321,2,43,6,5,5,9.09
Nyheim Hines,IND,RB,16,44,320,0,58,5,4,1,7.35
Ryan Griffin,NYJ,TE,13,34,320,5,41,6,4,4,11.11
Mohamed Sanu,ATL,WR,7,33,313,1,42,5,2,0,6.02
Cameron Brate,TB,TE,16,36,311,4,55,7,4,2,10.14
Irv Smith,MIN,TE,16,36,311,2,47,10,3,2,20.83
Steven Sims,WAS,WR,16,34,310,4,56,9,7,2,14.06
Ronald Jones,TB,RB,16,31,309,0,40,2,0,0,2.90
Jaylen Samuels,PIT,RB,14,47,305,1,57,8,2,1,18.18
David Moore,SEA,WR,14,17,301,2,34,8,3,1,9.76
Cody Latimer,NYG,WR,15,24,300,2,42,6,2,1,8.57
DaeSean Hamilton,DEN,WR,16,28,297,1,52,6,2,1,8.45
Melvin Gordon,LAC,RB,12,42,296,1,55,6,2,1,7.50
Jarius Wright,CAR,WR,16,28,296,0,58,3,1,0,4.69
Bisi Johnson,MIN,WR,16,31,294,3,45,5,4,2,10.42
DeAndre Washington,OAK,RB,16,36,292,0,41,6,0,0,9.38
Joe Mixon,CIN,RB,16,35,287,3,45,7,4,3,9.33
Geronimo Allison,GB,WR,16,34,287,2,55,9,3,1,11.25
Josh Gordon,NE,WR,6,20,287,1,36,5,2,1,5.32
Dare Ogunbowale,TB,RB,16,35,286,0,46,7,4,2,10.14
Kareem Hunt,CLE,RB,8,37,285,1,44,2,0,0,2.78
Rex Burkhead,NE,RB,13,27,279,0,38,4,3,0,4.26
Nick Chubb,CLE,RB,16,36,278,0,49,4,1,1,5.56
Marcus Johnson,IND,WR,8,17,277,2,33,4,2,2,5.88
Vance McDonald,PIT,TE,14,38,273,3,55,9,5,2,20.45
Seth Roberts,BAL,WR,16,21,271,2,35,2,0,0,3.03
Kaden Smith,NYG,TE,9,31,268,3,42,6,3,2,8.57
Chris Carson,SEA,RB,15,37,266,2,47,2,2,1,2.44
Will Dissly,SEA,TE,6,23,262,4,27,6,3,1,7.32
Marvin Hall,DET,WR,9,7,261,1,11,0,0,0,0.00
Royce Freeman,DEN,RB,16,43,256,1,50,6,1,1,8.45
Isaiah McKenzie,BUF,WR,15,27,254,1,39,7,1,0,14.29
Keke Coutee,HOU,WR,9,22,254,0,36,3,1,0,4.84
Greg Ward,PHI,WR,7,28,254,1,40,6,2,2,7.89
Jamaal Williams,GB,RB,14,39,253,5,45,8,5,3,10.00
James Conner,PIT,RB,10,34,251,3,38,5,0,0,11.36
Mark Ingram,BAL,RB,15,26,247,5,29,6,2,0,9.09
Paul Richardson,WAS,WR,10,28,245,2,42,6,2,1,9.38
Malik Turner,SEA,WR,15,15,245,1,22,2,0,0,2.44
Isaiah Ford,MIA,WR,8,23,244,0,35,6,2,0,8.22
Pharoh Cooper,ARI,WR,12,25,243,1,33,4,2,1,5.71
C.J. Uzomah,CIN,TE,16,27,242,2,40,11,5,1,14.67
Jeremy Sprinkle,WAS,TE,16,26,241,1,40,4,4,3,6.25
Kyle Juszczyk,SF,FB,12,20,239,1,24,7,3,2,9.46
Charles Clay,ARI,TE,15,18,237,1,24,5,1,1,7.14
Latavius Murray,NO,RB,16,34,235,1,43,8,0,0,9.30
Taysom Hill,NO,QB,16,19,234,6,22,6,5,4,6.98
Tre'Quan Smith,NO,WR,11,18,234,5,25,4,1,1,4.65
Giovani Bernard,CIN,RB,16,30,234,0,43,7,2,1,9.33
J.D. McKissic,DET,RB,16,34,233,1,42,2,1,1,3.13
Ricky Seals-Jones,CLE,TE,14,14,229,4,22,6,4,3,8.33
Josh Hill,NO,TE,16,25,226,3,35,12,6,5,13.95
Vyncint Smith,NYJ,WR,13,17,225,0,31,3,0,0,5.56
Jaron Brown,SEA,WR,14,16,220,2,28,6,4,1,7.32
Jake Kumerow,GB,WR,14,12,219,1,21,2,2,0,2.50
Tim Patrick,DEN,WR,8,16,218,0,31,5,1,1,7.04
Delanie Walker,TEN,TE,7,21,215,2,31,5,1,0,10.42
Damien Williams,KC,RB,11,30,213,2,37,7,2,2,11.11
Todd Gurley,LAR,RB,15,31,207,2,49,4,1,1,5.80
Mohamed Sanu,NE,WR,8,26,207,1,47,6,4,2,6.38
Derrick Henry,TEN,RB,15,18,206,2,24,2,0,0,4.17
Boston Scott,PHI,RB,11,24,204,0,26,0,0,0,0.00
Patrick Laird,MIA,RB,15,23,204,0,30,4,1,0,5.48
Anthony Firkser,TEN,TE,15,14,204,1,24,4,2,1,8.33
Maxx Williams,ARI,TE,16,15,202,1,18,4,1,0,5.71
Scotty Miller,TB,WR,10,13,200,1,26,2,1,0,2.90
Damion Ratley,CLE,WR,13,12,200,1,24,5,4,2,6.94
Miles Boykin,BAL,WR,16,13,198,3,22,4,3,2,6.06
Trey Quinn,WAS,WR,12,26,198,1,47,5,3,2,7.81
Phillip Lindsay,DEN,RB,16,35,196,0,48,6,2,1,8.45
Justin Hardy,ATL,WR,16,19,195,0,26,3,0,0,3.61
Devin Singletary,BUF,RB,12,29,194,2,41,5,2,0,10.20
Bennie Fowler,NYG,WR,8,23,193,0,36,4,0,0,5.71
Andy Isabella,ARI,WR,15,9,189,1,13,1,1,1,1.43
KeeSean Johnson,ARI,WR,10,21,187,1,42,6,3,1,8.57
Marquise Goodwin,SF,WR,9,12,186,1,21,0,0,0,0.00
Javon Wims,CHI,WR,16,18,186,1,39,6,4,0,8.96
David Montgomery,CHI,RB,16,25,185,1,35,2,1,1,2.99
Laquon Treadwell,MIN,WR,13,9,184,1,16,0,0,0,0.00
LeSean McCoy,KC,RB,13,28,181,1,34,5,1,0,7.94
Raheem Mostert,SF,RB,16,14,180,2,22,3,0,0,4.05
Tevin Coleman,SF,RB,14,21,180,1,30,8,4,2,10.81
Chester Rogers,IND,WR,12,16,179,2,28,4,2,2,5.88
Tavon Austin,DAL,WR,14,13,177,1,24,1,1,0,1.69
Foster Moreau,OAK,TE,13,21,174,5,25,7,4,3,10.94
Kenyan Drake,MIA,RB,6,22,174,0,33,3,0,0,4.11
Logan Thomas,DET,TE,16,16,173,1,28,7,2,1,10.94
Ben Watson,NE,TE,10,17,173,0,24,3,2,2,3.19
Kenyan Drake,ARI,RB,8,28,171,0,35,2,1,0,2.86
Byron Pringle,KC,WR,16,12,170,1,16,2,0,0,3.17
Kalif Raymond,TEN,WR,8,9,170,1,12,3,0,0,6.25
J.J. Arcega-Whiteside,PHI,WR,16,10,169,1,22,4,2,0,5.26
Darrel Williams,KC,RB,12,15,167,1,20,2,1,1,3.17
Rhett Ellison,NYG,TE,10,18,167,1,28,2,1,1,2.86
Josh Jacobs,OAK,RB,13,20,166,0,27,3,2,0,4.69
Duke Williams,BUF,WR,4,12,166,1,19,0,0,0,0.00
Richie James,SF,WR,16,6,165,1,10,2,0,0,2.70
Dion Lewis,TEN,RB,16,25,164,1,32,5,1,0,10.42
Jakeem Grant,MIA,WR,10,19,164,0,33,1,0,0,1.37
DeAndre Carter,HOU,WR,16,11,162,0,14,3,2,0,4.84
Justin Watson,TB,WR,16,15,159,2,26,4,1,0,5.80
DeSean Jackson,PHI,WR,3,9,159,2,10,0,0,0,0.00
Marcedes Lewis,GB,TE,16,15,156,1,19,2,1,1,2.50
James O'Shaughnessy,JAX,TE,5,14,153,2,20,4,2,0,5.71
Demetrius Harris,CLE,TE,15,15,149,3,27,6,4,3,8.33
C.J. Ham,MIN,FB,16,17,149,1,26,4,3,3,8.33
Jaeden Graham,ATL,TE,16,9,149,1,10,1,0,0,1.20
Zay Jones,OAK,WR,10,20,147,0,27,3,2,2,4.69
Ryquell Armstead,JAX,RB,16,14,144,2,24,3,3,2,4.29
Adrian Peterson,WAS,RB,15,17,142,0,23,2,1,0,3.13
Jesse James,DET,TE,16,16,142,0,27,2,1,0,3.13
Seth DeValve,JAX,TE,12,12,140,0,18,4,2,1,5.71
Josh Gordon,SEA,WR,5,7,139,0,11,0,0,0,0.00
Ian Thomas,CAR,TE,16,16,136,1,30,2,2,1,3.13
Keelan Doss,OAK,WR,8,11,133,0,14,1,0,0,1.56
Dontrelle Inman,LAC,WR,4,8,132,0,13,1,1,0,1.25
Dontrelle Inman,LAC,WR,4,8,132,0,13,1,1,0,1.25
Matt LaCosse,NE,TE,11,13,131,1,19,3,1,0,3.19
Nick Vannett,PIT,TE,13,13,128,0,17,2,1,0,4.55
Kerryon Johnson,DET,RB,8,10,127,1,15,1,0,0,1.56
Parris Campbell,IND,WR,7,18,127,1,24,5,1,0,7.35
Mack Hollins,PHI,WR,12,10,125,0,22,4,2,0,5.26
T.J. Yeldon,BUF,RB,6,13,124,0,15,1,0,0,2.04
Vernon Davis,WAS,TE,4,10,123,1,19,3,1,1,4.69
Matt Breida,SF,RB,13,19,120,1,22,2,1,1,2.70
Marcell Ateman,OAK,WR,11,5,116,0,10,1,1,1,1.56
Peyton Barber,TB,RB,16,16,115,1,24,2,2,0,2.90
Olamide Zaccheaus,ATL,WR,10,3,115,1,5,0,0,0,0.00
Braxton Berrios,NYJ,WR,16,6,115,0,13,0,0,0,0.00
Jeff Heuerman,DEN,TE,14,14,114,1,20,4,1,0,5.63
Ryan Izzo,NE,TE,6,6,114,1,9,1,1,0,1.06
Tommy Sweeney,BUF,TE,6,8,114,0,13,2,0,0,4.08
Devin Smith,DAL,WR,4,5,113,1,9,2,2,0,3.39
Brandon Bolden,NE,RB,15,9,111,1,11,0,0,0,0.00
Ty Johnson,DET,RB,16,24,109,0,31,1,1,0,1.56
Dante Pettis,SF,WR,11,11,109,2,24,3,2,2,4.05
Derek Carrier,OAK,TE,16,13,108,1,17,4,1,1,6.25
Tony Pollard,DAL,RB,15,15,107,1,20,6,0,0,10.17
Brandon Zylstra,CAR,WR,8,8,106,0,12,1,0,0,1.56
Chase Edmonds,ARI,RB,13,12,105,1,21,6,1,1,8.57
N'Keal Harry,NE,WR,7,12,105,2,24,6,4,0,6.38
Hale Hentges,WAS,TE,11,8,103,1,14,4,1,0,6.25
Wayne Gallman,NYG,RB,10,11,102,1,16,3,1,0,4.29
Dan Arnold,ARI,TE,3,6,102,2,10,3,1,0,4.29
Frank Gore,BUF,RB,16,13,100,0,16,0,0,0,0.00
Robert Tonyan,GB,TE,11,10,100,1,15,2,0,0,2.50
Danny Vitale,GB,FB,15,7,97,0,12,1,1,1,1.25
Sony Michel,NE,RB,16,12,94,0,20,5,2,1,5.32
Mo Alie-Cox,IND,TE,16,8,93,0,10,1,1,0,1.47
Dontrell Hilliard,CLE,RB,14,12,92,0,15,1,1,0,1.39
Ross Dwelley,SF,TE,16,15,91,2,22,3,2,2,4.05
J.P. Holtz,CHI,TE,14,7,91,0,8,1,0,0,1.49
Christian Blake,ATL,WR,9,11,91,0,24,1,1,1,1.20
Ty Montgomery,NYJ,RB,16,13,90,0,17,2,1,0,3.70
Andrew Beck,DEN,TE,16,9,90,1,12,3,1,1,4.23
MyCole Pruitt,TEN,TE,16,6,90,1,8,2,2,1,4.17
Mark Walton,MIA,RB,7,15,89,0,21,1,0,0,1.37
Antonio Callaway,CLE,WR,4,8,89,0,15,5,1,0,6.94
Ameer Abdullah,MIN,RB,16,15,88,1,21,2,0,0,4.17
Ito Smith,ATL,RB,7,11,87,0,14,3,0,0,3.61
Joshua Perkins,PHI,TE,5,9,87,1,13,0,0,0,0.00
Jesper Horsted,CHI,TE,6,8,87,1,10,3,1,0,4.48
Trey Burton,CHI,TE,8,14,84,0,24,2,2,1,2.99
Rashaad Penny,SEA,RB,10,8,83,1,11,2,0,0,2.44
Trevor Davis,OAK,WR,9,7,83,0,10,1,1,1,1.56
Cordarrelle Patterson,CHI,WR,16,11,83,0,17,5,4,2,7.46
Marlon Mack,IND,RB,14,14,82,0,17,1,0,0,1.47
Alexander Mattison,MIN,RB,13,10,82,0,12,0,0,0,0.00
Damion Willis,CIN,WR,10,9,82,0,16,0,0,0,0.00
Trent Sherfield,ARI,WR,16,4,80,0,13,3,1,1,4.29
Derrius Guice,WAS,RB,5,7,79,1,9,1,0,0,1.56
Luke Willson,SEA,TE,8,8,79,0,10,0,0,0,0.00
Virgil Green,LAC,TE,15,9,78,1,13,3,0,0,3.75
C.J. Prosise,SEA,RB,9,10,76,0,12,0,0,0,0.00
KhaDarel Hodge,CLE,WR,16,4,76,0,10,1,1,1,1.39
Adam Shaheen,CHI,TE,8,9,74,0,13,3,2,2,4.48
Daniel Brown,NYJ,TE,16,7,72,1,11,2,0,0,3.70
Nick O'Leary,JAX,TE,5,9,72,1,13,3,1,1,4.29
Deon Cain,PIT,WR,6,5,72,0,6,0,0,0,0.00
Tyler Kroft,BUF,TE,11,6,71,1,14,3,1,1,6.12
D'Ernest Johnson,CLE,RB,16,6,71,0,7,0,0,0,0.00
Justice Hill,BAL,RB,16,8,70,0,15,3,0,0,4.55
Chad Beebe,MIN,WR,3,2,70,0,2,0,0,0,0.00
Jordan Howard,PHI,RB,10,10,69,1,14,2,0,0,2.63
Brian Hill,ATL,RB,12,10,69,1,14,3,1,0,3.61
Riley Ridley,CHI,WR,5,6,69,0,7,0,0,0,0.00
Zay Jones,BUF,WR,5,7,69,0,18,3,3,2,6.12
Blake Bell,KC,TE,15,8,67,0,15,0,0,0,0.00
Chris Hogan,CAR,WR,7,8,67,0,15,1,1,0,1.56
Rico Gafford,OAK,WR,4,2,66,1,2,0,0,0,0.00
Geoff Swaim,JAX,TE,6,13,65,0,17,2,1,1,2.86
Durham Smythe,MIA,TE,16,7,65,0,14,1,0,0,1.37
Wendell Smallwood,WAS,RB,15,9,64,0,13,4,0,0,6.25
Robert Foster,BUF,WR,13,3,64,0,18,1,0,0,2.04
Kalen Ballage,MIA,RB,12,14,63,0,24,5,0,0,6.85
Tevin Jones,PIT,WR,5,4,61,0,10,1,1,0,2.27
Chris Lacy,DET,WR,7,3,60,0,10,1,1,0,1.56
Jonathan Williams,IND,RB,9,5,59,0,5,0,0,0,0.00
Ben Braunecker,CHI,TE,11,6,59,1,11,1,0,0,1.49
Tyler Conklin,MIN,TE,15,8,58,0,10,0,0,0,0.00
Reggie Bonnafon,CAR,RB,16,6,57,0,10,0,0,0,0.00
Devontae Booker,DEN,RB,16,6,57,0,9,1,0,0,1.41
Clive Walford,MIA,TE,7,4,57,0,8,0,0,0,0.00
Travis Homer,SEA,RB,16,11,56,0,13,1,0,0,1.22
Antonio Brown,NE,WR,1,4,56,1,8,5,2,0,5.32
Andre Patton,LAC,WR,13,6,56,0,17,0,0,0,0.00
Rashard Higgins,CLE,WR,10,4,55,1,11,3,2,0,4.17
Khari Blasingame,TEN,RB,6,4,54,0,5,1,1,1,2.08
Luke Stocker,ATL,TE,15,8,53,0,14,2,2,2,2.41
Deon Cain,IND,WR,7,4,52,0,14,1,1,1,1.47
Myles Gaskin,MIA,RB,7,7,51,0,12,2,1,1,2.74
Stephen Carlson,CLE,TE,9,5,51,1,7,1,1,0,1.39
DeAndrew White,CAR,WR,10,4,51,0,9,1,1,0,1.56
Ross Travis,IND,TE,3,4,51,0,6,1,1,1,1.47
Lance Kendricks,LAC,TE,12,3,50,0,7,1,1,1,1.25
Deon Yelder,KC,TE,9,3,50,0,4,0,0,0,0.00
Dontrelle Inman,IND,WR,3,4,49,0,8,0,0,0,0.00
Trey Edmunds,PIT,RB,11,6,48,0,7,0,0,0,0.00
Deontay Burnett,PHI,WR,1,2,48,0,4,0,0,0,0.00
Patrick Ricard,BAL,FB,16,8,47,1,11,1,1,1,1.52
Trevon Wesco,NYJ,TE,16,2,47,0,3,1,1,1,1.85
Cedrick Wilson,DAL,WR,6,5,46,0,8,0,0,0,0.00
Alexander Hollins,MIN,WR,5,2,46,0,4,1,0,0,2.08
Gus Edwards,BAL,RB,16,7,45,0,7,1,0,0,1.52
Alec Ingold,OAK,FB,16,6,44,1,6,2,1,0,3.13
Jordan Wilkins,IND,RB,14,7,43,0,11,1,0,0,1.47
Darwin Thompson,KC,RB,12,9,43,0,10,1,0,0,1.59
Jason Moore,LAC,WR,10,2,43,0,5,0,0,0,0.00
Carlos Hyde,HOU,RB,16,10,42,0,16,4,0,0,6.45
Andy Janovich,DEN,FB,7,5,42,0,5,1,0,0,1.41
David Njoku,CLE,TE,4,5,41,1,10,2,2,2,2.78
Patrick DiMarco,BUF,FB,16,5,41,0,7,0,0,0,0.00
Troy Fumagalli,DEN,TE,11,6,38,1,9,1,1,1,1.41
TJ Jones,NYG,WR,3,3,38,1,4,1,1,1,1.43
Geremy Davis,LAC,WR,7,3,38,0,3,0,0,0,0.00
Nick Vannett,SEA,TE,3,4,38,0,5,0,0,0,0.00
Darrell Henderson,LAR,RB,13,4,37,0,6,0,0,0,0.00
Nick O'Leary,MIA,TE,7,4,37,0,5,0,0,0,0.00
Steven Mitchell,HOU,WR,3,2,37,0,6,1,1,1,1.61
J.J. Nelson,OAK,WR,2,4,36,1,5,0,0,0,0.00
Zach Line,NO,FB,12,6,36,0,10,0,0,0,0.00
Bobo Wilson,TB,WR,6,3,35,0,11,0,0,0,0.00
Jeff Wilson,SF,RB,10,3,34,1,5,1,1,0,1.35
Ishmael Hyman,TB,WR,2,2,34,0,4,0,0,0,0.00
Gunner Olszewski,NE,WR,8,2,34,0,4,0,0,0,0.00
Bilal Powell,NYJ,RB,13,7,33,0,12,2,0,0,3.70
Jordan Matthews,PHI,WR,2,4,33,0,12,0,0,0,0.00
Derek Watt,LAC,FB,16,3,32,0,5,1,1,1,1.25
Devin Funchess,IND,WR,1,3,32,0,5,1,0,0,1.47
Lee Smith,BUF,TE,16,4,31,1,5,1,1,0,2.04
Diontae Spencer,DEN,WR,16,6,31,0,8,0,0,0,0.00
C.J. Board,JAX,WR,4,2,31,0,4,2,0,0,2.86
Travis Benjamin,LAC,WR,5,6,30,0,16,2,1,1,2.50
Drew Sample,CIN,TE,9,5,30,0,6,0,0,0,0.00
Codey McElroy,TB,TE,1,1,30,0,1,0,0,0,0.00
Trevor Davis,GB,WR,2,1,28,0,1,0,0,0,0.00
Cody Core,NYG,WR,16,3,28,0,5,0,0,0,0.00
