,,,,Rushing,,,,Red Zone Rush Att,,,,Red Zone Rush TD,,
Name,Team,Pos,G,ATT,YDS,AVG,TD,In20,In10,In5,%Tm,In20,In10,In5
Parris Campbell,IND,WR,1,1,9,9.0,0,0,0,0,0.00,0,0,0
George Kittle,SF,TE,1,1,9,9.0,0,1,0,0,20.00,0,0,0
Deonte Harris,NO,WR,1,1,9,9.0,0,0,0,0,0.00,0,0,0
James Conner,PIT,RB,1,6,9,1.5,0,0,0,0,0.00,0,0,0
D'Andre Swift,DET,RB,1,3,8,2.7,1,1,1,1,20.00,1,1,1
Josh Adams,NYJ,RB,1,2,8,4.0,1,1,1,1,100.00,1,1,1
Chase Claypool,PIT,WR,1,1,8,8.0,0,0,0,0,0.00,0,0,0
Tyrod Taylor,LAC,QB,1,6,7,1.2,0,0,0,0,0.00,0,0,0
Jordan Howard,MIA,RB,1,8,7,0.9,1,3,3,3,42.86,1,1,1
Kyle Juszczyk,SF,FB,1,1,7,7.0,0,0,0,0,0.00,0,0,0
Giovani Bernard,CIN,RB,1,1,7,7.0,0,0,0,0,0.00,0,0,0
Sam Darnold,NYJ,QB,1,1,6,6.0,0,0,0,0,0.00,0,0,0
Scotty Miller,TB,WR,1,1,6,6.0,0,1,0,0,20.00,0,0,0
Saquon Barkley,NYG,RB,1,15,6,0.4,0,3,1,1,100.00,0,0,0
Darrell Henderson,LAR,RB,1,3,6,2.0,0,2,0,0,28.57,0,0,0
Drew Lock,DEN,QB,1,3,5,1.7,0,1,0,0,14.29,0,0,0
Curtis Samuel,CAR,WR,1,1,5,5.0,0,0,0,0,0.00,0,0,0
Leonard Fournette,TB,RB,1,5,5,1.0,0,0,0,0,0.00,0,0,0
D'Ernest Johnson,CLE,RB,1,1,5,5.0,0,0,0,0,0.00,0,0,0
Ito Smith,ATL,RB,1,1,4,4.0,0,0,0,0,0.00,0,0,0
Justin Jackson,LAC,RB,1,2,4,2.0,0,0,0,0,0.00,0,0,0
Philip Rivers,IND,QB,1,1,3,3.0,0,0,0,0,0.00,0,0,0
Sammy Watkins,KC,WR,1,1,3,3.0,0,0,0,0,0.00,0,0,0
Baker Mayfield,CLE,QB,1,2,3,1.5,0,0,0,0,0.00,0,0,0
Chris Streveler,ARI,QB,1,1,3,3.0,0,0,0,0,0.00,0,0,0
Aaron Rodgers,GB,QB,1,1,2,2.0,0,0,0,0,0.00,0,0,0
Carson Wentz,PHI,QB,1,1,2,2.0,0,0,0,0,0.00,0,0,0
Jaylen Samuels,PIT,RB,1,1,2,2.0,0,1,0,0,50.00,0,0,0
Anthony Sherman,KC,FB,1,1,2,2.0,0,0,0,0,0.00,0,0,0
Alex Armah,CAR,FB,1,2,1,0.5,0,1,1,1,11.11,0,0,0
