,,,,Rushing,,,,,,,Big Rushing Games,,,Fumbles,
Name,Team,Pos,G,ATT,YDS,AVG,YDS/G,TD,20+,40+,100+,150+,200+,TOT,LOST
Sammy Watkins,KC,WR,1,1,3,3.0,3.0,0,0,0,0,0,0,0,0
Carson Wentz,PHI,QB,1,1,2,2.0,2.0,0,0,0,0,0,0,2,1
Sharrod Neasman,ATL,S,1,1,2,2.0,2.0,0,0,0,0,0,0,1,1
Aaron Rodgers,GB,QB,1,1,2,2.0,2.0,0,0,0,0,0,0,0,0
Anthony Sherman,KC,FB,1,1,2,2.0,2.0,0,0,0,0,0,0,0,0
Jaylen Samuels,PIT,RB,1,1,2,2.0,2.0,0,0,0,0,0,0,0,0
Jason Huntley,PHI,RB,1,1,1,1.0,1.0,0,0,0,0,0,0,0,0
Alex Armah,CAR,FB,1,2,1,0.5,1.0,0,0,0,0,0,0,0,0
Dion Lewis,NYG,RB,1,1,1,1.0,1.0,0,0,0,0,0,0,0,0
Drew Brees,NO,QB,1,2,0,0.0,0.0,0,0,0,0,0,0,0,0
Royce Freeman,DEN,RB,1,1,0,0.0,0.0,0,0,0,0,0,0,0,0
Calvin Ridley,ATL,WR,1,1,-1,-1.0,-1.0,0,0,0,0,0,0,0,0
Travis Homer,SEA,RB,1,3,-1,-0.3,-1.0,0,0,0,0,0,0,0,0
Matt Ryan,ATL,QB,1,1,-1,-1.0,-1.0,0,0,0,0,0,0,0,0
Robert Griffin,BAL,QB,1,1,-1,-1.0,-1.0,0,0,0,0,0,0,0,0
Patrick Ricard,BAL,FB,1,1,-1,-1.0,-1.0,0,0,0,0,0,0,1,1
Allen Robinson,CHI,WR,1,1,-1,-1.0,-1.0,0,0,0,0,0,0,0,0
J.D. McKissic,WAS,RB,1,3,-2,-0.7,-2.0,0,0,0,0,0,0,0,0
Tim Boyle,GB,QB,1,2,-2,-1.0,-2.0,0,0,0,0,0,0,0,0
Jamie Gillan,CLE,P,1,1,-2,-2.0,-2.0,0,0,0,0,0,0,1,1
Ty Montgomery,NO,RB,1,1,-4,-4.0,-4.0,0,0,0,0,0,0,0,0
