,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
Taylor Gabriel,ATL,WR,13,50,35,579,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
J.J. Nelson,ARI,WR,15,74,34,568,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Brian Quick,LAR,WR,16,77,41,564,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
C.J. Fiedorowicz,HOU,TE,15,89,54,559,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Charles Clay,BUF,TE,15,87,57,552,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
James White,NE,RB,16,86,60,551,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Antonio Gates,SD,TE,14,93,53,548,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Rob Gronkowski,NE,TE,8,38,25,540,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jeremy Maclin,KC,WR,12,76,44,536,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Chris Conley,KC,WR,16,69,44,530,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Phillip Dorsett,IND,WR,15,59,33,528,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Tajae Sharpe,TEN,WR,16,83,41,522,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
John Brown,ARI,WR,15,72,39,517,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Duke Johnson,CLE,RB,16,74,53,514,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jermaine Kearse,SEA,WR,16,89,41,510,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Tavon Austin,LAR,WR,15,106,58,509,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Lance Kendricks,LAR,TE,16,87,50,499,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Breshad Perriman,BAL,WR,16,66,33,499,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
