,,,,Receiving,,,,Red Zone Targets,,,
Name,Team,Pos,G,REC,YDS,TD,TAR,In20,In10,In5,%Tm
Terrance West,BAL,RB,16,34,236,1,45,8,2,2,11.76
Cobi Hamilton,PIT,WR,11,17,234,2,28,4,1,1,5.80
C.J. Uzomah,CIN,TE,10,25,234,1,38,6,4,3,8.96
Jordan Norwood,DEN,WR,14,21,232,1,35,4,4,3,5.48
Charles Johnson,MIN,WR,16,20,232,0,37,2,0,0,2.63
Bryan Walters,JAX,WR,10,24,231,2,34,4,1,0,5.48
Jamize Olawale,OAK,FB,16,12,227,1,14,3,1,0,3.33
Fozzy Whittaker,CAR,RB,16,25,226,0,33,0,0,0,0.00
Brice Butler,DAL,WR,16,16,219,3,32,7,6,4,11.67
Jacob Tamme,ATL,TE,8,22,210,3,31,11,6,4,11.70
Harry Douglas,TEN,WR,11,15,210,0,22,3,1,1,4.29
Jordan Taylor,DEN,WR,16,16,209,2,25,6,3,1,8.22
C.J. Prosise,SEA,RB,6,17,208,0,19,2,0,0,2.63
Ricardo Louis,CLE,WR,16,18,205,0,36,3,0,0,5.26
Justin Hardy,ATL,WR,16,21,203,4,31,10,9,6,10.64
Geronimo Allison,GB,WR,10,12,202,2,22,6,3,1,5.26
Rashad Jennings,NYG,RB,13,35,201,1,42,4,0,0,6.15
Tim Hightower,NO,RB,16,22,200,1,26,6,4,2,5.56
Cody Core,CIN,WR,8,17,200,0,27,1,0,0,1.49
Zach Zenner,DET,RB,14,18,196,0,23,1,0,0,1.16
Jalen Richard,OAK,RB,16,29,194,2,39,5,1,1,5.56
Eric Decker,NYJ,WR,3,9,194,2,21,4,3,3,5.56
Mychal Rivera,OAK,TE,13,18,192,1,25,4,3,1,4.44
Rod Streater,SF,WR,16,18,191,2,27,3,2,1,5.88
Charles Sims,TB,RB,7,24,190,1,32,0,0,0,0.00
Justin Hunter,BUF,WR,12,10,189,4,24,7,5,3,13.21
Lamar Miller,HOU,RB,14,31,188,1,39,6,2,0,8.00
Charcandrick West,KC,RB,15,28,188,2,34,6,3,3,7.14
Andre Roberts,DET,WR,16,14,188,1,25,3,3,1,3.49
Jaron Brown,ARI,WR,7,11,187,1,23,0,0,0,0.00
