,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Devontae Booker,DEN,RB,16,31,265,8.5,16.6,1,45,5.9,3,1,0,0,0,4,3
Latavius Murray,OAK,RB,14,33,264,8.0,18.9,0,43,6.1,2,0,0,0,0,2,1
Levine Toilolo,ATL,TE,16,13,264,20.3,16.5,2,19,13.9,4,2,0,0,0,0,0
Matt Asiata,MIN,RB,16,32,263,8.2,16.4,0,38,6.9,4,0,0,0,0,1,1
Shaun Draughn,SF,RB,16,29,263,9.1,16.4,2,39,6.7,3,0,0,0,0,1,1
Matt Forte,NYJ,RB,14,30,263,8.8,18.8,1,43,6.1,3,1,0,0,0,1,1
Dion Sims,MIA,TE,14,26,256,9.8,18.3,4,35,7.3,4,0,0,0,0,0,0
Jerick McKinnon,MIN,RB,15,43,255,5.9,17.0,2,53,4.8,2,1,0,0,0,0,0
Damien Williams,MIA,RB,15,23,249,10.8,16.6,3,32,7.8,3,2,0,0,0,1,1
Deonte Thompson,CHI,WR,16,22,249,11.3,15.6,2,36,6.9,2,0,1,0,0,1,1
Danny Amendola,NE,WR,12,23,243,10.6,20.3,4,29,8.4,1,0,0,0,0,3,1
Virgil Green,DEN,TE,12,22,237,10.8,19.8,1,37,6.4,2,0,0,0,0,0,0
Terrance West,BAL,RB,16,34,236,6.9,14.8,1,45,5.2,0,0,0,0,0,2,0
Cobi Hamilton,PIT,WR,11,17,234,13.8,21.3,2,28,8.4,4,0,0,0,0,0,0
C.J. Uzomah,CIN,TE,10,25,234,9.4,23.4,1,38,6.2,2,1,0,0,0,0,0
Charles Johnson,MIN,WR,16,20,232,11.6,14.5,0,37,6.3,3,1,0,0,0,0,0
Jordan Norwood,DEN,WR,14,21,232,11.0,16.6,1,35,6.6,3,0,0,0,0,5,3
Bryan Walters,JAX,WR,10,24,231,9.6,23.1,2,34,6.8,1,0,0,0,0,1,1
Jamize Olawale,OAK,FB,16,12,227,18.9,14.2,1,14,16.2,2,2,0,0,0,0,0
Fozzy Whittaker,CAR,RB,16,25,226,9.0,14.1,0,33,6.8,3,0,0,0,0,1,1
Brice Butler,DAL,WR,16,16,219,13.7,13.7,3,32,6.8,4,1,0,0,0,0,0
Jacob Tamme,ATL,TE,8,22,210,9.5,26.3,3,31,6.8,0,0,0,0,0,0,0
Harry Douglas,TEN,WR,11,15,210,14.0,19.1,0,22,9.5,5,0,0,0,0,0,0
Jordan Taylor,DEN,WR,16,16,209,13.1,13.1,2,25,8.4,4,0,0,0,0,1,1
C.J. Prosise,SEA,RB,6,17,208,12.2,34.7,0,19,10.9,2,1,0,0,0,0,0
Ricardo Louis,CLE,WR,16,18,205,11.4,12.8,0,35,5.9,3,1,0,0,0,1,0
Justin Hardy,ATL,WR,16,21,203,9.7,12.7,4,31,6.5,2,0,0,0,0,0,0
Geronimo Allison,GB,WR,10,12,202,16.8,20.2,2,22,9.2,3,0,0,0,0,0,0
Rashad Jennings,NYG,RB,13,35,201,5.7,15.5,1,42,4.8,2,0,0,0,0,1,0
Tim Hightower,NO,RB,16,22,200,9.1,12.5,1,26,7.7,2,1,0,0,0,0,0
Cody Core,CIN,WR,8,17,200,11.8,25.0,0,27,7.4,3,1,0,0,0,0,0
Zach Zenner,DET,RB,14,18,196,10.9,14.0,0,23,8.5,2,0,0,0,0,1,1
Jalen Richard,OAK,RB,16,29,194,6.7,12.1,2,39,5.0,2,0,0,0,0,0,0
Eric Decker,NYJ,WR,3,9,194,21.6,64.7,2,21,9.2,5,0,1,0,0,0,0
Mychal Rivera,OAK,TE,13,18,192,10.7,14.8,1,25,7.7,3,0,0,0,0,0,0
Rod Streater,SF,WR,16,18,191,10.6,11.9,2,27,7.1,1,0,0,0,0,0,0
Charles Sims,TB,RB,7,24,190,7.9,27.1,1,32,5.9,2,0,0,0,0,1,1
Justin Hunter,BUF,WR,12,10,189,18.9,15.8,4,24,7.9,3,1,0,0,0,0,0
Andre Roberts,DET,WR,16,14,188,13.4,11.8,1,25,7.5,3,1,0,0,0,2,1
Lamar Miller,HOU,RB,14,31,188,6.1,13.4,1,39,4.8,0,0,0,0,0,2,1
Charcandrick West,KC,RB,15,28,188,6.7,12.5,2,34,5.5,2,0,0,0,0,0,0
Kevin White,CHI,WR,4,19,187,9.8,46.8,0,36,5.2,1,0,0,0,0,0,0
Jaron Brown,ARI,WR,7,11,187,17.0,26.7,1,23,8.1,3,1,0,0,0,0,0
Chris Ivory,JAX,RB,11,20,186,9.3,16.9,0,28,6.6,3,0,0,0,0,5,3
Charone Peake,NYJ,WR,15,19,186,9.8,12.4,0,35,5.3,1,0,0,0,0,0,0
Robert Turbin,IND,RB,15,26,179,6.9,11.9,1,35,5.1,0,0,0,0,0,0,0
Jeremy Hill,CIN,RB,15,21,174,8.3,11.6,0,27,6.4,2,0,0,0,0,0,0
MarQueis Gray,MIA,TE,16,14,174,12.4,10.9,0,17,10.2,2,1,0,0,0,0,0
Vincent Jackson,TB,WR,5,15,173,11.5,34.6,0,32,5.4,0,0,0,0,0,0,0
Marcedes Lewis,JAX,TE,10,20,169,8.5,16.9,1,30,5.6,1,0,0,0,0,0,0
Carlos Hyde,SF,RB,13,27,163,6.0,12.5,3,33,4.9,0,0,0,0,0,5,3
Kenneth Dixon,BAL,RB,12,30,162,5.4,13.5,1,41,4.0,0,0,0,0,0,1,0
Paul Perkins,NYG,RB,14,15,162,10.8,11.6,0,24,6.8,1,1,0,0,0,1,0
Jalin Marshall,NYJ,WR,10,14,162,11.6,16.2,2,22,7.4,3,0,0,0,0,4,2
Ben Koyack,JAX,TE,14,19,161,8.5,11.5,1,24,6.7,0,0,0,0,0,0,0
A.J. Derby,DEN,TE,6,16,160,10.0,26.7,0,20,8.0,0,0,0,0,0,1,1
Marquess Wilson,CHI,WR,3,9,160,17.8,53.3,1,16,10.0,3,0,1,0,0,0,0
Brent Celek,PHI,TE,16,14,155,11.1,9.7,0,19,8.2,2,0,0,0,0,1,0
Darren Fells,ARI,TE,14,14,154,11.0,11.0,1,18,8.6,2,0,0,0,0,0,0
Austin Seferian-Jenkins,TB/NYJ,TE,9,13,154,11.8,17.1,1,20,7.7,1,0,0,0,0,0,0
Bobby Rainey,NYG,RB,15,20,153,7.7,10.2,0,25,6.1,1,0,0,0,0,1,1
Cecil Shorts,TB,WR,9,11,152,13.8,16.9,0,27,5.6,2,0,0,0,0,0,0
Jay Ajayi,MIA,RB,15,27,151,5.6,10.1,0,35,4.3,0,0,0,0,0,4,1
Josh Hill,NO,TE,9,15,149,9.9,16.6,1,22,6.8,3,0,0,0,0,0,0
Bennie Fowler,DEN,WR,13,11,145,13.2,11.2,2,24,6.0,1,1,0,0,0,0,0
Rex Burkhead,CIN,RB,16,17,145,8.5,9.1,0,20,7.3,0,0,0,0,0,1,1
Walter Powell,BUF,WR,9,14,142,10.1,15.8,0,25,5.7,1,0,0,0,0,0,0
Jeremy Langford,CHI,RB,12,19,142,7.5,11.8,0,27,5.3,0,0,0,0,0,2,2
Freddie Martino,TB,WR,13,8,142,17.8,10.9,1,11,12.9,2,1,0,0,0,0,0
Jeff Heuerman,DEN,TE,12,9,141,15.7,11.8,0,17,8.3,2,0,0,0,0,0,0
Tanner McEvoy,SEA,WR,14,9,140,15.6,10.0,2,11,12.7,2,1,0,0,0,0,0
Derrick Henry,TEN,RB,15,13,137,10.5,9.1,0,15,9.1,1,0,0,0,0,0,0
Josh Ferguson,IND,RB,16,20,136,6.8,8.5,0,26,5.2,0,0,0,0,0,1,0
James Starks,GB,RB,9,19,134,7.1,14.9,2,25,5.4,1,0,0,0,0,1,0
Ed Dickson,CAR,TE,16,10,134,13.4,8.4,1,19,7.1,3,0,0,0,0,0,0
Doug Martin,TB,RB,8,14,134,9.6,16.8,0,16,8.4,2,0,0,0,0,1,1
Chris Harper,SF,WR,9,13,133,10.2,14.8,0,21,6.3,0,0,0,0,0,0,0
Jaelen Strong,HOU,WR,8,14,131,9.4,16.4,0,24,5.5,1,0,0,0,0,0,0
Luke Willson,SEA,TE,11,15,129,8.6,11.7,2,21,6.1,0,0,0,0,0,0,0
C.J. Anderson,DEN,RB,7,16,128,8.0,18.3,1,24,5.3,2,0,0,0,0,0,0
Seth DeValve,CLE,TE,12,10,127,12.7,10.6,2,12,10.6,3,0,0,0,0,0,0
Paul Turner,PHI,WR,4,9,126,14.0,31.5,0,14,9.0,1,1,0,0,0,0,0
Andre Holmes,OAK,WR,16,14,126,9.0,7.9,3,25,5.0,2,0,0,0,0,0,0
Daniel Brown,CHI,TE,6,16,124,7.8,20.7,1,20,6.2,0,0,0,0,0,0,0
Demetrius Harris,KC,TE,16,17,123,7.2,7.7,1,31,4.0,1,0,0,0,0,1,0
Jerell Adams,NYG,TE,13,16,122,7.6,9.4,1,21,5.8,0,0,0,0,0,1,0
Lance Dunbar,DAL,RB,13,16,122,7.6,9.4,0,24,5.1,0,0,0,0,0,1,0
DeAngelo Williams,PIT,RB,9,18,118,6.6,13.1,2,27,4.4,1,0,0,0,0,0,0
Xavier Grimble,PIT,TE,13,11,118,10.7,9.1,2,21,5.6,2,0,0,0,0,0,0
Brandon Tate,BUF,WR,15,8,117,14.6,7.8,0,11,10.6,2,0,0,0,0,0,0
Arrelious Benn,JAX,WR,15,5,116,23.2,7.7,1,10,11.6,2,1,0,0,0,0,0
Ryan Mathews,PHI,RB,13,13,115,8.8,8.8,1,14,8.2,2,0,0,0,0,3,2
DuJuan Harris,SF,RB,10,8,115,14.4,11.5,1,9,12.8,1,1,0,0,0,2,2
DeAndre Washington,OAK,RB,14,17,115,6.8,8.2,0,23,5.0,0,0,0,0,0,1,1
Nick O'Leary,BUF,TE,16,9,114,12.7,7.1,0,14,8.1,2,0,0,0,0,0,0
Darrius Heyward-Bey,PIT,WR,10,6,114,19.0,11.4,2,19,6.0,2,1,0,0,0,0,0
Josh Huff,PHI/TB,WR,10,16,113,7.1,11.3,1,23,4.9,0,0,0,0,0,0,0
Neal Sterling,JAX,TE,10,12,110,9.2,11.0,0,16,6.9,0,0,0,0,0,0,0
Christine Michael,SEA/GB,RB,15,22,107,4.9,7.1,1,29,3.7,0,0,0,0,0,2,1
James Wright,CIN,WR,13,13,106,8.2,8.2,0,19,5.6,0,0,0,0,0,0,0
Pharoh Cooper,LAR,WR,10,14,106,7.6,10.6,0,20,5.3,1,0,0,0,0,0,0
Braxton Miller,HOU,WR,10,15,99,6.6,9.9,1,28,3.5,0,0,0,0,0,0,0
