,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Justin Reid,HOU,S,1,69,5,0,5,0.0,0,0,0,0,1
Sean Murphy-Bunting,TB,CB,1,68,4,1,5,0.0,0,0,0,0,0
DeShon Elliott,BAL,S,1,72,2,3,5,0.0,0,0,0,0,0
Jessie Bates,CIN,S,1,73,5,0,5,0.0,0,0,0,0,2
Will Harris,DET,S,1,52,5,0,5,0.0,0,0,0,0,0
Jaire Alexander,GB,CB,1,49,4,1,5,1.0,0,0,1,0,1
Darnell Savage,GB,S,1,46,3,2,5,0.0,0,0,0,0,0
Nicholas Morrow,LV,LB,1,46,3,2,5,0.0,0,0,0,0,0
CJ Henderson,JAX,CB,1,62,5,0,5,0.0,0,0,1,0,3
Essang Bassey,DEN,CB,1,45,5,0,5,0.0,0,0,0,0,0
Grady Jarrett,ATL,DT,1,50,2,3,5,1.5,0,0,0,0,0
Eric Rowe,MIA,S,1,54,3,2,5,0.0,0,0,0,0,0
Quinton Dunbar,SEA,CB,1,68,4,1,5,0.0,0,0,0,0,1
Joe Thomas,DAL,LB,1,50,2,3,5,0.0,0,0,0,0,0
Troy Hill,LAR,CB,1,70,5,0,5,0.0,0,0,0,0,0
Trey Flowers,DET,DE,1,46,4,1,5,1.0,1,0,0,0,0
Leonard Williams,NYG,DE,1,44,4,1,5,1.0,0,0,0,0,0
D.J. Reader,CIN,DT,1,50,1,4,5,0.0,0,0,0,0,0
Jalen Mills,PHI,S,1,64,4,1,5,0.0,0,0,0,0,0
Karl Joseph,CLE,S,1,59,3,2,5,0.0,0,0,0,0,0
James Bradberry,NYG,CB,1,64,5,0,5,0.0,1,0,0,0,2
Nate Hairston,NYJ,CB,1,51,4,1,5,0.0,0,0,0,0,0
Mike Hilton,PIT,CB,1,42,3,2,5,1.0,0,0,0,0,1
Nick Vigil,LAC,LB,1,58,3,2,5,0.0,0,1,0,0,0
Landon Collins,WAS,S,1,68,4,1,5,0.0,0,0,0,0,0
Joey Bosa,LAC,DE,1,47,5,0,5,1.0,0,0,0,0,0
Erik Harris,LV,S,1,65,2,3,5,0.0,0,0,0,0,0
Devin McCourty,NE,S,1,61,3,2,5,0.0,0,0,0,0,0
Vince Williams,PIT,LB,1,40,4,1,5,1.0,0,0,0,0,0
Stephon Gilmore,NE,CB,1,59,4,1,5,0.0,0,0,1,0,1
Mike Purcell,DEN,DT,1,41,4,1,5,0.0,0,0,0,0,0
