,,,,Receiving,,,,Red Zone Targets,,,
Rishard Matthews,TEN,WR,14,53,795,4,87,7,2,0,15.91
Alshon Jeffery,PHI,WR,16,57,789,9,120,17,8,4,21.79
Jamison Crowder,WAS,WR,15,66,789,3,103,14,5,5,20.90
Todd Gurley,LAR,RB,15,64,788,6,87,10,5,2,12.20
Ted Ginn,NO,WR,15,53,787,4,70,7,2,0,8.97
Robert Woods,LAR,WR,12,56,781,5,85,9,4,2,10.98
Nelson Agholor,PHI,WR,16,62,768,8,95,18,9,4,23.08
Mike Wallace,BAL,WR,15,52,748,4,92,12,4,1,16.00
Keelan Cole,JAX,WR,16,42,748,3,83,5,3,0,9.09
Sterling Shepard,NYG,WR,11,59,731,2,84,11,7,3,21.15
Tyrell Williams,LAC,WR,16,43,728,4,69,1,0,0,1.41
Evan Engram,NYG,TE,15,64,722,6,115,11,8,3,21.15
Mohamed Sanu,ATL,WR,15,67,703,5,96,12,7,2,16.67
Paul Richardson,SEA,WR,16,44,703,6,80,11,5,1,15.49
Marqise Lee,JAX,WR,14,56,702,3,96,8,7,5,14.55
Duke Johnson,CLE,RB,16,74,693,3,93,5,2,0,10.87
Jack Doyle,IND,TE,15,80,690,4,108,9,6,2,23.08
Jared Cook,OAK,TE,16,54,688,2,86,9,3,2,17.65
Amari Cooper,OAK,WR,14,48,680,7,96,10,8,5,19.61
DeVante Parker,MIA,WR,13,57,670,1,96,12,6,2,16.90
DeSean Jackson,TB,WR,14,50,668,3,90,6,2,2,8.70
Danny Amendola,NE,WR,15,61,659,2,86,12,4,3,13.48
Le'Veon Bell,PIT,RB,15,85,655,2,106,15,6,2,16.48
Randall Cobb,GB,WR,15,66,653,4,92,6,3,2,8.96
Christian McCaffrey,CAR,RB,16,80,651,5,113,13,8,4,22.41
Vernon Davis,WAS,TE,16,43,648,3,69,9,2,1,13.43
Adam Humphries,TB,WR,16,61,631,1,83,5,0,0,7.25
Michael Crabtree,OAK,WR,14,58,618,8,101,14,11,7,27.45
Kendall Wright,CHI,WR,16,59,614,1,91,7,2,1,14.29
Martavis Bryant,PIT,WR,15,50,603,3,84,9,3,1,9.89
Sammy Watkins,LAR,WR,15,39,593,8,70,10,5,4,12.20
Cameron Brate,TB,TE,16,48,591,6,77,13,4,1,18.84
Hunter Henry,LAC,TE,14,45,579,4,62,12,9,2,16.90
Eric Ebron,DET,TE,16,53,574,4,86,12,7,2,16.00
Ryan Grant,WAS,WR,16,45,573,4,65,9,3,1,13.43
Terrance Williams,DAL,WR,16,53,568,0,78,6,3,3,10.00
Travis Benjamin,LAC,WR,16,34,567,4,65,2,0,0,2.82
Eric Decker,TEN,WR,16,54,563,1,83,11,5,1,25.00
Jason Witten,DAL,TE,16,63,560,5,87,13,3,0,21.67
Charles Clay,BUF,TE,13,49,558,2,74,11,6,3,17.19
Tyler Lockett,SEA,WR,16,45,555,2,71,7,4,1,9.86
Emmanuel Sanders,DEN,WR,12,47,555,2,92,10,5,2,14.71
Albert Wilson,KC,WR,13,42,554,3,62,12,2,0,16.00
Brandon LaFell,CIN,WR,16,52,548,3,89,11,4,0,20.37
Kyle Rudolph,MIN,TE,16,57,532,8,81,16,9,4,26.67
Austin Hooper,ATL,TE,16,49,526,3,65,9,5,4,12.50
Chris Godwin,TB,WR,16,34,525,1,55,8,5,3,11.59
Ben Watson,BAL,TE,16,61,522,4,79,13,7,3,17.33
Jimmy Graham,SEA,TE,16,57,520,10,96,27,16,14,38.03
George Kittle,SF,TE,15,43,515,2,63,16,7,1,18.18
Chris Thompson,WAS,RB,10,39,510,4,54,6,4,1,8.96
J.J. Nelson,ARI,WR,16,29,508,2,61,3,2,1,4.17
Josh Doctson,WAS,WR,16,35,502,6,78,16,7,4,23.88
Pierre Garcon,SF,WR,8,40,500,0,67,5,0,0,5.68
Allen Hurns,JAX,WR,10,39,484,2,56,7,3,1,12.73
Jordy Nelson,GB,WR,15,53,482,6,88,12,8,5,17.91
Jaron Brown,ARI,WR,16,31,477,4,69,11,3,1,15.28
Kenny Golladay,DET,WR,11,28,477,3,48,5,3,2,6.67
Melvin Gordon,LAC,RB,16,58,476,4,83,10,5,0,14.08
Kelvin Benjamin,CAR,WR,8,32,475,2,51,6,3,2,10.34
Kareem Hunt,KC,RB,16,53,455,3,63,9,3,2,12.00
Seth Roberts,OAK,WR,15,43,455,1,65,4,1,0,7.84
LeSean McCoy,BUF,RB,16,59,448,2,77,15,7,1,23.44
Theo Riddick,DET,RB,16,53,444,2,71,9,3,1,12.00
Jeremy Maclin,BAL,WR,12,40,440,3,72,4,3,2,5.33
Chris Hogan,NE,WR,9,34,439,5,59,12,8,5,13.48
Ed Dickson,CAR,TE,16,30,437,1,48,5,2,1,8.62
O.J. Howard,TB,TE,14,26,432,6,39,6,4,2,8.70
Trent Taylor,SF,WR,15,43,430,2,60,7,3,2,7.95
Torrey Smith,PHI,WR,16,36,430,2,68,5,1,1,6.41
Deonte Thompson,BUF,WR,11,27,430,1,51,2,0,0,3.13
James White,NE,RB,14,56,429,3,72,11,5,2,12.36
Will Fuller,HOU,WR,10,28,423,7,50,5,3,1,7.69
Jerick McKinnon,MIN,RB,16,51,421,2,68,6,1,1,10.00
Mark Ingram,NO,RB,16,58,416,0,71,12,3,2,15.38
Roger Lewis,NYG,WR,15,36,416,2,72,8,1,0,15.38
Tyler Kroft,CIN,TE,16,42,404,7,62,12,7,7,22.22
TJ Jones,DET,WR,14,30,399,1,49,6,2,2,8.00
Seth DeValve,CLE,TE,16,33,395,1,58,5,3,3,10.87
Donte Moncrief,IND,WR,12,26,391,2,47,7,4,2,17.95
Giovani Bernard,CIN,RB,16,43,389,2,60,5,1,0,9.26
Julius Thomas,MIA,TE,14,41,388,3,62,11,7,4,15.49
David Njoku,CLE,TE,16,32,386,4,60,9,6,5,19.57
Taylor Gabriel,ATL,WR,16,33,378,1,51,7,3,0,9.72
Josh Bellamy,CHI,WR,15,24,376,1,46,2,1,1,4.08
Corey Davis,TEN,WR,11,34,375,0,65,5,0,0,11.36
Jesse James,PIT,TE,16,43,372,3,63,11,7,3,12.09
Brandon Coleman,NO,WR,16,23,364,3,37,8,4,1,10.26
Austin Seferian-Jenkins,NYJ,TE,13,50,357,3,74,10,7,5,20.41
Ricardo Louis,CLE,WR,16,27,357,0,61,3,2,1,6.52
Tarik Cohen,CHI,RB,16,53,353,1,71,9,2,2,18.37
Carlos Hyde,SF,RB,16,59,350,0,88,11,2,0,12.50
Bennie Fowler,DEN,WR,16,29,350,3,56,9,5,2,13.24
Stephen Anderson,HOU,TE,15,25,342,1,52,8,5,2,12.31
Dede Westbrook,JAX,WR,7,27,339,1,51,4,1,1,7.27
Garrett Celek,SF,TE,16,21,336,4,33,6,6,3,6.82
Josh Gordon,CLE,WR,5,18,335,1,42,2,0,0,4.35
Dontrelle Inman,CHI,WR,8,23,334,1,40,6,6,2,12.24
Bruce Ellington,HOU,WR,11,29,330,2,56,8,2,0,12.31
Lamar Miller,HOU,RB,16,36,327,3,45,5,3,1,7.69
Nick O'Leary,BUF,TE,15,22,322,2,32,3,2,1,4.69
Jermaine Gresham,ARI,TE,14,33,322,2,46,11,5,3,15.28
Marcedes Lewis,JAX,TE,16,24,318,5,48,10,5,4,18.18
Devonta Freeman,ATL,RB,14,36,317,1,47,8,1,0,11.11
Brice Butler,DAL,WR,13,15,317,3,23,4,2,0,6.67
Antonio Gates,LAC,TE,16,30,316,3,52,11,10,3,15.49
Zay Jones,BUF,WR,15,27,316,2,74,10,5,2,15.63
Kyle Juszczyk,SF,FB,14,33,315,1,42,6,1,0,6.82
Cole Beasley,DAL,WR,15,36,314,4,63,7,6,2,11.67
Rashard Higgins,CLE,WR,15,27,312,2,50,4,2,1,8.70
Cordarrelle Patterson,OAK,WR,16,31,309,0,42,4,2,1,7.84
Corey Coleman,CLE,WR,9,23,305,2,58,7,2,2,15.22
Leonard Fournette,JAX,RB,13,36,302,1,48,2,1,0,3.64
Odell Beckham,NYG,WR,4,25,302,3,41,4,3,1,7.69
Tevin Coleman,ATL,RB,15,27,299,3,39,4,1,1,5.56
John Brown,ARI,WR,10,21,299,3,55,5,0,0,6.94
Andre Ellington,ARI,RB,8,33,297,0,50,4,2,1,5.56
Coby Fleener,NO,TE,11,22,295,2,30,4,3,1,5.13
Tyler Higbee,LAR,TE,16,25,295,1,45,5,1,0,6.10
Matt Forte,NYJ,RB,12,37,293,1,45,5,2,1,10.20
Joe Mixon,CIN,RB,14,30,287,0,34,2,1,0,3.70
Cody Latimer,DEN,WR,11,19,287,2,31,2,1,1,2.94
Chester Rogers,IND,WR,11,23,284,1,37,1,0,0,2.56
Jordan Matthews,BUF,WR,10,25,282,1,36,4,3,2,6.25
Austin Ekeler,LAC,RB,16,27,279,3,35,5,2,1,7.04
Devontae Booker,DEN,RB,13,30,275,0,38,5,0,0,7.35
Ezekiel Elliott,DAL,RB,10,26,269,2,38,3,1,0,5.00
DeMarco Murray,TEN,RB,15,39,266,1,47,2,1,0,4.55
J.D. McKissic,SEA,RB,13,34,266,2,46,3,2,0,4.23
Jamaal Williams,GB,RB,16,25,262,2,34,3,2,0,4.48
Aldrick Robinson,SF,WR,16,19,260,2,48,4,0,0,4.55
Kendrick Bourne,SF,WR,11,16,257,0,34,7,4,0,7.95
Jalen Richard,OAK,RB,16,27,256,1,36,1,1,0,1.96
Rex Burkhead,NE,RB,10,30,254,3,36,6,2,2,6.74
Shane Vereen,NYG,RB,16,44,253,0,53,2,0,0,3.85
Geronimo Allison,GB,WR,15,23,253,0,39,5,2,1,7.46
Javorius Allen,BAL,RB,16,46,250,2,60,6,4,2,8.00
Charles Sims,TB,RB,16,35,249,1,47,6,1,0,8.70
Trey Burton,PHI,TE,15,23,248,5,31,7,0,0,8.97
Chris Moore,BAL,WR,13,18,248,3,38,6,2,0,8.00
Frank Gore,IND,RB,16,29,245,1,38,3,0,0,7.69
Gerald Everett,LAR,TE,16,16,244,2,32,8,4,2,9.76
Tavarres King,NYG,WR,8,18,240,3,37,3,1,1,5.77
Benny Cunningham,CHI,RB,14,20,240,2,26,4,4,1,8.16
Terrelle Pryor,WAS,WR,9,20,240,1,37,4,1,1,5.97
Kenyan Drake,MIA,RB,16,32,239,1,48,3,1,0,4.23
Zach Miller,CHI,TE,8,20,236,2,35,5,2,1,10.20
Rhett Ellison,NYG,TE,16,24,235,2,32,2,2,2,3.85
Kenny Britt,CLE,WR,9,18,233,2,38,4,1,0,8.70
Martellus Bennett,GB,TE,7,24,233,0,38,3,3,1,4.48
Martellus Bennett,GB,TE,7,24,233,0,38,3,3,1,4.48
Taywan Taylor,TEN,WR,16,16,231,1,28,1,0,0,2.27
Mack Hollins,PHI,WR,16,16,226,1,22,0,0,0,0.00
Marlon Mack,IND,RB,14,21,225,1,33,2,0,0,5.13
Tyler Boyd,CIN,WR,10,22,225,2,32,2,2,0,3.70
C.J. Anderson,DEN,RB,16,28,224,1,40,7,2,0,10.29
T.J. Yeldon,JAX,RB,10,30,224,0,41,2,0,0,3.64
A.J. Derby,DEN,TE,9,19,224,2,31,6,0,0,8.82
Demetrius Harris,KC,TE,16,18,224,1,35,7,5,1,9.33
Justin Hardy,ATL,WR,16,20,221,3,29,7,3,2,9.72
Johnny Holton,OAK,WR,16,9,218,3,18,1,1,0,1.96
Kelvin Benjamin,BUF,WR,6,16,217,1,27,4,2,1,6.25
Jeremy Kerley,NYJ,WR,8,22,217,1,27,1,0,0,2.04
Dion Lewis,NE,RB,16,32,214,3,35,8,1,1,8.99
Demarcus Robinson,KC,WR,16,21,212,0,39,8,2,2,10.67
Jordan Reed,WAS,TE,6,27,211,2,35,4,1,1,5.97
Jakeem Grant,MIA,WR,16,13,203,2,22,1,0,0,1.41
Lance Kendricks,GB,TE,16,18,203,1,35,4,2,1,5.97
Nick Boyle,BAL,TE,15,28,203,0,37,11,4,2,14.67
Rod Smith,DAL,RB,15,19,202,1,23,4,0,0,6.67
Russell Shepard,CAR,WR,15,17,202,1,33,4,1,0,6.90
Ricky Seals-Jones,ARI,TE,10,12,201,3,28,2,1,0,2.78
Danny Woodhead,BAL,RB,8,33,200,0,39,8,1,0,10.67
Laquon Treadwell,MIN,WR,16,20,200,0,35,0,0,0,0.00
Jarius Wright,MIN,WR,16,18,198,2,25,2,2,1,3.33
DeAndre Washington,OAK,RB,15,34,197,1,45,4,1,1,7.84
Phillip Dorsett,NE,WR,15,12,194,0,18,1,0,0,1.12
Wayne Gallman,NYG,RB,13,34,193,1,48,2,1,1,3.85
Virgil Green,DEN,TE,16,14,191,1,22,4,2,2,5.88
Greg Olsen,CAR,TE,7,17,191,1,38,5,2,0,8.62
Vance McDonald,PIT,TE,10,14,188,1,24,4,3,2,4.40
Alex Collins,BAL,RB,15,23,187,0,36,2,1,0,2.67
Isaiah Crowell,CLE,RB,16,28,182,0,42,3,3,1,6.52
Samaje Perine,WAS,RB,16,22,182,1,24,1,1,1,1.49
Matt Breida,SF,RB,16,21,180,1,36,4,1,0,4.55
Alex Erickson,CIN,WR,16,12,180,1,16,1,0,0,1.85
Dion Sims,CHI,TE,14,15,180,1,29,2,1,0,4.08
Elijah McGuire,NYJ,RB,16,17,177,1,26,3,1,1,6.12
Darren Fells,DET,TE,16,17,177,3,26,8,3,3,10.67
Chris Ivory,JAX,RB,14,21,175,1,28,4,3,0,7.27
Chris Conley,KC,WR,5,11,175,0,16,0,0,0,0.00
Ty Montgomery,GB,RB,8,23,173,1,31,4,2,1,5.97
Michael Campanaro,BAL,WR,13,19,173,1,27,2,2,1,2.67
Bilal Powell,NYJ,RB,15,23,170,0,33,6,4,1,12.24
Ameer Abdullah,DET,RB,14,25,162,1,35,9,2,1,12.00
Braxton Miller,HOU,WR,11,19,162,1,29,4,4,3,6.15
Richard Rodgers,GB,TE,15,12,160,1,19,0,0,0,0.00
Ryan Griffin,HOU,TE,7,13,158,1,26,3,0,0,4.62
Jonnu Smith,TEN,TE,16,18,157,2,30,3,1,0,6.82
Damien Williams,MIA,RB,11,20,155,1,28,3,2,0,4.23
Brandon Marshall,NYG,WR,5,18,154,0,33,2,0,0,3.85
Luke Willson,SEA,TE,16,15,153,4,22,5,2,0,7.04
Marshawn Lynch,OAK,RB,15,20,151,0,31,2,0,0,3.92
Charcandrick West,KC,RB,13,27,150,2,34,8,2,1,10.67
James O'Shaughnessy,JAX,TE,16,14,149,1,24,6,3,0,10.91
Eli Rogers,PIT,WR,14,18,149,1,36,9,2,0,9.89
Tre McBride,CHI,WR,8,8,144,0,15,0,0,0,0.00
De'Anthony Thomas,KC,WR,16,14,143,2,16,2,2,1,2.67
Jeff Heuerman,DEN,TE,14,9,142,2,18,1,0,0,1.47
Jordan Taylor,DEN,WR,10,13,142,0,20,1,1,1,1.47
Derrick Henry,TEN,RB,16,11,136,1,17,3,0,0,6.82
D.J. Foster,ARI,RB,7,17,133,0,28,5,2,2,6.94
Kamar Aiken,IND,WR,15,15,133,0,44,3,0,0,7.69
Troy Niklas,ARI,TE,15,11,132,1,23,3,1,0,4.17
Mike Davis,SEA,RB,6,15,131,0,18,0,0,0,0.00
Brent Celek,PHI,TE,16,13,130,1,24,2,2,2,2.56
Jamaal Charles,DEN,RB,14,23,129,0,28,3,0,0,4.41
Daniel Brown,CHI,TE,14,13,129,0,20,0,0,0,0.00
Kapri Bibbs,WAS,RB,3,14,128,1,17,0,0,0,0.00
Brenton Bersin,CAR,WR,8,8,128,0,14,2,1,0,3.45
Adam Shaheen,CHI,TE,13,12,127,3,14,6,5,3,12.24
C.J. Fiedorowicz,HOU,TE,5,14,127,0,23,3,1,0,4.62
Jordan Howard,CHI,RB,16,23,125,0,32,2,2,1,4.08
Deonte Thompson,CHI,WR,5,11,125,1,18,4,0,0,8.16
Josh Hill,NO,TE,16,16,125,1,22,6,2,1,7.69
Nick Vannett,SEA,TE,15,12,124,1,15,1,0,0,1.41
Corey Clement,PHI,RB,16,10,123,2,15,3,1,0,3.85
Levine Toilolo,ATL,TE,15,12,122,1,14,2,1,0,2.78
Eric Tomlinson,NYJ,TE,14,8,121,1,11,2,0,0,4.08
Louis Murphy,SF,WR,7,8,121,1,17,4,2,0,4.55
Brandon Williams,IND,TE,14,13,121,0,17,0,0,0,0.00
Andre Holmes,BUF,WR,14,13,120,3,23,5,3,2,7.81
Orleans Darkwa,NYG,RB,15,19,116,0,28,1,0,0,1.92
Tommylee Lewis,NO,WR,15,10,116,1,15,2,0,0,2.56
Curtis Samuel,CAR,WR,9,15,115,0,26,1,0,0,1.72
Peyton Barber,TB,RB,16,16,114,0,19,1,0,0,1.45
Tanner McEvoy,SEA,WR,15,5,113,0,9,2,1,0,2.82
Anthony Fasano,MIA,TE,16,12,107,1,16,2,2,1,2.82
Damiere Byrd,CAR,WR,8,10,105,2,17,3,2,0,5.17
Josh Reynolds,LAR,WR,16,11,104,1,24,8,5,4,9.76
Latavius Murray,MIN,RB,16,15,103,0,17,2,0,0,3.33
Wendell Smallwood,PHI,RB,8,13,103,0,18,2,0,0,2.56
Travis Rudolph,NYG,WR,7,8,101,0,21,1,0,0,1.92
Austin Traylor,DEN,TE,7,8,100,0,13,1,0,0,1.47
Freddie Martino,TB,WR,8,5,96,0,6,0,0,0,0.00
David Morgan,MIN,TE,15,10,95,1,12,1,1,1,1.67
Mike Williams,LAC,WR,10,11,95,0,23,4,2,0,5.63
Thomas Rawls,SEA,RB,12,9,94,0,13,1,1,1,1.41
Niles Paul,WAS,TE,14,13,94,0,19,2,0,0,2.99
Chad Hansen,NYJ,WR,15,9,94,0,17,1,0,0,2.04
Kerwynn Williams,ARI,RB,16,10,93,0,15,1,0,0,1.39
Travaris Cadet,BUF,RB,6,13,93,0,16,1,0,0,1.56
Mike Thomas,LAR,WR,8,5,93,0,7,0,0,0,0.00
C.J. Uzomah,CIN,TE,14,10,92,1,15,2,2,1,3.70
Willie Snead,NO,WR,11,8,92,0,16,3,0,0,3.85
Jerell Adams,NYG,TE,16,8,92,0,11,2,2,2,3.85
Jay Ajayi,PHI,RB,7,10,91,1,14,3,0,0,3.85
Dalvin Cook,MIN,RB,4,11,90,0,16,3,1,0,5.00
James Hanna,DAL,TE,16,4,88,1,9,1,0,0,1.67
C.J. Prosise,SEA,RB,5,6,87,0,11,1,1,0,1.41
Maxx Williams,BAL,TE,11,15,86,1,18,3,2,1,4.00
Dwayne Allen,NE,TE,16,10,86,1,22,4,1,1,4.49
Doug Martin,TB,RB,11,9,84,0,18,3,1,0,4.35
Pharoh Cooper,LAR,WR,16,11,84,0,19,3,2,0,3.66
Chris Thompson,HOU,WR,13,5,84,0,6,4,2,0,6.15
Kasen Williams,CLE,WR,7,9,84,0,18,2,1,0,4.35
D'Onta Foreman,HOU,RB,10,6,83,0,8,1,0,0,1.54
ArDarius Stewart,NYJ,WR,15,6,82,0,13,1,1,0,2.04
Neal Sterling,NYJ,TE,11,6,82,0,11,1,0,0,2.04
Brandon Tate,BUF,WR,13,6,81,1,14,3,2,1,4.69
Clive Walford,OAK,TE,13,9,80,0,13,1,0,0,1.96
Bryce Treggs,CLE,WR,6,5,79,0,18,0,0,0,0.00
Mike Tolbert,BUF,FB,12,14,78,0,17,2,1,1,3.13
Michael Floyd,MIN,WR,11,10,78,0,17,0,0,0,0.00
Jaydon Mickens,JAX,WR,10,6,77,2,11,5,1,1,9.09
Breshad Perriman,BAL,WR,11,10,77,0,35,3,1,0,4.00
Lee Smith,OAK,TE,16,8,76,0,11,1,0,0,1.96
Brian Quick,WAS,WR,11,6,76,0,8,1,0,0,1.49
Jacquizz Rodgers,TB,RB,16,9,74,0,11,1,1,0,1.45
Darren Sproles,PHI,RB,3,7,73,0,12,1,0,0,1.28
Andre Ellington,HOU,RB,4,6,72,0,9,0,0,0,0.00
Derek Carrier,LAR,TE,14,8,71,0,11,1,0,0,1.22
Amara Darboh,SEA,WR,16,8,71,0,13,1,0,0,1.41
Trevor Davis,GB,WR,16,5,70,0,7,0,0,0,0.00
Brittan Golden,ARI,WR,13,5,70,0,9,2,1,1,2.78
Sammie Coates,CLE,WR,12,6,70,0,11,0,0,0,0.00
Leonte Carroo,MIA,WR,14,7,69,0,14,1,0,0,1.41
C.J. Ham,MIN,FB,16,7,68,0,8,0,0,0,0.00
Jay Ajayi,MIA,RB,7,14,67,0,20,1,0,0,1.41
Logan Thomas,BUF,TE,12,7,67,1,9,1,0,0,1.56
David Johnson,ARI,RB,1,6,67,0,9,1,1,1,1.39
Adrian Peterson,ARI,RB,6,9,66,0,16,2,0,0,2.78
Tre Madden,SEA,FB,8,2,65,0,2,1,1,1,1.41
Josh Malone,CIN,WR,11,6,63,1,17,2,0,0,3.70
Maurice Harris,WAS,WR,6,4,62,1,6,0,0,0,0.00
Marvin Hall,ATL,WR,8,2,60,1,9,2,1,1,2.78
Chris Carson,SEA,RB,4,7,59,1,8,2,2,0,2.82
Alan Cross,TB,TE,8,5,58,0,6,0,0,0,0.00
Kaelin Clay,CAR,WR,9,5,57,0,15,0,0,0,0.00
Kenjon Barner,PHI,RB,13,5,56,0,8,1,1,0,1.28
Robert Turbin,IND,RB,6,9,56,0,11,0,0,0,0.00
Alfred Blue,HOU,RB,11,7,54,0,9,2,1,1,3.08
Hunter Sharp,NYG,WR,2,5,54,1,8,1,0,0,1.92
Malcolm Brown,LAR,RB,11,9,53,0,11,1,1,0,1.22
Orson Charles,KC,FB,5,2,53,0,2,0,0,0,0.00
Martellus Bennett,NE,TE,2,6,53,0,6,0,0,0,0.00
Jonathan Stewart,CAR,RB,15,8,52,1,15,1,1,0,1.72
Michael Hoomanawanui,NO,TE,14,6,52,1,10,2,2,2,2.56
Markus Wheaton,CHI,WR,11,3,51,0,17,0,0,0,0.00
LeGarrette Blount,PHI,RB,16,8,50,1,8,2,1,1,2.56
Tavon Austin,LAR,WR,16,13,47,0,22,3,1,0,3.66
Eddie Lacy,SEA,RB,9,6,47,0,6,1,0,0,1.41
Anthony Sherman,KC,FB,16,6,47,0,8,1,0,0,1.33
Darrius Heyward-Bey,PIT,WR,16,2,47,0,3,1,1,0,1.10
Fozzy Whittaker,CAR,RB,12,5,47,1,6,1,0,0,1.72
Paul Perkins,NYG,RB,11,8,46,0,10,0,0,0,0.00
Sean McGrath,LAC,TE,15,4,46,0,4,0,0,0,0.00
Tyler Eifert,CIN,TE,2,4,46,0,5,1,0,0,1.85
Ifeanyi Momah,ARI,TE,9,1,46,0,2,1,0,0,1.39
Michael Roberts,DET,TE,15,4,46,0,7,1,0,0,1.33
Alfred Morris,DAL,RB,14,7,45,0,9,0,0,0,0.00
Marcus Johnson,PHI,WR,10,5,45,0,8,0,0,0,0.00
Jared Abbrederis,DET,WR,7,3,44,0,7,2,0,0,2.67
Tommy Bohanon,JAX,FB,16,6,43,1,11,1,1,1,1.82
Chris Johnson,ARI,RB,4,5,43,0,6,0,0,0,0.00
Lawrence Thomas,NYJ,FB,14,6,43,0,7,1,0,0,2.04
Ross Travis,KC,TE,11,5,43,0,12,2,2,0,2.67
Jacob Hollister,NE,TE,15,4,42,0,11,2,1,1,2.25
Corey Grant,JAX,RB,16,3,41,0,4,0,0,0,0.00
Ryan Switzer,DAL,WR,16,6,41,0,7,1,0,0,1.67
Michael Clark,GB,WR,2,4,41,0,14,1,0,0,1.49
Phillip Supernaw,TEN,TE,16,4,39,1,6,1,0,0,2.27
Aaron Ripkowski,GB,FB,16,7,39,0,10,0,0,0,0.00
Quan Bray,IND,WR,9,3,39,0,4,0,0,0,0.00
Elijhaa Penny,ARI,FB,16,4,38,0,6,0,0,0,0.00
Jaelen Strong,JAX,WR,1,3,38,1,4,1,1,1,1.82
Tyler Ervin,HOU,RB,4,8,38,0,11,2,1,0,3.08
Ben Koyack,JAX,TE,16,5,38,0,7,0,0,0,0.00
Will Tye,NYJ,TE,3,4,38,0,6,0,0,0,0.00
James Develin,NE,FB,16,6,38,0,10,0,0,0,0.00
De'Angelo Henderson,DEN,RB,5,2,36,1,2,0,0,0,0.00
Brian Hill,CIN,RB,6,2,36,0,2,0,0,0,0.00
Byron Marshall,WAS,RB,4,6,36,0,8,0,0,0,0.00
Randall Telfer,CLE,TE,16,3,36,0,4,1,1,1,2.17
Andy Janovich,DEN,FB,16,4,35,0,6,1,0,0,1.47
Derek Watt,LAC,FB,16,2,35,0,3,0,0,0,0.00
Tanner Gentry,CHI,WR,4,3,35,0,6,1,0,0,2.04
Jamize Olawale,OAK,FB,12,6,33,0,7,0,0,0,0.00
Noah Brown,DAL,WR,13,4,33,0,9,1,1,1,1.67
Ross Travis,IND,TE,4,2,33,0,5,1,0,0,2.56
Xavier Grimble,PIT,TE,15,5,32,1,9,2,1,1,2.20
Chad Williams,ARI,WR,6,3,31,0,7,0,0,0,0.00
Akeem Hunt,KC,RB,15,4,31,0,7,1,0,0,1.33
Emanuel Byrd,GB,TE,1,2,31,0,2,0,0,0,0.00
Jay Prosch,HOU,FB,16,4,31,0,4,1,0,0,1.54
Nick Williams,ATL,WR,1,3,30,0,4,0,0,0,0.00
Matt Dayes,CLE,RB,16,4,29,0,5,0,0,0,0.00
Isaiah McKenzie,DEN,WR,11,4,29,0,13,1,0,0,1.47
Kaelin Clay,BUF,WR,4,1,28,0,5,0,0,0,0.00
Kaelin Clay,BUF,WR,4,1,28,0,5,0,0,0,0.00
Patrick DiMarco,BUF,FB,16,7,28,0,10,3,3,1,4.69
