,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Bradley McDougald,SEA,S,15,79.0,52.0,18,70,0.5,1,1,2,0
Danielle Hunter,MIN,DE,16,107.0,52.0,18,70,14.5,3,1,0,0
A.J. Klein,NO,LB,15,86.0,47.0,22,69,2.5,1,1,1,1
Grady Jarrett,ATL,DT,16,88.0,38.0,31,69,7.5,2,0,0,0
Minkah Fitzpatrick,PIT/MIA,S,16,101.0,44.0,25,69,0.0,2,3,5,2
Jordan Whitehead,TB,S,14,73.0,50.0,19,69,0.0,0,1,1,0
Harold Landry,TEN,LB,16,94.0,43.0,25,68,9.0,1,2,1,0
Denzel Perryman,LAC,LB,14,72.0,50.0,18,68,0.0,1,0,1,0
Bud Dupree,PIT,LB,16,103.0,49.0,19,68,11.5,4,2,0,0
Jonathan Allen,WAS,DT,15,82.0,46.0,22,68,6.0,0,1,0,0
Rashaan Melvin,DET,CB,13,68.0,59.0,9,68,0.0,0,0,0,0
Tre Boston,CAR,S,16,74.0,53.0,15,68,0.0,0,0,3,0
Joey Bosa,LAC,DE,16,92.0,47.0,20,67,11.5,1,0,0,0
Myles Jack,JAX,LB,11,69.0,42.0,24,66,0.5,0,0,1,0
Kevin King,GB,CB,15,80.0,56.0,10,66,1.0,1,0,5,0
Marlon Humphrey,BAL,CB,16,93.0,53.0,12,65,0.0,2,3,3,2
Marcus Maye,NYJ,S,16,67.0,50.0,15,65,0.0,0,0,1,0
Shaquill Griffin,SEA,CB,14,65.0,45.0,20,65,0.0,0,0,0,0
Mike Hilton,PIT,CB,16,74.0,52.0,13,65,1.5,1,1,1,0
Joe Walker,ARI,LB,16,67.0,41.0,24,65,0.0,1,0,0,0
James Bradberry,CAR,CB,15,73.0,51.0,14,65,1.0,0,0,3,0
Jimmie Ward,SF,S,13,67.0,51.0,14,65,1.0,0,0,0,0
A.J. Bouye,JAX,CB,14,67.0,50.0,15,65,0.0,0,0,1,0
Joe Haden,PIT,CB,16,79.0,59.0,6,65,0.0,1,1,5,0
Bobby Okereke,IND,LB,16,73.0,48.0,17,65,1.0,2,1,0,0
Matthew Ioannidis,WAS,DT,16,81.0,42.0,22,64,8.5,0,0,0,0
Patrick Onwuasor,BAL,LB,14,72.0,48.0,16,64,3.0,1,0,0,0
Jarrad Davis,DET,LB,11,75.0,38.0,25,63,2.0,3,1,0,0
Darryl Roberts,NYJ,CB,13,65.0,58.0,5,63,0.0,0,0,1,0
Carlos Dunlap,CIN,DE,14,85.0,39.0,24,63,9.0,2,0,0,0
Xavier Rhodes,MIN,CB,15,65.0,54.0,9,63,0.0,1,0,0,0
Michael Brockers,LAR,DE,16,69.0,34.0,29,63,3.0,0,0,0,0
Jeff Heath,DAL,S,13,63.0,41.0,22,63,0.0,0,0,0,0
Sheldon Richardson,CLE,DT,16,74.0,43.0,19,62,3.0,3,0,0,0
Ross Cockrell,CAR,CB,14,66.0,48.0,14,62,0.0,0,0,2,0
DeForest Buckner,SF,DT,16,95.0,34.0,28,62,7.5,2,4,0,1
Kenny Clark,GB,DT,16,76.0,31.0,31,62,6.0,1,0,0,0
Rock Ya-Sin,IND,CB,15,66.0,54.0,8,62,0.0,0,1,1,0
Foyesade Oluokun,ATL,LB,16,64.0,36.0,26,62,0.0,1,0,0,0
Isaiah Oliver,ATL,CB,16,64.0,50.0,12,62,0.0,1,0,0,0
Eric Wilson,MIN,LB,16,68.0,36.0,26,62,3.0,0,0,0,0
Donald Payne,JAX,LB,9,65.0,36.0,25,61,1.0,0,1,0,0
Deandre Baker,NYG,CB,16,61.0,48.0,13,61,0.0,0,0,0,0
Vernon Hargreaves,HOU/TB,CB,15,71.0,52.0,9,61,0.0,0,1,1,1
Steven Nelson,PIT,CB,15,65.0,52.0,9,61,0.0,0,1,1,0
Damarious Randall,CLE,S,11,66.0,45.0,16,61,2.5,0,0,0,0
Montae Nicholson,WAS,S,13,69.0,45.0,16,61,0.0,0,2,2,0
Danny Shelton,NE,DT,16,69.0,30.0,31,61,3.0,1,0,0,0
Janoris Jenkins,NO/NYG,CB,15,71.0,50.0,11,61,0.0,0,0,5,0
Richard Sherman,SF,CB,15,73.0,48.0,13,61,0.0,0,0,3,1
Nigel Bradham,PHI,LB,12,71.0,32.0,29,61,0.0,0,1,1,1
Lawrence Guy,NE,DT,16,73.0,35.0,26,61,3.0,0,2,1,0
Eddie Jackson,CHI,S,16,70.0,51.0,9,60,1.0,1,1,2,0
Anthony Harris,MIN,S,14,80.0,35.0,25,60,0.0,0,1,6,1
Javon Hargrave,PIT,DT,16,70.0,35.0,25,60,4.0,1,0,0,0
Carlton Davis,TB,CB,14,66.0,54.0,6,60,0.0,1,1,1,0
Vince Biegel,MIA,LB,15,66.0,27.0,32,59,2.5,0,0,1,0
Brian Poole,NYJ,CB,14,69.0,48.0,11,59,0.0,1,0,1,1
Daryl Worley,OAK,CB,15,62.0,51.0,7,58,0.0,0,1,1,0
Dante Fowler,LAR,DE,16,93.0,40.0,18,58,11.5,2,1,0,1
Eli Apple,NO,CB,15,60.0,53.0,5,58,0.0,1,0,0,0
Devin McCourty,NE,S,16,74.0,46.0,12,58,0.0,2,1,5,0
Trae Waynes,MIN,CB,14,66.0,56.0,2,58,0.0,2,1,1,0
Shaquil Barrett,TB,LB,16,111.0,45.0,13,58,19.5,6,0,1,0
Devon Kennard,DET,LB,16,84.0,45.0,13,58,7.0,1,2,0,1
Jaire Alexander,GB,CB,16,66.0,50.0,8,58,0.0,1,1,2,0
Tre'Davious White,BUF,CB,15,76.0,48.0,10,58,1.0,2,0,6,0
Jamal Perry,MIA,CB,14,60.0,39.0,19,58,0.0,0,0,1,0
Juan Thornhill,KC,S,16,70.0,42.0,16,58,0.0,0,0,3,1
Jahlani Tavai,DET,LB,15,66.0,37.0,21,58,2.0,1,0,1,0
Troy Reeder,LAR,LB,16,62.0,36.0,22,58,0.0,2,0,0,0
Jalen Thompson,ARI,S,15,61.0,45.0,12,57,0.0,0,1,1,0
Daniel Sorensen,KC,S,16,61.0,44.0,13,57,0.0,0,0,2,0
Marshon Lattimore,NO,CB,14,59.0,46.0,11,57,0.0,0,0,1,0
Preston Smith,GB,LB,16,84.0,36.0,20,56,12.0,1,0,1,0
Kyle Van Noy,NE,LB,15,85.0,41.0,15,56,6.5,3,2,0,1
Calais Campbell,JAX,DE,16,81.0,37.0,19,56,6.5,2,1,0,1
Chris Harris,DEN,CB,16,60.0,44.0,12,56,0.0,1,0,1,0
Ben Niemann,KC,LB,16,56.0,35.0,21,56,0.0,0,0,0,0
Christian Wilkins,MIA,DE,16,60.0,30.0,26,56,2.0,0,0,0,0
Daron Payne,WAS,DT,15,60.0,32.0,24,56,2.0,0,0,0,0
Marcus Williams,NO,S,15,71.0,40.0,15,55,0.0,1,0,4,1
