,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Foyesade Oluokun,ATL,LB,16,312,36.0,26,62,0.0,1,0,0,0,0
Isaiah Oliver,ATL,CB,16,944,50.0,12,62,0.0,1,0,0,0,11
Eric Wilson,MIN,LB,16,383,36.0,26,62,3.0,0,0,0,0,0
Donald Payne,JAX,LB,9,351,36.0,25,61,1.0,0,1,0,0,1
Deandre Baker,NYG,CB,16,994,48.0,13,61,0.0,0,0,0,0,8
Vernon Hargreaves,HOU/TB,CB,15,870,52.0,9,61,0.0,0,1,1,1,6
Steven Nelson,PIT,CB,15,1030,52.0,9,61,0.0,0,1,1,0,8
Damarious Randall,CLE,S,11,731,45.0,16,61,2.5,0,0,0,0,6
Montae Nicholson,WAS,S,13,816,45.0,16,61,0.0,0,2,2,0,4
Danny Shelton,NE,DT,16,508,30.0,31,61,3.0,1,0,0,0,0
Janoris Jenkins,NO/NYG,CB,15,998,50.0,11,61,0.0,0,0,5,0,16
Richard Sherman,SF,CB,15,911,48.0,13,61,0.0,0,0,3,1,11
Nigel Bradham,PHI,LB,12,735,32.0,29,61,0.0,0,1,1,1,5
Lawrence Guy,NE,DT,16,539,35.0,26,61,3.0,0,2,1,0,1
Eddie Jackson,CHI,S,16,1079,51.0,9,60,1.0,1,1,2,0,5
Anthony Harris,MIN,S,14,922,35.0,25,60,0.0,0,1,6,1,11
Javon Hargrave,PIT,DT,16,692,35.0,25,60,4.0,1,0,0,0,0
Carlton Davis,TB,CB,14,965,54.0,6,60,0.0,1,1,1,0,19
Vince Biegel,MIA,LB,15,636,27.0,32,59,2.5,0,0,1,0,1
Brian Poole,NYJ,CB,14,766,48.0,11,59,0.0,1,0,1,1,5
Daryl Worley,OAK,CB,15,962,51.0,7,58,0.0,0,1,1,0,8
Dante Fowler,LAR,DE,16,894,40.0,18,58,11.5,2,1,0,1,6
Eli Apple,NO,CB,15,954,53.0,5,58,0.0,1,0,0,0,4
Devin McCourty,NE,S,16,971,46.0,12,58,0.0,2,1,5,0,7
Trae Waynes,MIN,CB,14,782,56.0,2,58,0.0,2,1,1,0,8
Shaquil Barrett,TB,LB,16,917,45.0,13,58,19.5,6,0,1,0,2
Devon Kennard,DET,LB,16,948,45.0,13,58,7.0,1,2,0,1,0
Jaire Alexander,GB,CB,16,1038,50.0,8,58,0.0,1,1,2,0,17
Tre'Davious White,BUF,CB,15,966,48.0,10,58,1.0,2,0,6,0,17
Jamal Perry,MIA,CB,14,609,39.0,19,58,0.0,0,0,1,0,6
Juan Thornhill,KC,S,16,1012,42.0,16,58,0.0,0,0,3,1,5
Jahlani Tavai,DET,LB,15,605,37.0,21,58,2.0,1,0,1,0,2
Troy Reeder,LAR,LB,16,300,36.0,22,58,0.0,2,0,0,0,0
Jalen Thompson,ARI,S,15,618,45.0,12,57,0.0,0,1,1,0,3
Daniel Sorensen,KC,S,16,574,44.0,13,57,0.0,0,0,2,0,4
Marshon Lattimore,NO,CB,14,836,46.0,11,57,0.0,0,0,1,0,14
Preston Smith,GB,LB,16,880,36.0,20,56,12.0,1,0,1,0,4
Kyle Van Noy,NE,LB,15,833,41.0,15,56,6.5,3,2,0,1,3
Calais Campbell,JAX,DE,16,833,37.0,19,56,6.5,2,1,0,1,1
Chris Harris,DEN,CB,16,1073,44.0,12,56,0.0,1,0,1,0,6
Ben Niemann,KC,LB,16,409,35.0,21,56,0.0,0,0,0,0,1
Christian Wilkins,MIA,DE,16,741,30.0,26,56,2.0,0,0,0,0,2
Daron Payne,WAS,DT,15,734,32.0,24,56,2.0,0,0,0,0,2
Marcus Williams,NO,S,15,903,40.0,15,55,0.0,1,0,4,1,13
Tre Herndon,JAX,CB,16,918,42.0,13,55,0.0,0,0,3,0,13
Darnell Savage,GB,S,14,871,42.0,13,55,0.0,2,0,2,0,5
Lorenzo Alexander,BUF,LB,16,502,35.0,20,55,2.0,1,0,0,0,9
Vince Williams,PIT,LB,14,401,28.0,27,55,2.5,0,0,0,0,1
Tyeler Davison,ATL,DT,16,568,26.0,29,55,1.0,0,1,0,0,0
Za'Darius Smith,GB,LB,16,883,41.0,14,55,13.5,1,0,0,0,0
Preston Brown,CIN/OAK,LB,10,440,28.0,27,55,0.0,1,1,0,0,0
T.J. Watt,PIT,LB,16,952,35.0,20,55,14.5,8,4,2,0,8
Rayshawn Jenkins,LAC,S,16,977,34.0,20,54,0.0,0,0,3,0,4
Clayton Geathers,IND,S,15,535,40.0,14,54,0.0,0,0,1,0,1
Arik Armstead,SF,DE,16,788,32.0,22,54,10.0,2,1,0,0,2
Justin Coleman,DET,CB,16,977,47.0,7,54,0.0,3,1,1,0,13
Matt Judon,BAL,LB,16,807,43.0,11,54,9.5,4,0,0,0,0
Nik Needham,MIA,CB,12,752,41.0,13,54,1.0,1,0,2,0,11
Jonathan Jones,NE,CB,15,636,38.0,15,53,0.0,2,0,0,0,8
Marcus Peters,LAR/BAL,CB,16,1002,40.0,13,53,0.0,0,1,5,3,14
Patrick Peterson,ARI,CB,10,710,46.0,7,53,1.0,1,0,2,0,7
Cameron Jordan,NO,DE,16,894,37.0,16,53,15.5,0,1,0,0,3
Prince Amukamara,CHI,CB,15,910,44.0,9,53,0.0,1,1,0,0,10
Stephon Gilmore,NE,CB,16,975,44.0,9,53,0.0,0,1,6,2,20
D.J. Reader,HOU,DT,15,629,28.0,24,52,2.5,0,0,0,0,0
TJ Carrie,CLE,CB,16,690,40.0,12,52,1.0,1,1,1,0,4
Brennan Scarlett,HOU,LB,15,494,31.0,20,51,3.5,2,0,0,0,1
Malik Hooker,IND,S,13,796,30.0,21,51,0.0,0,1,2,0,3
John Johnson,LAR,S,6,403,24.0,27,51,0.0,0,0,2,0,2
Desmond King,LAC,CB,15,591,40.0,11,51,2.5,1,1,0,0,2
Jourdan Lewis,DAL,CB,16,598,38.0,13,51,4.0,0,1,2,1,6
Tashaun Gipson,HOU,S,14,882,37.0,14,51,0.0,0,0,3,1,8
Johnathan Joseph,HOU,CB,14,632,43.0,8,51,0.0,0,0,1,0,13
Patrick Chung,NE,S,13,654,38.0,13,51,0.0,0,0,0,0,3
Christian Jones,DET,LB,13,618,29.0,22,51,2.0,0,1,0,0,4
Trey Flowers,DET,DE,15,717,33.0,18,51,7.0,2,0,0,0,0
K'Waun Williams,SF,CB,15,615,35.0,16,51,1.0,4,0,2,0,2
Pierre Desir,IND,CB,12,694,38.0,12,50,0.0,0,0,3,0,11
Johnathan Hankins,OAK,DT,16,682,28.0,22,50,1.5,0,0,0,0,1
D.J. Swearinger,ARI/NO/OAK,S,9,497,32.0,18,50,0.0,0,0,0,0,3
Brandon Graham,PHI,DE,16,793,35.0,15,50,8.5,1,2,0,0,0
Tramaine Brock,TEN/ARI,CB,14,761,45.0,5,50,0.0,0,0,0,0,5
Gareon Conley,OAK/HOU,CB,14,784,36.0,14,50,0.0,0,0,1,0,13
Larry Ogunjobi,CLE,DT,15,797,35.0,15,50,5.5,0,0,0,0,1
Jalen Ramsey,LAR/JAX,CB,12,791,44.0,6,50,0.0,2,0,1,0,5
Emmanuel Moseley,SF,CB,16,589,42.0,8,50,0.0,0,0,1,0,8
Montez Sweat,WAS,DE,16,693,31.0,19,50,7.0,2,0,0,0,2
Trayvon Mullen,OAK,CB,16,689,42.0,8,50,0.0,0,0,1,0,10
Taron Johnson,BUF,CB,12,498,39.0,11,50,1.0,1,0,0,0,5
Shaun Dion Hamilton,WAS,LB,16,360,37.0,12,49,1.0,1,1,1,0,2
Ceedy Duce,NO,S,16,552,38.0,11,49,0.0,1,1,1,0,8
