,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Tracy Porter,CHI,CB,16,944,45.0,3,48,0.0,1,0,2,0,9
Earl Thomas,SEA,S,11,693,24.0,24,48,0.0,0,1,2,1,10
Joe Haden,CLE,CB,13,855,37.0,11,48,0.0,0,0,3,0,11
Perry Riley,OAK,LB,11,628,38.0,10,48,0.0,2,0,0,0,1
Stephon Gilmore,BUF,CB,15,984,42.0,6,48,0.0,0,0,5,0,12
Jamie Meder,CLE,DT,16,721,26.0,22,48,1.0,0,0,0,0,1
Shane Ray,DEN,LB,16,667,33.0,15,48,8.0,1,2,0,1,0
Andre Hal,HOU,S,15,817,32.0,16,48,1.0,0,0,2,0,7
Ibraheim Campbell,CLE,S,14,419,34.0,14,48,0.0,0,0,0,0,0
Grady Jarrett,ATL,DT,16,630,21.0,27,48,3.0,0,1,0,0,0
De'Vondre Campbell,ATL,LB,11,547,35.0,13,48,0.0,1,0,1,0,7
Cory James,OAK,LB,16,375,36.0,12,48,0.0,1,0,0,0,0
David Parry,IND,DT,16,645,34.0,13,47,3.0,0,0,0,0,0
Frank Clark,SEA,DE,15,683,25.0,22,47,10.0,2,1,0,0,0
Vince Williams,PIT,LB,16,269,37.0,10,47,2.0,0,0,0,0,0
Trent Murphy,WAS,DE,16,675,29.0,18,47,9.0,3,1,0,0,1
Darqueze Dennard,CIN,CB,15,334,32.0,15,47,0.0,0,0,0,0,1
Aaron Donald,LAR,DE,16,829,36.0,11,47,8.0,2,0,0,0,5
Buster Skrine,NYJ,CB,14,814,39.0,8,47,1.0,0,0,1,0,6
Chris Baker,WAS,DE,16,783,29.0,18,47,3.5,2,0,0,0,2
Brian Orakpo,TEN,LB,16,864,38.0,8,46,10.5,1,0,0,0,4
Orlando Scandrick,DAL,CB,12,645,39.0,7,46,2.0,3,0,1,0,8
Dre Kirkpatrick,CIN,CB,15,974,35.0,11,46,0.0,0,0,3,0,10
Bobby McCain,MIA,S,16,620,33.0,13,46,1.0,1,0,1,0,6
Derrick Kindred,CLE,S,12,537,32.0,14,46,0.0,0,0,0,0,5
Andrew Adams,NYG,S,14,746,31.0,15,46,0.0,0,0,1,0,5
Elandon Roberts,NE,LB,13,270,25.0,20,45,0.0,1,0,0,0,0
Marcus Peters,KC,CB,15,1010,35.0,10,45,0.0,1,3,6,0,20
Trey Flowers,NE,DE,16,563,23.0,22,45,7.0,0,2,0,0,1
Michael Johnson,CIN,DE,16,831,32.0,13,45,3.5,0,0,0,0,3
Johnathan Joseph,HOU,CB,13,623,38.0,7,45,0.0,1,0,0,0,9
Dannell Ellerbe,NO,LB,9,444,34.0,10,44,4.0,0,0,0,0,2
Jurrell Casey,TEN,DE,15,725,31.0,13,44,5.0,0,0,0,0,5
Darius Slay,DET,CB,13,731,43.0,1,44,1.0,1,0,2,0,13
Phillip Gaines,KC,CB,11,450,42.0,2,44,0.0,2,0,1,0,7
Quandre Diggs,DET,S,12,420,40.0,4,44,0.0,1,0,0,0,1
Nick Kwiatkoski,CHI,LB,14,457,34.0,10,44,1.0,1,0,0,0,2
Cre'von LeBlanc,CHI,CB,13,695,40.0,4,44,0.0,0,0,2,1,10
Ken Crawley,NO,CB,15,503,40.0,3,43,0.0,1,1,0,0,8
T.J. Green,IND,S,15,479,32.0,11,43,0.0,0,0,0,0,2
Briean Boddy-Calhoun,CLE,CB,14,571,39.0,4,43,1.0,0,0,3,1,11
Johnathan Hankins,NYG,DT,16,764,29.0,14,43,3.0,1,0,0,0,0
Ed Reynolds,CLE,S,10,505,30.0,13,43,1.0,0,0,0,0,1
Fletcher Cox,PHI,DT,16,773,27.0,16,43,6.5,1,1,0,0,2
Nick Fairley,NO,DT,16,723,29.0,14,43,6.5,0,0,0,0,0
Leger Douzable,BUF,DE,16,482,24.0,19,43,1.5,0,0,0,0,1
William Hayes,LAR,DE,14,513,31.0,12,43,5.0,0,0,0,0,0
Tony McDaniel,SEA,DT,16,486,20.0,23,43,0.0,0,1,0,0,3
Leodis McKelvin,PHI,CB,13,587,32.0,11,43,0.0,0,0,2,1,16
Aqib Talib,DEN,CB,13,872,32.0,11,43,0.0,0,0,3,1,12
Erik Walden,IND,LB,16,761,31.0,11,42,11.0,3,0,0,0,0
