,,,,Fantasy,Defensive Stats,,,,,,,
Barry Church,DAL,S,12,91.0,61.0,24,85,0.0,1,0,2,0
Jordan Hicks,PHI,LB,16,99.0,58.0,27,85,1.0,0,1,5,0
Devin McCourty,NE,S,16,89.0,67.0,16,83,0.0,1,1,1,0
Nick Bellore,SF,FB,14,91.0,60.0,23,83,1.0,1,1,1,0
Rodney McLeod,PHI,S,16,93.0,72.0,11,83,1.0,1,0,3,0
Keenan Robinson,NYG,LB,16,83.0,54.0,29,83,0.0,0,0,0,0
Gerald Hodges,SF,LB,15,97.0,55.0,28,83,3.0,1,1,2,0
Jairus Byrd,NO,S,16,86.0,56.0,26,82,0.0,0,0,2,0
Jake Ryan,GB,LB,14,82.0,57.0,25,82,0.0,0,0,0,0
Kevin Minter,ARI,LB,16,88.0,59.0,22,81,3.5,0,0,0,0
DeShawn Shead,SEA,S,15,85.0,57.0,24,81,0.0,1,0,1,0
Shawn Williams,CIN,S,15,89.0,59.0,22,81,1.0,0,0,3,0
Ha Ha Clinton-Dix,GB,S,16,93.0,62.0,18,80,0.5,1,0,5,0
Mike Adams,IND,S,15,91.0,62.0,17,79,0.0,2,2,2,0
Jatavis Brown,SD,LB,12,92.0,64.0,15,79,3.5,2,1,0,0
Anthony Hitchens,DAL,LB,16,81.0,39.0,39,78,1.5,0,0,0,0
Harold Jones-Quartey,CHI,S,16,80.0,66.0,12,78,0.0,0,0,1,0
D'Qwell Jackson,IND,LB,12,84.0,52.0,26,78,1.0,0,2,0,0
Isa Abdul-Quddus,MIA,S,15,84.0,50.0,28,78,1.0,0,0,2,0
Von Miller,DEN,LB,16,111.0,62.0,16,78,13.5,3,0,0,0
Linval Joseph,MIN,DT,16,91.0,37.0,40,77,4.0,3,0,0,0
Eric Berry,KC,S,16,99.0,62.0,15,77,0.0,1,0,4,2
Mike Mitchell,PIT,S,16,81.0,55.0,22,77,0.0,0,1,1,0
Lorenzo Alexander,BUF,LB,16,109.0,56.0,20,76,12.5,3,0,1,0
Vernon Hargreaves,TB,CB,16,80.0,68.0,8,76,0.0,1,0,1,0
Ramik Wilson,KC,LB,11,84.0,61.0,15,76,0.0,1,2,1,0
Korey Toomer,SD,LB,13,85.0,53.0,22,75,1.0,3,1,0,0
George Iloka,CIN,S,16,80.0,49.0,25,74,0.0,0,0,3,0
Khalil Mack,OAK,LB,16,119.0,54.0,19,73,11.0,5,3,1,1
Lardarius Webb,BAL,CB,16,77.0,59.0,14,73,1.0,0,0,1,0
Bashaud Breeland,WAS,CB,14,85.0,62.0,11,73,1.0,2,0,3,0
Darron Lee,NYJ,LB,13,75.0,45.0,28,73,1.0,0,0,0,0
DeForest Buckner,SF,DT,15,89.0,43.0,30,73,6.0,0,2,0,0
Denzel Perryman,SD,LB,12,78.0,56.0,16,72,2.0,0,0,1,0
Ndamukong Suh,MIA,DE,16,84.0,41.0,31,72,5.0,0,1,0,0
Malcolm Jenkins,PHI,S,16,94.0,47.0,25,72,1.0,0,1,3,2
Anthony Barr,MIN,LB,16,78.0,37.0,33,70,2.0,1,1,0,0
Joe Thomas,GB,LB,16,74.0,55.0,15,70,0.0,0,1,1,0
Sean Davis,PIT,S,16,77.0,55.0,15,70,1.5,0,1,1,0
Blake Martinez,GB,LB,13,73.0,47.0,22,69,1.0,0,0,1,0
Ronald Darby,BUF,CB,14,69.0,60.0,9,69,0.0,0,0,0,0
Marcus Cooper,ARI,CB,15,83.0,63.0,6,69,0.0,0,0,4,1
Jason McCourty,TEN,CB,14,75.0,60.0,9,69,0.0,0,1,2,0
Andrew Sendejo,MIN,S,14,78.0,45.0,24,69,0.5,0,2,2,0
Chris Conte,TB,S,14,81.0,59.0,10,69,0.0,0,1,2,1
Darian Stewart,DEN,S,16,78.0,55.0,13,68,0.0,1,1,3,0
Glover Quin,DET,S,16,74.0,55.0,13,68,0.0,1,0,2,0
Kenny Vaccaro,NO,S,11,80.0,51.0,17,68,1.0,2,1,2,0
Leonard Williams,NYJ,DE,16,86.0,36.0,32,68,7.0,2,0,0,0
Corey Nelson,DEN,LB,16,70.0,47.0,21,68,0.0,0,1,0,0
Tony Lippett,MIA,CB,16,75.0,45.0,22,67,0.0,0,0,4,0
Josh Norman,WAS,CB,16,77.0,52.0,15,67,0.0,2,0,3,0
Duke Ihenacho,WAS,S,15,66.0,54.0,12,66,0.0,0,0,0,0
Danny Trevathan,CHI,LB,9,68.0,49.0,17,66,1.0,0,0,0,0
D.J. Swearinger,ARI,S,16,76.0,58.0,8,66,2.0,0,0,3,0
Lamarcus Joyner,LAR,S,14,70.0,50.0,16,66,1.0,1,0,0,0
Donte Whitner,WAS,S,11,68.0,49.0,17,66,0.0,1,0,0,0
Adam Jones,CIN,CB,16,70.0,54.0,12,66,0.0,1,0,1,0
Edwin Jackson,IND,LB,16,70.0,47.0,19,66,2.0,0,0,0,0
Artie Burns,PIT,CB,16,71.0,52.0,13,65,0.0,0,0,3,0
Jalen Ramsey,JAX,CB,16,77.0,55.0,10,65,0.0,1,0,2,1
Adrian Amos,CHI,S,15,69.0,57.0,8,65,0.0,1,1,0,0
Steven Nelson,KC,CB,15,69.0,59.0,6,65,0.0,0,2,0,0
Reggie Nelson,OAK,S,16,79.0,50.0,15,65,0.0,0,2,5,0
Brian Cushing,HOU,LB,13,65.0,38.0,27,65,0.0,0,0,0,0
Sio Moore,ARI/IND,LB,8,69.0,50.0,15,65,0.0,2,0,0,0
Dont'a Hightower,NE,LB,13,72.0,31.0,34,65,2.5,1,0,0,0
T.J. McDonald,LAR,S,16,70.0,50.0,14,64,1.0,0,0,2,0
David Amerson,OAK,CB,15,68.0,56.0,8,64,0.0,0,0,2,0
Kyle Williams,BUF,DT,15,74.0,42.0,22,64,5.0,0,0,0,0
Olivier Vernon,NYG,DE,16,85.0,46.0,18,64,8.5,1,1,0,0
Neville Hewitt,MIA,LB,16,68.0,40.0,24,64,1.0,0,1,0,0
Malcolm Butler,NE,CB,16,79.0,48.0,15,63,1.0,1,2,4,0
Daniel Sorensen,KC,S,16,87.0,55.0,8,63,1.0,2,3,3,1
Chris Harris,DEN,CB,16,71.0,57.0,6,63,0.0,1,1,2,0
A.J. Bouye,HOU,CB,15,67.0,48.0,15,63,1.0,0,0,1,0
Calvin Pryor,NYJ,S,15,64.0,45.0,17,62,0.0,1,0,0,0
Eric Reid,SF,S,10,66.0,48.0,14,62,0.0,1,0,1,0
Sheldon Richardson,NYJ,DT,15,71.0,38.0,24,62,1.5,1,2,0,0
Kareem Jackson,HOU,S,14,70.0,51.0,11,62,0.0,0,0,1,1
Ross Cockrell,PIT,CB,16,64.0,47.0,15,62,0.0,0,1,0,0
Jalen Mills,PHI,S,16,62.0,52.0,10,62,0.0,0,0,0,0
Jaquiski Tartt,SF,S,15,63.0,47.0,14,61,1.0,0,0,0,0
Ron Parker,KC,S,16,67.0,52.0,9,61,0.0,2,0,1,0
Brandon Carr,DAL,CB,16,63.0,53.0,8,61,0.0,0,0,1,0
Robert Alford,ATL,CB,16,71.0,50.0,11,61,0.0,0,0,2,1
Devon Kennard,NYG,LB,16,67.0,40.0,21,61,1.0,1,1,0,0
Rashaan Melvin,IND,CB,15,64.0,52.0,8,60,0.0,2,0,0,0
Dwight Lowery,SD,S,16,72.0,49.0,11,60,0.0,1,1,1,1
Melvin Ingram,SD,DE,16,84.0,46.0,14,60,8.0,4,0,0,0
Karl Joseph,OAK,S,12,64.0,44.0,16,60,0.0,0,1,1,0
James Bradberry,CAR,CB,13,63.0,47.0,12,59,0.0,0,0,2,0
Clayton Geathers,IND,S,9,61.0,50.0,9,59,0.0,1,0,0,0
Danny Shelton,CLE,DT,16,62.0,32.0,27,59,1.5,0,0,0,0
Kevin Byard,TEN,S,16,61.0,45.0,14,59,1.0,0,0,0,0
Brian Poole,ATL,CB,16,67.0,43.0,16,59,1.0,0,2,1,0
Spencer Paysinger,MIA,LB,15,61.0,42.0,17,59,0.0,0,1,0,0
Tramaine Brock,SF,CB,16,63.0,49.0,10,59,0.0,1,0,1,0
Brandon Graham,PHI,DE,16,76.0,41.0,18,59,5.5,2,1,0,0
Nathan Stupar,NO,LB,16,71.0,49.0,10,59,1.0,2,2,1,0
Keith Tandy,TB,S,16,68.0,47.0,11,58,0.0,0,1,4,0
Casey Hayward,SD,CB,16,78.0,51.0,7,58,0.0,0,0,7,1
Michael Thomas,MIA,S,16,64.0,43.0,15,58,1.0,2,0,0,0
Micah Hyde,GB,S,16,66.0,47.0,11,58,1.0,0,0,3,0
William Gay,PIT,CB,16,64.0,42.0,16,58,1.0,1,0,1,0
Cameron Jordan,NO,DE,16,75.0,40.0,18,58,7.5,1,0,0,0
Richard Sherman,SEA,CB,16,68.0,38.0,20,58,0.0,0,1,4,0
Muhammad Wilkerson,NYJ,DE,15,69.0,33.0,25,58,4.5,1,0,0,0
Kyle Emanuel,SD,LB,16,63.0,36.0,22,58,0.5,1,1,0,0
Brent Grimes,TB,CB,16,73.0,51.0,6,57,0.0,1,0,4,1
Wesley Woodyard,TEN,LB,16,63.0,42.0,15,57,2.0,0,0,1,0
Rontez Miles,NYJ,S,16,61.0,34.0,23,57,0.0,2,0,0,0
Nevin Lawson,DET,CB,16,57.0,46.0,11,57,0.0,0,0,0,0
Trumaine Johnson,LAR,CB,14,61.0,47.0,10,57,0.0,0,1,1,0
Bruce Irvin,OAK,LB,16,83.0,47.0,10,57,7.0,6,0,0,0
Jamar Taylor,CLE,CB,15,63.0,46.0,11,57,0.0,0,0,3,0
E.J. Gaines,LAR,CB,11,60.0,47.0,9,56,0.0,1,1,0,0
Sterling Moore,NO,CB,13,60.0,44.0,12,56,0.0,0,0,2,0
Shaq Thompson,CAR,LB,14,68.0,39.0,17,56,0.0,0,2,1,1
Josh Shaw,CIN,S,16,58.0,38.0,18,56,0.0,0,0,1,0
Danielle Hunter,MIN,DE,16,91.0,34.0,22,56,12.5,1,1,0,1
Anthony Brown,DAL,CB,16,59.0,40.0,15,55,0.0,1,0,1,0
Marcus Gilchrist,NYJ,S,13,61.0,39.0,16,55,0.0,1,0,2,0
Albert McClellan,BAL,LB,16,57.0,34.0,21,55,1.0,0,0,0,0
Nolan Carroll,PHI,CB,16,59.0,41.0,14,55,0.0,1,0,1,0
Quintin Demps,HOU,S,13,69.0,38.0,17,55,0.0,1,0,6,0
Captain Munnerlyn,MIN,CB,15,57.0,38.0,17,55,0.0,1,0,0,0
Michael Wilhoite,SF,LB,16,60.0,44.0,11,55,0.5,1,1,0,0
Kawann Short,CAR,DT,16,69.0,30.0,25,55,6.0,1,0,0,0
Sean Spence,TEN,LB,15,62.0,37.0,17,54,3.0,1,0,0,0
Akiem Hicks,CHI,DE,16,74.0,36.0,18,54,7.0,2,1,0,0
Ladarius Gunter,GB,CB,16,58.0,50.0,4,54,0.0,2,0,0,0
Tavon Young,BAL,CB,16,59.0,44.0,9,53,0.0,0,1,2,0
Emmanuel Ogbah,CLE,DE,16,64.0,28.0,25,53,5.5,0,0,0,0
Tre Boston,CAR,S,15,61.0,38.0,15,53,2.0,0,0,2,0
Jimmie Ward,SF,S,11,61.0,43.0,10,53,1.0,1,1,1,0
Jason Pierre-Paul,NYG,LB,12,81.0,35.0,18,53,7.0,3,1,0,1
Calais Campbell,ARI,DE,16,87.0,34.0,19,53,8.0,2,3,1,1
Ahmad Brooks,SF,LB,16,67.0,41.0,12,53,6.0,1,0,0,0
Darrelle Revis,NYJ,CB,15,55.0,43.0,10,53,0.0,0,0,1,0
James Harrison,PIT,LB,15,69.0,39.0,14,53,5.0,2,0,1,0
Rafael Bush,DET,S,16,65.0,34.0,19,53,1.0,0,0,2,1
Byron Maxwell,MIA,CB,13,65.0,43.0,10,53,0.0,4,0,2,0
Whitney Mercilus,HOU,LB,15,78.0,36.0,17,53,7.5,1,4,0,0
Jared Crick,DEN,DE,16,63.0,32.0,21,53,3.0,2,0,0,0
Nick Perry,GB,LB,14,76.0,35.0,17,52,11.0,0,0,1,0
Shareece Wright,BAL,CB,12,54.0,44.0,8,52,0.0,0,1,0,0
Jadeveon Clowney,HOU,DE,14,66.0,40.0,12,52,6.0,1,0,0,0
Kyle Van Noy,NE/DET,LB,14,58.0,32.0,20,52,1.0,1,0,1,0
Daimion Stafford,TEN,S,15,58.0,42.0,10,52,1.0,0,1,1,0
Kemal Ishmael,ATL,S,13,52.0,32.0,20,52,0.0,0,0,0,0
Brandon Marshall,DEN,LB,11,52.0,39.0,13,52,0.0,0,0,0,0
Xavier Rhodes,MIN,CB,14,70.0,44.0,8,52,0.0,1,0,5,1
Antonio Morrison,IND,LB,16,52.0,33.0,19,52,0.0,0,0,0,0
Eli Apple,NYG,CB,14,57.0,41.0,10,51,0.0,1,1,1,0
Markus Golden,ARI,LB,16,86.0,41.0,10,51,12.5,4,1,0,0
Brandon Williams,BAL,DT,16,53.0,34.0,17,51,1.0,0,0,0,0
John Simon,HOU,LB,11,60.0,32.0,19,51,3.5,1,0,0,0
Derek Wolfe,DEN,DE,14,62.0,38.0,13,51,5.5,0,0,0,0
Patrick Peterson,ARI,CB,16,57.0,45.0,6,51,0.0,0,0,3,0
Reshad Jones,MIA,S,6,54.0,31.0,20,51,0.5,0,0,1,0
Kelvin Sheppard,NYG,LB,16,50.0,30.0,20,50,0.0,0,0,0,0
Jahleel Addae,SD,S,8,58.0,43.0,7,50,0.0,0,0,1,1
Maurice Alexander,LAR,LB,14,56.0,38.0,12,50,1.0,0,0,2,0
Malcom Brown,NE,DT,16,58.0,24.0,26,50,3.0,1,0,0,0
Trae Waynes,MIN,CB,15,56.0,42.0,8,50,0.0,0,0,3,0
J.J. Wilcox,DAL,S,13,53.0,37.0,12,49,0.0,1,0,1,0
Janoris Jenkins,NYG,CB,15,59.0,44.0,5,49,1.0,1,0,3,0
Jeremy Lane,SEA,CB,16,49.0,36.0,13,49,0.0,0,0,0,0
William Gholston,TB,DE,14,59.0,37.0,12,49,3.0,1,1,0,0
Prince Amukamara,JAX,CB,14,49.0,46.0,3,49,0.0,0,0,0,0
Andre Branch,MIA,DE,16,64.0,27.0,22,49,5.5,2,0,0,0
Chandler Jones,ARI,LB,16,83.0,38.0,11,49,11.0,4,2,0,0
Alan Branch,NE,DT,16,54.0,26.0,23,49,1.5,1,0,0,0
Dominique Rodgers-Cromartie,NYG,CB,15,65.0,41.0,8,49,1.0,1,0,6,0
Carlos Dunlap,CIN,DE,16,71.0,30.0,19,49,8.0,3,0,0,0
Everson Griffen,MIN,DE,16,80.0,36.0,12,48,8.0,2,3,0,1
Jerry Hughes,BUF,DE,16,62.0,31.0,17,48,6.0,1,0,0,0
Tracy Porter,CHI,CB,16,54.0,45.0,3,48,0.0,1,0,2,0
Earl Thomas,SEA,S,11,60.0,24.0,24,48,0.0,0,1,2,1
Joe Haden,CLE,CB,13,54.0,37.0,11,48,0.0,0,0,3,0
Perry Riley,OAK,LB,11,52.0,38.0,10,48,0.0,2,0,0,0
Stephon Gilmore,BUF,CB,15,58.0,42.0,6,48,0.0,0,0,5,0
Jamie Meder,CLE,DT,16,50.0,26.0,22,48,1.0,0,0,0,0
Shane Ray,DEN,LB,16,76.0,33.0,15,48,8.0,1,2,0,1
Andre Hal,HOU,S,15,54.0,32.0,16,48,1.0,0,0,2,0
Ibraheim Campbell,CLE,S,14,48.0,34.0,14,48,0.0,0,0,0,0
Grady Jarrett,ATL,DT,16,56.0,21.0,27,48,3.0,0,1,0,0
De'Vondre Campbell,ATL,LB,11,52.0,35.0,13,48,0.0,1,0,1,0
Cory James,OAK,LB,16,50.0,36.0,12,48,0.0,1,0,0,0
David Parry,IND,DT,16,53.0,34.0,13,47,3.0,0,0,0,0
Frank Clark,SEA,DE,15,73.0,25.0,22,47,10.0,2,1,0,0
Vince Williams,PIT,LB,16,51.0,37.0,10,47,2.0,0,0,0,0
Trent Murphy,WAS,DE,16,73.0,29.0,18,47,9.0,3,1,0,0
Darqueze Dennard,CIN,CB,15,47.0,32.0,15,47,0.0,0,0,0,0
Aaron Donald,LAR,DE,16,67.0,36.0,11,47,8.0,2,0,0,0
Buster Skrine,NYJ,CB,14,51.0,39.0,8,47,1.0,0,0,1,0
Chris Baker,WAS,DE,16,58.0,29.0,18,47,3.5,2,0,0,0
Brian Orakpo,TEN,LB,16,69.0,38.0,8,46,10.5,1,0,0,0
Orlando Scandrick,DAL,CB,12,58.0,39.0,7,46,2.0,3,0,1,0
Dre Kirkpatrick,CIN,CB,15,52.0,35.0,11,46,0.0,0,0,3,0
Bobby McCain,MIA,S,16,52.0,33.0,13,46,1.0,1,0,1,0
Derrick Kindred,CLE,S,12,46.0,32.0,14,46,0.0,0,0,0,0
Andrew Adams,NYG,S,14,48.0,31.0,15,46,0.0,0,0,1,0
Elandon Roberts,NE,LB,13,47.0,25.0,20,45,0.0,1,0,0,0
Marcus Peters,KC,CB,15,65.0,35.0,10,45,0.0,1,3,6,0
Trey Flowers,NE,DE,16,63.0,23.0,22,45,7.0,0,2,0,0
Michael Johnson,CIN,DE,16,52.0,32.0,13,45,3.5,0,0,0,0
Johnathan Joseph,HOU,CB,13,47.0,38.0,7,45,0.0,1,0,0,0
Dannell Ellerbe,NO,LB,9,52.0,34.0,10,44,4.0,0,0,0,0
Jurrell Casey,TEN,DE,15,54.0,31.0,13,44,5.0,0,0,0,0
Darius Slay,DET,CB,13,52.0,43.0,1,44,1.0,1,0,2,0
Phillip Gaines,KC,CB,11,50.0,42.0,2,44,0.0,2,0,1,0
Quandre Diggs,DET,S,12,46.0,40.0,4,44,0.0,1,0,0,0
Nick Kwiatkoski,CHI,LB,14,48.0,34.0,10,44,1.0,1,0,0,0
Cre'von LeBlanc,CHI,CB,13,54.0,40.0,4,44,0.0,0,0,2,1
Ken Crawley,NO,CB,15,47.0,40.0,3,43,0.0,1,1,0,0
T.J. Green,IND,S,15,43.0,32.0,11,43,0.0,0,0,0,0
Briean Boddy-Calhoun,CLE,CB,14,57.0,39.0,4,43,1.0,0,0,3,1
Johnathan Hankins,NYG,DT,16,51.0,29.0,14,43,3.0,1,0,0,0
Ed Reynolds,CLE,S,10,45.0,30.0,13,43,1.0,0,0,0,0
Fletcher Cox,PHI,DT,16,60.0,27.0,16,43,6.5,1,1,0,0
Nick Fairley,NO,DT,16,56.0,29.0,14,43,6.5,0,0,0,0
Leger Douzable,BUF,DE,16,46.0,24.0,19,43,1.5,0,0,0,0
William Hayes,LAR,DE,14,53.0,31.0,12,43,5.0,0,0,0,0
Tony McDaniel,SEA,DT,16,45.0,20.0,23,43,0.0,0,1,0,0
Leodis McKelvin,PHI,CB,13,53.0,32.0,11,43,0.0,0,0,2,1
Aqib Talib,DEN,CB,13,55.0,32.0,11,43,0.0,0,0,3,1
Erik Walden,IND,LB,16,70.0,31.0,11,42,11.0,3,0,0,0
Perrish Cox,TEN,CB,11,48.0,37.0,5,42,0.0,0,0,3,0
Bacarri Rambo,MIA,S,9,44.0,25.0,17,42,0.0,0,0,1,0
Jarvis Jones,PIT,LB,14,52.0,29.0,13,42,1.0,2,1,1,0
Valentino Blake,TEN,CB,16,42.0,35.0,7,42,0.0,0,0,0,0
Kendall Fuller,WAS,CB,13,42.0,32.0,10,42,0.0,0,0,0,0
Jordan Jenkins,NYJ,LB,14,50.0,23.0,18,41,2.5,1,1,0,0
Joey Bosa,SD,DE,12,64.0,29.0,12,41,10.5,1,0,0,0
Quinten Rollins,GB,CB,13,43.0,39.0,2,41,0.0,0,0,1,0
Anthony Harris,MIN,S,16,43.0,30.0,11,41,0.0,0,1,0,0
Tashaun Gipson,JAX,S,16,43.0,34.0,7,41,0.0,0,0,1,0
Frank Zombo,KC,LB,16,45.0,30.0,11,41,1.0,1,0,0,0
Shea McClellin,NE,LB,14,45.0,16.0,25,41,1.0,0,1,0,0
Chad Greenway,MIN,LB,16,43.0,26.0,15,41,0.0,0,0,1,0
Will Blackmon,WAS,S,15,46.0,25.0,16,41,0.5,1,0,1,0
Michael Griffin,CAR,S,13,40.0,27.0,13,40,0.0,0,0,0,0
Sean Smith,OAK,CB,15,44.0,33.0,7,40,0.0,0,0,2,0
Terrell McClain,DAL,DT,15,49.0,21.0,19,40,2.5,2,0,0,0
Da'Norris Searcy,TEN,S,14,44.0,35.0,5,40,0.0,0,1,1,0
Troy Hill,LAR,CB,12,40.0,35.0,5,40,0.0,0,0,0,0
Xavien Howard,MIA,CB,7,42.0,29.0,11,40,0.0,1,0,0,0
Damarious Randall,GB,S,10,45.0,35.0,4,39,0.0,0,0,3,0
Marcell Dareus,BUF,DT,8,46.0,24.0,15,39,3.5,0,0,0,0
Robert McClain,SD/CAR,CB,14,40.0,22.0,17,39,0.5,0,0,0,0
Ahtyba Rubin,SEA,DT,16,47.0,25.0,14,39,1.0,3,0,0,0
Cliff Avril,SEA,DE,16,72.0,20.0,19,39,11.5,5,0,0,0
Jordan Poyer,CLE,S,6,39.0,29.0,10,39,0.0,0,0,0,0
Kelcie McCray,SEA,S,16,39.0,23.0,16,39,0.0,0,0,0,0
Justin Bethel,ARI,S,16,51.0,37.0,2,39,0.0,1,1,1,1
Bradley Roby,DEN,CB,16,59.0,34.0,5,39,1.0,1,0,2,2
Shamar Stephen,MIN,DT,16,41.0,17.0,22,39,0.0,0,1,0,0
Vic Beasley,ATL,DE,16,90.0,32.0,7,39,15.5,6,1,0,1
Stephon Tuitt,PIT,DE,14,50.0,29.0,9,38,4.0,2,0,0,0
Dee Ford,KC,DE,15,60.0,25.0,13,38,10.0,1,0,0,0
Terence Newman,MIN,CB,15,40.0,33.0,5,38,0.0,0,0,1,0
Rashad Johnson,TEN,S,14,40.0,25.0,13,38,0.0,1,0,0,0
Brice McCain,TEN,CB,16,42.0,31.0,7,38,0.0,0,0,2,0
Willie Young,CHI,LB,16,55.0,21.0,17,38,7.5,1,0,0,0
Josh Bynes,DET,LB,9,38.0,26.0,12,38,0.0,0,0,0,0
Preston Smith,WAS,LB,16,49.0,22.0,16,38,4.5,0,0,1,0
Adrian Phillips,SD,S,14,40.0,25.0,13,38,0.0,0,0,1,0
Eli Harold,SF,DE,16,47.0,23.0,14,37,3.0,1,1,0,0
Tyson Alualu,JAX,DE,14,44.0,29.0,8,37,2.5,1,0,0,0
Domata Peko,CIN,DT,16,39.0,17.0,20,37,0.0,0,1,0,0
Vontae Davis,IND,CB,14,39.0,34.0,3,37,0.0,0,0,1,0
Pat Sims,CIN,DT,16,40.0,15.0,22,37,1.5,0,0,0,0
Justin Durant,DAL,LB,13,39.0,24.0,13,37,1.0,0,0,0,0
D.J. Hayden,OAK,CB,11,39.0,32.0,5,37,0.0,1,0,0,0
Quinton Dial,SF,DT,14,36.0,24.0,12,36,0.0,0,0,0,0
