,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Alshon Jeffery,PHI,WR,13,92,65,843,978,10.6,1.3,555,70.7,4.3,22.4,15.5,296,4.6,35.1,4,1
Chris Godwin,TB,WR,16,95,59,842,1084,11.5,1.5,584,62.8,2.1,16.8,15.3,258,4.4,30.6,2,0
Mohamed Sanu,ATL,WR,16,94,66,838,728,7.7,0.9,427,70.2,3.2,14.5,15.6,411,6.2,49.0,3,2
Calvin Ridley,ATL,WR,16,92,64,821,882,9.6,1.4,436,69.6,9.8,17.6,15.3,389,6.1,47.4,2,0
Adam Humphries,TB,WR,16,105,76,816,631,6.1,0.8,380,73.1,2.9,9.8,16.9,443,5.8,54.3,0,3
D.J. Moore,CAR,WR,16,82,55,788,731,8.9,1.0,362,67.1,1.2,18.3,15.1,426,7.7,54.1,4,0
DeSean Jackson,TB,WR,12,74,41,774,1376,18.6,3.0,595,55.4,2.7,21.3,12.0,179,4.4,23.1,3,0
Allen Robinson,CHI,WR,13,94,55,754,1088,11.7,1.4,514,59.1,3.2,25.0,18.1,240,4.4,31.8,8,1
Robby Anderson,NYJ,WR,14,94,50,752,1447,15.6,2.1,567,53.8,1.1,32.7,18.4,185,3.7,24.6,0,0
James White,NE,RB,16,123,87,751,258,2.1,0.4,62,70.2,3.2,6.1,22.4,724,8.3,96.4,0,0
Eric Ebron,IND,TE,16,110,66,750,1077,9.8,1.7,505,60.0,7.3,22.2,17.4,245,3.7,32.7,0,0
Jordy Nelson,OAK,WR,15,88,63,739,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Nelson Agholor,PHI,WR,16,97,64,736,995,10.3,1.0,384,66.0,4.1,22.8,16.4,374,5.8,50.8,0,1
Larry Fitzgerald,ARI,WR,16,112,69,734,1033,9.3,1.2,524,62.2,3.6,27.2,23.5,210,3.0,28.6,1,0
Amari Cooper,DAL,WR,9,76,53,725,718,9.4,1.4,405,69.7,3.9,18.8,14.7,330,6.2,45.5,2,1
Tarik Cohen,CHI,RB,16,91,71,725,329,3.6,0.6,195,78.0,1.1,7.6,17.7,530,7.5,73.1,0,2
Saquon Barkley,NYG,RB,16,121,91,721,-24,-0.2,0.0,-75,75.2,5.8,-0.6,21.1,796,8.7,110.4,1,0
Josh Gordon,NE,WR,11,69,40,720,864,12.7,1.5,443,58.8,8.8,20.5,12.3,277,6.9,38.5,3,0
Dede Westbrook,JAX,WR,16,101,66,717,828,8.3,1.0,357,66.0,8.0,23.0,19.2,369,5.6,51.5,0,1
John Brown,BAL,WR,16,97,42,715,1473,15.7,1.9,561,44.7,6.4,31.8,17.6,163,3.9,22.8,3,0
Alvin Kamara,NO,RB,15,105,81,709,179,1.7,0.3,62,77.1,3.8,4.9,20.5,647,8.0,91.3,2,0
Courtland Sutton,DEN,WR,16,84,42,704,1187,14.1,1.4,542,50.0,10.7,28.0,14.9,162,3.9,23.0,4,2
A.J. Green,CIN,WR,9,77,46,694,952,12.4,2.1,527,59.7,5.2,22.3,14.7,167,3.6,24.1,2,0
Taylor Gabriel,CHI,WR,16,93,67,688,1018,10.9,1.2,459,72.0,2.2,23.4,18.1,229,3.4,33.3,3,0
Rob Gronkowski,NE,TE,13,72,47,682,859,11.9,1.0,482,65.3,4.2,20.4,13.0,200,4.3,29.3,2,0
Cole Beasley,DAL,WR,16,87,65,672,618,7.1,0.9,444,74.7,2.3,16.2,16.9,228,3.5,33.9,1,1
Donte Moncrief,JAX,WR,16,89,48,668,1124,12.6,1.4,437,53.9,4.5,31.2,17.1,239,5.0,35.8,0,0
Mike Williams,LAC,WR,16,66,43,664,957,14.5,1.5,548,65.2,3.0,24.1,13.1,116,2.7,17.5,1,0
Austin Hooper,ATL,TE,16,88,71,660,578,6.6,0.7,414,80.7,1.1,11.5,14.6,246,3.5,37.3,1,0
Tyrell Williams,LAC,WR,16,65,41,653,803,12.4,1.1,456,63.1,4.6,20.2,12.9,197,4.8,30.2,0,0
Zay Jones,BUF,WR,16,102,56,652,1240,12.2,1.3,514,54.9,4.9,26.3,21.3,138,2.5,21.2,2,0
Willie Snead,BAL,WR,16,95,62,651,841,8.9,1.0,361,65.3,5.3,18.2,17.8,290,4.7,44.5,2,4
David Njoku,CLE,TE,16,88,56,639,751,8.4,0.9,322,62.9,6.7,14.5,15.9,317,5.7,49.6,1,0
Jimmy Graham,GB,TE,16,89,55,636,748,8.4,1.0,365,61.8,4.5,14.2,14.5,271,4.9,42.6,1,0
Kyle Rudolph,MIN,TE,16,82,64,634,502,6.1,0.5,379,78.0,1.2,11.8,13.8,255,4.0,40.2,2,0
Doug Baldwin,SEA,WR,13,73,50,618,815,11.2,1.1,452,68.5,1.4,22.9,18.2,166,3.3,26.9,3,1
Vance McDonald,PIT,TE,15,72,50,610,339,4.7,0.6,208,69.4,2.8,6.7,10.7,401,8.0,65.7,0,0
Michael Crabtree,BAL,WR,16,100,54,607,1074,10.8,1.3,475,54.5,10.1,23.2,18.5,132,2.4,21.7,4,2
Jalen Richard,OAK,RB,16,81,68,607,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Christian Kirk,ARI,WR,12,68,43,590,632,9.3,1.2,359,63.2,4.4,16.6,14.4,231,5.4,39.2,1,1
Antonio Callaway,CLE,WR,16,79,43,586,1057,13.2,1.4,335,53.8,6.3,20.5,14.3,251,5.8,42.8,3,0
Marquez Valdes-Scantling,GB,WR,16,73,38,581,945,12.8,1.3,363,51.4,5.4,17.9,12.1,218,5.7,37.5,4,0
Todd Gurley,LAR,RB,14,81,59,580,23,0.3,0.0,-17,74.7,6.3,0.5,14.5,617,10.5,106.4,0,0
Evan Engram,NYG,TE,11,64,45,577,319,5.0,0.7,179,70.3,3.1,7.7,11.2,398,8.8,69.0,1,1
Danny Amendola,MIA,WR,15,79,59,575,553,7.1,0.8,338,75.6,1.3,16.0,18.1,237,4.0,41.2,0,0
Rashard Higgins,CLE,WR,13,53,39,572,578,10.5,1.2,412,70.9,5.5,11.2,9.8,160,4.1,28.0,0,1
Trey Burton,CHI,TE,16,76,54,569,590,7.9,0.7,371,72.0,4.0,13.6,14.6,200,3.7,35.1,0,2
Ezekiel Elliott,DAL,RB,15,95,77,567,14,0.1,0.0,-25,81.1,4.2,0.4,18.4,592,7.7,104.4,0,0
Cooper Kupp,LAR,WR,8,55,40,566,447,8.3,1.0,263,74.1,3.7,9.6,9.9,303,7.6,53.5,0,0
O.J. Howard,TB,TE,10,48,34,565,521,11.1,1.2,336,72.3,4.3,8.1,7.6,229,6.7,40.5,0,1
Jordan Reed,WAS,TE,13,84,54,558,553,6.6,1.1,315,64.3,2.4,13.6,17.3,239,4.4,42.8,0,1
Kenny Stills,MIA,WR,15,64,37,553,1011,15.8,1.4,422,57.8,4.7,29.3,14.8,131,3.5,23.7,1,0
Mark Andrews,BAL,TE,16,50,34,552,529,10.6,1.3,350,68.0,6.0,11.4,9.3,202,5.9,36.6,3,0
Devin Funchess,CAR,WR,14,79,44,549,978,12.4,1.6,467,55.7,8.9,24.5,14.5,82,1.9,14.9,0,0
Robert Foster,BUF,WR,13,44,27,541,943,21.0,2.1,366,60.0,2.2,20.0,9.4,175,6.5,32.3,2,0
Josh Doctson,WAS,WR,15,78,44,532,1129,14.3,1.3,395,55.7,3.8,27.8,16.3,137,3.1,25.8,3,0
Chris Hogan,NE,WR,16,54,35,532,599,11.5,0.7,335,67.3,3.8,14.2,9.4,197,5.6,37.0,4,1
Sammy Watkins,KC,WR,10,55,40,519,466,8.5,1.0,276,72.7,1.8,9.3,9.8,243,6.1,46.8,3,0
Golden Tate,DET,WR,7,69,44,517,411,6.1,1.1,238,65.7,9.0,11.1,12.1,276,6.3,53.4,0,0
Marvin Jones,DET,WR,9,62,35,508,891,14.6,1.7,402,57.4,1.6,24.0,11.0,106,3.0,20.9,5,2
Michael Gallup,DAL,WR,16,68,33,507,939,13.8,1.3,328,48.5,1.5,24.6,13.2,179,5.4,35.3,3,0
Will Fuller,HOU,WR,7,45,32,503,637,14.2,1.7,332,71.1,0.0,15.1,9.1,171,5.3,34.0,2,1
Chris Herndon,NYJ,TE,16,56,39,502,559,10.0,0.9,310,69.6,5.4,12.6,11.1,191,4.9,38.0,0,0
James Conner,PIT,RB,13,71,55,497,-50,-0.7,-0.1,-68,77.5,5.6,-1.0,10.5,565,10.3,113.7,1,0
Curtis Samuel,CAR,WR,13,65,39,494,762,11.7,1.6,377,60.0,6.2,19.1,11.9,117,3.0,23.7,2,0
Seth Roberts,OAK,WR,15,64,45,494,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Keelan Cole,JAX,WR,16,70,38,491,690,9.9,1.0,349,54.3,11.4,19.2,13.4,142,3.7,28.9,1,0
Melvin Gordon,LAC,RB,12,66,50,490,-4,-0.1,0.0,-44,78.1,10.9,-0.1,12.7,534,10.7,109.0,0,0
T.J. Yeldon,JAX,RB,14,78,55,487,50,0.7,0.1,43,72.4,10.5,1.4,14.6,445,8.1,91.4,0,0
Kendrick Bourne,SF,WR,16,67,42,487,588,8.9,1.0,333,63.6,6.1,15.4,12.9,155,3.7,31.8,1,0
Chester Rogers,IND,WR,16,72,53,485,465,6.5,0.8,227,73.6,5.6,9.6,11.4,265,5.0,54.6,1,0
Kenyan Drake,MIA,RB,16,73,53,477,160,2.3,0.3,62,74.6,7.0,4.6,16.5,379,7.2,79.5,1,0
Dante Pettis,SF,WR,12,45,27,467,521,11.6,1.2,264,60.0,2.2,13.7,8.8,203,7.5,43.5,3,0
Taywan Taylor,TEN,WR,13,56,37,466,711,12.9,1.6,292,67.3,9.1,23.1,13.0,174,4.7,37.3,0,0
Quincy Enunwa,NYJ,WR,11,68,38,449,484,7.1,0.9,166,55.9,4.4,10.9,13.5,281,7.4,62.6,1,0
Jarius Wright,CAR,WR,16,59,43,447,333,5.6,0.6,242,72.9,3.4,8.4,10.8,205,4.8,45.9,0,0
David Johnson,ARI,RB,16,76,50,446,25,0.3,0.0,41,64.9,10.4,0.7,16.3,402,8.0,90.1,0,0
David Moore,SEA,WR,16,53,26,445,805,15.5,1.3,349,50.0,1.9,22.6,13.0,89,3.4,20.0,0,0
C.J. Uzomah,CIN,TE,16,64,43,439,465,7.3,0.6,238,67.2,6.3,10.9,12.2,201,4.7,45.8,1,0
Duke Johnson,CLE,RB,16,62,47,429,134,2.2,0.3,37,75.8,4.8,2.6,11.1,417,8.9,97.2,1,0
Tre'Quan Smith,NO,WR,15,44,28,427,470,11.5,0.8,310,68.3,4.9,13.0,8.0,117,4.2,27.4,0,0
Nyheim Hines,IND,RB,16,81,63,425,186,2.3,0.4,82,77.8,2.5,3.8,12.8,343,5.4,80.7,0,1
Anthony Miller,CHI,WR,15,54,33,423,578,10.7,1.0,244,61.1,7.4,13.3,10.5,179,5.4,42.3,1,1
Jesse James,PIT,TE,16,39,30,423,289,7.4,0.5,233,76.9,5.1,5.7,5.8,190,6.3,44.9,1,0
Austin Ekeler,LAC,RB,14,53,39,404,42,0.8,0.1,-2,73.6,3.8,1.1,10.5,406,10.4,100.5,0,0
Josh Reynolds,LAR,WR,16,53,29,402,648,12.2,1.1,265,54.7,3.8,13.9,9.7,137,4.7,34.1,0,0
Demaryius Thomas,DEN,WR,8,56,36,402,585,10.4,1.4,263,64.3,10.7,13.8,9.9,139,3.9,34.6,2,0
Dion Lewis,TEN,RB,16,67,59,400,-100,-1.5,-0.2,-99,86.8,5.9,-3.2,16.0,499,8.5,124.8,0,0
Ben Watson,NO,TE,16,46,35,400,447,9.5,0.9,298,74.5,6.4,12.3,9.2,102,2.9,25.5,1,0
Marquise Goodwin,SF,WR,11,44,23,395,616,14.0,1.4,263,52.3,4.5,16.1,8.6,132,5.7,33.4,0,0
Albert Wilson,MIA,WR,7,35,26,391,236,6.7,1.0,51,74.3,2.9,6.8,8.1,340,13.1,87.0,0,2
Jamison Crowder,WAS,WR,9,49,29,388,463,9.4,1.1,177,59.2,4.1,11.4,10.1,211,7.3,54.4,1,0
Theo Riddick,DET,RB,14,74,61,384,41,0.5,0.1,-28,80.3,7.9,1.1,13.7,419,6.9,109.1,0,0
Randall Cobb,GB,WR,9,61,38,383,468,7.7,1.0,143,62.3,6.6,8.9,10.0,240,6.3,62.7,1,0
Kareem Hunt,KC,RB,11,35,26,378,46,1.3,0.1,25,72.2,11.1,0.9,6.4,353,13.6,93.4,0,0
Jermaine Kearse,NYJ,WR,14,76,37,371,709,9.3,1.1,239,48.7,2.6,16.0,15.0,132,3.6,35.6,0,0
Vernon Davis,WAS,TE,14,36,25,367,410,11.4,0.9,190,69.4,5.6,10.1,7.4,177,7.1,48.2,0,1
Kelvin Benjamin,BUF,WR,12,62,23,354,983,15.9,1.9,288,37.1,6.5,20.9,12.9,66,2.9,18.6,3,2
Ricky Seals-Jones,ARI,TE,15,69,34,343,683,9.8,1.3,247,48.6,7.1,18.0,14.8,96,2.8,28.0,0,0
Breshad Perriman,CLE,WR,10,25,16,340,445,17.8,2.0,258,64.0,0.0,8.6,4.5,82,5.1,24.1,0,0
Chris Conley,KC,WR,16,52,32,334,419,8.2,0.5,198,62.7,9.8,8.4,9.1,136,4.3,40.7,2,1
Ryan Grant,IND,WR,14,52,35,334,472,9.1,0.8,240,67.3,5.8,9.7,8.2,94,2.7,28.1,1,1
Dallas Goedert,PHI,TE,16,44,33,334,321,7.3,0.6,148,75.0,2.3,7.4,7.4,186,5.6,55.7,1,1
Ian Thomas,CAR,TE,16,49,36,333,300,6.1,0.6,175,73.5,8.2,7.5,9.0,158,4.4,47.4,0,0
Antonio Gates,LAC,TE,16,45,28,333,369,8.2,1.0,206,62.2,0.0,9.3,8.9,127,4.5,38.1,0,0
Equanimeous St. Brown,GB,WR,12,36,21,328,500,13.9,1.4,209,58.3,5.6,9.5,5.9,119,5.7,36.3,1,0
Kyle Juszczyk,SF,FB,16,41,30,324,181,4.5,0.3,140,75.0,5.0,4.7,7.8,184,6.1,56.8,1,0
Gerald Everett,LAR,TE,16,50,33,320,308,6.0,0.8,174,64.7,0.0,6.6,9.4,146,4.4,45.6,0,1
Tajae Sharpe,TEN,WR,16,47,26,316,496,10.6,0.8,232,55.3,2.1,16.1,11.1,84,3.2,26.6,1,0
Tim Patrick,DEN,WR,16,41,23,315,434,10.6,1.1,204,56.1,7.3,10.3,7.3,117,5.1,37.1,0,1
DeVante Parker,MIA,WR,11,47,24,309,589,12.5,1.4,225,51.1,2.1,17.1,10.9,97,4.0,31.4,0,2
Blake Jarwin,DAL,TE,16,36,27,307,286,7.9,0.7,190,75.0,5.6,7.5,7.0,117,4.3,38.1,0,0
Dalvin Cook,MIN,RB,11,49,40,305,-101,-2.1,-0.2,-80,81.6,8.2,-2.4,8.2,401,10.0,131.5,0,0
Ryan Griffin,HOU,TE,14,43,24,305,318,7.4,0.4,150,55.8,9.3,7.6,8.7,155,6.5,50.8,1,0
Jacquizz Rodgers,TB,RB,16,45,38,304,71,1.6,0.2,60,84.4,0.0,1.1,7.3,244,6.4,80.3,0,0
Dontrelle Inman,IND,WR,9,39,28,304,405,10.4,1.1,248,71.8,5.1,8.3,6.2,56,2.0,18.4,2,0
Maurice Harris,WAS,WR,12,47,28,304,469,10.0,1.0,207,59.6,6.4,11.5,9.7,97,3.5,31.9,0,0
Geronimo Allison,GB,WR,5,30,20,303,373,12.4,1.6,189,66.7,10.0,7.1,4.9,114,5.7,37.6,0,0
Laquon Treadwell,MIN,WR,15,53,35,302,307,5.8,0.6,178,66.0,11.3,7.2,8.9,124,3.5,41.1,2,0
Jordan Matthews,PHI,WR,14,28,20,300,287,9.9,0.8,210,69.0,3.4,6.6,4.9,90,4.5,30.0,1,1
Joe Mixon,CIN,RB,14,55,43,296,-7,-0.1,0.0,-40,78.2,7.3,-0.2,10.5,336,7.8,113.5,0,0
Allen Hurns,DAL,WR,16,35,20,295,444,12.7,1.0,212,57.1,2.9,11.6,6.8,81,4.1,27.5,0,0
Tyler Higbee,LAR,TE,16,34,24,292,214,6.5,0.3,153,72.7,3.0,4.6,6.1,134,5.6,45.9,0,0
Greg Olsen,CAR,TE,9,38,27,291,317,8.3,0.7,195,71.1,5.3,8.0,7.0,96,3.6,33.0,1,0
Phillip Dorsett,NE,WR,16,42,32,290,447,10.6,1.1,192,76.2,2.4,10.6,7.6,98,3.1,33.8,0,0
Cameron Brate,TB,TE,16,49,30,289,409,8.3,0.8,234,61.2,10.2,6.3,8.0,55,1.8,19.0,1,2
Demarcus Robinson,KC,WR,16,33,22,288,386,11.7,0.9,172,66.7,3.0,7.7,5.9,116,5.3,40.3,0,0
Keke Coutee,HOU,WR,6,41,28,287,209,5.1,0.8,78,68.3,7.3,5.0,8.3,209,7.5,72.8,0,0
Pierre Garcon,SF,WR,8,46,24,286,386,8.6,1.0,178,53.3,6.7,10.1,8.8,108,4.5,37.8,0,0
Jeff Heuerman,DEN,TE,11,48,31,281,270,5.5,0.5,148,63.3,6.1,6.4,8.7,133,4.3,47.3,0,1
Amari Cooper,OAK,WR,6,31,22,280,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Golden Tate,PHI,WR,8,44,30,278,301,6.8,1.3,122,68.2,4.5,6.9,7.4,147,4.9,52.9,0,1
Tevin Coleman,ATL,RB,16,44,32,276,12,0.3,0.0,-9,72.7,6.8,0.2,7.3,285,8.9,103.3,0,0
Demaryius Thomas,HOU,WR,7,33,23,275,307,9.6,0.9,129,71.9,0.0,7.3,6.5,146,6.3,53.1,0,0
Devontae Booker,DEN,RB,16,51,38,275,73,1.4,0.2,35,74.5,2.0,1.7,9.1,242,6.4,88.0,0,1
Rhett Ellison,NYG,TE,14,34,25,272,204,5.8,0.4,135,71.4,8.6,4.9,6.1,137,5.5,50.4,0,0
Nick Vannett,SEA,TE,15,43,29,269,260,6.0,0.5,124,67.4,2.3,7.3,10.7,145,5.0,53.9,1,0
Jakeem Grant,MIA,WR,10,34,21,268,273,8.0,1.0,122,61.8,5.9,7.9,7.9,146,7.0,54.5,1,0
Zach Pascal,IND,WR,16,46,27,268,432,9.4,0.8,185,58.7,4.3,8.9,7.3,83,3.1,31.0,0,0
Chris Thompson,WAS,RB,10,55,41,268,58,1.1,0.2,34,75.9,5.6,1.4,11.1,228,5.6,85.1,0,0
Martavis Bryant,OAK,WR,8,27,19,266,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Levine Toilolo,DET,TE,16,24,21,263,170,7.1,0.3,146,87.5,0.0,4.6,4.3,117,5.6,44.5,0,0
Paul Richardson,WAS,WR,7,35,20,262,414,12.2,1.1,211,58.8,0.0,10.2,7.0,51,2.6,19.5,2,0
Matt Breida,SF,RB,14,31,27,261,73,2.4,0.2,27,87.1,0.0,1.9,6.1,241,8.9,92.3,0,0
Jason Croom,BUF,TE,15,35,22,259,241,7.1,0.6,120,64.7,2.9,5.1,7.1,140,6.4,54.1,0,0
Jonnu Smith,TEN,TE,13,31,20,258,148,4.9,0.2,72,66.7,10.0,4.8,7.1,186,9.3,72.1,0,0
Ryan Switzer,PIT,WR,16,44,36,253,148,3.4,0.5,117,81.8,2.3,2.9,6.5,136,3.8,53.8,1,1
Matt LaCosse,DEN,TE,15,37,24,250,198,5.4,0.5,101,64.9,5.4,4.7,6.6,149,6.2,59.6,0,0
Cordarrelle Patterson,NE,WR,15,28,21,247,165,5.9,0.7,78,75.0,3.6,3.9,5.1,169,8.0,68.4,0,0
Jack Doyle,IND,TE,6,33,26,245,168,5.1,0.5,127,78.8,0.0,3.5,5.2,120,4.6,49.0,0,0
DaeSean Hamilton,DEN,WR,14,46,30,243,375,8.3,0.8,170,66.7,2.2,8.9,8.0,73,2.4,30.0,1,0
Geoff Swaim,DAL,TE,9,32,26,242,126,4.1,0.2,82,83.9,0.0,3.3,6.0,160,6.2,66.1,0,0
Phillip Lindsay,DEN,RB,15,47,35,241,-49,-1.0,-0.1,-62,74.5,10.6,-1.2,8.3,311,8.9,129.0,0,1
LeSean McCoy,BUF,RB,14,46,34,238,-39,-0.8,-0.1,-56,73.9,2.2,-0.8,9.6,294,8.6,123.5,0,0
Terrelle Pryor,NYJ,WR,6,22,14,235,249,11.9,1.5,171,66.7,14.3,5.6,4.2,64,4.6,27.2,0,0
Aldrick Robinson,MIN,WR,14,35,17,231,599,17.1,2.4,192,48.6,2.9,14.1,5.9,39,2.3,16.9,3,0
Wendell Smallwood,PHI,RB,16,35,28,230,-4,-0.1,0.0,-8,82.4,8.8,-0.1,5.7,238,8.5,103.5,0,0
Jordan Akins,HOU,TE,16,25,17,225,157,6.3,0.4,101,68.0,0.0,3.7,5.1,124,7.3,55.1,0,0
Anthony Firkser,TEN,TE,12,20,19,225,127,6.3,0.7,122,95.0,0.0,4.1,4.7,103,5.4,45.8,0,0
Spencer Ware,KC,RB,13,23,20,224,-26,-1.2,-0.1,-33,90.9,9.1,-0.5,3.9,257,12.9,114.7,0,0
Giovani Bernard,CIN,RB,12,48,35,218,-12,-0.3,0.0,-20,76.1,4.3,-0.3,8.8,238,6.8,109.2,0,1
James Washington,PIT,WR,14,38,16,217,617,16.2,1.2,160,42.1,5.3,12.2,5.6,57,3.6,26.3,0,1
Jordan Thomas,HOU,TE,16,27,20,215,158,5.9,0.3,121,74.1,3.7,3.8,5.5,94,4.7,43.7,0,0
Trent Taylor,SF,WR,14,40,26,215,260,6.3,0.8,109,63.4,4.9,6.8,8.0,106,4.1,49.3,2,0
James O'Shaughnessy,JAX,TE,14,38,24,214,234,6.2,0.4,93,63.2,2.6,6.5,7.3,121,5.0,56.5,0,0
Mike Davis,SEA,RB,15,42,34,214,7,0.2,0.0,-21,79.1,7.0,0.2,10.7,235,6.9,109.8,0,0
Nick Boyle,BAL,TE,16,37,23,213,113,3.1,0.2,63,62.2,2.7,2.4,6.9,150,6.5,70.4,0,1
Kerryon Johnson,DET,RB,10,39,32,213,-21,-0.6,-0.1,-53,84.2,0.0,-0.6,6.8,266,8.3,124.9,0,0
Trent Sherfield,ARI,WR,13,28,19,210,297,10.6,0.9,169,67.9,3.6,7.8,5.9,41,2.2,19.5,1,0
Jamaal Williams,GB,RB,16,41,27,210,-3,-0.1,0.0,-16,69.2,0.0,-0.1,6.4,226,8.4,107.6,0,0
John Ross,CIN,WR,13,58,21,210,770,13.3,1.3,145,36.2,10.3,18.0,11.1,65,3.1,31.0,1,0
Virgil Green,LAC,TE,16,27,19,210,143,5.3,0.2,104,70.4,14.8,3.6,5.4,106,5.6,50.5,0,0
Ted Ginn,NO,WR,5,30,17,209,478,15.9,2.4,159,56.7,6.7,13.2,5.9,68,4.0,32.5,0,0
Keith Kirkwood,NO,WR,8,21,13,209,283,13.5,1.3,161,61.9,9.5,7.8,4.1,48,3.7,23.0,0,0
Adrian Peterson,WAS,RB,16,26,20,208,10,0.4,0.0,4,76.9,7.7,0.2,5.3,226,11.3,108.7,0,0
Aaron Jones,GB,RB,12,35,26,206,-1,0.0,0.0,-23,74.3,5.7,0.0,5.7,229,8.8,111.2,0,0
Chris Ivory,BUF,RB,13,21,13,205,-8,-0.4,0.0,0,61.9,19.0,-0.2,4.4,205,15.8,100.0,0,0
Mike Gesicki,MIA,TE,16,32,22,202,283,8.8,0.7,107,68.8,3.1,8.2,7.4,98,4.5,48.5,1,0
Jaylen Samuels,PIT,RB,14,29,26,199,-10,-0.3,0.0,-25,89.7,0.0,-0.2,4.3,224,8.6,112.6,0,0
Bennie Fowler,NYG,WR,10,27,16,199,249,9.6,0.7,118,61.5,3.8,6.0,4.5,81,5.1,40.7,0,0
Javorius Allen,BAL,RB,14,43,35,196,35,0.8,0.1,13,81.4,2.3,0.8,8.0,199,5.7,101.5,0,2
