,,,,Receiving,,,,Red Zone Targets,,,
Donte Moncrief,JAX,WR,16,48,668,3,89,7,5,3,14.29
Mike Williams,LAC,WR,16,43,664,10,66,14,9,4,19.72
Austin Hooper,ATL,TE,16,71,660,4,88,13,10,5,17.57
Tyrell Williams,LAC,WR,16,41,653,5,65,7,3,1,9.86
Zay Jones,BUF,WR,16,56,652,7,102,17,4,2,43.59
Willie Snead,BAL,WR,16,62,651,1,95,7,0,0,10.61
David Njoku,CLE,TE,16,56,639,4,88,8,5,3,13.79
Jimmy Graham,GB,TE,16,55,636,2,89,9,5,4,13.24
Kyle Rudolph,MIN,TE,16,64,634,4,82,15,8,5,21.13
Doug Baldwin,SEA,WR,13,50,618,5,73,13,9,3,23.21
Vance McDonald,PIT,TE,15,50,610,4,72,10,4,3,10.87
Jalen Richard,OAK,RB,16,68,607,0,81,4,2,0,7.14
Michael Crabtree,BAL,WR,16,54,607,3,100,11,6,2,16.67
Christian Kirk,ARI,WR,12,43,590,3,68,5,2,0,11.11
Antonio Callaway,CLE,WR,16,43,586,5,79,8,5,4,13.79
Marquez Valdes-Scantling,GB,WR,16,38,581,2,73,8,3,3,11.76
Todd Gurley,LAR,RB,14,59,580,4,81,18,7,2,19.35
Evan Engram,NYG,TE,11,45,577,3,64,7,3,2,8.64
Danny Amendola,MIA,WR,15,59,575,1,79,2,2,0,5.13
Rashard Higgins,CLE,WR,13,39,572,4,53,4,0,0,6.90
Trey Burton,CHI,TE,16,54,569,6,76,13,6,2,18.06
Ezekiel Elliott,DAL,RB,15,77,567,3,95,17,6,0,24.29
Cooper Kupp,LAR,WR,8,40,566,6,55,11,6,0,11.83
O.J. Howard,TB,TE,10,34,565,5,48,7,4,2,8.33
Jordan Reed,WAS,TE,13,54,558,2,84,7,5,1,16.67
Kenny Stills,MIA,WR,15,37,553,6,64,4,3,1,10.26
Mark Andrews,BAL,TE,16,34,552,3,50,7,3,1,10.61
Devin Funchess,CAR,WR,14,44,549,4,79,12,7,4,17.65
Robert Foster,BUF,WR,13,27,541,3,44,4,1,1,10.26
Chris Hogan,NE,WR,16,35,532,3,54,7,4,2,8.33
Josh Doctson,WAS,WR,15,44,532,2,78,8,3,1,19.05
Sammy Watkins,KC,WR,10,40,519,3,55,10,4,0,10.31
Golden Tate,DET,WR,7,44,517,3,69,6,4,1,8.96
Marvin Jones,DET,WR,9,35,508,5,62,10,5,1,14.93
Michael Gallup,DAL,WR,16,33,507,2,68,8,3,1,11.43
Will Fuller,HOU,WR,7,32,503,4,45,5,3,2,6.67
Chris Herndon,NYJ,TE,16,39,502,4,56,7,1,1,13.21
James Conner,PIT,RB,13,55,497,1,71,7,3,0,7.61
Curtis Samuel,CAR,WR,13,39,494,5,65,9,5,2,13.24
Seth Roberts,OAK,WR,15,45,494,2,64,2,0,0,3.57
Keelan Cole,JAX,WR,16,38,491,1,70,7,0,0,14.29
Melvin Gordon,LAC,RB,12,50,490,4,66,13,8,1,18.31
T.J. Yeldon,JAX,RB,14,55,487,4,78,5,3,1,10.20
Kendrick Bourne,SF,WR,16,42,487,4,67,12,6,4,16.67
Chester Rogers,IND,WR,16,53,485,2,72,7,1,1,7.07
Kenyan Drake,MIA,RB,16,53,477,5,73,6,2,2,15.38
Dante Pettis,SF,WR,12,27,467,5,45,5,1,1,6.94
Taywan Taylor,TEN,WR,13,37,466,1,56,6,1,0,10.71
Quincy Enunwa,NYJ,WR,11,38,449,1,68,9,2,0,16.98
Jarius Wright,CAR,WR,16,43,447,1,59,5,2,2,7.35
David Johnson,ARI,RB,16,50,446,3,76,10,8,0,22.22
David Moore,SEA,WR,16,26,445,5,53,9,4,1,16.07
C.J. Uzomah,CIN,TE,16,43,439,3,64,6,3,2,9.38
Duke Johnson,CLE,RB,16,47,429,3,62,8,3,2,13.79
Tre'Quan Smith,NO,WR,15,28,427,5,44,10,6,2,10.53
Nyheim Hines,IND,RB,16,63,425,2,81,10,4,2,10.10
Anthony Miller,CHI,WR,15,33,423,7,54,11,6,3,15.28
Jesse James,PIT,TE,16,30,423,2,39,5,2,1,5.43
Austin Ekeler,LAC,RB,14,39,404,3,53,5,0,0,7.04
Josh Reynolds,LAR,WR,16,29,402,5,53,14,5,4,15.05
Demaryius Thomas,DEN,WR,8,36,402,3,56,8,3,3,12.12
Dion Lewis,TEN,RB,16,59,400,1,67,8,2,0,14.29
Ben Watson,NO,TE,16,35,400,2,46,9,6,4,9.47
Marquise Goodwin,SF,WR,11,23,395,4,44,5,1,1,6.94
Albert Wilson,MIA,WR,7,26,391,4,35,1,0,0,2.56
Jamison Crowder,WAS,WR,9,29,388,2,49,4,1,0,9.52
Theo Riddick,DET,RB,14,61,384,0,74,10,1,0,14.93
Randall Cobb,GB,WR,9,38,383,2,61,4,0,0,5.88
Kareem Hunt,KC,RB,11,26,378,7,35,9,5,2,9.28
Jermaine Kearse,NYJ,WR,14,37,371,1,76,9,3,2,16.98
Vernon Davis,WAS,TE,14,25,367,2,36,1,0,0,2.38
Kelvin Benjamin,BUF,WR,12,23,354,1,62,6,2,2,15.38
Ricky Seals-Jones,ARI,TE,15,34,343,1,69,4,3,1,8.89
Breshad Perriman,CLE,WR,10,16,340,2,25,1,0,0,1.72
Chris Conley,KC,WR,16,32,334,5,52,10,7,4,10.31
Dallas Goedert,PHI,TE,16,33,334,4,44,7,3,2,8.33
Ryan Grant,IND,WR,14,35,334,1,52,6,1,1,6.06
Ian Thomas,CAR,TE,16,36,333,2,49,7,3,1,10.29
Antonio Gates,LAC,TE,16,28,333,2,45,9,7,4,12.68
Equanimeous St. Brown,GB,WR,12,21,328,0,36,1,0,0,1.47
Kyle Juszczyk,SF,FB,16,30,324,1,41,6,2,0,8.33
Gerald Everett,LAR,TE,16,33,320,3,50,11,6,1,11.83
Tajae Sharpe,TEN,WR,16,26,316,2,47,10,4,1,17.86
Tim Patrick,DEN,WR,16,23,315,1,41,1,1,1,1.52
DeVante Parker,MIA,WR,11,24,309,1,47,5,2,0,12.82
Blake Jarwin,DAL,TE,16,27,307,3,36,3,0,0,4.29
Dalvin Cook,MIN,RB,11,40,305,2,49,3,2,0,4.23
Ryan Griffin,HOU,TE,14,24,305,0,43,10,5,3,13.33
Dontrelle Inman,IND,WR,9,28,304,3,39,6,4,2,6.06
Jacquizz Rodgers,TB,RB,16,38,304,0,45,6,0,0,7.14
Maurice Harris,WAS,WR,12,28,304,0,47,4,1,1,9.52
Geronimo Allison,GB,WR,5,20,303,2,30,3,1,0,4.41
Laquon Treadwell,MIN,WR,15,35,302,1,53,4,2,1,5.63
Jordan Matthews,PHI,WR,14,20,300,2,28,4,2,2,4.76
Joe Mixon,CIN,RB,14,43,296,1,55,8,4,1,12.50
Allen Hurns,DAL,WR,16,20,295,2,35,5,2,1,7.14
Tyler Higbee,LAR,TE,16,24,292,2,34,6,2,1,6.45
Greg Olsen,CAR,TE,9,27,291,4,38,6,3,3,8.82
Phillip Dorsett,NE,WR,16,32,290,3,42,8,3,1,9.52
Cameron Brate,TB,TE,16,30,289,6,49,12,4,3,14.29
Demarcus Robinson,KC,WR,16,22,288,4,33,6,3,3,6.19
Keke Coutee,HOU,WR,6,28,287,1,41,5,2,2,6.67
Pierre Garcon,SF,WR,8,24,286,1,46,3,1,0,4.17
Jeff Heuerman,DEN,TE,11,31,281,2,48,13,8,3,19.70
Amari Cooper,OAK,WR,6,22,280,1,31,4,3,0,7.14
Golden Tate,PHI,WR,8,30,278,1,44,5,2,0,5.95
Tevin Coleman,ATL,RB,16,32,276,5,44,10,4,2,13.51
Devontae Booker,DEN,RB,16,38,275,0,51,8,3,1,12.12
Demaryius Thomas,HOU,WR,7,23,275,2,33,4,1,0,5.33
Rhett Ellison,NYG,TE,14,25,272,1,34,4,1,0,4.94
Nick Vannett,SEA,TE,15,29,269,3,43,6,4,2,10.71
Chris Thompson,WAS,RB,10,41,268,1,55,4,1,0,9.52
Zach Pascal,IND,WR,16,27,268,2,46,8,2,1,8.08
Jakeem Grant,MIA,WR,10,21,268,2,34,2,0,0,5.13
Martavis Bryant,OAK,WR,8,19,266,0,27,3,1,0,5.36
Levine Toilolo,DET,TE,16,21,263,1,24,2,1,0,2.99
Paul Richardson,WAS,WR,7,20,262,2,35,2,1,1,4.76
Matt Breida,SF,RB,14,27,261,2,31,4,1,1,5.56
Jason Croom,BUF,TE,15,22,259,1,35,1,0,0,2.56
Jonnu Smith,TEN,TE,13,20,258,3,31,5,5,2,8.93
Ryan Switzer,PIT,WR,16,36,253,1,44,7,4,2,7.61
Matt LaCosse,DEN,TE,15,24,250,1,37,6,4,0,9.09
Cordarrelle Patterson,NE,WR,15,21,247,3,28,3,2,2,3.57
Jack Doyle,IND,TE,6,26,245,2,33,7,4,2,7.07
DaeSean Hamilton,DEN,WR,14,30,243,2,46,3,3,1,4.55
Geoff Swaim,DAL,TE,9,26,242,1,32,4,2,2,5.71
Phillip Lindsay,DEN,RB,15,35,241,1,47,5,2,0,7.58
LeSean McCoy,BUF,RB,14,34,238,0,46,2,0,0,5.13
Terrelle Pryor,NYJ,WR,6,14,235,2,22,4,1,0,7.55
Aldrick Robinson,MIN,WR,14,17,231,5,35,4,0,0,5.63
Wendell Smallwood,PHI,RB,16,28,230,2,35,6,2,0,7.14
Anthony Firkser,TEN,TE,12,19,225,1,20,4,0,0,7.14
Jordan Akins,HOU,TE,16,17,225,0,25,2,1,1,2.67
Spencer Ware,KC,RB,13,20,224,0,23,1,0,0,1.03
Giovani Bernard,CIN,RB,12,35,218,0,48,2,0,0,3.13
James Washington,PIT,WR,14,16,217,1,38,3,0,0,3.26
Jordan Thomas,HOU,TE,16,20,215,4,27,9,4,1,12.00
Trent Taylor,SF,WR,14,26,215,1,40,6,3,2,8.33
Mike Davis,SEA,RB,15,34,214,1,42,1,1,1,1.79
James O'Shaughnessy,JAX,TE,14,24,214,0,38,2,1,0,4.08
Kerryon Johnson,DET,RB,10,32,213,1,39,6,2,0,8.96
Nick Boyle,BAL,TE,16,23,213,0,37,7,5,4,10.61
Jamaal Williams,GB,RB,16,27,210,0,41,3,1,0,4.41
John Ross,CIN,WR,13,21,210,7,58,11,7,5,17.19
Virgil Green,LAC,TE,16,19,210,1,27,5,2,1,7.04
Trent Sherfield,ARI,WR,13,19,210,1,28,1,1,0,2.22
Ted Ginn,NO,WR,5,17,209,2,30,4,1,1,4.21
Keith Kirkwood,NO,WR,8,13,209,2,21,2,1,1,2.11
Adrian Peterson,WAS,RB,16,20,208,1,26,3,2,0,7.14
Aaron Jones,GB,RB,12,26,206,1,35,3,0,0,4.41
Chris Ivory,BUF,RB,13,13,205,0,21,0,0,0,0.00
Mike Gesicki,MIA,TE,16,22,202,0,32,6,2,2,15.38
Jaylen Samuels,PIT,RB,14,26,199,3,29,6,3,1,6.52
Bennie Fowler,NYG,WR,10,16,199,1,27,4,2,1,4.94
Javorius Allen,BAL,RB,14,35,196,2,43,6,2,0,9.09
Chris Moore,BAL,WR,16,19,196,1,25,1,1,1,1.52
DeAndre Carter,HOU,WR,7,20,195,0,23,2,1,1,2.67
Elijah McGuire,NYJ,RB,8,19,193,1,31,2,0,0,3.77
Corey Clement,PHI,RB,11,22,192,0,25,2,1,1,2.38
TJ Jones,DET,WR,15,19,190,2,26,3,1,1,4.48
Torrey Smith,CAR,WR,11,17,190,2,31,3,2,2,4.41
Cody Latimer,NYG,WR,6,11,190,1,16,0,0,0,0.00
Russell Shepard,NYG,WR,12,10,188,2,19,2,0,0,2.47
Travis Benjamin,LAC,WR,12,12,186,1,24,1,1,0,1.41
Leonard Fournette,JAX,RB,8,22,185,1,26,3,1,1,6.12
Josh Hill,NO,TE,16,16,185,1,24,1,1,1,1.05
Charles Clay,BUF,TE,13,21,184,0,36,2,1,1,5.13
Isaiah McKenzie,BUF,WR,7,18,179,0,30,1,0,0,2.56
Tyler Eifert,CIN,TE,4,15,179,1,19,2,0,0,3.13
DJ Chark,JAX,WR,11,14,174,0,32,3,2,1,6.12
Chad Williams,ARI,WR,10,17,171,1,46,5,2,1,11.11
Mark Ingram,NO,RB,12,21,170,1,27,1,1,1,1.05
Ty Montgomery,GB,RB,7,15,170,0,23,1,1,1,1.47
Lance Kendricks,GB,TE,16,19,170,1,25,3,1,1,4.41
Alex Erickson,CIN,WR,16,20,167,0,29,3,1,0,4.69
Jaron Brown,SEA,WR,16,14,166,5,19,6,4,2,10.71
Luke Stocker,TEN,TE,16,15,165,2,21,1,1,1,1.79
Demetrius Harris,KC,TE,15,12,164,3,25,4,0,0,4.12
Chris Carson,SEA,RB,14,20,163,0,24,3,0,0,5.36
Lamar Miller,HOU,RB,14,25,163,1,35,2,2,1,2.67
Hayden Hurst,BAL,TE,12,13,163,1,23,1,1,0,1.52
Damien Williams,KC,RB,16,23,160,2,24,7,3,3,7.22
Darren Sproles,PHI,RB,6,15,160,2,23,4,3,2,4.76
Cody Core,CIN,WR,14,13,160,1,28,2,0,0,3.13
Andre Holmes,BUF,WR,12,12,157,0,23,2,1,1,5.13
Will Dissly,SEA,TE,4,8,156,2,14,2,1,1,3.57
Alfred Blue,HOU,RB,16,20,154,0,27,5,2,1,6.67
Marcell Ateman,OAK,WR,7,15,154,1,31,1,1,0,1.79
Isaiah Crowell,NYJ,RB,13,21,152,0,28,1,0,0,1.89
Ito Smith,ATL,RB,14,27,152,0,32,4,2,0,5.41
Dan Arnold,NO,TE,10,12,150,1,19,1,1,1,1.05
Nick Chubb,CLE,RB,16,20,149,2,29,5,1,0,8.62
Marvin Hall,ATL,WR,16,10,149,1,19,2,1,1,2.70
Jordan Howard,CHI,RB,16,20,145,0,27,5,2,1,6.94
Trenton Cannon,NYJ,RB,16,17,144,0,25,1,1,1,1.89
Damion Ratley,CLE,WR,13,13,144,0,20,1,0,0,1.72
Ed Dickson,SEA,TE,10,12,143,3,13,5,2,1,8.93
Maxx Williams,BAL,TE,13,16,143,1,17,4,4,0,6.06
Deontay Burnett,NYJ,WR,5,10,143,0,15,1,0,0,1.89
Latavius Murray,MIN,RB,16,22,141,0,26,2,0,0,2.82
Tavon Austin,DAL,WR,7,8,140,2,13,1,1,1,1.43
Brandon Marshall,SEA,WR,7,11,136,1,23,3,1,0,5.36
Justin Jackson,LAC,RB,13,15,135,0,19,2,1,0,2.82
Brandon LaFell,OAK,WR,6,12,135,2,16,5,2,1,8.93
Justin Hardy,ATL,WR,16,14,133,2,22,6,3,2,8.11
Mo Alie-Cox,IND,TE,9,7,133,2,14,3,2,2,3.03
Bruce Ellington,DET,WR,4,23,132,0,30,2,1,0,2.99
Rex Burkhead,NE,RB,8,14,131,1,20,6,0,0,7.14
Richie James,SF,WR,13,9,130,1,14,3,2,1,4.17
Brandon Powell,DET,WR,6,11,129,0,17,2,0,0,2.99
Frank Gore,MIA,RB,14,12,124,1,16,3,1,0,7.69
Deonte Thompson,DAL,WR,8,14,124,0,20,0,0,0,0.00
Darren Fells,CLE,TE,16,11,117,3,12,2,2,1,3.45
Josh Bellamy,CHI,WR,16,14,117,1,25,1,0,0,1.39
Doug Martin,OAK,RB,16,18,116,0,24,2,1,0,3.57
Dalton Schultz,DAL,TE,11,12,116,0,17,3,2,1,4.29
Cameron Meredith,NO,WR,6,9,114,1,10,2,0,0,2.11
Jordan Leggett,NYJ,TE,15,14,114,1,25,3,2,2,5.66
Andy Janovich,DEN,FB,16,8,112,1,10,1,0,0,1.52
Bilal Powell,NYJ,RB,7,11,110,1,18,1,0,0,1.89
Alex Collins,BAL,RB,10,15,105,1,21,5,2,1,7.58
Dontrell Hilliard,CLE,RB,11,9,105,0,10,0,0,0,0.00
Marlon Mack,IND,RB,12,17,103,1,26,3,2,0,3.03
Chase Edmonds,ARI,RB,16,20,103,0,23,0,0,0,0.00
Jake Kumerow,GB,WR,5,8,103,1,11,1,1,0,1.47
Kapri Bibbs,WAS,RB,10,13,102,1,18,0,0,0,0.00
MyCole Pruitt,TEN,TE,15,9,102,1,11,3,2,1,5.36
Marcus Johnson,IND,WR,5,6,102,1,8,0,0,0,0.00
Darius Jennings,TEN,WR,16,11,101,0,15,0,0,0,0.00
Michael Roberts,DET,TE,8,9,100,3,20,7,4,2,10.45
Michael Floyd,WAS,WR,13,10,100,1,24,2,1,0,4.76
Derrick Henry,TEN,RB,16,15,99,0,18,2,0,0,3.57
Jeff Wilson,SF,RB,6,12,98,0,15,5,2,1,6.94
Niles Paul,JAX,TE,6,10,98,0,13,1,0,0,2.04
Austin Carr,NO,WR,14,9,97,2,14,3,2,1,3.16
Anthony Sherman,KC,FB,16,8,96,1,9,3,1,1,3.09
Leonte Carroo,MIA,WR,9,2,94,1,4,1,0,0,2.56
Jermaine Gresham,ARI,TE,13,9,94,0,12,2,0,0,4.44
Peyton Barber,TB,RB,16,20,92,1,29,4,1,1,4.76
Bruce Ellington,HOU,WR,3,8,92,1,12,2,1,1,2.67
Kevin White,CHI,WR,9,4,92,0,8,0,0,0,0.00
Vyncint Smith,HOU,WR,7,5,91,1,10,2,2,2,2.67
Logan Paulsen,ATL,TE,15,9,91,1,9,2,1,0,2.70
Garrett Celek,SF,TE,15,5,90,2,8,2,1,0,2.78
Austin Seferian-Jenkins,JAX,TE,5,11,90,1,19,2,2,2,4.08
Wayne Gallman,NYG,RB,15,14,89,0,22,3,1,1,3.70
Erik Swoope,IND,TE,7,8,87,3,10,4,1,1,4.04
Luke Willson,DET,TE,14,13,87,0,19,0,0,0,0.00
Scott Simonson,NYG,TE,16,9,86,1,14,6,4,4,7.41
Nick O'Leary,MIA,TE,12,8,86,1,10,2,2,1,5.13
Xavier Grimble,PIT,TE,16,6,86,0,8,0,0,0,0.00
Jordan Wilkins,IND,RB,16,16,85,0,17,5,4,1,5.05
C.J. Ham,MIN,FB,15,11,85,0,15,0,0,0,0.00
Jake Butt,DEN,TE,3,8,85,0,13,2,0,0,3.03
Marshawn Lynch,OAK,RB,6,15,84,0,20,5,4,1,8.93
Cameron Batson,TEN,WR,11,8,82,0,11,0,0,0,0.00
Andy Jones,DET,WR,8,11,80,1,24,2,2,1,2.99
Andre Roberts,NYJ,WR,16,10,79,1,18,4,0,0,7.55
Eli Rogers,PIT,WR,3,12,79,0,14,0,0,0,0.00
Taquan Mizzell,CHI,WR,9,8,78,1,10,2,2,1,2.78
Robert Tonyan,GB,TE,16,4,77,1,6,0,0,0,0.00
Logan Thomas,BUF,TE,12,12,77,0,17,0,0,0,0.00
Tyler Conklin,MIN,TE,16,5,77,0,7,0,0,0,0.00
Rashaad Penny,SEA,RB,14,9,75,0,12,1,1,0,1.79
Trey Quinn,WAS,WR,3,9,75,1,10,2,1,0,4.76
Darren Waller,OAK,TE,4,6,75,0,6,0,0,0,0.00
Seth DeValve,CLE,TE,13,5,74,1,7,0,0,0,0.00
Alfred Morris,SF,RB,12,8,73,0,13,0,0,0,0.00
Lee Smith,OAK,TE,16,10,73,3,11,4,4,4,7.14
Royce Freeman,DEN,RB,14,14,72,0,20,0,0,0,0.00
Eric Tomlinson,NYJ,TE,15,8,72,0,14,0,0,0,0.00
Corey Coleman,NYG,WR,8,5,71,0,8,1,1,1,1.23
LeGarrette Blount,DET,RB,16,10,67,0,15,0,0,0,0.00
Derek Carrier,OAK,TE,16,7,67,1,11,2,2,1,3.57
Corey Grant,JAX,RB,5,9,67,0,12,2,1,0,4.08
Blake Bell,JAX,TE,10,8,67,0,11,0,0,0,0.00
Joshua Perkins,PHI,TE,9,5,67,0,11,1,0,0,1.19
Ty Montgomery,BAL,RB,6,10,65,0,17,2,0,0,3.03
J.J. Nelson,ARI,WR,14,7,64,0,19,0,0,0,0.00
Russell Gage,ATL,WR,15,6,63,0,10,1,0,0,1.35
Patrick DiMarco,BUF,FB,16,3,62,0,4,0,0,0,0.00
James Develin,NE,FB,16,12,61,0,18,1,1,1,1.19
David Grinnage,JAX,TE,4,6,61,0,8,2,0,0,4.08
Derrick Willies,CLE,WR,5,3,61,0,5,0,0,0,0.00
Rod Smith,DAL,RB,16,9,60,0,12,1,0,0,1.43
Tommylee Lewis,NO,WR,7,3,60,1,3,0,0,0,0.00
Brice Butler,MIA,WR,6,6,60,1,9,0,0,0,0.00
Rashad Greene,JAX,WR,8,6,60,0,8,0,0,0,0.00
Josh Adams,PHI,RB,14,7,58,0,13,0,0,0,0.00
Zach Zenner,DET,RB,8,7,56,0,10,0,0,0,0.00
Kalen Ballage,MIA,RB,12,9,56,0,11,2,0,0,5.13
Noah Brown,DAL,WR,8,5,54,0,8,2,2,2,2.86
Kamar Aiken,PHI,WR,5,6,53,0,7,0,0,0,0.00
Malcolm Brown,LAR,RB,12,5,52,1,7,1,0,0,1.08
Chris Manhertz,CAR,TE,16,2,52,1,5,1,0,0,1.47
Jacob Hollister,NE,TE,8,4,52,0,5,0,0,0,0.00
Bobo Wilson,TB,WR,5,4,52,0,5,0,0,0,0.00
Delanie Walker,TEN,TE,1,4,52,0,7,1,1,1,1.79
Kenneth Dixon,BAL,RB,6,6,51,0,7,0,0,0,0.00
Sony Michel,NE,RB,13,7,50,0,11,1,0,0,1.19
Elijhaa Penny,NYG,FB,14,8,50,0,9,1,0,0,1.23
Durham Smythe,MIA,TE,15,6,50,0,11,0,0,0,0.00
A.J. Derby,MIA,TE,4,3,48,1,5,2,1,0,5.13
Adam Shaheen,CHI,TE,6,5,48,1,6,2,1,1,2.78
Eric Saubert,ATL,TE,16,5,48,0,9,1,1,1,1.35
Shelton Gibson,PHI,WR,15,1,48,0,3,0,0,0,0.00
Antony Auclair,TB,TE,16,7,48,0,8,0,0,0,0.00
Neal Sterling,NYJ,TE,5,6,47,0,8,2,0,0,3.77
Rico Gathers,DAL,TE,15,3,45,0,7,2,1,1,2.86
River Cracraft,DEN,WR,8,1,44,0,2,0,0,0,0.00
Ben Braunecker,CHI,TE,15,3,42,0,5,2,0,0,2.78
Jeremy Sprinkle,WAS,TE,16,5,41,1,9,3,2,0,7.14
Mark Walton,CIN,RB,14,5,41,0,8,0,0,0,0.00
Tommy Bohanon,JAX,FB,16,6,41,0,9,1,1,1,2.04
Dwayne Harris,OAK,WR,15,6,40,0,6,1,1,1,1.79
Jawill Davis,NYG,WR,7,4,40,0,8,0,0,0,0.00
Chad Beebe,MIN,WR,3,4,39,0,4,0,0,0,0.00
Marcedes Lewis,GB,TE,16,3,39,0,4,0,0,0,0.00
Roosevelt Nix,PIT,FB,16,4,38,0,6,1,1,1,1.09
John Phillips,ARI,TE,8,3,38,0,3,1,0,0,2.22
Charcandrick West,KC,RB,3,2,37,1,3,0,0,0,0.00
T.J. Logan,ARI,RB,10,7,37,0,7,1,1,0,2.22
Deonte Thompson,BUF,WR,5,3,37,0,10,0,0,0,0.00
Jalen Tolliver,ARI,WR,3,3,37,0,6,1,0,0,2.22
Jordan Franks,CIN,TE,6,2,37,0,3,0,0,0,0.00
Ray-Ray McCloud,BUF,WR,10,5,36,0,6,0,0,0,0.00
David Morgan,MIN,TE,11,5,36,0,6,1,0,0,1.41
Tyler Kroft,CIN,TE,5,4,36,0,6,1,0,0,1.56
Tre Madden,SEA,FB,14,2,35,0,3,0,0,0,0.00
Tyler Ervin,HOU,RB,9,3,35,0,4,0,0,0,0.00
Auden Tate,CIN,WR,7,4,35,0,12,3,1,1,4.69
Ronald Jones,TB,RB,9,7,33,0,9,2,0,0,2.38
Brian Parker,DEN,TE,13,5,33,0,10,1,1,1,1.52
Javon Wims,CHI,WR,4,4,32,0,5,1,0,0,1.39
Byron Marshall,WAS,RB,6,4,30,0,6,1,0,0,2.38
Carlos Hyde,CLE,RB,6,6,29,0,9,1,1,0,1.72
De'Anthony Thomas,KC,WR,5,3,29,1,5,1,1,1,1.03
D'Onta Foreman,HOU,RB,1,2,28,1,2,1,0,0,1.33
Darrel Williams,KC,RB,6,3,27,1,3,1,0,0,1.03
John Kelly,LAR,RB,4,2,27,0,3,0,0,0,0.00
