,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Chris Hogan,NE,WR,16,71.2,0,0,0,0,0,0,0,0,35,54,532,3,0,0
Sammy Watkins,KC,WR,10,75.1,0,0,0,0,0,5,52,0,40,55,519,3,1,0
Marvin Jones,DET,WR,9,80.8,0,0,0,0,0,0,0,0,35,62,508,5,0,0
Michael Gallup,DAL,WR,16,62.7,0,0,0,0,0,0,0,0,33,68,507,2,0,0
Will Fuller,HOU,WR,7,74.3,0,0,0,0,0,0,0,0,32,45,503,4,0,0
Chris Herndon,NYJ,TE,16,74.2,0,0,0,0,0,0,0,0,39,56,502,4,2,0
James Conner,PIT,RB,13,225.0,0,0,0,0,0,215,973,12,55,71,497,1,4,2
Curtis Samuel,CAR,WR,13,99.8,0,0,0,0,0,8,84,2,39,65,494,5,1,1
Seth Roberts,OAK,WR,15,61.9,0,0,0,0,0,3,5,0,45,64,494,2,0,0
Keelan Cole,JAX,WR,16,55.1,0,0,0,0,0,0,0,0,38,70,491,1,2,2
Melvin Gordon,LAC,RB,12,221.5,0,0,0,0,0,175,885,10,50,66,490,4,1,0
T.J. Yeldon,JAX,RB,14,120.1,0,0,0,0,0,104,414,1,55,78,487,4,1,1
Kendrick Bourne,SF,WR,16,72.7,0,0,0,0,0,0,0,0,42,67,487,4,1,0
Chester Rogers,IND,WR,16,60.1,0,0,0,0,0,1,-4,0,53,72,485,2,1,0
Kenyan Drake,MIA,RB,16,155.2,0,0,0,0,0,120,535,4,53,73,477,5,2,1
Dante Pettis,SF,WR,12,76.5,0,0,0,0,0,1,-2,0,27,45,467,5,2,0
Taywan Taylor,TEN,WR,13,52.6,0,0,0,0,0,0,0,0,37,56,466,1,1,1
Quincy Enunwa,NYJ,WR,11,50.9,0,0,0,0,0,1,0,0,38,68,449,1,2,1
Jarius Wright,CAR,WR,16,54.6,0,0,0,0,0,2,39,0,43,59,447,1,3,1
David Johnson,ARI,RB,16,198.6,0,0,0,0,0,258,940,7,50,76,446,3,3,2
David Moore,SEA,WR,16,75.0,0,0,0,0,0,1,5,0,26,53,445,5,2,0
C.J. Uzomah,CIN,TE,16,61.9,0,0,0,0,0,0,0,0,43,64,439,3,0,0
Duke Johnson,CLE,RB,16,81.0,0,0,0,0,0,40,201,0,47,62,429,3,1,0
Tre'Quan Smith,NO,WR,15,72.7,0,0,0,0,0,0,0,0,28,44,427,5,0,0
Nyheim Hines,IND,RB,16,97.9,0,0,0,0,0,85,314,2,63,81,425,2,1,0
Anthony Miller,CHI,WR,15,87.3,1,1,8,0,0,6,26,0,33,54,423,7,1,0
Jesse James,PIT,TE,16,54.3,0,0,0,0,0,0,0,0,30,39,423,2,0,0
Austin Ekeler,LAC,RB,14,131.8,0,0,0,0,0,106,554,3,39,53,404,3,1,1
Josh Reynolds,LAR,WR,16,71.0,0,0,0,0,0,2,8,0,29,53,402,5,0,0
Ben Watson,NO,TE,16,52.0,0,0,0,0,0,0,0,0,35,46,400,2,0,0
Dion Lewis,TEN,RB,16,103.7,0,0,0,0,0,155,517,1,59,67,400,1,1,1
Marquise Goodwin,SF,WR,11,64.4,0,0,0,0,0,4,9,0,23,44,395,4,1,0
Albert Wilson,MIA,WR,7,71.3,1,1,52,1,0,8,16,0,26,35,391,4,0,0
Jamison Crowder,WAS,WR,9,53.8,0,0,0,0,0,4,30,0,29,49,388,2,0,0
Theo Riddick,DET,RB,14,55.5,0,0,0,0,0,40,171,0,61,74,384,0,0,0
Randall Cobb,GB,WR,9,50.3,0,0,0,0,0,0,0,0,38,61,383,2,2,1
Kelvin Benjamin,KC/BUF,WR,15,44.0,0,0,0,0,0,0,0,0,25,67,380,1,0,0
Kareem Hunt,KC,RB,11,204.2,0,0,0,0,0,181,824,7,26,35,378,7,0,0
Jermaine Kearse,NYJ,WR,14,43.1,0,0,0,0,0,0,0,0,37,76,371,1,0,0
