,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Dez Bryant,FA,,Combine,6-2,220,34.00,9.75,,-,,-,,-,,-,,-,,-
Quenton Bundrage,FA,2016,Pro Day,6-1,190,,,4.54,33.8,4.64,0.5,7.07,28.0,37.5,74.2,123.0,60.5,17.0,71.5
Aaron Burbridge,FA,2016,Combine,6-1,208,31.67,8.25,4.56,27.0,4.31,32.7,7.22,7.4,30.5,3.9,115.0,13.8,20.0,87.4
Nate Burleson,FA,,Combine,6-0,198,,,4.51,45.9,4.16,69.5,6.96,48.6,42.5,98.7,126.0,80.0,,-
Deontay Burnett,FA,2018,Combine,6-0,186,31.50,8.68,,-,,-,,-,,-,,-,,-
Isaiah Burse,FA,2014,Combine,5-10,187,30.25,8.38,4.58,20.0,3.94,98.0,6.74,82.9,31.0,5.0,115.0,13.8,16.0,63.4
Stephen Burton,FA,2011,Combine,6-1,220,32.00,9.13,4.50,50.3,4.31,32.7,7.04,34.7,34.5,36.3,117.0,22.4,19.0,83.2
James Butler,FA,2005,Combine,6-2,215,,,4.51,45.9,3.98,96.1,7.10,21.8,40.5,92.3,127.0,84.4,16.0,63.4
Jeremy Butler,FA,2017,Pro Day,6-2,213,,,4.60,15.2,,-,7.19,10.0,36.0,52.8,114.0,11.0,15.0,53.6
Emmanuel Butler,FA,2019,Combine,6-4,220,33.00,10.13,,-,4.22,52.5,,-,36.0,52.8,115.0,13.8,11.0,18.3
Lawrence Cager,FA,2020,Combine,6-5,220,33.38,8.88,,-,,-,,-,,-,,-,,-
Deon Cain,FA,2018,Combine,6-2,202,33.00,8.75,4.43,75.1,4.37,19.5,6.71,86.1,33.5,23.1,115.0,13.8,11.0,18.3
Andre Caldwell,FA,2008,Combine,6-0,200,,,4.35,92.7,4.11,82.0,,-,33.0,18.4,124.0,68.2,,-
Antonio Callaway,FA,2018,Combine,5-11,200,31.50,9.50,4.41,83.4,,-,,-,34.0,31.3,121.0,48.5,,-
Marquez Callaway,NO,2020,Combine,6-2,204,32.38,9.38,4.55,30.5,,-,,-,38.0,78.4,,-,,-
Michael Campanaro,FA,2014,Combine,5-9,191,30.00,9.75,4.46,64.5,4.01,93.0,6.77,79.9,39.0,86.0,122.0,53.9,20.0,87.4
Parris Campbell,IND,2019,Combine,6-0,208,32.25,9.50,4.31,97.8,4.03,91.4,,-,40.0,90.5,135.0,97.6,11.0,18.3
K.D. Cannon,FA,2017,Pro Day,6-0,182,30.75,8.88,,-,,-,7.10,21.8,,-,,-,,-
Darren Carrington II,FA,2018,Combine,6-2,200,32.75,10.38,,-,,-,,-,36.0,52.8,120.0,38.6,,-
Leonte Carroo,FA,2016,Combine,6-0,215,31.38,9.68,4.50,50.3,,-,,-,35.5,47.2,120.0,38.6,14.0,44.2
Chris Carter,FA,,Combine,6-0,195,,,4.58,20.0,4.34,24.5,6.88,64.4,36.0,52.8,114.0,11.0,27.0,99.1
Quintez Cephus,DET,2020,Combine,6-1,202,32.13,8.75,4.73,2.0,4.33,26.8,7.20,9.0,38.5,83.2,124.0,68.2,23.0,96.5
DJ Chark,JAX,2018,Combine,6-4,198,32.38,9.25,4.34,94.2,,-,,-,40.0,90.5,129.0,88.4,16.0,63.4
Jehu Chesson,FA,2017,Combine,6-2,204,33.25,9.13,4.47,61.9,4.09,85.5,6.70,87.0,35.5,47.2,132.0,93.9,10.0,12.8
Greg Childs,FA,2012,Combine,6-3,217,34.13,10.13,4.55,30.5,,-,,-,36.0,52.8,125.0,75.2,19.0,83.2
Arceto Clark,FA,2013,Pro Day,5-10,180,,,4.58,20.0,4.27,41.6,6.66,91.0,33.0,18.4,110.0,4.4,16.0,63.4
Kaelin Clay,FA,2015,Combine,5-10,195,30.88,9.00,4.51,45.9,4.26,43.9,6.97,47.0,33.0,18.4,113.0,8.1,10.0,12.8
Chase Claypool,PIT,2020,Combine,6-4,238,32.50,9.88,4.42,78.8,,-,,-,40.5,92.3,126.0,80.0,19.0,83.2
Tyrie Cleveland,DEN,2020,Combine,6-2,209,32.88,9.13,4.47,61.9,,-,,-,39.5,88.0,126.0,80.0,13.0,34.7
Danny Coale,FA,2012,Combine,6-0,187,30.63,9.13,4.50,50.3,4.15,70.9,6.69,87.7,35.0,42.4,115.0,13.8,12.0,27.4
Sammie Coates,FA,2015,Combine,6-1,210,33.38,9.38,4.43,75.1,4.06,90.7,6.98,45.1,41.0,94.6,131.0,92.6,23.0,96.5
Randall Cobb,HOU,2011,Combine,5-10,192,31.00,9.38,4.46,64.5,4.34,24.5,7.08,26.2,33.5,23.1,115.0,13.8,16.0,63.4
Simmie Cobbs,FA,2018,Combine,6-3,220,32.00,9.25,4.64,8.7,4.32,30.5,6.70,87.0,30.0,2.9,113.0,8.1,11.0,18.3
Corey Coleman,FA,2016,Combine,5-11,185,30.25,9.00,,-,,-,,-,40.5,92.3,129.0,88.4,17.0,71.5
Brandon Coleman,FA,2014,Combine,6-6,225,34.00,9.25,4.56,27.0,4.51,5.0,7.33,3.0,32.5,14.3,,-,21.0,92.1
Stacy Coley,FA,2017,Combine,6-0,195,32.25,9.75,4.45,69.1,,-,,-,34.0,31.3,122.0,53.9,10.0,12.8
Austin Collie,FA,2009,Combine,6-0,200,31.00,9.00,4.56,27.0,4.24,49.3,6.78,78.9,34.0,31.3,120.0,38.6,17.0,71.5
Marques Colston,FA,2006,Combine,6-4,225,33.38,9.63,4.50,50.3,4.44,11.4,6.96,48.6,37.0,68.3,123.0,60.5,,-
Kain Colter,FA,2014,Pro Day,6-0,195,,,4.71,3.2,4.20,58.2,6.68,88.9,,-,,-,11.0,18.3
Chris Conley,JAX,2015,Combine,6-3,205,33.75,9.88,4.35,92.7,4.30,35.7,7.06,31.9,45.0,100.0,139.0,99.3,18.0,79.0
Brandin Cooks,HOU,2014,Combine,5-10,183,30.75,9.63,4.33,96.2,3.81,100.0,6.76,81.9,36.0,52.8,120.0,38.6,16.0,63.4
Pharoh Cooper,CAR,2016,Combine,5-11,208,32.25,9.13,4.52,42.2,,-,,-,31.0,5.0,115.0,13.8,15.0,53.6
Josh Cooper,FA,2012,Pro Day,5-10,190,,,4.65,7.7,4.35,22.0,7.12,18.3,31.5,7.7,115.0,13.8,,-
Riley Cooper,FA,2010,Combine,6-4,230,32.68,10.38,4.56,27.0,,-,,-,33.0,18.4,114.0,11.0,,-
Amari Cooper,DAL,2015,Combine,6-1,210,31.50,10.00,4.42,78.8,3.98,96.1,6.71,86.1,33.0,18.4,120.0,38.6,,-
Damian Copeland,FA,2014,Combine,6-1,182,31.38,9.00,4.50,50.3,3.90,99.5,6.53,98.4,40.0,90.5,120.0,38.6,12.0,27.4
Cody Core,NYG,2016,Combine,6-3,205,32.00,10.38,4.47,61.9,,-,,-,31.5,7.7,119.0,32.9,14.0,44.2
Jerricho Cotchery,FA,,Combine,6-1,205,,,4.54,33.8,3.92,98.9,6.95,51.2,36.0,52.8,121.0,48.5,,-
Isaiah Coulter,HOU,2020,Combine,6-2,198,31.75,9.00,4.45,69.1,4.62,0.9,7.28,4.6,36.0,52.8,121.0,48.5,,-
Keke Coutee,HOU,2018,Combine,5-11,180,29.88,8.38,4.43,75.1,4.15,70.9,6.93,56.0,34.5,36.3,113.0,8.1,14.0,44.2
Michael Crabtree,FA,2009,Combine,6-1,215,,,4.54,33.8,,-,,-,,-,,-,,-
Juron Criner,FA,2012,Combine,6-3,220,32.00,10.50,4.68,4.3,4.30,35.7,7.15,15.0,38.0,78.4,117.0,22.4,17.0,71.5
Jamison Crowder,NYJ,2015,Combine,5-9,177,30.38,8.75,4.56,27.0,4.32,30.5,7.17,13.9,37.0,68.3,115.0,13.8,10.0,12.8
Victor Cruz,FA,2010,Pro Day,6-0,204,,,4.47,61.9,4.17,68.6,6.96,48.6,41.5,96.6,125.0,75.2,16.0,63.4
B.J. Cunningham,FA,2012,Combine,6-2,215,33.00,8.13,4.59,18.1,,-,7.10,21.8,31.0,5.0,116.0,18.2,12.0,27.4
Jamal Custis,FA,2019,Combine,6-4,213,33.88,10.88,4.50,50.3,,-,,-,34.5,36.3,124.0,68.2,0.0,0.0
DaVaris Daniels,FA,2015,Combine,6-1,201,31.25,9.00,4.62,11.4,,-,,-,37.0,68.3,122.0,53.9,13.0,34.7
Amara Darboh,FA,2017,Combine,6-2,215,32.63,9.88,4.45,69.1,,-,,-,36.0,52.8,124.0,68.2,17.0,71.5
Robert Davis,FA,2017,Combine,6-3,212,33.00,9.63,4.44,73.0,4.28,38.2,6.82,72.7,41.0,94.6,136.0,98.3,19.0,83.2
Felton Davis,FA,2019,Combine,6-3,211,32.75,10.25,,-,,-,,-,,-,0.0,0.0,21.0,92.1
