,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Elijah Holyfield,FA,2019,Combine,5-10,215,30.38,9.00,4.78,3.2,,-,,-,29.5,4.7,118.0,35.1,26.0,90.1
Travis Homer,SEA,2019,Combine,5-10,202,31.50,10.00,4.48,71.1,4.31,30.9,7.07,40.6,39.5,92.2,130.0,94.2,17.0,28.7
Elijah Hood,FA,2017,Pro Day,5-11,230,30.38,9.38,4.63,21.1,,-,,-,,-,,-,,-
Jordan Howard,MIA,2016,Combine,6-0,224,32.50,9.00,,-,,-,,-,34.0,38.8,122.0,70.3,16.0,21.5
Kareem Hunt,CLE,2017,Combine,5-11,216,31.38,9.63,4.62,25.4,,-,,-,36.5,73.6,119.0,46.0,18.0,36.9
Kendall Hunter,FA,,Combine,5-7,199,31.00,8.75,4.46,79.5,4.21,59.2,6.74,93.9,35.0,52.2,122.0,70.3,24.0,81.2
Carlos Hyde,SEA,2014,Combine,6-0,229,32.00,9.63,4.66,14.0,,-,,-,34.5,46.6,114.0,16.9,19.0,45.1
Mark Ingram,BAL,2011,Combine,5-9,215,30.75,9.50,4.62,25.4,4.62,0.9,7.13,29.2,31.5,14.6,113.0,13.7,21.0,61.8
Joey Iosefa,FA,2015,Combine,6-0,245,31.75,10.25,5.02,0.0,4.33,26.0,7.24,14.6,31.5,14.6,110.0,7.7,30.0,98.0
Chris Ivory,FA,2010,Pro Day,6-0,223,,,4.48,71.1,4.60,1.8,7.20,17.5,36.0,67.1,119.0,46.0,,-
Darius Jackson,FA,2016,Pro Day,6-0,220,,,4.40,91.2,4.29,36.3,6.87,77.4,41.0,97.2,133.0,99.0,20.0,52.6
Steven Jackson,FA,2004,Pro Day,6-2,240,,,4.55,48.0,4.09,90.1,7.03,49.5,37.5,81.1,117.0,28.4,16.0,21.5
Josh Jacobs,LV,2019,Combine,5-10,220,31.63,10.13,,-,,-,,-,,-,,-,,-
LaMike James,FA,2012,Combine,5-9,195,30.25,9.00,4.45,81.9,4.12,83.9,6.88,75.9,35.0,52.2,123.0,77.3,15.0,11.9
Mike James,FA,2013,Combine,5-10,223,31.63,9.75,4.53,55.0,4.62,0.9,,-,35.0,52.2,115.0,19.8,28.0,94.9
Jawan Jamison,FA,2013,Combine,5-8,200,29.00,8.38,4.68,11.1,,-,,-,29.0,2.8,110.0,7.7,20.0,52.6
Rashad Jennings,FA,2009,Combine,6-1,231,,,4.59,34.2,4.20,63.2,6.86,79.2,34.0,38.8,120.0,51.8,29.0,96.2
Gus Johnson,FA,2015,Combine,5-10,215,29.63,9.13,4.70,9.1,4.13,83.0,7.09,34.9,36.5,73.6,120.0,51.8,26.0,90.1
David Johnson,HOU,2015,Combine,6-1,224,31.25,9.63,4.50,62.9,4.27,45.3,6.82,85.8,41.5,98.4,127.0,89.8,25.0,85.7
Storm Johnson,FA,2014,Combine,6-0,216,32.00,9.50,4.60,31.0,,-,,-,35.5,59.0,118.0,35.1,16.0,21.5
Kerryon Johnson,DET,2018,Pro Day,5-11,206,,,4.54,50.6,,-,,-,,-,,-,,-
Duke Johnson,HOU,2015,Combine,5-9,210,30.38,9.25,4.54,50.6,,-,,-,33.5,33.5,121.0,60.7,,-
Chris Johnson,FA,2008,Combine,5-11,203,30.25,,4.24,100.0,,-,,-,35.0,52.2,130.0,94.2,,-
Ronald Jones,TB,2018,Combine,5-11,225,31.13,8.75,4.65,16.1,,-,,-,36.5,73.6,,-,,-
Taiwan Jones,BUF,2011,Combine,6-0,195,29.50,8.75,,-,,-,,-,,-,,-,13.0,7.5
Felix Jones,FA,2008,Combine,5-10,215,,,4.44,85.1,4.19,69.1,,-,33.5,33.5,124.0,80.8,,-
Tony Jones,FA,2020,Combine,5-10,220,30.63,9.50,4.68,11.1,4.21,59.2,7.18,21.7,32.5,22.0,119.0,46.0,13.0,7.5
Aaron Jones,GB,2017,Combine,5-9,208,32.50,9.50,4.56,44.4,4.20,63.2,6.82,85.8,37.5,81.1,127.0,89.8,16.0,21.5
Matt Jones,FA,2015,Combine,6-2,239,32.00,8.63,4.61,29.2,4.20,63.2,,-,31.5,14.6,112.0,11.5,20.0,52.6
Maurice Jones-Drew,FA,2006,Combine,5-7,210,,,4.39,93.6,4.41,14.3,7.08,38.2,36.0,67.1,116.0,24.0,18.0,36.9
Henry Josey,FA,2014,Combine,5-9,186,30.25,9.50,4.43,86.8,4.13,83.0,7.07,40.6,34.5,46.6,118.0,35.1,20.0,52.6
Akeem Judd,FA,2017,Pro Day,5-10,225,,,4.53,55.0,,-,,-,32.5,22.0,108.0,3.8,,-
Alvin Kamara,NO,2017,Combine,5-10,215,32.75,9.25,4.56,44.4,,-,,-,39.5,92.2,131.0,97.4,15.0,11.9
Joshua Kelley,LAC,2020,Combine,5-11,212,31.63,9.63,4.49,66.4,4.28,41.3,6.95,64.2,31.0,13.4,121.0,60.7,23.0,75.8
John Kelly,FA,2018,Combine,5-10,205,31.38,9.38,,-,,-,,-,35.0,52.2,120.0,51.8,15.0,11.9
Eddie Lacy,FA,2013,Pro Day,5-11,250,,,4.64,19.6,,-,7.33,7.5,33.5,33.5,,-,,-
Jeremy Langford,FA,2015,Combine,6-0,211,31.50,8.75,4.42,88.3,4.32,28.3,7.22,16.5,34.5,46.6,118.0,35.1,,-
Daniel Lasco,FA,2016,Combine,6-1,205,32.00,9.13,4.46,79.5,4.26,48.9,7.22,16.5,41.5,98.4,135.0,100.0,23.0,75.8
Javon Leake,FA,2020,Combine,6-0,215,31.50,9.63,4.65,16.1,,-,,-,34.0,38.8,125.0,82.7,0.0,0.0
Ben LeMay,FA,2020,Combine,5-8,220,29.88,9.00,4.75,4.7,,-,,-,28.5,1.2,112.0,11.5,24.0,81.2
Brian Leonard,FA,2007,Combine,6-1,224,,,4.52,58.8,4.22,55.6,,-,34.5,46.6,122.0,70.3,28.0,94.9
Mikel Leshoure,FA,2011,Combine,6-0,227,32.63,9.50,4.56,44.4,4.40,14.8,,-,38.0,84.5,122.0,70.3,21.0,61.8
Dion Lewis,NYG,2011,Combine,5-8,195,28.13,8.75,4.56,44.4,4.18,73.1,,-,34.5,46.6,112.0,11.5,17.0,28.7
Shock Linwood,FA,2017,Pro Day,5-9,201,,,4.72,7.0,,-,,-,,-,,-,,-
T.J. Logan,TB,2017,Pro Day,5-11,195,,,,-,,-,6.59,97.2,,-,,-,,-
Bryce Love,WAS,2019,Combine,5-9,205,29.38,9.13,,-,,-,,-,,-,,-,18.0,36.9
Marshawn Lynch,FA,2007,Combine,5-11,215,,,4.46,79.5,4.58,2.7,7.05,47.2,35.5,59.0,125.0,82.7,20.0,52.6
Jordan Lynch,FA,2014,Combine,6-0,220,29.75,8.88,4.76,3.8,4.20,63.2,6.55,99.1,29.5,4.7,109.0,5.4,,-
