,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Nila Kasitati,FA,2016,Combine,6-4,315,32.00,10.50,5.32,26.1,4.83,34.9,8.30,3.4,,-,107.0,66.0,12.0,1.8
Solomon Kindley,MIA,2020,Combine,6-4,339,32.25,10.00,,-,,-,,-,,-,,-,,-
Denver Kirkland,FA,2016,Combine,6-5,335,34.63,9.63,5.55,2.7,5.06,2.4,8.72,0.0,,-,94.0,7.8,19.0,8.8
Forrest Lamp,LAC,2017,Combine,6-4,310,32.25,10.63,5.00,93.7,4.62,73.5,7.55,81.8,37.5,100.0,111.0,86.4,34.0,87.6
Cameron Lee,FA,2017,Combine,6-5,312,33.88,10.88,5.44,7.2,4.75,43.4,8.02,28.4,25.5,16.1,100.0,35.0,18.0,6.2
Shane Lemieux,NYG,2020,Combine,6-4,310,32.25,9.50,5.11,81.1,4.90,20.5,8.13,17.0,25.5,16.1,107.0,66.0,0.0,0.0
Corey Levin,FA,2017,Combine,6-4,307,33.50,10.88,5.16,69.4,4.73,50.6,7.55,81.8,26.5,25.8,106.0,59.2,26.0,46.0
Damien Lewis,SEA,2020,Combine,6-2,327,33.00,10.25,5.24,47.7,,-,,-,30.0,67.7,108.0,70.9,27.0,58.4
Alex Lewis,NYJ,2016,Combine,6-6,305,34.00,10.00,5.22,55.0,4.72,54.2,7.94,40.9,,-,100.0,35.0,27.0,58.4
Chris Lindstrom,ATL,2019,Combine,6-3,307,34.13,9.50,4.91,99.1,4.54,89.2,7.61,77.3,30.5,74.2,117.0,99.0,25.0,40.7
Cole Madison,FA,2018,Combine,6-5,308,32.25,10.38,5.34,20.7,,-,,-,28.5,53.8,97.0,19.4,26.0,46.0
K.J. Malone,FA,2018,Combine,6-4,321,33.50,9.25,5.30,30.6,,-,,-,29.5,64.5,,-,15.0,2.7
Ali Marpet,TB,2015,Combine,6-4,307,,,4.98,94.6,4.47,95.2,7.33,95.5,30.5,74.2,108.0,70.9,30.0,77.0
Zack Martin,DAL,,Combine,6-4,315,32.88,9.50,,-,4.59,81.9,7.65,71.6,28.0,40.9,106.0,59.2,29.0,72.6
Tyler Marz,FA,2016,Combine,6-7,316,33.50,10.00,5.54,3.6,4.97,12.0,8.38,2.3,,-,99.0,28.2,19.0,8.8
Shaq Mason,NE,,Pro Day,6-1,310,,,4.97,95.5,,-,7.53,84.1,32.0,84.9,110.0,80.6,25.0,40.7
Connor McGovern,DAL,2019,Combine,6-5,308,34.13,9.88,,-,4.57,86.7,7.66,69.3,,-,112.0,89.3,28.0,63.7
Colton McKivitz,SF,2020,Combine,6-6,306,33.75,10.00,5.35,18.0,5.00,7.2,7.87,50.0,26.0,21.5,106.0,59.2,20.0,12.4
John Miller,CAR,2015,Combine,6-3,315,,,5.33,22.5,4.75,43.4,8.20,6.8,27.0,31.2,104.0,49.5,29.0,72.6
John Molchon,TB,2020,Combine,6-5,317,31.13,9.50,5.13,77.5,4.73,50.6,7.85,51.1,34.0,93.5,109.0,76.7,26.0,46.0
Jordan Morgan,FA,2017,Combine,6-4,311,34.63,10.00,5.36,16.2,4.73,50.6,8.13,17.0,27.0,31.2,102.0,38.8,21.0,17.7
Netane Muti,DEN,2020,Combine,6-3,315,31.75,10.63,,-,,-,,-,,-,,-,44.0,99.1
Robert Myers,FA,2015,Combine,6-5,325,,,5.44,7.2,4.91,18.1,8.10,20.5,27.5,37.6,94.0,7.8,,-
Quenton Nelson,IND,2018,Combine,6-5,330,33.75,10.38,,-,,-,,-,26.5,25.8,,-,35.0,90.3
Joe Noteboom,LAR,2018,Combine,6-5,321,34.38,9.68,4.96,96.4,,-,,-,24.0,3.2,102.0,38.8,27.0,58.4
Rees Odhiambo,FA,2016,Combine,6-4,297,33.25,9.68,,-,,-,,-,,-,,-,23.0,26.5
Mike Onwenu,NE,2020,Combine,6-3,344,34.38,10.50,,-,,-,,-,,-,,-,26.0,46.0
Sua Opeta,PHI,2019,Combine,6-4,301,33.25,9.88,5.02,91.9,4.94,14.5,8.06,23.9,33.0,89.2,112.0,89.3,39.0,98.2
Andrus Peat,NO,2015,Combine,6-7,316,,,5.18,64.9,4.62,73.5,8.01,30.7,31.0,80.6,105.0,51.5,,-
Skyler Phillips,FA,2018,Combine,6-3,318,33.00,9.50,5.09,82.0,,-,,-,29.0,60.2,,-,,-
Tyre Phillips,BAL,2020,Combine,6-5,331,35.13,10.38,5.37,15.3,5.11,0.0,8.17,11.4,25.0,8.6,93.0,6.8,22.0,22.1
Ben Powers,BAL,2019,Combine,6-4,310,33.75,9.88,,-,,-,,-,,-,,-,21.0,17.7
Justin Pugh,ARI,,Combine,6-5,311,32.00,10.25,5.14,75.7,4.63,71.1,7.45,89.8,28.5,53.8,103.0,42.7,,-
Martinas Rankin,KC,2018,Combine,6-5,311,33.75,10.13,,-,,-,,-,,-,,-,24.0,34.5
Alex Redmond,CIN,2016,Combine,6-5,320,33.25,10.50,5.30,30.6,4.90,20.5,7.75,61.4,,-,111.0,86.4,30.0,77.0
Dalton Risner,DEN,2019,Combine,6-5,312,34.00,10.25,5.30,30.6,4.52,92.8,7.69,65.9,28.5,53.8,110.0,80.6,23.0,26.5
Cesar Ruiz,NO,2020,Combine,6-4,316,33.13,11.00,5.08,83.8,4.64,68.7,7.91,45.5,33.0,89.2,113.0,93.2,28.0,63.7
Jon Runyan,GB,2020,Combine,6-4,306,33.25,9.13,5.08,83.8,4.69,63.9,7.57,78.4,30.5,74.2,107.0,66.0,24.0,34.5
