,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Russell Okung,CAR,,Combine,6-5,310,36.00,10.50,5.18,57.9,,-,,-,,-,,-,38.0,100.0
Tyler Orlosky,FA,2017,Combine,6-3,298,32.25,9.75,,-,,-,,-,,-,,-,24.0,55.8
Adam Pankey,MIA,2017,Pro Day,6-5,313,,,5.28,32.5,,-,7.83,54.8,28.0,43.5,108.0,60.3,,-
Brandon Parker,LV,2018,Combine,6-8,320,35.00,9.75,5.37,18.3,,-,,-,28.5,50.9,113.0,84.5,,-
Timon Parris,FA,2018,Combine,6-6,315,33.88,9.38,,-,,-,,-,,-,,-,27.0,81.7
Matt Peart,NYG,2020,Combine,6-7,318,36.63,9.50,5.06,79.4,4.92,24.7,8.01,32.1,30.0,69.4,113.0,84.5,26.0,72.5
Trey Pipkins,LAC,2019,Combine,6-6,309,33.88,9.63,5.12,70.6,4.70,65.9,7.61,79.8,33.5,92.6,114.0,89.7,16.0,5.0
Terry Poole,FA,2015,Combine,6-5,300,,,5.09,75.4,4.66,70.6,7.90,40.5,31.0,79.6,113.0,84.5,25.0,66.7
Ryan Pope,FA,2019,Combine,6-7,320,34.25,,,-,,-,,-,,-,,-,25.0,66.7
Jeremiah Poutasi,FA,2015,Combine,6-5,330,,,5.32,25.4,4.89,29.4,8.09,20.2,26.5,28.7,95.0,5.2,26.0,72.5
Isaiah Prince,CIN,2019,Combine,6-7,305,34.50,10.13,5.09,75.4,5.02,15.3,7.90,40.5,27.0,30.6,115.0,92.2,23.0,40.0
Will Richardson,JAX,2018,Combine,6-6,303,35.25,9.88,5.22,46.8,,-,,-,31.0,79.6,108.0,60.3,,-
Dominique Robertson,FA,2016,Combine,6-5,324,36.00,10.38,5.36,19.0,4.83,40.0,8.42,3.6,,-,100.0,22.4,30.0,91.7
Corey Robinson,FA,2015,Combine,6-7,315,,,,-,,-,,-,,-,,-,28.0,87.5
Cam Robinson,JAX,2017,Combine,6-6,320,35.50,10.50,5.15,66.7,4.82,41.2,7.81,56.0,26.0,20.4,106.0,50.0,,-
Jake Rodgers,DEN,,Pro Day,6-6,320,,,5.24,42.1,4.81,43.5,8.04,26.2,30.5,74.1,106.0,50.0,24.0,55.8
Tyler Roemer,FA,2019,Combine,6-6,312,33.88,10.25,5.21,50.0,4.76,58.8,7.75,60.7,30.5,74.1,108.0,60.3,18.0,10.8
Ty Sambrailo,TEN,2015,Combine,6-5,311,,,5.36,19.0,4.58,81.2,7.54,85.7,29.0,59.3,97.0,14.7,23.0,40.0
Greg Senat,DAL,2018,Combine,6-6,305,34.88,9.88,5.38,17.5,,-,,-,26.0,20.4,106.0,50.0,19.0,15.0
Justin Senior,FA,2017,Combine,6-5,329,34.00,10.25,5.56,5.6,5.06,12.9,8.19,15.5,23.0,4.6,98.0,20.7,,-
David Sharpe,WAS,2017,Combine,6-6,330,35.38,10.00,5.44,13.5,4.78,50.6,7.87,46.4,20.5,1.9,97.0,14.7,19.0,15.0
Brandon Shell,SEA,2016,Combine,6-5,324,34.75,10.75,5.22,46.8,,-,,-,,-,112.0,81.9,22.0,31.7
Dan Skipper,FA,2017,Combine,6-9,325,33.38,10.50,5.42,15.1,5.01,16.5,7.61,79.8,26.0,20.4,97.0,14.7,,-
Pearce Slater,FA,2016,Combine,6-7,335,,,5.42,15.1,5.12,7.1,8.36,4.8,,-,92.0,2.6,17.0,8.3
Andre Smith,BAL,2018,Combine,6-4,330,33.13,10.00,4.63,99.2,,-,,-,,-,,-,19.0,15.0
Donovan Smith,TB,2015,Combine,6-6,338,,,5.27,33.3,4.79,47.1,7.95,36.9,32.0,87.0,109.0,69.0,26.0,72.5
Jason Spriggs,CHI,2016,Combine,6-6,301,34.13,10.13,4.94,91.3,4.44,97.6,7.70,69.0,,-,115.0,92.2,31.0,95.0
Ronnie Stanley,BAL,2016,Combine,6-6,315,35.67,10.68,5.20,54.8,4.90,27.1,8.03,28.6,,-,,-,,-
Terence Steele,DAL,2020,Combine,6-6,310,35.13,9.50,5.03,85.7,5.08,9.4,,-,27.5,39.8,106.0,50.0,27.0,81.7
William Sweet,FA,2019,Combine,6-6,313,34.38,10.13,5.27,33.3,5.00,18.8,8.01,32.1,30.5,74.1,111.0,76.7,23.0,40.0
Alex Taylor,FA,2020,Combine,6-8,301,36.13,11.25,5.09,75.4,4.79,47.1,7.77,59.5,25.0,15.7,116.0,95.7,21.0,25.8
Jawaan Taylor,JAX,2019,Combine,6-5,312,35.13,,,-,,-,,-,,-,,-,24.0,55.8
Sam Tevi,LAC,2017,Combine,6-5,315,34.00,10.13,5.27,33.3,4.60,78.8,7.84,51.2,26.0,20.4,107.0,56.0,15.0,3.3
John Theus,FA,2016,Combine,6-6,303,34.50,10.13,5.22,46.8,4.78,50.6,7.90,40.5,,-,103.0,33.6,,-
Andrew Thomas,NYG,2020,Combine,6-5,315,36.13,10.25,5.22,46.8,4.66,70.6,7.58,83.3,30.5,74.1,109.0,69.0,21.0,25.8
Tyrus Thompson,FA,2015,Combine,6-5,330,,,,-,4.92,24.7,,-,29.0,59.3,97.0,14.7,29.0,90.8
Calvin Throckmorton,FA,2020,Combine,6-5,317,32.50,9.50,5.57,4.8,4.98,20.0,8.07,22.6,27.0,30.6,97.0,14.7,23.0,40.0
D.J. Tialavea,FA,2014,Combine,6-4,260,33.63,9.25,,-,,-,,-,,-,,-,,-
Brett Toth,PHI,2018,Combine,6-6,291,33.38,10.25,,-,,-,,-,,-,,-,,-
Laremy Tunsil,HOU,2016,Combine,6-5,313,34.25,10.00,,-,,-,,-,,-,,-,,-
Oli Udoh,MIN,2019,Combine,6-6,325,35.38,10.00,5.05,80.2,5.05,14.1,7.88,44.0,28.5,50.9,105.0,44.8,26.0,72.5
