Player Name,Team,Pos,Status,Injury,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Alec Ingold,LV,FB,,,-,-,FP,FP,FP,-,-
Mark Ingram,BAL,RB,,,-,-,-,DNP-Non Injury,-,-,-
Dontrelle Inman,WAS,WR,,,-,-,DNP,LP,FP,-,-
Mike Iupati,SEA,OG,Questionable,Knee,-,-,LP,LP,LP,-,-
Myles Jack,JAX,LB,Questionable,Ankle,-,-,DNP,LP,LP,-,-
Austin Jackson,MIA,OT,IR,Foot,-,-,DNP,DNP,-,-,-
Chris Jackson,TEN,S,,,-,-,FP,FP,FP,FP,-
DeSean Jackson,PHI,WR,Out,Hamstring,-,-,LP,LP,LP,-,-
Donte Jackson,CAR,CB,,,-,-,LP,FP,FP,-,-
Lamar Jackson,BAL,QB,Questionable,Knee,-,-,DNP,DNP,FP,-,-
Josh Jacobs,LV,RB,,,-,-,FP,FP,FP,-,-
Andy Janovich,CLE,FB,,,-,-,FP,FP,FP,-,-
Grady Jarrett,ATL,DT,,,-,-,LP,LP,LP,-,-
Alshon Jeffery,PHI,WR,Out,Foot,-,-,LP,DNP,DNP,-,-
Janoris Jenkins,NO,CB,Out,Shoulder,-,-,-,DNP,DNP,DNP,-
Jordan Jenkins,NYJ,LB,Questionable,Shoulder,-,-,DNP,LP,LP,-,-
Malcolm Jenkins,NO,S,,,-,-,-,LP,LP,LP,-
Rayshawn Jenkins,LAC,S,,,-,-,-,FP,FP,FP,-
Diontae Johnson,PIT,WR,,,-,-,DNP,FP,FP,-,-
Dontae Johnson,SF,CB,Out,Groin,-,-,DNP,DNP,DNP,-,-
Lane Johnson,PHI,OT,,,-,-,DNP,LP,FP,-,-
Abry Jones,JAX,DT,,,-,-,-,DNP-Non Injury,FP,-,-
Byron Jones,MIA,CB,,,-,-,LP,FP,FP,-,-
Chris Jones,KC,DT,,,-,-,LP,FP,FP,-,-
Jamarco Jones,SEA,OT,,,-,-,FP,FP,FP,-,-
Joseph Jones,DEN,LB,Questionable,Knee,-,-,-,LP,LP,LP,-
Julio Jones,ATL,WR,Questionable,Hamstring,-,-,DNP,DNP,DNP,-,-
Karl Joseph,CLE,S,Questionable,Hamstring,-,-,-,LP,DNP,-,-
Lamarcus Joyner,LV,S,,,-,-,LP,LP,FP,-,-
Peter Kalambayi,HOU,LB,Questionable,Hamstring,-,-,LP,DNP,LP,-,-
Jason Kelce,PHI,C,,,-,-,LP,FP,FP,-,-
Eric Kendricks,MIN,LB,,,-,-,DNP,DNP,LP,-,-
Devon Kennard,ARI,LB,Out,Calf,-,-,DNP,DNP,DNP,-,-
Solomon Kindley,MIA,OG,,,-,-,LP,FP,FP,-,-
Dre Kirkpatrick,ARI,CB,,,-,-,LP,LP,FP,-,-
Micah Kiser,LAR,LB,Questionable,Groin,-,-,DNP,DNP,LP,-,-
Younghoe Koo,ATL,K,,,-,-,FP,FP,FP,-,-
Nick Kwiatkoski,LV,LB,,,-,-,LP,LP,LP,-,-
Jarvis Landry,CLE,WR,,,-,-,FP,FP,FP,-,-
Marshon Lattimore,NO,CB,Questionable,Hamstring,-,-,-,LP,LP,LP,-
