,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
Name,Team,Pos,G,ATT,YDS,TD,In%,In,Out%,Out,Stuffed,BT,BT%,POS%,TD%,YDS,AVG,%
Jonathan Williams,BUF,RB,11,27,94,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Andre Williams,SD,RB,1,18,87,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Darren McFadden,DAL,RB,3,24,87,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
J.J. Nelson,ARI,WR,15,4,83,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jacoby Brissett,NE,QB,3,16,83,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Lucky Whitehead,DAL,WR,15,10,82,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Mack Brown,WAS,RB,9,8,82,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Michael Campanaro,BAL,WR,3,3,72,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Adrian Peterson,MIN,RB,3,37,72,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Derek Carr,OAK,QB,15,39,70,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Tom Brady,NE,QB,12,28,64,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Byron Marshall,PHI,RB,3,19,64,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Bobby Rainey,NYG,RB,15,17,63,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Darrius Heyward-Bey,PIT,WR,10,1,60,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jordan Todman,IND,RB,16,9,59,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Joe Flacco,BAL,QB,16,21,58,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Fitzgerald Toussaint,PIT,RB,16,14,58,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Tyler Boyd,CIN,WR,16,4,58,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Trevor Siemian,DEN,QB,14,28,57,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Julian Edelman,NE,WR,16,12,57,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Arian Foster,MIA,RB,4,22,55,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Sam Bradford,MIN,QB,15,20,53,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Case Keenum,LAR,QB,10,20,51,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Taylor Gabriel,ATL,WR,13,4,51,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Albert Wilson,KC,WR,16,2,50,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Mike Davis,SF,RB,8,19,50,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Brandon Tate,BUF,WR,15,3,48,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Antone Smith,TB,RB,3,10,47,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jamize Olawale,OAK,FB,16,17,47,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Troymaine Pope,SEA/NYJ/NYJ,RB,5,13,45,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Johnny Holton,OAK,WR,15,6,43,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Cordarrelle Patterson,MIN,WR,16,7,43,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Robby Anderson,NYJ,WR,16,3,42,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jamaal Charles,KC,RB,3,12,40,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Malcolm Brown,LAR,RB,16,18,39,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jeff Janis,GB,WR,16,2,38,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Carson Palmer,ARI,QB,15,14,38,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
John Kuhn,NO,FB,16,18,37,4,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Josh Bellamy,CHI,WR,16,4,37,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Philip Rivers,SD,QB,16,14,35,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Marqise Lee,JAX,WR,16,6,35,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
George Atkinson,CLE,RB,16,7,34,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Javorius Allen,BAL,RB,8,9,34,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Randall Cobb,GB,WR,13,10,33,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Andy Janovich,DEN,FB,11,4,33,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Daniel Lasco,NO,RB,7,11,32,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Don Jackson,GB,RB,3,10,32,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Sterling Shepard,NYG,WR,16,3,31,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Lance Dunbar,DAL,RB,13,9,31,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Mike Wallace,BAL,WR,16,5,31,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Chris Jones,DAL,P,16,1,30,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Brandin Cooks,NO,WR,16,6,30,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
De'Anthony Thomas,KC,WR,12,4,29,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Terrell Watson,PHI,RB,1,9,28,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Knile Davis,KC/GB,RB,11,18,28,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Marquette King,OAK,P,16,2,27,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Brandon Wilds,NYJ,RB,4,10,27,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Juwan Thompson,DEN,RB,8,8,26,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jon Ryan,SEA,P,16,2,26,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Paxton Lynch,DEN,QB,3,11,25,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jay Cutler,CHI,QB,5,5,24,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
D.J. Foster,NE,RB,3,7,24,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Isaiah Pead,MIA,RB,3,8,22,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Kyle Juszczyk,BAL,FB,16,5,22,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Khiry Robinson,NYJ,RB,1,8,22,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
EJ Manuel,BUF,QB,6,8,22,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Terrelle Pryor,CLE,WR,16,8,21,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Josh McCown,CLE,QB,5,7,21,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
