,,,,Week 5 Game,,,,Fantasy,Passing,,,Rushing,,,Receiving,,
Rank,Name,Team,Pos,OPP,Fav,Spread,O/U,Points,YDS,TD,INT,ATT,YDS,TD,REC,YDS,TD
63,Travis Kelce,KC,TE,LV,KC,-11.0,55.5,10.95,0.00,0.00,0.00,0.00,0.00,0.00,6.15,78.94,0.51
64,Terry McLaurin,WAS,WR,LAR,LAR,7.5,46.5,10.87,0.00,0.00,0.00,0.00,0.00,0.00,5.55,78.13,0.51
65,George Kittle,SF,TE,MIA,SF,-9.0,50.5,10.81,0.00,0.00,0.00,0.00,0.00,0.00,6.12,81.70,0.44
66,Cooper Kupp,LAR,WR,WAS,LAR,-7.5,46.5,10.73,0.00,0.00,0.00,0.13,0.81,0.00,6.07,73.49,0.55
68,Stefon Diggs,BUF,WR,TEN,-,-,,10.62,0.00,0.00,0.00,0.58,3.02,0.00,5.25,73.19,0.50
69,DJ Chark,JAX,WR,HOU,HOU,5.5,54.5,10.56,0.00,0.00,0.00,0.37,1.90,0.00,5.22,74.34,0.49
70,Robby Anderson,CAR,WR,ATL,ATL,1,53.5,10.56,0.00,0.00,0.00,0.00,0.00,0.00,4.94,71.99,0.56
71,Kenyan Drake,ARI,RB,NYJ,ARI,-7.5,47.0,10.55,0.00,0.00,0.00,13.20,63.96,0.41,1.67,13.33,0.06
72,D.J. Moore,CAR,WR,ATL,ATL,1,53.5,10.54,0.00,0.00,0.00,1.01,5.54,0.00,5.60,73.44,0.44
74,A.J. Brown,TEN,WR,BUF,-,-,,10.43,0.00,0.00,0.00,0.70,3.93,0.00,4.69,70.36,0.50
76,Devin Singletary,BUF,RB,TEN,-,-,,10.33,0.00,0.00,0.00,9.70,44.98,0.33,3.58,27.73,0.18
77,Mike Evans,TB,WR,CHI,TB,-3.5,44.0,10.29,0.00,0.00,0.00,0.00,0.00,0.00,4.88,72.30,0.51
78,Raheem Mostert,SF,RB,MIA,SF,-9.0,50.5,10.24,0.00,0.00,0.00,11.10,57.42,0.41,1.81,16.22,0.07
79,Odell Beckham,CLE,WR,IND,IND,1,47.5,10.23,0.45,0.06,0.00,0.23,1.35,0.00,4.85,71.31,0.45
80,Keenan Allen,LAC,WR,NO,NO,8,50.5,10.17,0.00,0.00,0.00,0.14,0.93,0.00,6.34,75.53,0.42
81,Will Fuller,HOU,WR,JAX,HOU,-5.5,54.5,10.13,0.00,0.00,0.00,0.00,0.00,0.00,5.39,74.87,0.44
82,JuJu Smith-Schuster,PIT,WR,PHI,PIT,-7.0,44.0,10.00,0.00,0.00,0.00,0.00,0.00,0.00,5.59,74.80,0.42
83,DeVante Parker,MIA,WR,SF,SF,9,50.5,9.95,0.00,0.00,0.00,0.00,0.00,0.00,4.69,70.65,0.48
84,Robert Woods,LAR,WR,WAS,LAR,-7.5,46.5,9.89,0.00,0.00,0.00,1.19,6.89,0.06,5.65,69.20,0.32
85,Diontae Johnson,PIT,WR,PHI,PIT,-7.0,44.0,9.64,0.00,0.00,0.00,0.62,3.07,0.00,4.90,65.08,0.47
86,Mark Andrews,BAL,TE,CIN,BAL,-12.5,50.5,9.62,0.00,0.00,0.00,0.00,0.00,0.00,5.04,63.16,0.55
87,Darius Slayton,NYG,WR,DAL,DAL,8.5,54.0,9.52,0.00,0.00,0.00,0.00,0.00,0.00,4.71,65.83,0.49
88,Marquise Brown,BAL,WR,CIN,BAL,-12.5,50.5,9.52,0.00,0.00,0.00,0.36,2.33,0.00,4.71,71.29,0.36
89,Antonio Gibson,WAS,RB,LAR,LAR,7.5,46.5,9.40,0.00,0.00,0.00,11.30,44.73,0.31,2.90,23.50,0.12
90,Darren Waller,LV,TE,KC,KC,11,55.5,9.37,0.00,0.00,0.00,0.00,0.00,0.00,5.87,67.88,0.43
91,Julio Jones,ATL,WR,CAR,ATL,-1.0,53.5,9.14,0.00,0.00,0.00,0.10,0.58,0.00,4.92,69.22,0.36
92,CeeDee Lamb,DAL,WR,NYG,DAL,-8.5,54.0,9.13,0.00,0.00,0.00,0.00,0.00,0.00,4.91,65.54,0.43
93,Michael Gallup,DAL,WR,NYG,DAL,-8.5,54.0,9.12,0.00,0.00,0.00,0.00,0.00,0.00,4.79,65.41,0.43
94,Le'Veon Bell,NYJ,RB,ARI,ARI,7.5,47.0,9.10,0.00,0.00,0.00,12.10,45.40,0.26,3.20,24.00,0.10
96,Melvin Gordon,DEN,RB,NE,NE,11,,9.05,0.00,0.00,0.00,13.50,47.53,0.45,1.92,13.55,0.04
97,Mark Ingram,BAL,RB,CIN,BAL,-12.5,50.5,8.94,0.00,0.00,0.00,9.70,51.05,0.40,1.55,11.37,0.05
98,Tyler Boyd,CIN,WR,BAL,BAL,12.5,50.5,8.90,0.00,0.00,0.00,0.36,1.79,0.00,4.95,65.61,0.36
99,Myles Gaskin,MIA,RB,SF,SF,9,50.5,8.90,0.00,0.00,0.00,11.70,46.99,0.22,3.37,24.05,0.08
100,Joshua Kelley,LAC,RB,NO,NO,8,50.5,8.83,0.00,0.00,0.00,13.10,46.91,0.39,1.97,14.94,0.05
102,Julian Edelman,NE,WR,DEN,-,-,,8.72,0.00,0.00,0.00,0.22,1.23,0.00,6.22,66.14,0.33
103,Justin Jefferson,MIN,WR,SEA,SEA,7,57.0,8.72,0.00,0.00,0.00,0.00,0.00,0.00,4.92,62.64,0.41
104,Jamison Crowder,NYJ,WR,ARI,ARI,7.5,47.0,8.70,0.00,0.00,0.00,0.08,0.53,0.00,6.11,63.62,0.38
105,Devonta Freeman,NYG,RB,DAL,DAL,8.5,54.0,8.67,0.00,0.00,0.00,9.70,38.01,0.34,2.34,18.13,0.17
107,Jerry Jeudy,DEN,WR,NE,NE,11,,8.54,0.00,0.00,0.00,0.26,1.29,0.00,4.86,60.70,0.39
109,Damien Harris,NE,RB,DEN,NE,-11.0,,8.53,0.00,0.00,0.00,12.50,55.22,0.41,0.61,4.92,0.01
110,Darrell Henderson,LAR,RB,WAS,LAR,-7.5,46.5,8.44,0.00,0.00,0.00,9.90,46.00,0.33,1.54,15.03,0.06
112,John Brown,BUF,WR,TEN,-,-,,8.38,0.00,0.00,0.00,0.14,0.81,0.00,4.01,58.38,0.41
113,Scotty Miller,TB,WR,CHI,TB,-3.5,44.0,8.16,0.00,0.00,0.00,0.34,2.00,0.00,4.17,64.00,0.26
114,Mike Williams,LAC,WR,NO,NO,8,50.5,8.16,0.00,0.00,0.00,0.00,0.00,0.00,3.35,52.20,0.49
115,T.Y. Hilton,IND,WR,CLE,IND,-1.0,47.5,8.05,0.00,0.00,0.00,0.11,0.75,0.00,4.30,56.38,0.39
116,Deebo Samuel,SF,WR,MIA,SF,-9.0,50.5,7.99,0.00,0.00,0.00,0.81,4.86,0.00,3.54,47.99,0.45
117,Sammy Watkins,KC,WR,LV,KC,-11.0,55.5,7.91,0.00,0.00,0.00,0.41,1.62,0.00,4.50,56.51,0.35
118,Golden Tate,NYG,WR,DAL,DAL,8.5,54.0,7.87,0.00,0.00,0.00,0.28,1.40,0.00,3.83,52.06,0.42
119,Brandon Aiyuk,SF,WR,MIA,SF,-9.0,50.5,7.70,0.00,0.00,0.00,0.80,4.25,0.00,3.93,54.13,0.31
121,Rex Burkhead,NE,RB,DEN,NE,-11.0,,7.54,0.00,0.00,0.00,7.50,37.16,0.26,2.10,18.45,0.07
122,Latavius Murray,NO,RB,LAC,NO,-8.0,50.5,7.38,0.00,0.00,0.00,7.80,40.15,0.30,1.65,12.63,0.05
124,James White,NE,RB,DEN,-,-,,7.24,0.00,0.00,0.00,4.20,16.16,0.09,5.00,39.47,0.19
125,Tee Higgins,CIN,WR,BAL,BAL,12.5,50.5,7.19,0.00,0.00,0.00,0.00,0.00,0.00,3.86,53.31,0.31
127,N'Keal Harry,NE,WR,DEN,NE,-11.0,,7.13,0.00,0.00,0.00,0.48,3.05,0.00,4.20,43.68,0.41
128,Zach Ertz,PHI,TE,PIT,PIT,7,44.0,7.13,0.00,0.00,0.00,0.00,0.00,0.00,4.63,50.25,0.35
129,Laviska Shenault,JAX,WR,HOU,HOU,5.5,54.5,7.08,0.00,0.00,0.00,1.51,7.53,0.06,3.53,45.82,0.23
130,Brandin Cooks,HOU,WR,JAX,HOU,-5.5,54.5,7.08,0.00,0.00,0.00,0.40,1.93,0.00,3.41,55.02,0.23
132,Jonnu Smith,TEN,TE,BUF,-,-,,7.02,0.00,0.00,0.00,0.00,0.00,0.00,4.49,49.16,0.35
133,Ke'Shawn Vaughn,TB,RB,CHI,TB,-3.5,44.0,7.00,0.00,0.00,0.00,5.90,24.93,0.15,3.16,22.90,0.22
134,Hunter Henry,LAC,TE,NO,NO,8,50.5,6.92,0.00,0.00,0.00,0.00,0.00,0.00,4.17,48.16,0.35
136,Zack Moss,BUF,RB,TEN,-,-,,6.90,0.00,0.00,0.00,8.10,34.44,0.26,1.94,15.98,0.05
137,Jerick McKinnon,SF,RB,MIA,SF,-9.0,50.5,6.88,0.00,0.00,0.00,5.80,27.76,0.15,3.03,25.47,0.11
138,Greg Ward,PHI,WR,PIT,PIT,7,44.0,6.77,0.00,0.00,0.00,0.36,1.78,0.00,4.75,53.87,0.20
139,A.J. Green,CIN,WR,BAL,BAL,12.5,50.5,6.71,0.00,0.00,0.00,0.00,0.00,0.00,3.52,46.73,0.34
140,Evan Engram,NYG,TE,DAL,DAL,8.5,54.0,6.68,0.00,0.00,0.00,0.00,0.00,0.00,4.87,48.80,0.30
141,Hayden Hurst,ATL,TE,CAR,ATL,-1.0,53.5,6.63,0.00,0.00,0.00,0.00,0.00,0.00,4.01,45.91,0.34
142,Jarvis Landry,CLE,WR,IND,IND,1,47.5,6.60,0.00,0.00,0.00,0.19,0.93,0.00,3.93,48.26,0.28
143,Jared Cook,NO,TE,LAC,NO,-8.0,50.5,6.60,0.00,0.00,0.00,0.00,0.00,0.00,3.14,42.03,0.40
144,Russell Gage,ATL,WR,CAR,ATL,-1.0,53.5,6.58,0.00,0.00,0.00,0.00,0.00,0.00,5.07,52.60,0.22
145,Tre'Quan Smith,NO,WR,LAC,NO,-8.0,50.5,6.55,0.00,0.00,0.00,0.00,0.00,0.00,3.53,42.11,0.39
146,Randall Cobb,HOU,WR,JAX,HOU,-5.5,54.5,6.54,0.00,0.00,0.00,0.14,0.88,0.00,3.53,52.53,0.20
147,Dalton Schultz,DAL,TE,NYG,DAL,-8.5,54.0,6.45,0.00,0.00,0.00,0.00,0.00,0.00,4.51,42.89,0.36
148,Keelan Cole,JAX,WR,HOU,HOU,5.5,54.5,6.45,0.00,0.00,0.00,0.29,1.75,0.00,3.65,45.36,0.29
149,Hunter Renfrow,LV,WR,KC,KC,11,55.5,6.38,0.00,0.00,0.00,0.00,0.00,0.00,3.75,48.82,0.25
150,Christian Kirk,ARI,WR,NYJ,ARI,-7.5,47.0,6.37,0.00,0.00,0.00,0.34,1.95,0.00,3.85,44.92,0.28
151,Emmanuel Sanders,NO,WR,LAC,NO,-8.0,50.5,6.19,0.00,0.00,0.00,0.00,0.00,0.00,3.45,47.49,0.24
152,Chase Edmonds,ARI,RB,NYJ,ARI,-7.5,47.0,6.19,0.00,0.00,0.00,6.60,29.45,0.06,3.40,22.81,0.10
153,James Washington,PIT,WR,PHI,PIT,-7.0,44.0,6.17,0.00,0.00,0.00,0.00,0.00,0.00,3.21,44.25,0.29
154,Duke Johnson,HOU,RB,JAX,HOU,-5.5,54.5,6.16,0.00,0.00,0.00,4.90,24.42,0.10,3.02,24.56,0.11
155,Eric Ebron,PIT,TE,PHI,PIT,-7.0,44.0,6.15,0.00,0.00,0.00,0.00,0.00,0.00,3.97,44.10,0.29
156,Henry Ruggs,LV,WR,KC,KC,11,55.5,6.12,0.00,0.00,0.00,0.37,1.75,0.00,3.30,47.48,0.20
157,Darnell Mooney,CHI,WR,TB,TB,3.5,44.0,6.12,0.00,0.00,0.00,0.00,0.00,0.00,3.38,47.36,0.23
158,Zach Pascal,IND,WR,CLE,IND,-1.0,47.5,6.11,0.00,0.00,0.00,0.20,1.43,0.00,3.54,50.65,0.15
159,Anthony Miller,CHI,WR,TB,TB,3.5,44.0,6.07,0.00,0.00,0.00,0.18,1.07,0.00,3.20,43.42,0.27
160,Rob Gronkowski,TB,TE,CHI,TB,-3.5,44.0,6.04,0.00,0.00,0.00,0.00,0.00,0.00,3.07,38.15,0.37
161,Austin Hooper,CLE,TE,IND,IND,1,47.5,6.03,0.00,0.00,0.00,0.00,0.00,0.00,3.67,38.05,0.37
162,Mike Gesicki,MIA,TE,SF,SF,9,50.5,6.01,0.00,0.00,0.00,0.00,0.00,0.00,3.61,42.11,0.30
163,Justin Jackson,LAC,RB,NO,NO,8,50.5,6.00,0.00,0.00,0.00,7.80,28.62,0.21,1.96,15.73,0.05
164,Curtis Samuel,CAR,WR,ATL,ATL,1,53.5,6.00,0.00,0.00,0.00,0.90,5.14,0.06,2.96,36.29,0.25
165,Jimmy Graham,CHI,TE,TB,TB,3.5,44.0,5.89,0.00,0.00,0.00,0.00,0.00,0.00,3.21,38.46,0.34
167,Phillip Lindsay,DEN,RB,NE,-,-,,5.71,0.00,0.00,0.00,7.80,30.32,0.21,1.45,10.56,0.06
168,Cam Akers,LAR,RB,WAS,LAR,-7.5,46.5,5.68,0.00,0.00,0.00,6.30,30.45,0.21,1.31,11.91,0.03
169,Tyler Higbee,LAR,TE,WAS,LAR,-7.5,46.5,5.67,0.00,0.00,0.00,0.00,0.00,0.00,3.53,39.91,0.28
170,Isaiah Ford,MIA,WR,SF,SF,9,50.5,5.59,0.00,0.00,0.00,0.37,2.28,0.00,4.20,42.84,0.18
171,J.K. Dobbins,BAL,RB,CIN,BAL,-12.5,50.5,5.59,0.00,0.00,0.00,5.20,26.91,0.18,1.79,14.61,0.06
172,Nyheim Hines,IND,RB,CLE,IND,-1.0,47.5,5.58,0.00,0.00,0.00,3.50,15.47,0.09,3.61,27.16,0.13
173,Chris Thompson,JAX,RB,HOU,HOU,5.5,54.5,5.57,0.00,0.00,0.00,3.50,14.21,0.11,3.04,27.05,0.13
174,Greg Olsen,SEA,TE,MIN,SEA,-7.0,57.0,5.54,0.00,0.00,0.00,0.00,0.00,0.00,3.81,42.82,0.21
176,Damiere Byrd,NE,WR,DEN,NE,-11.0,,5.46,0.00,0.00,0.00,0.00,0.00,0.00,4.21,44.44,0.17
177,Alexander Mattison,MIN,RB,SEA,SEA,7,57.0,5.42,0.00,0.00,0.00,6.40,29.11,0.19,1.48,11.86,0.03
178,Tyler Eifert,JAX,TE,HOU,HOU,5.5,54.5,5.40,0.00,0.00,0.00,0.00,0.00,0.00,3.46,32.99,0.35
179,Darren Fells,HOU,TE,JAX,HOU,-5.5,54.5,5.38,0.00,0.00,0.00,0.00,0.00,0.00,3.38,35.20,0.31
180,Josh Reynolds,LAR,WR,WAS,LAR,-7.5,46.5,5.30,0.00,0.00,0.00,0.26,1.34,0.00,2.74,36.62,0.25
181,Dontrelle Inman,WAS,WR,LAR,LAR,7.5,46.5,5.28,0.00,0.00,0.00,0.00,0.00,0.00,3.46,40.22,0.21
182,Larry Fitzgerald,ARI,WR,NYJ,ARI,-7.5,47.0,5.28,0.00,0.00,0.00,0.00,0.00,0.00,4.00,40.82,0.20
183,Kendrick Bourne,SF,WR,MIA,SF,-9.0,50.5,5.27,0.00,0.00,0.00,0.00,0.00,0.00,3.42,41.26,0.19
184,Logan Thomas,WAS,TE,LAR,LAR,7.5,46.5,5.26,0.00,0.00,0.00,0.00,0.00,0.00,3.80,38.20,0.24
185,Chris Herndon,NYJ,TE,ARI,ARI,7.5,47.0,5.19,0.00,0.00,0.00,0.00,0.00,0.00,3.34,35.73,0.27
186,Miles Boykin,BAL,WR,CIN,BAL,-12.5,50.5,5.16,0.00,0.00,0.00,0.00,0.00,0.00,2.85,34.81,0.28
187,D'Ernest Johnson,CLE,RB,IND,IND,1,47.5,5.05,0.00,0.00,0.00,7.20,31.68,0.19,0.73,6.20,0.02
188,Brian Hill,ATL,RB,CAR,ATL,-1.0,53.5,5.05,0.00,0.00,0.00,6.40,28.49,0.17,1.56,10.05,0.03
189,Darrel Williams,KC,RB,LV,KC,-11.0,55.5,4.98,0.00,0.00,0.00,4.40,20.79,0.14,2.75,19.97,0.01
190,J.D. McKissic,WAS,RB,LAR,LAR,7.5,46.5,4.97,0.00,0.00,0.00,4.20,16.08,0.08,2.64,24.61,0.07
191,Gus Edwards,BAL,RB,CIN,BAL,-12.5,50.5,4.97,0.00,0.00,0.00,6.30,34.02,0.22,0.27,1.86,0.01
192,Isaiah Wright,WAS,WR,LAR,LAR,7.5,46.5,4.96,0.00,0.00,0.00,1.31,9.55,0.00,3.65,31.04,0.15
194,Tim Patrick,DEN,WR,NE,NE,11,,4.96,0.00,0.00,0.00,0.00,0.00,0.00,2.97,41.83,0.13
195,David Moore,SEA,WR,MIN,SEA,-7.0,57.0,4.93,0.00,0.00,0.00,0.29,1.80,0.00,2.08,30.67,0.28
197,Cole Beasley,BUF,WR,TEN,-,-,,4.91,0.00,0.00,0.00,0.00,0.00,0.00,3.17,35.25,0.23
198,Preston Williams,MIA,WR,SF,SF,9,50.5,4.86,0.00,0.00,0.00,0.00,0.00,0.00,2.60,36.62,0.20
199,Chase Claypool,PIT,WR,PHI,PIT,-7.0,44.0,4.82,0.00,0.00,0.00,0.00,0.00,0.00,2.60,33.17,0.25
200,Malcolm Brown,LAR,RB,WAS,LAR,-7.5,46.5,4.73,0.00,0.00,0.00,5.70,25.14,0.17,2.44,11.31,0.01
201,Drew Sample,CIN,TE,BAL,BAL,12.5,50.5,4.64,0.00,0.00,0.00,0.00,0.00,0.00,3.24,32.56,0.23
202,Olamide Zaccheaus,ATL,WR,CAR,ATL,-1.0,53.5,4.63,0.00,0.00,0.00,0.00,0.00,0.00,2.73,33.65,0.21
204,Kalif Raymond,TEN,WR,BUF,-,-,,4.42,0.00,0.00,0.00,0.00,0.00,0.00,3.12,36.96,0.12
205,Cedrick Wilson,DAL,WR,NYG,DAL,-8.5,54.0,4.39,0.00,0.00,0.00,0.00,0.00,0.00,3.05,35.52,0.14
206,Chris Hogan,NYJ,WR,ARI,ARI,7.5,47.0,4.39,0.00,0.00,0.00,0.00,0.00,0.00,3.94,40.34,0.06
207,Jordan Wilkins,IND,RB,CLE,IND,-1.0,47.5,4.37,0.00,0.00,0.00,5.80,26.66,0.18,0.76,5.63,0.01
208,Tony Pollard,DAL,RB,NYG,DAL,-8.5,54.0,4.20,0.00,0.00,0.00,3.40,18.50,0.14,1.69,12.08,0.05
209,Giovani Bernard,CIN,RB,BAL,BAL,12.5,50.5,4.19,0.00,0.00,0.00,3.00,11.64,0.06,2.67,21.86,0.08
210,Ian Thomas,CAR,TE,ATL,ATL,1,53.5,4.16,0.00,0.00,0.00,0.00,0.00,0.00,3.13,30.78,0.18
211,Mecole Hardman,KC,WR,LV,KC,-11.0,55.5,4.08,0.00,0.00,0.00,0.19,1.41,0.00,1.69,27.98,0.19
212,Nelson Agholor,LV,WR,KC,KC,11,55.5,4.04,0.00,0.00,0.00,0.23,0.90,0.00,2.66,26.29,0.22
