,,,,Pass Defense Stats,,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,Depth Chart,QB Rating Against,Comp,Att,Comp %,Yards,TD,INT,PassDef,INT Drops
Bradley Roby,HOU,CB,1,66,#1 LCB,127.5,3,5,60.0,43,1,0,1,0
William Jackson,CIN,CB,1,68,#1 RCB,130.4,5,7,71.4,49,1,0,0,0
Chris Claybrooks,JAX,CB,1,54,#2 RCB,130.6,2,3,66.7,24,1,0,1,0
Noah Igbinoghene,MIA,CB,1,63,#2 LCB,132.3,2,4,50.0,47,1,0,0,0
Kyle Van Noy,MIA,LB,1,63,#1 SLB,132.6,3,3,100.0,19,1,0,0,0
Malcolm Jenkins,NO,S,1,61,#1 SS,133.3,4,6,66.7,52,1,0,1,0
LeShaun Sims,CIN,CB,1,59,#2 LCB,137.2,9,12,75.0,129,1,0,1,0
Foyesade Oluokun,ATL,LB,1,61,#1 ROLB,139.6,3,3,100.0,24,1,0,0,0
Duke Riley,PHI,LB,1,47,#1 LOLB,140.6,3,4,75.0,35,1,0,0,0
Jordan Whitehead,TB,S,1,53,#1 FS,149.3,2,3,66.7,63,1,0,0,0
Lamarcus Joyner,LV,S,1,49,#1 LCB,152.1,3,3,100.0,33,1,0,0,0
Casey Hayward,LAC,CB,1,76,#1 RCB,153.3,5,7,71.4,111,1,0,0,0
Dontae Johnson,SF,CB,1,59,#2 RCB,156.3,3,4,75.0,61,1,0,0,0
Desmond Trufant,DET,CB,1,44,#1 LCB,158.3,3,3,100.0,45,1,0,0,0
Kyzir White,LAC,LB,1,76,#1 LOLB,158.3,4,5,80.0,86,1,0,0,0
