,,,,Receiving,,,,Red Zone Targets,,,
Laviska Shenault,JAX,WR,1,5,33,0,6,0,0,0,0.00
Nelson Agholor,LV,WR,1,2,32,0,3,0,0,0,0.00
Zay Jones,LV,WR,1,3,32,0,3,0,0,0,0.00
Royce Freeman,DEN,RB,1,2,31,0,2,1,0,0,25.00
Logan Thomas,WAS,TE,1,4,31,0,7,2,1,0,33.33
KJ Hamler,DEN,WR,1,3,30,0,5,0,0,0,0.00
Myles Gaskin,MIA,RB,1,5,29,0,5,0,0,0,0.00
Adam Thielen,MIN,WR,1,3,29,1,5,1,0,0,50.00
Ted Ginn,CHI,WR,1,1,29,0,3,0,0,0,0.00
Auden Tate,CIN,WR,1,2,29,0,4,2,0,0,25.00
James O'Shaughnessy,JAX,TE,1,3,29,0,4,0,0,0,0.00
Damion Ratley,NYG,WR,1,1,29,0,2,0,0,0,0.00
Jesse James,DET,TE,1,3,28,1,4,2,2,1,33.33
Jordan Akins,HOU,TE,1,2,28,0,3,0,0,0,0.00
Brandon Powell,ATL,WR,1,3,27,0,4,1,0,0,20.00
Damiere Byrd,NE,WR,1,3,27,0,3,0,0,0,0.00
Michael Pittman,IND,WR,1,3,26,0,4,0,0,0,0.00
Russell Gage,ATL,WR,1,2,26,0,3,1,0,0,20.00
Foster Moreau,LV,TE,1,2,25,1,2,1,1,1,16.67
Austin Hooper,CLE,TE,1,3,25,0,4,0,0,0,0.00
Tyler Kroft,BUF,TE,1,4,24,2,5,4,2,2,40.00
Ezekiel Elliott,DAL,RB,1,6,24,0,11,0,0,0,0.00
Isaiah Wright,WAS,WR,1,4,24,0,6,0,0,0,0.00
Darrell Daniels,ARI,TE,1,2,24,0,2,0,0,0,0.00
KeeSean Johnson,ARI,WR,1,2,24,0,7,0,0,0,0.00
Chase Claypool,PIT,WR,1,1,24,0,4,0,0,0,0.00
LeSean McCoy,TB,RB,1,2,24,0,4,0,0,0,0.00
Sony Michel,NE,RB,1,2,23,0,2,0,0,0,0.00
David Johnson,HOU,RB,1,2,23,0,3,0,0,0,0.00
Jordan Reed,SF,TE,1,2,23,0,6,1,0,0,12.50
Daurice Fountain,IND,WR,1,2,23,0,2,0,0,0,0.00
Brandin Cooks,HOU,WR,1,3,23,0,5,0,0,0,0.00
Jalen Guyton,LAC,WR,1,2,23,0,3,0,0,0,0.00
Julian Edelman,NE,WR,1,2,23,0,6,1,1,1,11.11
Brian Hill,ATL,RB,1,1,22,0,3,0,0,0,0.00
Mark Andrews,BAL,TE,1,3,22,0,8,1,0,0,25.00
Evan Engram,NYG,TE,1,3,22,0,5,0,0,0,0.00
Chase Edmonds,ARI,RB,1,2,21,0,2,1,0,0,20.00
Chris Herndon,NYJ,TE,1,3,21,0,5,0,0,0,0.00
Jared Cook,NO,TE,1,2,21,0,3,1,1,0,16.67
Ronald Jones,TB,RB,1,2,20,0,4,2,1,0,28.57
Tarik Cohen,CHI,RB,1,3,20,0,6,1,1,0,12.50
Jamal Agnew,DET,WR,1,2,20,0,2,0,0,0,0.00
Trent Taylor,SF,WR,1,1,20,0,1,0,0,0,0.00
Jakeem Grant,MIA,WR,1,1,19,0,1,0,0,0,0.00
D'Andre Swift,DET,RB,1,1,19,0,2,0,0,0,0.00
Darnell Mooney,CHI,WR,1,2,19,0,5,0,0,0,0.00
Deontay Burnett,PHI,WR,1,3,19,0,4,0,0,0,0.00
John Hightower,PHI,WR,1,2,19,0,3,0,0,0,0.00
Dalvin Cook,MIN,RB,1,2,18,0,5,0,0,0,0.00
Kareem Hunt,CLE,RB,1,2,18,1,3,1,1,0,50.00
Marcedes Lewis,GB,TE,1,1,18,1,2,2,1,1,28.57
Danny Amendola,DET,WR,1,1,18,0,4,1,1,0,16.67
Aaron Jones,GB,RB,1,2,17,0,4,2,1,1,28.57
Mike Williams,LAC,WR,1,1,17,0,1,0,0,0,0.00
Adam Trautman,NO,TE,1,2,17,0,2,0,0,0,0.00
Joe Mixon,CIN,RB,1,2,16,0,3,0,0,0,0.00
MyCole Pruitt,TEN,TE,1,2,16,0,2,0,0,0,0.00
Seth Roberts,CAR,WR,1,2,16,0,3,0,0,0,0.00
Mike Gesicki,MIA,TE,1,1,15,1,3,1,0,0,50.00
Demetrius Harris,CHI,TE,1,3,15,0,3,0,0,0,0.00
KJ Hill,LAC,WR,1,1,15,0,4,2,0,0,33.33
Richard Rodgers,PHI,TE,1,2,15,0,2,0,0,0,0.00
Kerryon Johnson,DET,RB,1,1,14,0,1,0,0,0,0.00
Isaiah Ford,MIA,WR,1,2,14,0,2,0,0,0,0.00
Andy Janovich,CLE,FB,1,1,13,0,1,0,0,0,0.00
Marquise Brown,BAL,WR,1,2,13,0,6,0,0,0,0.00
Kaden Smith,NYG,TE,1,1,13,0,2,0,0,0,0.00
Freddie Swain,SEA,WR,1,1,13,0,1,0,0,0,0.00
Miles Sanders,PHI,RB,1,4,12,0,8,0,0,0,0.00
Josh Jacobs,LV,RB,1,3,12,0,4,0,0,0,0.00
Chris Carson,SEA,RB,1,3,12,0,3,0,0,0,0.00
Melvin Gordon,DEN,RB,1,4,12,0,6,0,0,0,0.00
Derrick Henry,TEN,RB,1,2,11,0,3,0,0,0,0.00
Antonio Gibson,WAS,RB,1,3,11,0,3,0,0,0,0.00
Kyle Rudolph,MIN,TE,1,2,11,1,3,1,1,1,50.00
Carlos Hyde,SEA,RB,1,1,11,0,1,0,0,0,0.00
DeSean Jackson,PHI,WR,1,2,11,0,4,0,0,0,0.00
C.J. Ham,MIN,FB,1,1,11,0,2,0,0,0,0.00
Dan Arnold,ARI,TE,1,1,11,0,2,0,0,0,0.00
Tyler Eifert,JAX,TE,1,2,11,0,3,1,0,0,25.00
Alec Ingold,LV,FB,1,1,11,0,1,0,0,0,0.00
Adrian Peterson,DET,RB,1,1,10,0,1,0,0,0,0.00
Dion Lewis,NYG,RB,1,1,10,0,3,0,0,0,0.00
David Montgomery,CHI,RB,1,2,9,0,3,1,1,0,12.50
Joshua Kelley,LAC,RB,1,2,9,0,2,0,0,0,0.00
JaMycal Hasty,SF,RB,1,1,9,0,1,0,0,0,0.00
C.J. Board,NYG,WR,1,1,9,0,2,0,0,0,0.00
Mohamed Sanu,SF,WR,1,1,9,0,1,1,0,0,12.50
Ian Thomas,CAR,TE,1,1,9,0,2,0,0,0,0.00
Mike Thomas,CIN,WR,1,2,9,0,2,0,0,0,0.00
Noah Brown,DAL,WR,1,1,9,0,2,0,0,0,0.00
Darren Waller,LV,TE,1,2,9,0,4,1,1,0,16.67
Jalen Richard,LV,RB,1,3,8,0,3,2,1,0,33.33
Tyler Ervin,GB,RB,1,2,8,0,2,1,0,0,14.29
Miles Boykin,BAL,WR,1,1,8,0,2,0,0,0,0.00
Preston Williams,MIA,WR,1,2,7,1,2,1,1,1,50.00
Latavius Murray,NO,RB,1,1,7,0,1,0,0,0,0.00
Anthony McFarland,PIT,RB,1,1,7,0,2,0,0,0,0.00
Leonard Fournette,TB,RB,1,2,7,0,2,0,0,0,0.00
Wayne Gallman,NYG,RB,1,2,7,0,3,0,0,0,0.00
Dallas Goedert,PHI,TE,1,1,7,0,1,0,0,0,0.00
Kyle Juszczyk,SF,FB,1,1,7,0,1,0,0,0,0.00
Chad Beebe,MIN,WR,1,1,7,0,1,0,0,0,0.00
Devin Duvernay,BAL,WR,1,2,7,0,3,1,0,0,25.00
Diontae Spencer,DEN,WR,1,1,7,0,1,0,0,0,0.00
Durham Smythe,MIA,TE,1,1,7,0,1,0,0,0,0.00
Darrell Henderson,LAR,RB,1,1,6,0,3,0,0,0,0.00
Kenyan Drake,ARI,RB,1,1,6,0,1,0,0,0,0.00
Jordan Wilkins,IND,RB,1,1,6,0,1,0,0,0,0.00
Isaiah McKenzie,BUF,WR,1,1,6,0,2,1,0,0,10.00
Cullen Gillaspia,HOU,FB,1,1,6,0,1,0,0,0,0.00
Luke Stocker,ATL,TE,1,1,6,0,1,0,0,0,0.00
Jakob Johnson,NE,FB,1,1,6,0,1,0,0,0,0.00
Nick Boyle,BAL,TE,1,1,5,1,1,1,1,1,25.00
Anthony Sherman,KC,FB,1,1,5,1,1,1,1,1,20.00
Frank Gore,NYJ,RB,1,1,5,0,1,0,0,0,0.00
Jeremy McNichols,TEN,RB,1,1,5,0,1,1,0,0,33.33
Deonte Harris,NO,WR,1,2,5,0,3,0,0,0,0.00
Will Dissly,SEA,TE,1,2,5,0,2,0,0,0,0.00
Jake Butt,DEN,TE,1,1,5,0,1,0,0,0,0.00
Marquez Valdes-Scantling,GB,WR,1,1,5,0,4,0,0,0,0.00
Dede Westbrook,JAX,WR,1,1,4,0,1,1,1,0,25.00
Willie Snead,BAL,WR,1,2,4,0,2,1,1,0,25.00
Jonathan Taylor,IND,RB,1,1,3,0,1,0,0,0,0.00
Harrison Bryant,CLE,TE,1,1,3,1,2,1,1,1,50.00
Jamaal Williams,GB,RB,1,1,3,0,1,0,0,0,0.00
Keith Smith,ATL,FB,1,1,3,0,1,0,0,0,0.00
Collin Johnson,JAX,WR,1,1,3,0,2,1,1,0,25.00
Nick Chubb,CLE,RB,1,1,2,0,1,0,0,0,0.00
Todd Gurley,ATL,RB,1,1,2,0,2,0,0,0,0.00
Mike Evans,TB,WR,1,2,2,2,4,2,2,2,28.57
David Moore,SEA,WR,1,1,2,0,1,0,0,0,0.00
Jacob Hollister,SEA,TE,1,1,1,1,2,1,1,1,20.00
Lee Smith,BUF,TE,1,1,1,1,1,1,1,1,10.00
Hayden Hurst,ATL,TE,1,1,1,1,3,1,1,1,20.00
Taysom Hill,NO,QB,1,1,1,0,1,0,0,0,0.00
Darrel Williams,KC,RB,1,2,1,0,2,0,0,0,0.00
Drew Sample,CIN,TE,1,1,1,0,1,0,0,0,0.00
Cethan Carter,CIN,TE,1,1,1,0,1,1,1,0,12.50
Ryan Fitzpatrick,MIA,QB,1,1,0,0,1,0,0,0,0.00
Ryan Tannehill,TEN,QB,1,1,0,0,1,0,0,0,0.00
J.J. Taylor,NE,RB,1,0,0,0,1,1,0,0,11.11
Mark Ingram,BAL,RB,1,0,0,0,1,0,0,0,0.00
Antonio Gandy-Golden,WAS,WR,1,0,0,0,2,0,0,0,0.00
Malcolm Brown,LAR,RB,1,0,0,0,2,0,0,0,0.00
Travis Homer,SEA,RB,1,0,0,0,1,0,0,0,0.00
Darwin Thompson,KC,RB,1,0,0,0,2,0,0,0,0.00
Diontae Johnson,PIT,WR,1,0,0,0,2,0,0,0,0.00
Boston Scott,PHI,RB,1,0,0,0,1,0,0,0,0.00
Javon Wims,CHI,WR,1,0,0,0,1,0,0,0,0.00
KhaDarel Hodge,CLE,WR,1,0,0,0,1,0,0,0,0.00
Blake Bell,DAL,TE,1,0,0,0,1,0,0,0,0.00
Ito Smith,ATL,RB,1,0,0,0,2,0,0,0,0.00
Larry Fitzgerald,ARI,WR,1,1,0,0,3,0,0,0,0.00
John Brown,BUF,WR,1,0,0,0,2,0,0,0,0.00
Noah Togiai,IND,TE,1,0,0,0,1,0,0,0,0.00
Ashton Dulin,IND,WR,1,0,0,0,1,0,0,0,0.00
Darren Fells,HOU,TE,1,0,0,0,2,1,0,0,33.33
Darrius Shepherd,GB,WR,1,0,0,0,1,0,0,0,0.00
Nick Keizer,KC,TE,1,0,0,0,1,0,0,0,0.00
Virgil Green,LAC,TE,1,0,0,0,1,0,0,0,0.00
Demarcus Robinson,KC,WR,1,0,0,0,1,0,0,0,0.00
Van Jefferson,LAR,WR,1,0,0,0,1,0,0,0,0.00
Ryan Izzo,NE,TE,1,0,0,0,1,1,1,1,11.11
Chris Hogan,NYJ,WR,1,0,0,0,3,0,0,0,0.00
Ryan Griffin,NYJ,TE,1,0,0,0,2,0,0,0,0.00
Nick Westbrook-Ikhine,TEN,WR,1,0,0,0,2,0,0,0,0.00
La'Mical Perine,NYJ,RB,1,2,-1,0,2,0,0,0,0.00
Tony Pollard,DAL,RB,1,1,-5,0,1,0,0,0,0.00
