,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Braxton Berrios,NYJ,WR,1,4,4,64,43,10.8,0.8,43,100.0,0.0,39.8,22.2,21,5.3,32.8,1,0
Chris Godwin,TB,WR,1,6,5,64,38,6.3,0.7,35,83.3,16.7,12.5,16.7,29,5.8,45.3,0,0
Kendrick Bourne,SF,WR,1,6,4,63,64,10.7,1.0,44,66.7,0.0,25.9,20.0,19,4.8,30.2,0,0
Sammy Watkins,KC,WR,1,8,7,62,55,6.9,0.8,51,87.5,0.0,16.9,21.1,11,1.6,17.7,0,0
Greg Olsen,SEA,TE,1,6,5,61,51,8.5,1.1,50,83.3,16.7,14.1,15.8,11,2.2,18.0,1,0
Jonnu Smith,TEN,TE,1,8,5,61,84,10.5,1.3,50,62.5,0.0,26.7,26.7,11,2.2,18.0,0,0
Jimmy Graham,CHI,TE,1,10,6,60,66,6.6,1.2,35,60.0,0.0,13.0,20.4,25,4.2,41.7,0,0
Josh Reynolds,LAR,WR,1,5,4,60,62,12.4,1.0,48,80.0,0.0,35.6,16.7,12,3.0,20.0,0,0
Odell Beckham,CLE,WR,1,6,4,59,97,16.2,1.9,50,66.7,0.0,52.4,27.3,9,2.3,15.3,0,0
Kenny Golladay,DET,WR,1,7,6,57,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Emmanuel Sanders,NO,WR,1,5,4,56,61,12.2,1.3,54,80.0,0.0,36.3,14.3,2,0.5,3.6,0,0
Giovani Bernard,CIN,RB,1,3,3,55,-2,-0.7,-0.1,-2,100.0,0.0,-0.7,8.1,57,19.0,103.6,0,0
Robby Anderson,CAR,WR,1,5,5,55,25,5.0,0.6,22,83.3,0.0,19.5,21.4,33,6.6,60.0,0,0
Jerry Jeudy,DEN,WR,1,9,5,55,88,9.8,1.9,34,55.6,0.0,33.7,24.3,21,4.2,38.2,0,0
Jeff Wilson,SF,RB,1,3,3,54,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Will Fuller,HOU,WR,1,5,4,54,49,9.8,1.1,49,80.0,0.0,19.0,19.2,5,1.3,9.3,0,0
Darius Slayton,NYG,WR,1,7,3,53,100,14.3,2.0,47,42.9,0.0,35.8,22.6,6,2.0,11.3,0,0
T.J. Hockenson,DET,TE,1,7,4,53,64,9.1,1.2,33,57.1,0.0,50.0,35.0,20,5.0,37.7,1,0
Eric Ebron,PIT,TE,1,7,5,52,54,7.7,0.9,41,71.4,0.0,16.2,21.2,11,2.2,21.2,0,0
T.Y. Hilton,IND,WR,1,3,3,52,36,12.0,1.2,36,100.0,0.0,31.0,14.3,16,5.3,30.8,1,0
Marvin Jones,DET,WR,1,3,3,51,36,12.0,0.6,36,100.0,0.0,28.1,15.0,15,5.0,29.4,0,0
Mo Alie-Cox,IND,TE,1,3,3,50,21,7.0,0.6,21,100.0,0.0,18.1,14.3,29,9.7,58.0,0,0
Robert Tonyan,GB,TE,1,5,5,50,12,2.4,0.3,12,100.0,-20.0,4.9,17.2,38,7.6,76.0,0,0
Hunter Henry,LAC,TE,1,7,5,50,50,7.1,0.7,38,71.4,14.3,18.5,15.9,12,2.4,24.0,0,0
Devin Singletary,BUF,RB,1,5,4,50,37,7.4,0.7,13,80.0,0.0,13.8,19.2,37,9.3,74.0,0,0
O.J. Howard,TB,TE,1,4,3,49,51,12.8,1.5,33,75.0,0.0,16.8,11.1,16,5.3,32.7,1,0
Ross Dwelley,SF,TE,1,4,4,49,19,4.8,0.3,19,100.0,0.0,7.7,13.3,30,7.5,61.2,0,0
Stefon Diggs,BUF,WR,1,6,4,49,41,6.8,0.7,39,66.7,16.7,15.2,23.1,10,2.5,20.4,0,0
Rex Burkhead,NE,RB,1,10,7,49,-1,-0.1,0.0,-17,70.0,0.0,-0.8,35.7,66,9.4,134.7,0,0
Rob Gronkowski,TB,TE,1,7,6,48,40,5.7,0.6,19,85.7,0.0,13.2,19.4,29,4.8,60.4,0,0
Bryan Edwards,LV,WR,1,3,2,48,35,11.7,1.5,30,66.7,0.0,14.5,9.4,18,9.0,37.5,0,0
Dalton Schultz,DAL,TE,1,6,4,48,49,8.2,0.9,18,66.7,0.0,12.5,12.0,31,7.8,63.3,0,0
Andy Isabella,ARI,WR,1,4,4,47,37,9.3,1.4,37,100.0,0.0,19.3,15.4,10,2.5,21.3,0,0
Noah Fant,DEN,TE,1,10,5,46,85,8.5,1.6,26,50.0,20.0,32.6,27.0,20,4.0,43.5,0,0
Curtis Samuel,CAR,WR,1,4,4,45,14,3.5,0.4,14,100.0,0.0,10.9,14.3,31,7.8,68.9,0,0
Mike Davis,CAR,RB,1,9,8,45,-8,-0.9,-0.2,-10,88.9,0.0,-6.3,32.1,55,6.9,122.2,0,0
Kalen Ballage,NYJ,RB,1,5,5,44,-19,-3.8,-1.0,-19,100.0,0.0,-17.6,27.8,63,12.6,143.2,0,0
JuJu Smith-Schuster,PIT,WR,1,5,4,43,43,8.6,0.7,14,80.0,0.0,12.9,15.2,29,7.3,67.4,1,0
Tim Patrick,DEN,WR,1,4,4,43,35,8.8,0.7,35,100.0,0.0,13.4,10.8,8,2.0,18.6,1,0
Keelan Cole,JAX,WR,1,6,4,43,36,6.0,0.7,21,66.7,0.0,13.7,16.7,22,5.5,51.2,0,0
Tre'Quan Smith,NO,WR,1,6,4,42,45,7.5,0.7,33,66.7,16.7,26.8,17.1,9,2.3,21.4,0,0
Olamide Zaccheaus,ATL,WR,1,6,4,41,107,17.8,2.0,33,66.7,0.0,26.6,17.6,8,2.0,19.5,0,0
Anthony Miller,CHI,WR,1,5,2,41,100,20.0,2.1,35,40.0,20.0,19.7,10.2,6,3.0,14.6,0,0
Adam Humphries,TEN,WR,1,7,4,41,64,9.1,1.6,30,57.1,0.0,20.3,23.3,11,2.8,26.8,0,0
James Conner,PIT,RB,1,5,4,40,20,4.0,0.4,7,80.0,20.0,6.0,15.2,33,8.3,82.5,0,0
Tyler Higbee,LAR,TE,1,2,2,40,19,9.5,0.4,19,100.0,0.0,10.9,6.7,21,10.5,52.5,0,0
Nyheim Hines,IND,RB,1,5,4,40,-6,-1.2,-0.3,0,80.0,20.0,-5.2,23.8,40,10.0,100.0,0,0
Tee Higgins,CIN,WR,1,9,5,40,134,14.9,2.4,44,55.6,0.0,45.9,24.3,-4,-0.8,-10.0,0,0
Jerick McKinnon,SF,RB,1,4,3,39,24,6.0,0.5,31,75.0,0.0,9.7,13.3,8,2.7,20.5,0,0
Dontrelle Inman,WAS,WR,1,6,3,38,69,11.5,1.5,36,50.0,0.0,30.7,20.0,2,0.7,5.3,0,0
J.K. Dobbins,BAL,RB,1,4,4,38,19,4.8,0.8,19,100.0,0.0,7.8,14.8,19,4.8,50.0,0,0
J.D. McKissic,WAS,RB,1,4,3,37,2,0.5,0.1,4,75.0,0.0,0.9,13.3,33,11.0,89.2,0,0
Golden Tate,NYG,WR,1,7,5,36,37,5.3,0.8,28,71.4,0.0,13.3,22.6,8,1.6,22.2,0,0
A.J. Green,CIN,WR,1,6,5,36,43,7.2,0.8,30,83.3,0.0,14.7,16.2,6,1.2,16.7,0,0
Jarvis Landry,CLE,WR,1,4,4,36,24,6.0,0.5,24,100.0,0.0,13.0,18.2,12,3.0,33.3,0,0
Jace Sternberger,GB,TE,1,3,3,36,18,6.0,0.9,18,100.0,0.0,7.3,10.3,18,6.0,0.0,0,0
James Washington,PIT,WR,1,7,5,36,75,10.7,1.5,26,71.4,14.3,22.5,21.2,10,2.0,27.8,0,0
Lawrence Cager,NYJ,WR,1,4,2,35,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Vance McDonald,PIT,TE,1,3,3,35,8,2.7,0.2,8,100.0,0.0,2.4,9.1,27,9.0,77.1,0,0
Chris Thompson,JAX,RB,1,6,5,35,11,1.8,0.4,7,83.3,0.0,4.2,16.7,28,5.6,80.0,0,0
Kenny Stills,HOU,WR,1,4,3,35,52,13.0,6.5,29,75.0,0.0,20.2,15.4,6,2.0,17.1,0,0
Chris Conley,JAX,WR,1,8,3,34,158,19.8,3.0,26,37.5,25.0,60.3,22.2,8,2.7,23.5,0,1
Zach Pascal,IND,WR,1,4,2,34,54,13.5,1.0,32,50.0,0.0,46.6,19.0,2,1.0,5.9,0,0
Gerald Everett,LAR,TE,1,2,2,34,19,9.5,0.7,19,100.0,0.0,10.9,6.7,15,7.5,44.1,0,0
N'Keal Harry,NE,WR,1,4,2,34,38,9.5,0.8,15,50.0,0.0,31.1,14.3,19,9.5,55.9,0,0
Laviska Shenault,JAX,WR,1,6,5,33,2,0.3,0.0,2,100.0,0.0,0.8,2.8,0,0.0,0.0,0,0
Nelson Agholor,LV,WR,1,3,2,32,33,11.0,0.7,27,66.7,0.0,13.6,9.4,5,2.5,15.6,1,0
Zay Jones,LV,WR,1,3,3,32,13,4.3,0.5,13,100.0,0.0,5.4,9.4,19,6.3,59.4,0,0
Logan Thomas,WAS,TE,1,7,4,31,57,8.1,1.0,24,57.1,0.0,25.3,23.3,7,1.8,22.6,0,0
Royce Freeman,DEN,RB,1,2,2,31,6,3.0,0.3,6,100.0,0.0,2.3,5.4,25,12.5,80.6,0,0
KJ Hamler,DEN,WR,1,5,3,30,43,8.6,0.7,25,60.0,20.0,16.5,13.5,5,1.7,16.7,0,0
Damion Ratley,NYG,WR,1,2,1,29,29,14.5,1.6,25,50.0,0.0,10.4,6.5,4,4.0,0.0,0,0
Myles Gaskin,MIA,RB,1,5,5,29,9,1.8,0.2,9,100.0,0.0,6.3,27.8,20,4.0,69.0,0,0
Auden Tate,CIN,WR,1,4,2,29,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
James O'Shaughnessy,JAX,TE,1,4,3,29,22,5.5,0.8,18,75.0,0.0,8.4,11.1,11,3.7,37.9,0,0
Ted Ginn,CHI,WR,1,3,1,29,93,31.0,5.8,21,33.3,0.0,18.3,6.1,8,8.0,0.0,0,0
Adam Thielen,MIN,WR,1,5,3,29,84,16.8,1.4,21,60.0,0.0,39.6,22.7,8,2.7,27.6,0,0
Jesse James,DET,TE,1,4,3,28,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jordan Akins,HOU,TE,1,3,2,28,19,6.3,0.6,13,66.7,0.0,7.4,11.5,15,7.5,53.6,0,0
Brandon Powell,ATL,WR,1,4,3,27,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Damiere Byrd,NE,WR,1,3,3,27,8,2.7,0.1,8,100.0,0.0,6.6,10.7,19,6.3,70.4,0,0
Russell Gage,ATL,WR,1,3,2,26,22,7.3,1.8,17,66.7,0.0,5.5,8.8,9,4.5,34.6,0,0
Michael Pittman,IND,WR,1,4,3,26,9,2.3,0.3,3,75.0,0.0,7.8,19.0,23,7.7,88.5,0,0
Foster Moreau,LV,TE,1,2,2,25,20,10.0,1.3,20,100.0,0.0,8.3,6.3,5,2.5,20.0,0,0
Austin Hooper,CLE,TE,1,4,3,25,6,1.5,0.1,-3,75.0,0.0,3.2,18.2,28,9.3,112.0,0,0
Darrell Daniels,ARI,TE,1,2,2,24,4,2.0,0.1,4,100.0,0.0,2.1,7.7,20,10.0,0.0,0,0
Ezekiel Elliott,DAL,RB,1,11,6,24,-21,-1.9,-0.3,-1,54.5,27.3,-5.4,22.0,25,4.2,104.2,0,0
LeSean McCoy,TB,RB,1,4,2,24,17,4.3,1.5,8,50.0,0.0,5.6,11.1,16,8.0,66.7,0,0
Tyler Kroft,BUF,TE,1,5,4,24,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
KeeSean Johnson,ARI,WR,1,7,2,24,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Isaiah Wright,WAS,WR,1,6,4,24,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Chase Claypool,PIT,WR,1,4,1,24,58,14.5,1.0,0,25.0,0.0,17.4,12.1,24,24.0,100.0,1,0
Jalen Guyton,LAC,WR,1,3,2,23,60,20.0,1.0,21,66.7,0.0,22.2,6.8,2,1.0,8.7,0,0
Daurice Fountain,IND,WR,1,2,2,23,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Sony Michel,NE,RB,1,2,2,23,0,0.0,0.0,0,100.0,0.0,0.0,7.1,23,11.5,0.0,0,0
David Johnson,HOU,RB,1,3,2,23,17,5.7,0.4,18,66.7,0.0,6.6,11.5,5,2.5,21.7,0,0
Jordan Reed,SF,TE,1,6,2,23,55,9.2,3.1,20,33.3,33.3,22.3,20.0,3,1.5,13.0,0,0
Julian Edelman,NE,WR,1,6,2,23,69,11.5,1.2,19,33.3,0.0,56.6,21.4,4,2.0,17.4,0,0
Brandin Cooks,HOU,WR,1,5,3,23,47,9.4,1.1,8,60.0,0.0,18.2,19.2,15,5.0,65.2,0,0
Evan Engram,NYG,TE,1,5,3,22,35,7.0,0.8,12,60.0,0.0,12.5,16.1,10,3.3,45.5,0,0
Brian Hill,ATL,RB,1,3,1,22,7,2.3,0.3,-3,33.3,33.3,1.7,8.8,25,25.0,113.6,0,0
Mark Andrews,BAL,TE,1,8,3,22,103,12.9,2.3,24,37.5,37.5,42.2,29.6,-2,-0.7,-9.1,0,0
Chris Herndon,NYJ,TE,1,5,3,21,25,5.0,0.5,0,60.0,0.0,23.1,27.8,21,7.0,100.0,0,0
Chase Edmonds,ARI,RB,1,2,2,21,3,1.5,0.1,3,100.0,0.0,1.6,7.7,18,9.0,85.7,0,0
Jared Cook,NO,TE,1,3,2,21,31,10.3,1.5,21,66.7,0.0,18.5,8.6,0,0.0,0.0,0,0
Jamal Agnew,DET,WR,1,2,2,20,-5,-2.5,-0.4,-5,100.0,0.0,-3.9,10.0,25,12.5,125.0,0,0
Tarik Cohen,CHI,RB,1,6,3,20,17,2.8,0.7,-11,50.0,16.7,3.3,12.2,31,10.3,155.0,0,0
Trent Taylor,SF,WR,1,1,1,20,4,4.0,0.1,4,100.0,0.0,1.6,3.3,16,16.0,80.0,0,0
Ronald Jones,TB,RB,1,4,2,20,9,2.3,0.3,9,50.0,25.0,3.0,11.1,11,5.5,55.0,0,0
Darnell Mooney,CHI,WR,1,5,2,19,74,14.8,1.5,12,40.0,0.0,14.6,10.2,7,3.5,36.8,0,0
Deontay Burnett,PHI,WR,1,4,3,19,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
D'Andre Swift,DET,RB,1,2,1,19,-3,-1.5,-0.5,-3,50.0,0.0,-2.3,10.0,22,22.0,115.8,0,0
John Hightower,PHI,WR,1,3,2,19,26,8.7,0.3,6,66.7,0.0,10.0,7.9,13,6.5,68.4,2,0
Jakeem Grant,MIA,WR,1,1,1,19,14,14.0,1.8,14,100.0,0.0,9.9,5.6,5,5.0,26.3,0,0
Kareem Hunt,CLE,RB,1,3,2,18,15,5.0,0.5,13,66.7,33.3,8.1,13.6,5,2.5,27.8,0,0
Danny Amendola,DET,WR,1,4,1,18,40,10.0,1.3,2,25.0,0.0,31.3,20.0,16,16.0,88.9,0,0
Marcedes Lewis,GB,TE,1,2,1,18,15,7.5,0.8,14,50.0,0.0,6.1,6.9,4,4.0,22.2,0,0
Dalvin Cook,MIN,RB,1,5,2,18,-5,-1.0,-0.1,4,40.0,0.0,-2.4,22.7,14,7.0,77.8,0,0
Adam Trautman,NO,TE,1,2,2,17,14,7.0,0.4,14,100.0,0.0,8.3,5.7,3,1.5,17.6,0,0
Mike Williams,LAC,WR,1,1,1,17,14,14.0,0.4,14,100.0,0.0,5.2,2.3,3,3.0,17.6,0,1
Aaron Jones,GB,RB,1,4,2,17,14,3.5,0.3,-4,50.0,0.0,5.7,13.8,21,10.5,123.5,0,0
Seth Roberts,CAR,WR,1,3,2,16,21,7.0,1.2,4,66.7,0.0,16.4,10.7,12,6.0,75.0,0,0
MyCole Pruitt,TEN,TE,1,2,2,16,8,4.0,0.3,8,100.0,0.0,2.5,6.7,8,4.0,50.0,0,0
Joe Mixon,CIN,RB,1,3,2,16,-7,-2.3,-0.1,-6,66.7,0.0,-2.4,8.1,22,11.0,137.5,0,0
Mike Gesicki,MIA,TE,1,3,1,15,41,13.7,1.4,13,33.3,33.3,28.9,16.7,2,2.0,13.3,1,0
KJ Hill,LAC,WR,1,4,1,15,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Demetrius Harris,CHI,TE,1,3,3,15,8,2.7,0.2,8,100.0,0.0,1.6,6.1,7,2.3,0.0,0,0
Richard Rodgers,PHI,TE,1,2,2,15,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Kerryon Johnson,DET,RB,1,1,1,14,0,0.0,0.0,0,100.0,0.0,0.0,5.0,14,14.0,0.0,0,0
Isaiah Ford,MIA,WR,1,2,2,14,12,6.0,0.4,12,100.0,0.0,8.5,11.1,2,1.0,14.3,0,0
Freddie Swain,SEA,WR,1,1,1,13,5,5.0,0.1,5,100.0,0.0,1.4,2.6,8,8.0,61.5,0,0
Marquise Brown,BAL,WR,1,6,2,13,82,13.7,1.9,12,33.3,33.3,33.6,22.2,1,0.5,7.7,0,0
Kaden Smith,NYG,TE,1,2,1,13,10,5.0,0.6,4,50.0,0.0,3.6,6.5,9,9.0,69.2,0,0
Andy Janovich,CLE,FB,1,1,1,13,1,1.0,0.1,1,100.0,0.0,0.5,4.5,12,12.0,92.3,0,0
Melvin Gordon,DEN,RB,1,6,4,12,0,0.0,0.0,-4,66.7,0.0,0.0,16.2,16,4.0,133.3,0,0
Miles Sanders,PHI,RB,1,8,4,12,35,4.4,0.5,-7,44.4,0.0,13.4,23.7,19,4.8,158.3,0,0
Josh Jacobs,LV,RB,1,4,3,12,0,0.0,0.0,-2,75.0,0.0,0.0,12.5,14,4.7,116.7,0,0
Chris Carson,SEA,RB,1,3,3,12,-9,-3.0,-0.2,-9,100.0,0.0,-2.5,7.9,21,7.0,175.0,0,0
Alec Ingold,LV,FB,1,1,1,11,-1,-1.0,-0.1,-1,100.0,0.0,-0.4,3.1,12,12.0,109.1,0,0
C.J. Ham,MIN,FB,1,2,1,11,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Antonio Gibson,WAS,RB,1,3,3,11,0,0.0,0.0,0,100.0,0.0,0.0,10.0,11,3.7,100.0,0,0
Dan Arnold,ARI,TE,1,2,1,11,21,10.5,0.7,8,50.0,0.0,10.9,7.7,3,3.0,27.3,0,0
Derrick Henry,TEN,RB,1,3,2,11,16,5.3,0.3,10,66.7,-33.3,5.1,10.0,1,0.5,9.1,0,0
Carlos Hyde,SEA,RB,1,1,1,11,0,0.0,0.0,0,100.0,0.0,0.0,2.6,11,11.0,100.0,0,0
Tyler Eifert,JAX,TE,1,3,2,11,19,6.3,0.5,10,66.7,0.0,7.3,8.3,1,0.5,9.1,1,0
DeSean Jackson,PHI,WR,1,4,2,11,62,15.5,2.2,6,50.0,0.0,23.8,10.5,5,2.5,45.5,0,0
Kyle Rudolph,MIN,TE,1,3,2,11,5,1.7,0.1,0,66.7,0.0,2.4,13.6,11,5.5,100.0,0,0
Dion Lewis,NYG,RB,1,3,1,10,5,1.7,0.3,3,33.3,0.0,1.8,9.7,7,7.0,70.0,0,0
Adrian Peterson,DET,RB,1,1,1,10,-4,-4.0,-0.1,-4,100.0,0.0,-3.1,5.0,14,14.0,140.0,0,0
Mohamed Sanu,SF,WR,1,1,1,9,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Darren Waller,LV,TE,1,4,2,9,31,7.8,0.6,9,50.0,0.0,12.8,12.5,2,1.0,18.2,0,0
C.J. Board,NYG,WR,1,2,1,9,54,27.0,2.3,9,50.0,0.0,19.4,6.5,0,0.0,0.0,0,0
JaMycal Hasty,SF,RB,1,1,1,9,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Ian Thomas,CAR,TE,1,2,1,9,4,2.0,0.1,6,50.0,0.0,3.1,7.1,3,3.0,33.3,0,0
David Montgomery,CHI,RB,1,3,2,9,29,9.7,0.6,1,66.7,0.0,5.7,6.1,8,4.0,88.9,0,0
Joshua Kelley,LAC,RB,1,2,2,9,-1,-0.5,0.0,-1,100.0,0.0,-0.4,4.5,10,5.0,111.1,0,0
Mike Thomas,CIN,WR,1,2,2,9,0,0.0,0.0,0,100.0,0.0,0.0,5.4,9,4.5,100.0,0,0
Noah Brown,DAL,WR,1,2,1,9,25,12.5,0.9,6,50.0,0.0,6.4,4.0,3,3.0,33.3,0,0
Miles Boykin,BAL,WR,1,2,1,8,39,19.5,0.8,8,50.0,0.0,16.0,7.4,0,0.0,0.0,0,0
Jalen Richard,LV,RB,1,3,3,8,7,2.3,0.4,7,100.0,0.0,2.9,9.4,1,0.3,12.5,0,0
Tyler Ervin,GB,RB,1,2,2,8,-10,-5.0,-0.4,-10,100.0,0.0,-4.0,6.9,18,9.0,225.0,1,0
Diontae Spencer,DEN,WR,1,1,1,7,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Kyle Juszczyk,SF,FB,1,1,1,7,3,3.0,0.1,3,100.0,0.0,1.2,3.3,4,4.0,57.1,0,0
Latavius Murray,NO,RB,1,1,1,7,2,2.0,0.1,2,100.0,0.0,1.2,2.9,5,5.0,71.4,0,0
Wayne Gallman,NYG,RB,1,3,2,7,9,3.0,0.5,7,66.7,0.0,3.2,9.7,0,0.0,0.0,0,0
Chad Beebe,MIN,WR,1,1,1,7,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Durham Smythe,MIA,TE,1,1,1,7,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Dallas Goedert,PHI,TE,1,1,1,7,0,0.0,0.0,0,100.0,0.0,0.0,2.6,7,7.0,100.0,0,0
Preston Williams,MIA,WR,1,2,2,7,7,3.5,0.2,7,100.0,0.0,4.9,11.1,0,0.0,0.0,0,0
Leonard Fournette,TB,RB,1,2,2,7,5,2.5,0.2,5,100.0,-50.0,1.6,5.6,2,1.0,28.6,0,0
Anthony McFarland,PIT,RB,1,2,1,7,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Devin Duvernay,BAL,WR,1,3,2,7,-2,-0.7,-0.3,-4,66.7,0.0,-0.8,11.1,11,5.5,157.1,0,0
Darrell Henderson,LAR,RB,1,3,1,6,-2,-0.7,-0.1,2,50.0,0.0,-1.1,6.7,4,4.0,66.7,0,0
Jakob Johnson,NE,FB,1,1,1,6,5,5.0,0.3,5,100.0,0.0,4.1,3.6,1,1.0,16.7,0,0
