,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Keelan Cole,JAX,WR,1,7,6,58,42,6.0,0.8,42,85.7,0.0,10.1,14.3,16,2.7,27.6,0,0
Michael Gallup,DAL,WR,1,5,2,58,102,20.4,1.4,54,40.0,0.0,23.0,9.3,4,2.0,6.9,1,0
Noah Fant,DEN,TE,1,5,4,57,50,10.0,0.8,38,80.0,0.0,9.6,12.8,19,4.8,33.3,0,0
Christian Kirk,ARI,WR,1,4,2,57,109,27.3,2.3,53,50.0,0.0,33.9,11.8,4,2.0,7.0,0,0
Jordan Akins,HOU,TE,1,7,7,55,18,2.6,0.4,18,100.0,0.0,6.9,20.0,37,5.3,67.3,0,0
Austin Ekeler,LAC,RB,1,4,4,55,7,1.8,0.1,7,100.0,0.0,2.3,11.4,48,12.0,87.3,0,0
Tyler Higbee,LAR,TE,1,5,5,54,39,7.8,0.7,39,100.0,0.0,18.8,18.5,15,3.0,27.8,0,1
Quintez Cephus,DET,WR,1,3,3,54,20,6.7,0.5,20,100.0,0.0,7.4,8.6,34,11.3,63.0,0,0
Steven Sims,WAS,WR,1,4,3,53,62,15.5,1.0,20,60.0,0.0,22.1,15.2,33,11.0,62.3,1,0
DeVante Parker,MIA,WR,1,8,5,53,75,9.4,1.1,39,62.5,0.0,25.4,16.7,14,2.8,26.4,0,0
Jordan Reed,SF,TE,1,8,7,50,25,3.1,0.9,21,87.5,0.0,16.1,25.8,29,4.1,58.0,0,0
Larry Fitzgerald,ARI,WR,1,7,7,50,27,3.9,0.4,27,100.0,0.0,8.4,20.6,23,3.3,46.0,0,0
Joshua Kelley,LAC,RB,1,2,2,49,-9,-4.5,-0.2,-4,66.7,0.0,-2.9,8.6,53,26.5,108.2,0,0
JuJu Smith-Schuster,PIT,WR,1,8,7,48,30,3.8,0.5,13,87.5,0.0,11.7,19.5,35,5.0,72.9,0,0
Justin Watson,TB,WR,1,3,2,48,47,15.7,0.9,41,66.7,0.0,20.7,8.6,7,3.5,14.6,0,0
KJ Hamler,DEN,WR,1,7,3,48,117,16.7,2.4,46,42.9,14.3,22.5,17.9,2,0.7,4.2,0,0
David Moore,SEA,WR,1,3,3,48,40,13.3,1.3,40,100.0,0.0,18.7,12.0,8,2.7,16.7,0,0
Chris Conley,JAX,WR,1,7,4,48,53,7.6,1.6,22,57.1,0.0,12.8,14.3,26,6.5,54.2,0,0
Adam Humphries,TEN,WR,1,6,5,48,49,8.2,1.4,32,83.3,0.0,24.0,23.1,16,3.2,33.3,0,0
Golden Tate,NYG,WR,1,5,5,47,40,8.0,1.0,40,100.0,0.0,16.4,13.9,7,1.4,14.9,0,1
Rex Burkhead,NE,RB,1,6,4,47,-18,-3.0,-0.4,-11,66.7,16.7,-5.4,14.0,58,14.5,123.4,0,0
Isaiah McKenzie,BUF,WR,1,2,2,47,11,5.5,1.6,11,100.0,0.0,2.7,5.0,36,18.0,76.6,0,0
Russell Gage,ATL,WR,1,9,6,46,58,6.4,0.9,30,66.7,11.1,14.4,22.5,16,2.7,34.8,0,0
Jarvis Landry,CLE,WR,1,3,3,46,20,6.7,0.6,20,100.0,0.0,9.8,15.0,26,8.7,56.5,0,0
Anthony Firkser,TEN,TE,1,4,4,45,41,10.3,2.9,41,100.0,0.0,20.1,15.4,4,1.0,8.9,1,0
Drew Sample,CIN,TE,1,9,7,45,39,4.3,0.7,26,77.8,0.0,10.0,17.0,19,2.7,42.2,0,0
Allen Lazard,GB,WR,1,5,3,45,60,12.0,1.0,19,60.0,20.0,20.3,16.7,26,8.7,57.8,0,0
Van Jefferson,LAR,WR,1,5,4,45,41,8.2,1.6,36,80.0,0.0,19.7,18.5,9,2.3,20.0,0,0
David Montgomery,CHI,RB,1,3,3,45,10,3.3,0.3,10,100.0,0.0,4.3,10.7,35,11.7,77.8,0,0
Justin Jefferson,MIN,WR,1,3,3,44,41,13.7,1.4,41,100.0,0.0,13.8,11.1,3,1.0,6.8,0,0
Eric Ebron,PIT,TE,1,5,3,43,52,10.4,1.0,27,50.0,16.7,20.3,14.6,16,5.3,37.2,0,0
C.J. Uzomah,CIN,TE,1,6,4,42,50,8.3,1.1,35,66.7,0.0,12.8,11.3,7,1.8,16.7,0,1
Zach Ertz,PHI,TE,1,7,5,42,53,7.6,0.8,33,71.4,0.0,21.6,16.3,9,1.8,21.4,0,0
Marquise Brown,BAL,WR,1,6,5,42,48,8.0,1.1,27,83.3,0.0,27.4,26.1,15,3.0,35.7,0,0
Bryan Edwards,LV,WR,1,2,2,42,24,12.0,0.5,24,100.0,0.0,9.8,5.7,18,9.0,42.9,1,0
Jalen Reagor,PHI,WR,1,4,4,41,14,3.5,0.2,14,100.0,0.0,5.7,9.3,27,6.8,65.9,0,0
Darrell Henderson,LAR,RB,1,3,2,40,30,10.0,1.0,20,50.0,0.0,14.4,14.8,20,10.0,50.0,0,0
James O'Shaughnessy,JAX,TE,1,4,4,40,37,9.3,1.1,37,100.0,0.0,8.9,8.2,3,0.8,7.5,0,0
Joe Mixon,CIN,RB,1,4,4,40,-2,-0.5,0.0,-2,100.0,0.0,-0.5,7.5,42,10.5,105.0,0,0
KhaDarel Hodge,CLE,WR,1,2,2,39,37,18.5,1.1,37,100.0,0.0,18.1,10.0,2,1.0,5.1,0,0
Miles Boykin,BAL,WR,1,5,4,38,35,7.0,0.7,26,80.0,0.0,20.0,21.7,12,3.0,31.6,0,0
Michael Pittman,IND,WR,1,6,4,37,45,7.5,0.7,24,66.7,0.0,18.8,20.7,13,3.3,35.1,0,0
Hunter Renfrow,LV,WR,1,3,3,37,24,8.0,0.6,24,100.0,0.0,9.8,8.6,13,4.3,35.1,0,0
Dawson Knox,BUF,TE,1,3,1,36,29,9.7,1.3,6,33.3,0.0,7.0,7.5,32,32.0,84.2,0,0
Chris Carson,SEA,RB,1,3,3,36,18,6.0,0.5,18,100.0,0.0,8.4,12.0,18,6.0,50.0,0,0
Myles Gaskin,MIA,RB,1,7,6,36,-1,-0.1,0.0,-7,85.7,14.3,-0.3,14.6,43,7.2,119.4,0,0
Darnell Mooney,CHI,WR,1,3,3,36,33,11.0,0.8,33,100.0,0.0,14.2,10.7,3,1.0,8.3,0,0
Miles Sanders,PHI,RB,1,7,3,36,8,1.1,0.1,-2,42.9,14.3,3.3,16.3,38,12.7,105.6,0,0
Corey Davis,TEN,WR,1,5,3,36,55,11.0,1.1,26,60.0,0.0,27.0,19.2,10,3.3,27.8,0,0
Davante Adams,GB,WR,1,3,3,36,18,6.0,0.5,18,100.0,0.0,6.1,10.0,18,6.0,50.0,0,0
Tyler Eifert,JAX,TE,1,6,3,36,89,14.8,2.0,31,50.0,0.0,21.4,12.2,5,1.7,13.9,0,0
Dion Lewis,NYG,RB,1,5,4,36,8,1.6,0.1,10,80.0,20.0,3.3,13.9,26,6.5,72.2,0,0
Tee Higgins,CIN,WR,1,6,3,35,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Laviska Shenault,JAX,WR,1,4,3,35,43,10.8,1.0,31,75.0,0.0,10.4,8.2,4,1.3,11.4,0,0
Blake Bell,DAL,TE,1,3,2,34,32,10.7,1.0,30,66.7,0.0,7.2,5.6,4,2.0,11.8,0,0
Allen Robinson,CHI,WR,1,9,3,33,89,9.9,1.7,32,33.3,0.0,38.2,32.1,1,0.3,3.0,0,0
Ezekiel Elliott,DAL,RB,1,7,6,33,-11,-1.6,-0.1,-11,85.7,0.0,-2.5,13.0,44,7.3,133.3,0,0
Darius Slayton,NYG,WR,1,6,3,33,63,10.5,1.1,33,50.0,16.7,25.8,16.7,0,0.0,0.0,0,0
Josh Reynolds,LAR,WR,1,2,2,33,21,10.5,0.5,21,100.0,0.0,10.1,7.4,12,6.0,36.4,0,0
Clyde Edwards-Helaire,KC,RB,1,8,6,32,2,0.3,0.0,6,75.0,0.0,0.6,16.7,26,4.3,81.3,0,0
C.J. Board,NYG,WR,1,3,3,32,24,8.0,2.2,24,100.0,0.0,9.8,8.3,8,2.7,25.0,0,0
Adam Thielen,MIN,WR,1,8,3,31,129,16.1,2.7,31,37.5,12.5,43.3,29.6,0,0.0,0.0,1,0
Foster Moreau,LV,TE,1,1,1,31,20,20.0,0.6,20,100.0,0.0,8.2,2.9,11,11.0,35.5,0,0
Mike Thomas,CIN,WR,1,4,4,31,25,6.3,0.8,25,100.0,0.0,6.4,7.5,6,1.5,19.4,0,0
Mecole Hardman,KC,WR,1,3,2,30,32,10.7,0.6,21,66.7,0.0,9.8,6.3,9,4.5,30.0,0,0
Dallas Goedert,PHI,TE,1,8,4,30,66,8.3,1.0,20,50.0,12.5,26.9,18.6,10,2.5,33.3,0,0
Mark Andrews,BAL,TE,1,3,1,29,41,13.7,1.1,13,33.3,0.0,23.4,13.0,16,16.0,55.2,0,0
Sterling Shepard,NYG,WR,1,4,2,29,38,9.5,2.5,26,50.0,25.0,15.6,11.1,3,1.5,10.3,0,0
Willie Snead,BAL,WR,1,2,2,29,13,6.5,0.3,13,100.0,0.0,7.4,8.7,16,8.0,55.2,0,0
A.J. Green,CIN,WR,1,13,3,29,203,15.6,3.6,27,23.1,7.7,52.1,24.5,2,0.7,6.9,0,0
Christian McCaffrey,CAR,RB,1,5,4,29,-1,-0.2,0.0,-3,80.0,0.0,-0.4,12.5,32,8.0,110.3,0,0
Noah Brown,DAL,WR,1,2,2,28,21,10.5,2.6,21,100.0,0.0,4.7,3.7,34,17.0,121.4,0,0
T.Y. Hilton,IND,WR,1,5,3,28,85,17.0,2.0,10,60.0,20.0,35.6,17.2,18,6.0,64.3,0,0
Tevin Coleman,SF,RB,1,2,2,28,14,7.0,0.5,14,100.0,0.0,9.0,6.5,14,7.0,50.0,0,0
Demarcus Robinson,KC,WR,1,4,3,28,31,7.8,0.6,17,75.0,0.0,9.5,8.3,11,3.7,39.3,0,0
Logan Thomas,WAS,TE,1,9,4,26,62,6.9,1.0,14,44.4,0.0,22.1,27.3,12,3.0,46.2,0,0
LeSean McCoy,TB,RB,1,7,5,26,18,2.6,1.6,-2,71.4,28.6,7.9,20.0,40,8.0,153.8,0,0
Cameron Batson,TEN,WR,1,2,2,26,24,12.0,0.7,24,100.0,0.0,11.8,7.7,2,1.0,7.7,0,0
Preston Williams,MIA,WR,1,5,1,26,50,10.0,0.8,24,20.0,0.0,16.9,10.4,2,2.0,7.7,0,0
Dan Arnold,ARI,TE,1,4,2,26,55,13.8,1.0,14,50.0,0.0,17.1,11.8,12,6.0,46.2,0,0
Ty Montgomery,NO,RB,1,3,2,25,-3,-1.0,-0.5,-1,66.7,33.3,-1.6,8.1,26,13.0,104.0,0,0
Robert Tonyan,GB,TE,1,3,2,25,41,13.7,0.9,21,66.7,33.3,13.9,10.0,4,2.0,16.0,0,0
Marvin Hall,DET,WR,1,2,1,24,27,13.5,1.6,24,50.0,50.0,10.0,5.7,0,0.0,0.0,0,0
Boston Scott,PHI,RB,1,3,3,24,-3,-1.0,-0.2,-3,100.0,0.0,-1.2,7.0,27,9.0,112.5,0,0
Julio Jones,ATL,WR,1,4,2,24,82,20.5,1.4,13,40.0,20.0,20.3,12.5,11,5.5,45.8,1,0
Bisi Johnson,MIN,WR,1,3,1,24,84,28.0,2.0,20,25.0,0.0,28.2,14.8,4,4.0,16.7,0,0
Tim Patrick,DEN,WR,1,5,2,24,102,20.4,2.0,13,40.0,0.0,19.6,12.8,11,5.5,45.8,2,1
Deonte Harris,NO,WR,1,5,3,23,18,3.6,0.6,3,60.0,20.0,9.5,13.5,20,6.7,87.0,0,0
Marvin Jones,DET,WR,1,6,4,23,45,7.5,0.8,17,57.1,28.6,16.6,20.0,6,1.5,26.1,0,0
Darren Fells,HOU,TE,1,4,2,23,31,7.8,1.3,15,50.0,0.0,12.0,11.4,8,4.0,34.8,0,0
Mark Ingram,BAL,RB,1,3,2,22,17,5.7,0.6,-1,66.7,0.0,9.7,13.0,23,11.5,104.5,0,0
Giovani Bernard,CIN,RB,1,7,5,22,6,0.9,0.1,2,83.3,16.7,1.5,11.3,20,4.0,90.9,0,0
Austin Hooper,CLE,TE,1,4,2,22,13,3.3,0.2,13,50.0,25.0,6.4,20.0,9,4.5,40.9,0,0
James Washington,PIT,WR,1,5,3,22,20,4.0,0.6,15,75.0,25.0,7.8,9.8,7,2.3,31.8,0,0
Freddie Swain,SEA,WR,1,1,1,21,2,2.0,0.2,2,100.0,0.0,0.9,4.0,19,19.0,90.5,0,0
Brandon Aiyuk,SF,WR,1,3,2,21,2,0.7,0.0,6,66.7,0.0,1.3,9.7,15,7.5,71.4,0,0
Danny Amendola,DET,WR,1,7,2,21,83,11.9,2.5,15,28.6,14.3,30.6,20.0,6,3.0,28.6,0,0
Chris Thompson,JAX,RB,1,4,3,20,18,4.5,0.6,13,75.0,0.0,4.3,8.2,7,2.3,35.0,0,0
Devin Singletary,BUF,RB,1,3,2,20,-7,-2.3,-0.2,-1,66.7,33.3,-1.7,7.5,21,10.5,105.0,0,0
Devin Duvernay,BAL,WR,1,1,1,19,16,16.0,2.7,16,100.0,0.0,9.1,4.3,3,3.0,15.8,0,0
Ryan Izzo,NE,TE,1,2,2,19,12,6.0,0.2,12,100.0,0.0,3.6,4.7,7,3.5,36.8,0,0
Latavius Murray,NO,RB,1,2,2,19,7,3.5,0.4,7,100.0,0.0,3.7,5.4,12,6.0,63.2,0,0
Zach Pascal,IND,WR,1,4,3,19,19,4.8,0.3,9,75.0,0.0,7.9,13.8,10,3.3,52.6,0,0
Nelson Agholor,LV,WR,1,1,1,19,1,1.0,0.1,1,100.0,0.0,0.4,2.9,18,18.0,94.7,0,0
Jimmy Graham,CHI,TE,1,1,1,18,15,15.0,0.4,15,100.0,0.0,6.4,3.6,3,3.0,16.7,0,0
Emmanuel Sanders,NO,WR,1,3,1,18,23,7.7,0.5,17,33.3,66.7,12.2,8.1,1,1.0,5.6,0,0
James Robinson,JAX,RB,1,4,3,18,-2,-0.5,-0.1,-3,75.0,25.0,-0.5,8.2,21,7.0,116.7,0,0
Josh Jacobs,LV,RB,1,3,3,17,-9,-3.0,-0.2,-9,100.0,0.0,-3.7,8.6,30,10.0,176.5,0,0
Javon Wims,CHI,WR,1,2,2,17,16,8.0,0.6,16,100.0,0.0,6.9,7.1,1,0.5,5.9,0,0
Adam Trautman,NO,TE,1,1,1,17,17,17.0,2.1,17,100.0,0.0,9.0,2.7,0,0.0,0.0,0,0
Dontrelle Inman,WAS,WR,1,5,2,17,40,8.0,0.9,16,40.0,20.0,14.3,15.2,1,0.5,5.9,0,1
Josh Hill,NO,TE,1,2,1,16,7,3.5,0.3,-4,50.0,0.0,3.7,5.4,20,20.0,125.0,0,0
Kenny Stills,HOU,WR,1,3,2,16,22,7.3,0.8,16,66.7,0.0,8.5,8.6,0,0.0,0.0,0,0
David Johnson,HOU,RB,1,4,2,16,35,8.8,0.6,-2,50.0,0.0,13.5,11.4,18,9.0,112.5,0,0
Josh Malone,NYJ,WR,1,6,4,16,22,3.7,0.5,9,66.7,16.7,12.9,16.7,7,1.8,43.8,1,0
Tarik Cohen,CHI,RB,1,1,1,15,-4,-4.0,-0.2,-4,100.0,0.0,-1.7,3.6,19,19.0,126.7,0,0
Zay Jones,LV,WR,1,1,1,15,24,24.0,1.3,15,50.0,0.0,9.8,5.7,0,0.0,0.0,0,0
Kareem Hunt,CLE,RB,1,2,2,15,14,7.0,0.7,14,100.0,0.0,6.9,10.0,1,0.5,6.7,0,0
James Conner,PIT,RB,1,2,2,15,5,2.5,0.1,5,100.0,0.0,2.0,4.9,10,5.0,66.7,0,0
Raheem Mostert,SF,RB,1,2,2,15,7,3.5,0.5,7,100.0,0.0,4.5,6.5,8,4.0,53.3,0,0
Carlos Hyde,SEA,RB,1,2,2,15,-8,-4.0,-0.5,-8,100.0,0.0,-3.7,8.0,23,11.5,153.3,0,0
Robert Woods,LAR,WR,1,5,2,14,56,11.2,0.9,12,40.0,0.0,26.9,18.5,2,1.0,14.3,0,0
Melvin Gordon,DEN,RB,1,3,2,14,12,4.0,0.2,10,66.7,33.3,2.3,7.7,4,2.0,28.6,0,0
Mike Williams,LAC,WR,1,4,2,14,86,21.5,1.2,10,50.0,0.0,28.1,11.4,4,2.0,28.6,0,0
Jalen Guyton,LAC,WR,1,2,1,14,20,10.0,0.5,14,50.0,50.0,6.5,5.7,0,0.0,0.0,0,0
Harrison Bryant,CLE,TE,1,2,1,14,27,13.5,0.9,3,50.0,0.0,13.2,10.0,11,11.0,78.6,0,0
Alex Armah,CAR,FB,1,1,1,14,7,7.0,0.4,7,100.0,0.0,2.5,2.5,7,7.0,50.0,0,0
J.K. Dobbins,BAL,RB,1,1,1,13,-1,-1.0,-0.1,-1,100.0,0.0,-0.6,4.3,14,14.0,107.7,0,0
Curtis Samuel,CAR,WR,1,2,2,13,7,3.5,0.1,7,100.0,0.0,2.5,5.0,6,3.0,46.2,0,0
Leonard Fournette,TB,RB,1,5,4,13,-9,-1.8,-0.3,-8,80.0,20.0,-4.0,14.3,21,5.3,161.5,0,0
Jared Cook,NO,TE,1,5,2,13,52,10.4,1.3,11,40.0,20.0,27.5,13.5,2,1.0,15.4,0,1
Kalen Ballage,NYJ,RB,1,2,2,12,-4,-2.0,-0.5,-4,100.0,0.0,-2.4,5.6,16,8.0,133.3,0,0
Breshad Perriman,NYJ,WR,1,2,2,12,4,2.0,0.2,4,100.0,0.0,2.4,5.6,8,4.0,66.7,0,0
Cole Kmet,CHI,TE,1,1,1,12,12,12.0,0.5,12,100.0,0.0,5.2,3.6,0,0.0,0.0,0,0
Darrel Williams,KC,RB,1,1,1,12,2,2.0,0.2,2,100.0,0.0,0.6,2.1,10,10.0,83.3,0,0
Brian Hill,ATL,RB,1,2,2,11,-2,-1.0,-0.1,-2,100.0,0.0,-0.5,5.0,13,6.5,118.2,0,0
Keke Coutee,HOU,WR,1,2,2,11,0,0.0,0.0,0,100.0,0.0,0.0,5.7,11,5.5,100.0,0,0
Scotty Miller,TB,WR,1,3,2,11,32,10.7,0.8,11,66.7,33.3,14.1,8.6,0,0.0,0.0,1,0
Nick Boyle,BAL,TE,1,1,1,11,5,5.0,0.1,5,100.0,0.0,2.9,4.3,6,6.0,54.5,0,0
O.J. Howard,TB,TE,1,3,1,11,22,7.3,0.6,8,33.3,33.3,9.7,8.6,3,3.0,27.3,0,0
Sammy Watkins,KC,WR,1,3,1,11,22,7.3,0.5,3,33.3,33.3,6.7,6.3,8,8.0,72.7,0,0
Trent Taylor,SF,WR,1,3,2,10,17,5.7,0.6,1,66.7,0.0,11.0,9.7,9,4.5,90.0,0,0
Olamide Zaccheaus,ATL,WR,1,1,1,10,7,7.0,0.4,7,100.0,0.0,1.7,2.5,3,3.0,30.0,0,0
Nick Chubb,CLE,RB,1,1,1,9,5,5.0,0.1,5,100.0,0.0,2.5,5.0,4,4.0,44.4,0,0
Chase Edmonds,ARI,RB,1,4,3,9,19,4.8,0.7,-6,75.0,0.0,5.9,11.8,15,5.0,166.7,0,0
Will Dissly,SEA,TE,1,1,1,9,5,5.0,0.2,5,100.0,0.0,2.3,4.0,4,4.0,44.4,0,0
Jonathan Taylor,IND,RB,1,2,2,9,-10,-5.0,-0.2,-10,100.0,0.0,-4.2,6.9,19,9.5,211.1,0,0
Kenyan Drake,ARI,RB,1,2,2,9,-9,-4.5,-0.2,-9,100.0,0.0,-2.8,5.9,18,9.0,200.0,0,0
Cordarrelle Patterson,CHI,WR,1,2,2,8,-6,-3.0,-0.4,-6,100.0,0.0,-2.6,7.1,14,7.0,175.0,0,0
Chris Manhertz,CAR,TE,1,1,1,8,7,7.0,0.2,7,100.0,0.0,2.5,2.5,1,1.0,12.5,0,0
Dalvin Cook,MIN,RB,1,2,2,8,-3,-1.5,-0.1,-3,100.0,0.0,-1.0,7.4,11,5.5,137.5,0,0
Jakobi Meyers,NE,WR,1,1,1,7,7,7.0,0.9,7,100.0,0.0,2.1,2.3,0,0.0,0.0,0,0
Ashton Dulin,IND,WR,1,1,1,6,-4,-4.0,-0.7,-4,100.0,0.0,-1.7,3.4,10,10.0,166.7,0,0
Gabriel Davis,BUF,WR,1,1,1,6,6,6.0,0.3,6,100.0,0.0,1.4,2.5,0,0.0,0.0,0,0
Kyle Juszczyk,SF,FB,1,2,2,6,-9,-4.5,-0.3,-9,100.0,0.0,-5.8,6.5,15,7.5,250.0,0,0
Devontae Booker,LV,RB,1,1,1,6,0,0.0,0.0,0,100.0,0.0,0.0,2.9,6,6.0,100.0,0,0
Ross Dwelley,SF,TE,1,1,1,5,3,3.0,0.1,3,100.0,0.0,1.9,3.2,2,2.0,40.0,0,0
DaeSean Hamilton,DEN,WR,1,3,1,5,13,4.3,0.4,4,33.3,33.3,2.5,7.7,1,1.0,20.0,0,0
Greg Ward,PHI,WR,1,1,1,5,4,4.0,0.3,4,100.0,0.0,1.6,2.3,1,1.0,20.0,0,0
