,,,,Rushing,,,,Red Zone Rush Att,,,,Red Zone Rush TD,,
Jordan Howard,MIA,RB,1,2,2,1.0,0,0,0,0,0.00,0,0,0
Boston Scott,PHI,RB,1,2,1,0.5,0,0,0,0,0.00,0,0,0
Josh Allen,BUF,QB,1,3,-1,-0.3,1,1,1,1,33.33,1,1,1
Nick Foles,CHI,QB,1,2,-1,-0.5,0,1,1,0,100.00,0,0,0
Alec Ingold,LV,FB,1,1,-1,-1.0,0,0,0,0,0.00,0,0,0
Tim Boyle,GB,QB,1,1,-1,-1.0,0,0,0,0,0.00,0,0,0
Cooper Kupp,LAR,WR,1,1,-2,-2.0,0,0,0,0,0.00,0,0,0
Russell Gage,ATL,WR,1,1,-2,-2.0,0,1,0,0,11.11,0,0,0
Tom Brady,TB,QB,1,3,-3,-1.0,0,0,0,0,0.00,0,0,0
Drew Brees,NO,QB,1,3,-3,-1.0,0,0,0,0,0.00,0,0,0
Jared Goff,LAR,QB,1,3,-3,-1.0,0,0,0,0,0.00,0,0,0
Darnell Mooney,CHI,WR,1,1,-3,-3.0,0,0,0,0,0.00,0,0,0
Curtis Samuel,CAR,WR,1,2,-3,-1.5,0,1,0,0,12.50,0,0,0
Andre Roberts,BUF,WR,1,1,-3,-3.0,0,0,0,0,0.00,0,0,0
Philip Rivers,IND,QB,1,3,-4,-1.3,0,0,0,0,0.00,0,0,0
Brett Rypien,DEN,QB,1,5,-5,-1.0,0,1,0,0,20.00,0,0,0
Adrian Killins,PHI,RB,1,1,-12,-12.0,0,0,0,0,0.00,0,0,0
