,,,,Rushing,,,,,,,Big Rushing Games,,,Fumbles,
Josh Jacobs,LV,RB,1,15,48,3.2,48.0,0,0,0,0,0,0,0,0
Ryan Fitzpatrick,MIA,QB,1,6,47,7.8,47.0,1,0,0,0,0,0,0,0
Miles Sanders,PHI,RB,1,13,46,3.5,46.0,0,0,0,0,0,0,0,0
Antonio Gibson,WAS,RB,1,13,46,3.5,46.0,1,0,0,0,0,0,0,0
Daniel Jones,NYG,QB,1,6,45,7.5,45.0,0,0,0,0,0,0,1,0
Rex Burkhead,NE,RB,1,11,45,4.1,45.0,0,0,0,0,0,0,0,0
Wayne Gallman,NYG,RB,1,6,45,7.5,45.0,0,1,0,0,0,0,0,0
Nick Chubb,CLE,RB,1,6,43,7.2,43.0,0,1,0,0,0,0,0,0
Myles Gaskin,MIA,RB,1,10,40,4.0,40.0,0,0,0,0,0,0,0,0
Brandon Aiyuk,SF,WR,1,1,38,38.0,38.0,1,1,0,0,0,0,0,0
Gus Edwards,BAL,RB,1,9,38,4.2,38.0,0,0,0,0,0,0,0,0
Malcolm Brown,LAR,RB,1,9,38,4.2,38.0,0,0,0,0,0,0,0,0
Carson Wentz,PHI,QB,1,7,37,5.3,37.0,1,0,0,0,0,0,1,0
Adrian Peterson,DET,RB,1,11,36,3.3,36.0,1,0,0,0,0,0,0,0
Kenyan Drake,ARI,RB,1,13,35,2.7,35.0,0,0,0,0,0,0,0,0
Mark Ingram,BAL,RB,1,8,34,4.3,34.0,1,0,0,0,0,0,0,0
Devonta Freeman,NYG,RB,1,11,33,3.0,33.0,0,0,0,0,0,0,0,0
Teddy Bridgewater,CAR,QB,1,6,32,5.3,32.0,1,0,0,0,0,0,0,0
Frank Gore,NYJ,RB,1,13,30,2.3,30.0,0,0,0,0,0,0,0,0
Patrick Mahomes,KC,QB,1,8,28,3.5,28.0,0,0,0,0,0,0,0,0
David Montgomery,CHI,RB,1,10,27,2.7,27.0,0,0,0,0,0,0,0,0
Nyheim Hines,IND,RB,1,9,24,2.7,24.0,0,0,0,0,0,0,0,0
Duke Johnson,HOU,RB,1,5,24,4.8,24.0,0,0,0,0,0,0,0,0
D'Andre Swift,DET,RB,1,4,22,5.5,22.0,0,0,0,0,0,0,0,0
Darrell Henderson,LAR,RB,1,8,21,2.6,21.0,0,0,0,0,0,0,0,0
Matthew Stafford,DET,QB,1,3,21,7.0,21.0,0,0,0,0,0,0,0,0
James White,NE,RB,1,3,21,7.0,21.0,0,0,0,0,0,0,0,0
Derek Carr,LV,QB,1,4,20,5.0,20.0,0,0,0,0,0,0,1,1
Giovani Bernard,CIN,RB,1,2,19,9.5,19.0,0,0,0,0,0,0,0,0
Dontrell Hilliard,CLE,RB,1,5,19,3.8,19.0,0,0,0,0,0,0,0,0
Jalen Hurts,PHI,QB,1,3,18,6.0,18.0,0,0,0,0,0,0,1,0
Alexander Mattison,MIN,RB,1,7,17,2.4,17.0,1,0,0,0,0,0,0,0
J.K. Dobbins,BAL,RB,1,5,16,3.2,16.0,0,0,0,0,0,0,0,0
Tony Pollard,DAL,RB,1,3,16,5.3,16.0,1,0,0,0,0,0,0,0
Chase Edmonds,ARI,RB,1,4,16,4.0,16.0,0,0,0,0,0,0,0,0
La'Mical Perine,NYJ,RB,1,5,15,3.0,15.0,0,0,0,0,0,0,0,0
Jordan Wilkins,IND,RB,1,9,15,1.7,15.0,0,0,0,0,0,0,0,0
Justin Herbert,LAC,QB,1,5,14,2.8,14.0,0,0,0,0,0,0,0,0
Tee Higgins,CIN,WR,1,1,13,13.0,13.0,0,0,0,0,0,0,0,0
Theo Riddick,LV,RB,1,2,13,6.5,13.0,0,0,0,0,0,0,0,0
Dak Prescott,DAL,QB,1,2,12,6.0,12.0,0,0,0,0,0,0,1,1
Austin Ekeler,LAC,RB,1,2,12,6.0,12.0,0,0,0,0,0,0,0,0
Isaiah McKenzie,BUF,WR,1,2,11,5.5,11.0,0,0,0,0,0,0,0,0
Joe Burrow,CIN,QB,1,4,11,2.8,11.0,0,0,0,0,0,0,0,0
Brian Hill,ATL,RB,1,4,10,2.5,10.0,0,0,0,0,0,0,0,0
Deebo Samuel,SF,WR,1,1,10,10.0,10.0,0,0,0,0,0,0,0,0
Deonte Harris,NO,WR,1,2,10,5.0,10.0,0,0,0,0,0,0,0,0
Jamaal Williams,GB,RB,1,8,10,1.3,10.0,0,0,0,0,0,0,0,0
Dion Lewis,NYG,RB,1,1,10,10.0,10.0,0,0,0,0,0,0,0,0
Matt Ryan,ATL,QB,1,2,10,5.0,10.0,0,0,0,0,0,0,0,0
Jeff Driskel,DEN,QB,1,1,9,9.0,9.0,0,0,0,0,0,0,0,0
Matt Breida,MIA,RB,1,3,9,3.0,9.0,0,0,0,0,0,0,0,0
Kerryon Johnson,DET,RB,1,3,9,3.0,9.0,0,0,0,0,0,0,0,0
Isaiah Wright,WAS,WR,1,1,9,9.0,9.0,0,0,0,0,0,0,0,0
Deshaun Watson,HOU,QB,1,5,9,1.8,9.0,0,0,0,0,0,0,2,0
Justin Jackson,LAC,RB,1,6,9,1.5,9.0,0,0,0,0,0,0,0,0
Gardner Minshew,JAX,QB,1,2,9,4.5,9.0,0,0,0,0,0,0,0,0
Isaiah Zuber,NE,WR,1,1,8,8.0,8.0,0,0,0,0,0,0,0,0
DeeJay Dallas,SEA,RB,1,2,8,4.0,8.0,0,0,0,0,0,0,0,0
Adam Thielen,MIN,WR,1,1,8,8.0,8.0,0,0,0,0,0,0,0,0
George Kittle,SF,TE,1,1,8,8.0,8.0,0,0,0,0,0,0,0,0
Brian Hoyer,NE,QB,1,1,8,8.0,8.0,0,0,0,0,0,0,1,1
Alex Erickson,CIN,WR,1,1,7,7.0,7.0,0,0,0,0,0,0,0,0
Joshua Kelley,LAC,RB,1,9,7,0.8,7.0,0,0,0,0,0,0,1,1
Royce Freeman,DEN,RB,1,3,6,2.0,6.0,0,0,0,0,0,0,0,0
Jeff Wilson,SF,RB,1,3,6,2.0,6.0,0,0,0,0,0,0,0,0
Jalen Richard,LV,RB,1,1,6,6.0,6.0,0,0,0,0,0,0,0,0
J.D. McKissic,WAS,RB,1,2,6,3.0,6.0,0,0,0,0,0,0,1,1
Baker Mayfield,CLE,QB,1,3,6,2.0,6.0,0,0,0,0,0,0,0,0
Taysom Hill,NO,QB,1,3,6,2.0,6.0,0,0,0,0,0,0,1,0
Aaron Rodgers,GB,QB,1,1,5,5.0,5.0,0,0,0,0,0,0,0,0
Russell Wilson,SEA,QB,1,4,5,1.3,5.0,0,0,0,0,0,0,0,0
Kirk Cousins,MIN,QB,1,4,5,1.3,5.0,0,0,0,0,0,0,0,0
Peyton Barber,WAS,RB,1,3,5,1.7,5.0,0,0,0,0,0,0,0,0
Cordarrelle Patterson,CHI,WR,1,3,5,1.7,5.0,0,0,0,0,0,0,0,0
Laviska Shenault,JAX,WR,1,1,5,5.0,5.0,0,0,0,0,0,0,0,0
Lynn Bowden,MIA,WR,1,1,5,5.0,5.0,0,0,0,0,0,0,0,0
Travis Homer,SEA,RB,1,4,5,1.3,5.0,0,0,0,0,0,0,0,0
Gabe Nabers,LAC,FB,1,1,4,4.0,4.0,0,0,0,0,0,0,0,0
Ke'Shawn Vaughn,TB,RB,1,3,4,1.3,4.0,0,0,0,0,0,0,0,0
Tyler Boyd,CIN,WR,1,1,4,4.0,4.0,0,0,0,0,0,0,0,0
Michael Burton,NO,FB,1,1,4,4.0,4.0,0,0,0,0,0,0,0,0
Robert Griffin,BAL,QB,1,3,3,1.0,3.0,0,0,0,0,0,0,0,0
LeSean McCoy,TB,RB,1,1,3,3.0,3.0,0,0,0,0,0,0,0,0
Corey Clement,PHI,RB,1,2,3,1.5,3.0,0,0,0,0,0,0,0,0
C.J. Board,NYG,WR,1,1,3,3.0,3.0,0,0,0,0,0,0,0,0
Jarrett Stidham,NE,QB,1,2,3,1.5,3.0,0,0,0,0,0,0,0,0
Ito Smith,ATL,RB,1,2,3,1.5,3.0,0,0,0,0,0,0,0,0
Dwayne Haskins,WAS,QB,1,3,3,1.0,3.0,1,0,0,0,0,0,0,0
AJ Dillon,GB,RB,1,1,3,3.0,3.0,0,0,0,0,0,0,0,0
CeeDee Lamb,DAL,WR,1,1,3,3.0,3.0,0,0,0,0,0,0,0,0
Alex Armah,CAR,FB,1,1,2,2.0,2.0,0,0,0,0,0,0,0,0
C.J. Ham,MIN,FB,1,1,2,2.0,2.0,0,0,0,0,0,0,0,0
Gerald Everett,LAR,TE,1,1,2,2.0,2.0,1,0,0,0,0,0,1,1
Darrel Williams,KC,RB,1,1,2,2.0,2.0,0,0,0,0,0,0,0,0
Jamal Agnew,DET,WR,1,1,2,2.0,2.0,0,0,0,0,0,0,0,0
Jordan Howard,MIA,RB,1,2,2,1.0,2.0,0,0,0,0,0,0,1,0
Robert Woods,LAR,WR,1,1,2,2.0,2.0,0,0,0,0,0,0,0,0
Boston Scott,PHI,RB,1,2,1,0.5,1.0,0,0,0,0,0,0,0,0
Tim Boyle,GB,QB,1,1,-1,-1.0,-1.0,0,0,0,0,0,0,0,0
Nick Foles,CHI,QB,1,2,-1,-0.5,-1.0,0,0,0,0,0,0,0,0
Josh Allen,BUF,QB,1,3,-1,-0.3,-1.0,1,0,0,0,0,0,0,0
Alec Ingold,LV,FB,1,1,-1,-1.0,-1.0,0,0,0,0,0,0,0,0
Russell Gage,ATL,WR,1,1,-2,-2.0,-2.0,0,0,0,0,0,0,0,0
Cooper Kupp,LAR,WR,1,1,-2,-2.0,-2.0,0,0,0,0,0,0,0,0
Jared Goff,LAR,QB,1,3,-3,-1.0,-3.0,0,0,0,0,0,0,0,0
Andre Roberts,BUF,WR,1,1,-3,-3.0,-3.0,0,0,0,0,0,0,0,0
Tom Brady,TB,QB,1,3,-3,-1.0,-3.0,0,0,0,0,0,0,0,0
Drew Brees,NO,QB,1,3,-3,-1.0,-3.0,0,0,0,0,0,0,0,0
Curtis Samuel,CAR,WR,1,2,-3,-1.5,-3.0,0,0,0,0,0,0,0,0
Darnell Mooney,CHI,WR,1,1,-3,-3.0,-3.0,0,0,0,0,0,0,0,0
Philip Rivers,IND,QB,1,3,-4,-1.3,-4.0,0,0,0,0,0,0,0,0
Brett Rypien,DEN,QB,1,5,-5,-1.0,-5.0,0,0,0,0,0,0,0,0
Adrian Killins,PHI,RB,1,1,-12,-12.0,-12.0,0,0,0,0,0,0,0,0
