,,,,Pass Defense Stats,,,,,,,,,,
Eddie Jackson,CHI,S,1,68,#1 FS,64.6,3,5,60.0,78,0,1,0,0
Devin Bush,PIT,LB,1,47,#1 RILB,64.6,2,4,50.0,20,0,0,1,0
Eric Rowe,MIA,S,1,48,#1 SS,65.2,4,7,57.1,26,0,0,0,0
Jerome Baker,MIA,LB,1,59,#1 RILB,66.7,2,4,50.0,22,0,0,1,0
Jon Bostic,WAS,LB,1,63,#1 MLB,67.1,3,5,60.0,18,0,0,0,0
Jeff Okudah,DET,CB,1,59,#2 RCB,69.0,5,7,71.4,79,0,1,0,0
Julian Love,NYG,S,1,68,#1 FS,70.1,2,3,66.7,7,0,0,0,0
Germaine Pratt,CIN,LB,1,52,#1 WLB,70.1,2,3,66.7,5,0,0,1,0
Logan Ryan,NYG,S,1,77,#2 FS,70.8,2,4,50.0,26,0,0,2,0
Ugo Amadi,SEA,S,1,69,#2 FS,72.3,4,7,57.1,38,0,0,2,0
Jordan Poyer,BUF,S,1,69,#1 SS,72.9,2,3,66.7,11,0,0,0,0
James Bradberry,NYG,CB,1,77,#1 LCB,77.8,3,6,50.0,49,0,0,5,0
Jalen Mills,PHI,S,1,71,#1 SS,80.6,4,6,66.7,33,0,0,0,0
Kyzir White,LAC,LB,1,50,#1 LOLB,81.9,3,3,100.0,11,0,0,0,0
Vernon Hargreaves,HOU,CB,1,66,#1 RCB,83.3,6,10,60.0,75,0,0,1,0
Darius Slay,PHI,CB,1,66,#1 LCB,83.6,6,9,66.7,56,0,0,1,0
Blessuan Austin,NYJ,CB,1,59,#1 RCB,84.2,4,7,57.1,58,0,0,0,0
Jamel Dean,TB,CB,1,55,#2 RCB,85.0,4,5,80.0,22,0,0,0,0
Jamal Perry,MIA,CB,1,41,#3 LCB,85.4,2,3,66.7,20,0,0,0,1
Kris Boyd,MIN,CB,1,38,#3 RCB,86.1,3,3,100.0,14,0,0,0,0
Eric Kendricks,MIN,LB,1,75,#1 MLB,86.5,3,4,75.0,21,0,0,1,0
Juan Thornhill,KC,S,1,56,#2 FS,87.5,2,5,40.0,11,1,0,0,0
Andrew Sendejo,CLE,S,1,65,#1 FS,88.2,2,3,66.7,22,0,0,0,0
Jeff Gladney,MIN,CB,1,73,#2 RCB,90.1,4,8,50.0,89,0,0,1,0
John Johnson,LAR,S,1,62,#1 FS,91.7,3,4,75.0,26,1,1,1,0
Malcolm Butler,TEN,CB,1,64,#1 LCB,92.1,3,5,60.0,48,0,0,2,0
Denzel Ward,CLE,CB,1,29,#1 LCB,93.1,1,3,33.3,17,1,0,0,1
Tracy Walker,DET,S,1,65,#1 FS,93.7,2,3,66.7,26,0,0,1,0
Malcolm Jenkins,NO,S,1,62,#1 SS,94.4,1,3,33.3,18,1,0,1,0
Tedric Thompson,KC,S,1,20,#2 SS,94.4,3,3,100.0,20,0,0,0,0
Jourdan Lewis,DAL,CB,1,75,#1 LCB,95.8,2,4,50.0,7,1,0,1,0
Jalen Ramsey,LAR,CB,1,62,#1 RCB,95.8,2,4,50.0,5,2,0,1,0
Lamarcus Joyner,LV,S,1,45,#1 LCB,95.8,3,4,75.0,30,0,0,0,0
Carlton Davis,TB,CB,1,63,#1 LCB,95.8,2,4,50.0,12,1,0,0,0
Zach Cunningham,HOU,LB,1,65,#1 RILB,98.6,3,3,100.0,23,0,0,0,0
J.C. Jackson,NE,CB,1,51,#2 LCB,98.8,6,7,85.7,54,0,0,1,0
Tahir Whitehead,CAR,LB,1,50,#1 MLB,99.0,3,4,75.0,33,0,0,0,0
Buster Skrine,CHI,CB,1,43,#2 RCB,100.0,4,4,100.0,32,0,0,0,0
Justin Reid,HOU,S,1,80,#1 FS,101.0,3,4,75.0,35,0,0,0,0
Brian Poole,NYJ,CB,1,46,#2 LCB,103.3,5,5,100.0,44,0,0,0,0
Cre'von LeBlanc,PHI,CB,1,59,#2 LCB,104.2,4,4,100.0,36,0,0,0,0
Nate Gerry,PHI,LB,1,70,#1 ROLB,104.2,4,4,100.0,36,0,0,0,0
Holton Hill,MIN,CB,1,75,#1 RCB,104.2,3,5,60.0,65,0,0,1,0
Darnay Holmes,NYG,CB,1,27,#2 LCB,106.3,3,4,75.0,40,0,0,-1,0
Shaquill Griffin,SEA,CB,1,82,#1 LCB,107.2,8,11,72.7,145,1,1,0,0
Micah Kiser,LAR,LB,1,62,#1 LILB,109.7,2,3,66.7,7,1,0,-2,0
Avonte Maddox,PHI,CB,1,39,#1 RCB,109.7,2,3,66.7,41,0,0,1,0
Kenny Young,LAR,LB,1,39,#1 RILB,111.1,3,3,100.0,32,0,0,0,0
Ronald Darby,WAS,CB,1,63,#1 RCB,111.5,3,4,75.0,45,0,0,0,0
Darryl Roberts,DET,CB,1,53,#2 LCB,111.8,4,6,66.7,21,2,0,1,0
Michael Davis,LAC,CB,1,43,#2 LCB,112.5,3,4,75.0,46,0,0,0,0
Josey Jewell,DEN,LB,1,62,#1 RILB,115.6,3,4,75.0,49,0,0,0,0
Krys Barnes,GB,LB,1,17,#1 RILB,116.7,2,3,66.7,14,1,0,0,0
M.J. Stewart,CLE,CB,1,22,#3 LCB,116.7,3,3,100.0,36,0,0,0,0
Troy Hill,LAR,CB,1,61,#1 LCB,116.7,3,4,75.0,60,0,0,0,0
Johnathan Joseph,TEN,CB,1,59,#1 RCB,116.7,3,4,75.0,99,2,1,0,0
Avery Williamson,NYJ,LB,1,57,#1 RILB,118.8,3,3,100.0,39,0,0,0,0
Terrence Brooks,NE,S,1,21,#2 SS,118.8,3,3,100.0,58,0,0,0,0
Isaac Yiadom,NYG,CB,1,59,#1 RCB,118.8,4,5,80.0,67,0,0,1,0
Taron Johnson,BUF,CB,1,60,#3 LCB,118.8,4,4,100.0,53,0,0,0,0
Chuck Clark,BAL,S,1,75,#1 SS,118.8,3,3,100.0,40,0,0,0,0
Mike Hilton,PIT,CB,1,37,#2 LCB,118.8,4,5,80.0,66,1,1,0,0
Tre Herndon,JAX,CB,1,59,#1 RCB,118.8,3,3,100.0,44,0,0,0,0
Minkah Fitzpatrick,PIT,S,1,47,#1 FS,118.8,3,3,100.0,56,0,0,0,0
Jonathan Jones,NE,CB,1,49,#1 RCB,122.9,7,11,63.6,99,1,0,1,0
DeShon Elliott,BAL,S,1,75,#1 FS,125.0,2,5,40.0,60,1,0,1,0
Bobby Okereke,IND,LB,1,52,#1 SLB,126.4,2,3,66.7,21,1,0,0,0
Isaiah Oliver,ATL,CB,1,82,#1 RCB,127.1,4,8,50.0,84,1,0,1,1
Kevin King,GB,CB,1,61,#1 RCB,128.5,4,6,66.7,45,1,0,0,0
Shaq Thompson,CAR,LB,1,66,#1 WLB,131.0,5,7,71.4,50,1,0,1,0
Budda Baker,ARI,S,1,66,#1 FS,140.3,2,3,66.7,31,1,0,1,0
Mackensie Alexander,CIN,CB,1,84,#1 LCB,142.2,6,8,75.0,73,1,0,0,0
Darian Thompson,DAL,S,1,72,#1 SS,149.3,2,3,66.7,45,1,0,0,0
CJ Henderson,JAX,CB,1,59,#1 LCB,149.3,5,6,83.3,62,1,0,1,0
Trevon Diggs,DAL,CB,1,76,#1 RCB,149.5,7,9,77.8,99,1,0,2,-1
Terrell Edmunds,PIT,S,1,47,#1 SS,156.3,3,4,75.0,63,1,0,1,0
Tre Flowers,SEA,CB,1,80,#2 RCB,156.3,6,8,75.0,109,1,0,0,1
Justin Simmons,DEN,S,1,68,#1 FS,158.3,4,4,100.0,58,1,0,0,0
Marcus Peters,BAL,CB,1,75,#1 RCB,158.3,6,7,85.7,97,1,0,0,0
K.J. Wright,SEA,LB,1,82,#1 WLB,158.3,4,5,80.0,72,1,0,0,0
Marshon Lattimore,NO,CB,1,62,#1 RCB,158.3,5,5,100.0,93,1,0,-1,0
Tremaine Edmunds,BUF,LB,1,68,#1 MLB,158.3,3,3,100.0,55,1,0,0,0
